RA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
RA20,10122,55774,240177,252848,203694,131869,26778,2115,118,923492,34717,53632,66802,44690,37268,37434,22257,4616,339,301759,4933,6565,9979,7880,6787,7181,3016,516,64,46925,820,2919,7756,5483,3447,2176,715,226,67,23607,50593,118888,324717,310903,251197,178659,52770,7477,588,1295783,1961,6520,12017,8837,8072,6041,946,48,11,44459,10345,6780,4566,2214,1917,2590,1056,137,16,29627,12306,13300,16580,11051,9994,8631,1999,184,26,74089,62896,132187,341298,321955,261193,187293,54771,7662,615,1369871,74851,31871,37050,31188,36014,61948,129838,94961,35029,532741,5585,9027,23379,17765,13619,10545,8529,6940,4064,99458,143327,173076,401730,370910,310828,259787,193133,109567,39708,2002066,2944,38903,174905,142178,129448,73527,11089,508,20,573532,45762,66311,102334,116675,100043,75348,23476,2444,113,532508,6724,9014,22435,16437,8606,8477,2911,361,32,74996,756,2303,5187,3541,2604,1627,540,200,81,16846,56190,116530,304864,278833,240704,158976,38027,3523,249,1197891,1165,3820,7955,5719,4801,2983,284,17,0,26744,10484,6380,6682,6163,4848,3746,777,69,4,39148,11650,10200,14641,11879,9643,6727,1055,86,12,65896
RA21,5565,15006,41714,44035,46716,36944,9011,1240,117,200349,9667,6325,8458,7590,8669,11998,8471,1751,172,63112,1404,947,1753,1823,2130,3178,1323,209,32,12791,492,613,1247,1044,1113,895,462,211,52,6123,17122,22891,53171,54494,58629,53013,19262,3409,377,282367,663,1180,1813,1300,1459,1372,207,9,0,7996,1488,605,597,372,416,667,276,36,3,4463,2151,1786,2403,1668,1873,2042,490,44,3,12458,19272,24671,55578,56160,60503,55061,19757,3453,377,294829,14459,4290,6805,7099,9788,20917,51747,33498,10238,158842,2084,2007,4214,4252,4792,4802,4789,3292,1612,31837,35816,30968,66600,67502,75083,80773,76286,40249,12227,485507,1905,8706,23070,22434,28843,19674,3435,330,30,108432,13009,10802,21639,28093,27889,27133,8581,945,71,138155,1906,1496,5165,3283,2674,3661,1207,143,21,19544,499,490,926,751,843,662,372,159,53,4760,17324,21499,50797,54560,60245,51133,13591,1585,175,270894,330,551,883,688,821,670,63,7,5,4010,1565,644,895,862,901,961,176,24,11,6037,1895,1193,1771,1545,1717,1630,239,30,15,10046
RA22,1192,3059,8233,8100,9016,8752,2774,533,52,41700,1779,1009,1688,1514,1709,2706,1876,485,76,12842,204,169,343,319,412,702,308,70,21,2543,101,124,345,267,274,254,139,79,16,1608,3277,4363,10609,10195,11409,12417,5094,1170,166,58696,142,262,350,262,337,359,58,0,3,1767,197,116,154,101,104,187,77,6,0,945,340,382,505,364,440,546,131,6,5,2716,3615,4743,11113,10554,11851,12966,5228,1172,173,61408,2915,808,1320,1391,2227,5206,12167,7748,2424,36217,536,540,1159,1158,1263,1508,1496,938,421,9003,7067,6091,13592,13103,15335,19679,18886,9866,3012,106628,417,1801,4359,4055,5652,4555,1081,139,14,22071,2316,1699,4303,5130,5432,5973,2065,283,19,27231,303,225,887,522,531,787,250,37,9,3566,102,115,206,221,227,188,101,62,16,1240,3141,3840,9761,9933,11841,11504,3502,530,56,54105,71,100,167,142,170,134,12,0,0,790,193,95,181,177,164,251,50,7,0,1109,264,198,346,313,336,377,62,7,0,1903
RA23,8,23,82,102,95,135,84,16,3,545,17,9,16,14,15,34,31,6,3,146,3,0,5,0,0,14,4,0,0,25,0,0,5,0,5,3,5,3,0,28,25,34,102,120,115,187,120,28,4,743,0,0,3,3,7,14,0,0,0,29,3,0,0,0,5,6,3,0,0,18,10,4,3,3,9,20,3,0,0,47,29,34,102,125,125,207,130,28,5,790,32,10,25,28,31,110,172,114,45,560,4,4,7,18,8,25,31,16,10,133,72,53,131,172,167,339,324,159,63,1477,9,7,35,37,41,64,29,3,0,219,7,14,46,84,54,88,31,11,0,342,0,4,5,0,10,12,3,0,0,33,0,0,5,0,4,5,0,6,0,10,12,28,94,116,109,167,62,21,0,608,0,0,6,3,0,3,0,0,0,15,3,0,0,0,3,6,0,0,0,11,3,0,6,3,8,12,0,0,0,28
RA25,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,0,0,0,24,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,19,59,201,145,110,77,13,0,0,621,16,38,92,39,43,34,20,0,0,281,0,10,14,12,8,14,4,0,0,74,3,4,12,7,14,5,0,0,0,44,43,104,316,210,182,131,36,7,0,1022,12,25,57,64,50,23,0,0,0,222,8,24,17,13,13,5,0,0,0,78,16,46,75,71,56,28,6,0,0,298,63,152,389,284,241,154,40,7,0,1324,77,73,169,199,220,198,223,62,5,1218,91,124,383,525,461,287,130,22,7,2028,234,345,939,1008,912,644,392,90,15,4576,9,35,126,65,39,33,0,0,0,302,22,59,131,50,42,55,3,0,0,367,3,11,30,12,14,8,4,0,0,85,0,0,9,0,0,0,3,4,0,16,37,109,287,131,99,96,9,6,0,771,7,15,34,19,10,13,5,0,0,105,26,13,18,13,8,9,8,0,0,79,32,23,55,38,14,20,6,0,0,191
