RA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
RA20,279,919,3525,6973,13780,24838,32255,25501,10882,118942,32988,25763,30997,28564,21878,16952,13324,7661,2613,180742,485,586,1393,2331,4668,10679,17826,14861,5647,58469,46,38,64,81,212,582,1970,5169,5117,13288,705,1494,3376,9605,17494,28219,33317,21599,6547,122371,889,667,1193,2846,8351,19731,30791,25753,11352,101574,591,410,765,1277,2030,3415,5136,5106,2619,21355,428,343,598,1022,2299,5125,8282,7660,3308,29064,8297,20576,30537,27548,25424,20533,13011,6877,3368,156161,189,140,284,668,1758,3675,6235,6410,3223,22584,20521,14179,16580,20351,24072,27930,23670,14153,6876,168337,375386,236977,296216,263319,197202,134211,71619,28414,7218,1610564,33055,24081,31728,26491,22926,17996,12047,7658,3641,179620,466408,316413,401730,370910,310828,259787,193133,109567,39708,2468475,311,1487,4909,10474,24951,46790,62985,51563,27072,230547,20830,25624,37842,34401,30205,25621,22803,13705,5543,216581,356,507,1599,4019,9210,14298,17950,12979,5818,66739,17,22,53,69,195,548,2139,6929,11132,21105,622,1421,3682,7435,13221,21686,26994,19720,8559,103332,663,612,1117,1666,3980,8978,16568,18952,13981,66512
RA21,112,286,1104,2378,5248,11178,16288,11303,3665,51566,10255,6418,6495,6804,6051,6277,5808,3108,879,52104,105,146,270,629,1417,3835,7696,5914,1772,21791,5,22,20,24,65,253,783,1632,1308,4110,192,442,768,1537,3793,7401,11332,7103,1787,34348,270,217,334,699,2320,6820,12718,9884,3615,36880,153,114,168,265,517,1015,1840,1761,770,6602,152,104,196,369,981,2812,4631,3667,1230,14132,3311,6226,7392,7829,8667,8375,6186,2682,919,51592,57,65,86,183,517,1316,2479,2342,938,7985,5780,3489,3481,4310,6115,8525,8051,4263,1709,45721,83334,45603,43662,41752,42783,37625,25852,9568,2136,332314,10614,6703,6736,6843,7516,7273,6233,3656,1488,57064,111670,66780,66600,67502,75083,80773,76286,40249,12227,597176,115,449,1542,3621,9006,18776,26059,17912,8122,85602,7041,6865,9046,9355,9446,10071,9581,5104,1717,68229,100,125,371,1014,2523,5047,6805,4553,1787,22324,7,18,24,20,50,197,674,1789,2681,5464,196,411,866,1648,3295,6070,8200,5543,2119,28351,194,175,321,510,1338,3543,6763,6693,4391,23929
RA22,19,42,209,458,1111,2803,4140,2667,880,12331,1894,1248,1230,1209,1234,1482,1429,758,204,10685,29,31,52,118,274,917,1813,1333,391,4965,0,4,4,3,23,45,153,303,275,813,43,82,179,297,787,1811,2775,1684,422,8076,37,38,56,127,513,1615,3017,2244,802,8463,36,18,28,45,117,266,441,375,178,1506,32,16,34,86,225,715,1235,957,240,3543,518,1055,1300,1300,1701,2018,1488,562,138,10071,4,5,11,37,142,331,580,540,231,1886,969,636,577,761,1240,1930,1801,886,320,9112,16154,8986,9238,8275,8672,9111,6576,2475,574,70058,2450,1530,1446,1490,1676,2009,1752,998,416,13776,21749,13159,13592,13103,15335,19679,18886,9866,3012,128377,20,93,305,659,1861,4150,5719,4008,1873,18695,1324,1293,1682,1630,1888,2271,2096,1118,368,13674,15,29,60,168,474,1108,1468,1045,389,4759,4,9,5,7,13,39,130,398,515,1121,37,88,152,369,701,1460,1855,1288,509,6459,38,41,60,101,311,858,1494,1510,953,5360
RA23,0,0,3,5,21,52,75,38,7,201,33,16,13,20,17,34,27,7,3,169,0,0,0,0,9,14,24,18,9,67,0,0,0,0,0,6,0,4,4,9,3,0,0,3,10,35,44,26,5,128,0,0,0,4,3,32,52,21,9,116,0,0,0,0,0,0,4,3,0,12,0,0,0,0,4,18,23,14,4,59,14,8,12,23,27,53,23,6,0,162,0,0,0,0,3,4,12,5,3,23,19,6,13,9,18,31,30,17,8,143,171,77,87,98,96,145,120,46,17,858,22,13,13,24,15,45,39,14,12,193,246,119,131,172,167,339,324,159,63,1728,0,0,3,17,15,62,66,64,31,263,16,12,23,23,16,36,27,20,3,168,5,0,0,4,7,14,15,17,11,69,0,0,0,0,0,0,4,0,3,7,0,0,0,5,12,23,20,17,3,79,0,0,0,0,4,17,25,14,10,70
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,11,3,7,0,0,0,25,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,4,15,27,53,54,56,17,0,224,41,34,52,48,52,31,22,12,0,296,0,0,4,6,14,14,28,11,0,79,0,0,0,0,8,0,0,3,0,18,0,0,4,13,31,38,45,9,0,145,0,3,4,9,30,40,59,18,0,165,0,0,0,3,15,9,4,6,0,38,0,4,8,3,33,17,25,4,0,88,23,100,125,162,164,82,35,9,0,700,0,0,0,5,6,8,9,4,0,39,47,32,52,64,78,61,38,3,0,379,240,225,360,256,202,157,101,22,0,1568,263,221,392,530,468,284,133,19,8,2314,594,575,939,1008,912,644,392,90,15,5170,0,3,23,28,54,69,50,20,6,263,31,57,78,74,59,52,23,7,5,389,0,0,4,9,9,24,12,0,0,65,0,0,0,0,0,0,0,0,0,11,0,0,7,13,31,17,7,4,0,91,0,6,3,11,12,15,14,11,6,69
