RA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
RA20,908288,617549,810489,749421,638502,537352,412451,240882,103485,5018415
RA21,216880,129482,135443,140280,155025,168040,155222,83421,31168,1214965
RA22,42662,25163,27484,26949,31621,39414,36710,20029,7657,257682
RA23,487,210,258,342,335,657,566,311,133,3305
RA25,0,0,6,16,3,14,4,0,0,38
RA29,1143,1131,1819,1736,1393,1074,613,152,29,9089
