RA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
RA20,..,2250,97162,217423,187523,160109,125935,71614,18930,880946,..,12731,84262,46835,30570,19177,8690,2802,421,205498,..,341,1816,6311,11847,9297,4090,2256,1557,37506,443769,..,..,..,..,..,..,..,..,443769,..,136019,..,..,..,..,..,..,..,136019,..,82086,66510,20184,13571,5883,919,19,0,189172,..,13841,16415,5678,4866,5775,4681,2563,1405,55219,..,8222,14410,4583,2879,2031,908,283,68,33380,..,27233,52350,13118,7571,6601,4408,1687,340,113308,..,8717,36228,32263,32434,33696,27670,16915,8405,196329,3987,5532,6966,4264,3395,2717,1947,969,316,30086,447756,296980,376119,350655,294653,245278,179241,99108,31445,2321235,..,5796,137877,225330,187152,153042,115117,52752,8518,885576,..,18546,88497,43319,28374,16097,6703,1630,204,203374,..,2281,16125,36581,50232,29584,12934,9389,6128,163252,420099,..,..,..,..,..,..,..,..,420099,..,140648,..,..,..,..,..,..,..,140648,..,56409,45717,10647,7427,4402,981,52,0,125633,..,12071,11150,3583,4431,10912,12399,8412,4944,67907,..,7148,9196,2326,1434,1070,541,177,76,21971
RA21,..,463,16142,34504,39295,44418,45029,24221,5263,209339,..,4234,17443,10803,9890,7709,4348,1322,157,55903,..,131,750,1979,3296,2173,1089,596,388,10411,103856,..,..,..,..,..,..,..,..,103856,..,23583,..,..,..,..,..,..,..,23583,..,23033,10751,4159,3006,1383,250,6,0,42588,..,2260,1756,777,965,1344,1258,619,319,9296,..,1535,1907,749,661,496,288,94,21,5752,..,2839,4316,1582,1649,2007,1715,631,124,14868,..,1676,5935,6020,8988,13057,12917,7459,2861,58901,1246,1661,1735,1125,1176,1195,1170,509,131,9940,105106,61405,60736,61700,68927,73786,68060,35449,9268,544438,..,896,21589,38442,41846,46482,41840,18157,2479,211736,..,6248,18431,11125,9944,7132,3347,819,89,57126,..,1109,6449,9886,11373,5859,2729,2028,1396,40831,97892,..,..,..,..,..,..,..,..,97892,..,25436,..,..,..,..,..,..,..,25436,..,14301,6184,1945,1472,988,251,0,0,25140,..,1768,1041,365,752,1880,2143,1504,855,10304,..,1598,1253,406,342,263,179,55,31,4133
RA22,..,106,3220,6088,7409,10154,10416,5779,1280,44449,..,916,3238,2064,1871,1761,1071,307,46,11274,..,29,144,388,637,441,242,124,85,2089,19711,..,..,..,..,..,..,..,..,19711,..,4006,..,..,..,..,..,..,..,4006,..,4403,1983,820,670,366,62,0,0,8312,..,544,408,165,209,291,305,130,75,2121,..,328,418,240,168,132,72,27,5,1390,..,613,1028,482,464,515,436,174,24,3740,..,459,1373,1248,2101,3633,3804,1930,792,15327,273,370,384,264,271,338,351,154,27,2422,19980,11772,12189,11761,13797,17628,16757,8628,2326,114839,..,218,4291,6915,8331,10655,9635,4287,603,44916,..,1400,3392,2036,1998,1641,833,224,24,11546,..,273,1347,1914,2018,1040,489,450,327,7857,19063,..,..,..,..,..,..,..,..,19063,..,4251,..,..,..,..,..,..,..,4251,..,2544,1098,346,306,227,36,0,0,4552,..,401,208,82,179,372,416,325,174,2147,..,317,288,120,79,62,40,10,3,926
RA23,..,0,39,75,74,152,177,88,20,631,..,6,23,21,19,34,7,4,0,114,..,0,0,3,3,3,7,0,0,24,223,..,..,..,..,..,..,..,..,223,..,40,..,..,..,..,..,..,..,40,..,36,22,10,13,4,0,0,0,81,..,3,5,0,0,3,3,3,3,20,..,5,0,0,0,0,0,0,0,8,..,5,0,0,5,14,7,0,0,32,..,9,20,25,34,81,78,38,25,305,7,7,0,6,5,12,12,8,5,57,232,103,117,148,154,301,291,144,48,1546,..,0,50,91,90,178,143,69,14,634,..,7,28,26,21,25,12,4,0,118,..,0,7,16,10,7,11,4,3,67,207,..,..,..,..,..,..,..,..,207,..,34,..,..,..,..,..,..,..,34,..,11,11,0,4,3,0,0,0,29,..,4,0,0,0,6,0,4,0,16,..,0,6,3,0,0,0,0,0,6
RA25,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA29,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,159,170,305,253,223,140,108,22,0,1385,159,170,305,253,223,140,108,22,0,1385,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
