RA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
RA20,64399,45248,59734,50668,44235,35321,25533,16771,9817,351726,908288,617549,810489,749421,638502,537352,412451,240882,103485,5018415
RA21,20642,12461,12316,12939,14031,14014,12230,7608,3877,110120,216880,129482,135443,140280,155025,168040,155222,83421,31168,1214965
RA22,4732,2842,2782,2898,3227,3726,3335,2032,1110,26690,42662,25163,27484,26949,31621,39414,36710,20029,7657,257682
RA23,52,27,17,47,34,72,54,35,24,364,487,210,258,342,335,657,566,311,133,3305
RA25,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
RA29,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
