RA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
RA20,468475,943807,8999,53146,61312,285203,10455,49133,348831,1341857,429598,1729334,34975,151613,59172,209793,106943,352931,201092,714337,630688,2443670,2582,12604,14251,48974,5027,18316,65625,170748,87479,250637,10390,34356,24357,55841,78528,175668,113280,265868,200764,516504,23846,50640,1323772,3954625
RA21,143444,286250,2360,13232,12843,60105,3442,15816,68693,271863,87332,361017,6082,25627,9754,32588,24327,77175,40159,135390,127491,496408,780,3537,3709,12794,1848,6686,20022,53715,26358,76727,1827,5783,4397,9497,18654,40251,24878,55539,51233,132261,4094,8522,326269,923445
RA22,33111,65984,462,2554,2413,11264,687,3165,12766,50870,16327,67853,981,4030,1713,5452,4872,15279,7562,24756,23891,92615,117,539,721,2494,418,1500,3946,10829,5204,15360,263,830,751,1599,3730,7980,4745,10416,9944,25774,922,1939,67869,186310
RA23,515,1016,3,31,18,81,0,3,148,610,166,731,4,21,26,83,51,154,84,254,252,984,0,8,5,9,6,8,35,100,41,124,3,14,10,16,37,82,53,112,90,238,10,22,868,2256
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
