RA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
RA20,390882,246341,306859,276458,212019,149129,81920,33017,8922,1705538,40294,41476,54620,57219,59255,64191,58552,34391,11700,421696,2065,4226,7689,9098,12691,19668,25635,19682,7918,108672,111,289,828,1651,3933,8797,14982,14819,7529,52947,42469,45988,63139,67968,75885,92660,99171,68892,27140,583315,33055,24081,31728,26491,22926,17996,12047,7658,3641,179620,466408,316413,401730,370910,310828,259787,193133,109567,39708,2468475,381146,218066,293129,271767,214107,153677,91570,37279,11853,1672593,27779,52647,71115,65294,66970,69844,67052,43048,19188,482944,1532,8774,14874,14258,18614,24856,30038,24409,13732,151084,77,486,1638,3011,6676,11866,17164,17473,12830,71216,29392,61905,87626,82565,92259,106562,114261,84928,45753,705243,31347,21170,28005,24177,21306,17323,13485,9115,6176,172111,441877,301141,408756,378513,327678,277565,219311,131316,63780,2549938,772025,464402,599985,548220,426125,302806,173490,70294,20777,3378131,68077,94119,125736,122515,126227,134041,125603,77437,30886,904637,3595,13002,22564,23359,31309,44524,55673,44091,21651,259757,190,775,2465,4665,10614,20657,32152,32291,20355,124162,71859,107896,150767,150532,168142,199222,213428,153813,72893,1288556,64399,45248,59734,50668,44235,35321,25533,16771,9817,351726
RA21,87440,47771,45705,44144,45973,41517,28945,10791,2558,354843,12670,10760,11888,13182,15806,20564,23170,12222,3389,123650,904,1438,1967,2691,4223,7509,10963,7321,2413,39422,38,110,302,649,1566,3915,6982,6251,2374,22202,13620,12305,14156,16520,21591,31987,41113,25797,8178,185271,10614,6703,6736,6843,7516,7273,6233,3656,1488,57064,111670,66780,66600,67502,75083,80773,76286,40249,12227,597176,85147,40627,42413,44223,45508,42602,29623,11224,3370,344734,9281,13432,15993,16467,18510,22729,23834,13778,5630,139665,715,2672,4234,4662,6546,9592,11879,8043,3916,52275,29,211,630,1319,2861,5600,7588,6181,3632,28051,10027,16315,20855,22457,27923,37923,43311,27997,13180,219988,10034,5763,5578,6096,6517,6734,5995,3946,2390,53058,105205,62701,68845,72772,79943,87260,78929,43175,18943,617778,172587,88403,88113,88365,91478,84120,58572,22019,5928,699579,21957,24187,27883,29655,34315,43294,47004,26000,9021,263316,1622,4110,6194,7352,10771,17097,22842,15370,6333,91700,70,321,935,1965,4427,9513,14572,12436,6004,50250,23648,28620,35017,38974,49516,69908,84419,53803,21359,405260,20642,12461,12316,12939,14031,14014,12230,7608,3877,110120
RA22,16860,9385,9571,8703,9278,9973,7219,2733,658,74375,2270,1986,2135,2297,3135,4882,5510,3006,903,26113,161,238,378,473,898,1828,2642,1760,544,8921,8,26,67,135,350,992,1770,1359,494,5190,2433,2249,2574,2903,4386,7700,9913,6129,1942,40227,2450,1530,1446,1490,1676,2009,1752,998,416,13776,21749,13159,13592,13103,15335,19679,18886,9866,3012,128377,16817,7911,8848,8482,9230,9675,6745,2707,942,71347,1705,2268,2875,2889,3541,4929,5278,3347,1397,28230,113,477,690,830,1319,2085,2515,1775,845,10654,6,36,143,241,646,1330,1691,1309,760,6164,1818,2780,3710,3952,5503,8346,9493,6427,3003,45044,2288,1318,1330,1407,1552,1718,1585,1030,691,12919,20917,12008,13888,13842,16286,19735,17819,10169,4639,129306,33677,17294,18418,17186,18508,19645,13959,5442,1601,145723,3973,4255,5012,5182,6679,9811,10785,6350,2298,54343,272,712,1067,1304,2218,3914,5157,3537,1394,19573,7,59,206,373,990,2322,3465,2664,1255,11352,4255,5028,6287,6859,9886,16050,19408,12553,4940,85269,4732,2842,2782,2898,3227,3726,3335,2032,1110,26690
RA23,185,82,95,103,99,159,128,57,17,925,34,26,23,33,34,80,87,45,20,382,4,4,7,8,8,32,50,23,7,139,0,0,0,0,8,26,28,12,6,84,38,23,28,41,52,143,159,87,27,606,22,13,13,24,15,45,39,14,12,193,246,119,131,172,167,339,324,159,63,1728,189,50,78,98,90,152,96,43,19,821,21,24,27,36,34,86,68,48,20,367,0,0,13,9,14,24,33,24,16,137,0,0,0,4,5,25,18,19,7,85,26,26,39,49,50,131,123,96,39,587,26,11,4,19,22,30,19,15,14,170,238,85,125,170,166,320,239,158,71,1579,374,132,175,200,192,308,223,101,39,1749,53,48,55,68,72,164,155,98,39,750,7,3,17,17,20,62,87,46,17,275,0,0,0,5,19,49,48,37,11,168,62,49,68,97,108,272,286,183,73,1191,52,27,17,47,34,72,54,35,24,364
RA25,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,0,0,0,25,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29
RA29,273,237,381,275,225,184,109,24,0,1707,56,96,127,147,137,98,73,24,0,755,7,14,28,48,48,44,53,18,0,260,0,7,10,12,39,36,25,3,4,138,58,118,167,203,228,174,153,43,4,1152,263,221,392,530,468,284,133,19,8,2314,594,575,939,1008,912,644,392,90,15,5170,258,206,345,176,105,153,66,13,3,1322,44,121,161,128,88,80,47,16,9,696,6,39,40,48,68,34,20,12,3,264,0,8,21,27,38,46,23,9,0,164,48,165,223,204,190,155,91,40,10,1124,235,183,312,354,183,122,67,9,6,1475,549,556,878,730,479,429,224,58,19,3915,535,449,725,446,326,333,176,41,10,3028,100,209,293,272,223,178,121,42,7,1453,10,59,71,99,114,75,74,23,4,520,0,10,25,37,80,78,52,15,5,303,109,278,386,408,411,335,242,85,14,2271,501,403,707,880,652,410,198,23,9,3785
