RA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
RA20,77547,155148,117997,820294,9169,1180154,1243,2462,1388,27998,445,33537,383491,5840,11328,9726,2027,412418,29080,4500,2440,9482,314,45813,32140,11332,7118,24707,326,75624,290639,128506,95433,764229,10098,1288903,73800,1835,7232,1545,274,84683,16233,2534,1890,7961,143,28758,44942,14032,9877,75197,951,144998,100755,16471,8662,45392,1043,172325,12239,2529,1472,4735,145,21116,253632,4707,3351,2570,526,264783,69132,32548,22409,294453,2276,420813,151276,36997,17556,120338,1900,328065,18482,225,792,241,51,19790,30640,6979,3263,6527,241,47655,31963,4438,2480,8437,274,47595,33970,8380,4995,22754,403,70503,16441,2410,1775,1195,159,21980,18472,6356,4743,2634,154,32360,31530,5537,4242,12322,272,53896,18282,1674,1771,3046,149,24925,18969,1599,729,309,220,21826,68962,31611,24120,234111,1826,360630,21570,2292,1405,2627,230,28114,16596,2788,2241,1054,80,22769,19060,1628,1381,3313,131,25519,41395,2888,2020,2242,164,48703,110272,1937,3727,1805,536,118274,9011,2679,1920,10008,75,23692,767507,52289,43389,61404,5296,929881,41628,2615,2064,14431,209420,270165,2457160,326420,239408,1753404,242031,5018415
RA21,6537,38732,27581,406836,5990,485670,122,802,470,19797,365,21561,7778,414,655,2951,97,11899,2392,604,262,1327,46,4626,11396,4361,2723,10471,212,29162,59003,36038,26475,376482,6391,504387,6456,200,1333,290,86,8361,1767,435,350,2753,40,5343,10188,3929,2760,35829,534,53238,3264,883,374,2691,74,7284,1651,439,208,812,37,3143,9034,525,244,446,32,10279,12875,8798,5685,133077,1568,161995,13586,4914,1976,25338,424,46238,469,23,54,28,4,579,487,202,81,487,8,1263,882,186,84,540,17,1705,4120,1328,681,3832,77,10041,1763,516,439,475,29,3229,2847,1609,1155,964,42,6615,3521,933,504,2524,71,7555,1101,224,168,643,19,2153,683,146,65,51,3,944,15787,9683,6984,110621,1235,144306,1110,198,110,369,8,1797,1837,411,289,241,27,2798,1393,222,173,1057,20,2869,1176,274,169,226,9,1862,1540,71,179,62,15,1868,2252,725,492,3576,48,7089,41588,6912,5358,14636,686,69173,2327,606,413,10151,69832,83326,187865,72129,50628,820207,84126,1214965
RA22,1309,6104,4662,88066,1491,101632,40,254,110,6598,143,7144,2288,49,114,451,28,2925,395,83,30,260,10,773,1898,600,399,1381,35,4314,10402,5873,4420,81155,1609,103452,1686,20,265,54,33,2069,327,50,61,530,6,985,1927,631,505,10836,152,14043,651,197,58,567,13,1479,291,79,23,121,6,523,1418,66,38,62,6,1592,1855,1209,838,23752,344,27995,3228,997,371,5426,98,10118,113,4,16,7,0,137,45,19,12,74,0,154,51,15,8,30,0,108,404,115,62,345,7,936,351,91,54,105,11,610,551,238,206,167,14,1170,471,132,67,373,8,1051,182,31,24,66,0,303,211,34,22,13,12,290,2529,1558,1200,23000,292,28586,122,22,6,36,4,191,371,57,32,32,0,495,225,38,21,150,0,440,114,31,10,36,0,190,875,13,33,12,18,946,332,144,72,632,10,1192,9693,1205,836,2454,189,14385,630,89,102,2337,18077,21244,37392,11747,8567,178258,21712,257682
RA23,16,60,67,1242,13,1392,0,0,0,49,0,49,9,0,0,9,0,20,3,0,0,0,0,7,10,7,7,9,0,38,118,70,58,1135,15,1396,15,0,5,0,0,21,9,4,0,0,0,14,26,9,11,331,4,380,4,3,0,3,0,16,3,0,0,0,0,3,13,0,0,0,0,16,21,10,15,297,0,352,12,9,0,19,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,7,0,0,6,0,8,4,0,4,9,0,22,0,0,0,0,0,3,0,0,0,0,0,0,36,19,15,294,4,360,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,16,59,10,11,29,6,111,0,0,0,20,246,278,301,120,117,2480,281,3305
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,3,0,0,7,28,38
RA29,61,230,123,1415,47,1874,7,9,6,208,5,242,179,7,4,13,0,206,18,0,0,0,0,24,53,31,5,42,0,126,370,173,124,1249,35,1952,54,0,8,0,0,55,25,5,0,14,0,47,74,23,13,136,4,250,34,18,4,18,0,77,11,0,0,6,0,21,95,0,4,3,0,99,106,48,23,445,7,626,72,22,20,106,3,222,4,0,0,0,0,7,27,6,0,8,0,38,10,0,0,8,0,19,12,8,6,27,0,53,44,0,9,5,0,58,43,12,5,0,3,65,23,6,3,19,0,52,18,0,0,0,0,18,23,0,0,0,0,23,103,60,48,350,7,572,22,0,0,0,0,23,14,0,0,0,0,21,20,3,0,3,0,29,19,5,0,0,0,26,48,0,3,0,0,48,14,5,5,15,4,37,595,69,42,93,19,810,32,9,4,45,3572,3671,1800,426,258,2909,3693,9089
