RA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA20,339079,225317,111521,42515,2660382
RA21,104054,85591,40002,13360,601221
RA22,22500,18562,8530,2871,120415
RA23,334,240,110,47,1405
RA25,15,4,0,0,40
RA29,779,411,85,18,5907
