RA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
RA20,2343,32788,372,33161,..,10433,2246,12679,88,12765,..,26837,6436,33275,231,33507,..,80356,34839,115194,855,116046,..,196411,41844,238256,4286,242542,..,1419718,266092,1685810,16661,1702471,..,23758,5464,29218,211225,240447,3075499,1443472,271558,1715030,227885,5018415
RA21,42,756,9,768,..,1160,257,1417,14,1428,..,682,158,848,10,853,..,1190,470,1657,32,1690,..,12500,2850,15348,366,15705,..,60111,9806,69913,1038,70953,..,3089,363,3459,74034,77495,1066514,63200,10171,73372,75075,1214965
RA22,25,179,4,184,..,284,220,505,12,518,..,313,156,473,4,476,..,508,490,996,21,1012,..,2678,829,3507,78,3584,..,13189,3826,17013,267,17284,..,738,122,861,19177,20038,220363,13925,3948,17882,19444,257682
RA23,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,6,0,3,0,3,..,20,3,23,0,23,..,84,14,95,0,100,..,6,0,6,266,274,2932,89,14,101,267,3305
RA25,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,27,27,13,5,0,5,27,38
RA29,0,6,0,6,..,7,0,7,0,7,..,25,13,32,0,35,..,32,14,42,0,42,..,187,40,227,6,229,..,794,171,962,15,977,..,37,7,45,3575,3624,4485,834,179,1012,3592,9089
