RA_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
RA20,1810,1710,3514,145444,137523,282970,5471,5264,10738,152724,144500,297219,1694,1637,3336,152808,144799,297607,6256,6016,12270,160761,152455,313214,1660,1634,3293,145425,137763,283183,5842,5534,11376,152926,144927,297846,1600,1530,3126,136444,129952,266396,5283,4925,10213,143327,136403,279732,1774,1764,3530,163660,156277,319941,7648,6700,14345,173076,164738,337815,1733,1567,3295,187492,184815,372307,10049,9139,19188,199277,195513,394797,1367,1314,2682,191963,202939,394902,9122,8987,18106,202449,213242,415691,1090,1013,2104,189533,195915,385451,8375,8122,16495,198998,205052,404047,914,929,1839,163937,166195,330134,7064,6339,13404,171914,173465,345377,894,917,1812,151934,159745,311685,6338,5813,12156,159167,166473,325641,897,839,1741,144966,155104,300070,5793,5256,11051,151655,161202,312860,616,729,1336,131488,139235,270722,5216,4628,9837,137321,144583,281900,526,511,1034,117602,128326,245927,4340,4151,8488,122469,132980,255449,890,1013,1907,327312,396116,723430,14206,17280,31484,342404,414410,756818,17459,17096,34553,2350010,2434699,4784711,101007,98151,199154,2468475,2549938,5018415
RA21,1322,1294,2619,30118,29133,59261,1761,1645,3400,33197,32076,65279,1442,1339,2779,34544,32255,66801,2325,2151,4475,38313,35742,74057,1424,1324,2749,36272,33811,70083,2459,2253,4707,40153,37390,77540,1046,1033,2083,32679,30456,63132,2091,2021,4112,35816,33511,69327,898,905,1799,28248,26678,54931,1820,1607,3428,30968,29195,60154,849,839,1687,30095,30407,60503,1946,1956,3898,32891,33199,66092,698,735,1432,31102,33036,64134,1908,1875,3785,33713,35644,69357,591,598,1181,31388,34297,65687,2015,2162,4178,33996,37056,71052,482,542,1024,30995,33173,64174,2034,2001,4032,33510,35719,69228,517,546,1067,33730,36123,69850,2212,2126,4341,36456,38802,75259,537,593,1132,35751,38473,74230,2338,2074,4414,38625,41144,79775,492,508,1000,36739,40221,76956,2282,2170,4451,39512,42900,82410,398,436,833,38545,41719,80268,2317,2204,4521,41260,44362,85627,703,787,1490,120263,132051,252314,7794,8214,16005,128764,141047,269810,11397,11486,22884,550482,571839,1122326,35302,34450,69752,597176,617778,1214965
RA22,410,431,841,5646,5552,11200,418,410,830,6476,6392,12865,463,456,924,6277,5973,12252,626,518,1144,7368,6956,14321,476,445,924,6793,6541,13332,629,591,1224,7903,7569,15476,395,383,778,6129,5601,11732,544,508,1052,7067,6494,13564,279,279,559,5310,4799,10103,505,432,940,6091,5514,11605,208,243,455,6047,6109,12164,517,471,986,6779,6823,13601,220,252,471,6085,6306,12387,509,507,1023,6812,7066,13876,186,220,409,5942,6287,12230,559,537,1092,6683,7044,13728,163,189,354,5721,6086,11810,526,522,1049,6419,6796,13216,165,193,352,6397,6908,13309,548,551,1100,7106,7651,14754,162,227,392,7434,7848,15286,627,556,1182,8230,8632,16861,174,193,369,8390,8673,17068,717,583,1307,9289,9450,18737,159,175,341,9499,9464,18958,733,645,1382,10393,10284,20676,255,280,533,29207,30051,59260,2303,2297,4592,31764,32628,64394,3731,3964,7694,114879,116208,231084,9764,9134,18904,128377,129306,257682
RA23,0,6,4,53,62,119,0,0,0,54,66,123,5,0,4,76,81,155,9,11,19,87,92,177,0,0,3,97,72,165,11,7,22,108,80,184,0,0,0,64,42,109,4,7,11,72,54,122,0,0,3,45,34,83,4,4,7,53,37,89,0,0,0,60,53,114,4,0,8,65,51,118,0,0,4,63,69,132,3,0,3,69,72,138,3,0,3,74,81,154,6,9,15,84,85,170,0,0,3,75,75,148,15,10,21,87,86,175,0,0,0,69,61,125,9,7,14,80,62,142,4,4,8,82,87,167,4,11,16,90,105,194,5,0,7,144,128,272,14,7,17,156,137,299,0,6,6,163,158,327,21,11,31,186,180,363,5,3,8,496,436,933,36,32,78,547,473,1015,26,25,54,1562,1437,3001,136,117,250,1728,1579,3305
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,3,0,3,7,0,7,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,3,3,3,5,5,6,9,0,0,0,4,0,4,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,10,0,13,24,3,27,36,6,38
RA29,19,25,42,178,153,331,26,15,43,222,189,414,6,14,25,174,144,319,26,22,54,208,181,393,7,14,24,125,139,261,24,20,47,161,175,334,18,14,28,194,188,378,23,31,52,234,229,459,27,20,49,282,278,555,35,28,65,345,321,671,23,22,40,379,381,756,74,52,126,474,450,928,18,21,43,358,351,713,81,51,134,463,425,892,23,22,45,382,328,706,118,59,174,515,416,929,23,20,41,339,253,597,119,45,166,488,321,806,22,20,36,354,183,538,114,40,151,483,238,723,23,5,33,275,183,453,129,47,184,427,242,668,12,9,24,243,179,419,87,26,115,353,212,563,9,4,13,212,189,397,76,31,103,288,217,511,11,9,18,387,238,626,102,54,154,496,300,797,246,214,462,3882,3169,7052,1042,537,1580,5170,3915,9089
