RA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
RA20,154779,675467,666470,197492,106064,1800272,23567,1823843
RA21,19801,148573,177005,67295,43553,456221,7790,464018
RA22,4713,31807,36970,15238,10019,98748,2219,100973
RA23,57,403,489,253,173,1374,28,1402
RA25,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0
