RA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
RA20,17746,22034,12907,14235,17022,7161,4987,5448,1444,102991,26750,26468,23255,40141,30127,14007,9694,10833,2698,183987,38285,17929,134375,50431,39163,21592,26624,31726,6512,366639,2029,1330,2288,3236,4398,2801,1816,2779,273,20952,4730,3501,3689,6559,7479,3960,2706,3430,656,36696,2138,4163,1702,1626,1922,1098,1014,1201,444,15315,3669,5427,3628,4332,4432,2764,2560,3506,6355,36674,275495,631214,226989,195410,218567,99284,72809,87986,32598,1840348
RA21,4733,4864,2167,3786,3259,1114,537,1097,303,21863,6333,6290,3994,11198,6421,2383,1057,2267,513,40462,17993,5703,50083,19900,13797,7870,11142,14804,2319,143609,822,363,754,1112,1422,1109,495,1351,75,7495,1237,598,783,1683,1505,841,624,978,125,8373,350,572,258,294,287,116,115,255,64,2312,1467,1154,1043,1434,1017,947,791,1557,1188,10600,55381,97581,63869,50857,38471,17865,15978,25973,5875,371857
RA22,1311,914,318,722,550,191,119,262,70,4453,1473,1238,606,2088,1070,382,195,546,127,7730,5376,1183,8848,3945,2644,1680,2408,3272,517,29881,264,83,149,277,316,230,124,341,18,1803,350,123,135,346,268,180,123,291,37,1862,107,80,31,60,57,23,14,85,12,476,529,256,234,298,200,209,222,508,316,2779,13581,15650,10970,9620,6503,3343,3391,6151,1299,70503
RA23,14,9,0,7,10,4,0,8,0,47,14,12,4,28,10,0,0,9,5,75,116,5,49,40,26,10,35,44,8,338,8,0,0,4,5,0,0,3,0,25,5,0,0,0,3,0,0,4,0,18,0,0,0,0,0,0,0,0,0,3,8,4,0,3,0,0,3,6,3,29,210,144,58,99,68,26,40,81,15,745
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
RA29,7,6,8,8,6,3,3,3,0,46,13,16,15,20,6,0,13,19,3,110,20,27,132,53,19,21,37,74,5,393,0,0,6,0,0,0,0,4,0,22,3,0,3,6,0,0,0,7,0,22,0,5,0,0,3,0,0,0,0,10,5,0,9,0,4,3,0,13,13,44,133,313,192,156,89,64,81,181,28,1239
