RA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
RA20,57540,52642,110183,143685,133639,277323,39362,38446,77812,23682,24620,48300,207049,196976,404029,92861,85579,178442,34774,36132,70911,34559,35448,70004,162429,157374,319805,12412,10897,23302,12383,16658,29044,15302,7006,22313,20429,28887,49316,249,179,430,60773,63632,124403,69508,84093,153602,26891,33133,60024,8243,10035,18279,22011,36451,58464,307,338,638,126961,164047,291010,188048,227973,416022,11791,11319,23105,14804,21749,36551,284,275,565,26885,33343,60225,120402,114856,235266,762353,783169,1545531
RA21,12824,11714,24543,33266,30433,63698,12582,12473,25061,4216,4045,8260,50113,46999,97113,21102,20237,41345,11253,11608,22861,6465,6522,12986,38851,38399,77251,1680,2015,3690,1223,2438,3664,4878,2782,7657,4020,6768,10787,106,74,180,11903,14075,25981,4419,7694,12116,1780,3812,5588,761,1426,2194,3145,7638,10783,43,62,109,10154,20633,30784,22085,34754,56839,1308,1183,2491,1999,3408,5409,77,76,150,3390,4661,8049,41776,39015,80793,169040,175546,344590
RA22,2367,2286,4652,6752,6315,13064,1939,1969,3906,802,803,1600,9495,9091,18585,5236,5128,10369,1321,1457,2776,799,890,1687,7359,7478,14831,295,384,678,174,407,584,837,505,1345,673,1465,2148,18,20,31,1994,2789,4783,399,797,1200,199,529,731,88,221,306,405,1224,1630,6,17,24,1102,2787,3886,3103,5574,8673,268,249,512,383,733,1109,34,31,60,681,1002,1689,10799,10199,20998,33801,35625,69430
RA23,29,20,50,101,83,184,14,19,35,0,0,0,118,105,225,88,68,158,0,0,0,0,0,5,92,72,162,0,5,5,0,7,7,0,3,7,5,15,22,0,0,0,12,31,42,3,3,12,0,4,7,0,0,3,0,18,18,0,0,0,7,27,36,14,60,75,3,3,9,4,6,9,0,0,0,16,6,19,145,126,276,414,393,805
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,29,25,3,29
RA29,45,31,78,137,129,266,10,10,20,9,11,18,155,154,303,63,78,137,6,4,17,3,14,14,73,97,172,12,26,36,6,29,37,13,4,20,24,27,52,4,0,3,54,92,146,39,50,90,23,41,69,5,20,21,22,42,64,0,0,0,91,152,244,148,246,391,13,11,25,17,25,39,0,0,0,27,40,71,2220,1366,3584,2670,1932,4600
