RA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
RA20,90847,11753,103485,858891,212292,18737,1089919,2799556,220657,4110133
RA21,26305,4645,31168,187130,68310,7133,262571,663574,71941,998085
RA22,6433,1163,7657,34237,13285,1407,48929,147288,18799,215019
RA23,100,30,133,363,141,11,518,2045,254,2817
RA25,0,0,0,0,0,0,0,12,27,38
RA29,17,17,29,695,281,39,1013,3668,3262,7946
