RA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
RA20,..,456303,456303,519688,51075,570760,291236,17073,308312,304665,7485,312152,116257,2547,118809,56312,1201,57512,1288162,535680,1823843
RA21,..,131406,131406,159830,9678,169503,61276,1762,63036,60120,556,60672,27351,172,27525,11738,136,11877,320312,143702,464018
RA22,..,31326,31326,36367,2232,38603,12100,348,12453,10652,141,10796,5303,52,5357,2370,64,2434,66804,34172,100973
RA23,..,511,511,548,35,583,129,0,129,90,0,90,67,0,67,24,0,24,858,543,1402
RA25,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
