RA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
RA20,52752,12142,103485,839619,1112381,463402,318517,1148698,227518,4110133
RA21,15104,4758,31168,185620,276165,136979,101687,224208,73416,998085
RA22,3693,1195,7657,37231,54782,28541,23283,51890,19284,215019
RA23,62,27,133,438,676,405,401,620,276,2817
RA25,0,0,0,0,3,0,0,8,27,38
RA29,12,17,29,1148,1118,391,326,1694,3270,7946
