RA_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
RA20,35,521,133664,134217,2215,12210,142797,157225,97162,84262,187729,369151,217423,46835,82139,346396,187523,30570,73168,291259,160109,19177,63277,242565,125935,8690,42669,177296,71614,2802,23720,98136,18930,421,11780,31130,880946,205498,760941,1847378,117,980,125548,126640,5675,17567,126091,149338,137877,88497,153260,379635,225330,43319,89306,357950,187152,28374,95678,311207,153042,16097,92127,261263,115117,6703,81109,202928,52752,1630,62848,117233,8518,204,35390,44113,885576,203374,861352,1950309,154,1505,259211,260861,7893,29772,268894,306561,235043,172757,340986,748783,442754,90154,171437,704347,374673,58951,168845,602469,313151,35276,155402,503827,241054,15398,123777,380226,124361,4434,86569,215367,27447,627,47165,75246,1766522,408872,1622293,3797685
RA21,7,251,32306,32566,461,3984,22741,27181,16142,17443,25415,59003,34504,10803,15263,60576,39295,9890,18567,67751,44418,7709,20468,72591,45029,4348,17516,66891,24221,1322,9397,34939,5263,157,3718,9136,209339,55903,165390,430633,18,514,29737,30267,876,5733,19079,25688,21589,18431,22830,62852,38442,11125,17656,67220,41846,9944,22275,74062,46482,7132,25637,79247,41840,3347,25072,70261,18157,819,18739,37720,2479,89,9787,12356,211736,57126,190800,459665,23,761,62043,62824,1334,9716,41819,52875,37736,35877,48243,121857,72945,21924,32919,127795,81143,19833,40840,141811,90897,14841,46103,151839,86864,7697,42592,137150,42379,2139,28139,72653,7743,247,13505,21488,421073,113034,356191,890302
RA22,5,81,6136,6223,102,833,4244,5180,3220,3238,5354,11810,6088,2064,3335,11496,7409,1871,4243,13525,10154,1761,5366,17287,10416,1071,4921,16410,5779,307,2394,8476,1280,46,981,2301,44449,11274,36982,92709,4,142,5486,5632,210,1259,3220,4691,4291,3392,4663,12340,6915,2036,3488,12444,8331,1998,4388,14718,10655,1641,5323,17623,9635,833,5165,15624,4287,224,4341,8850,603,24,2454,3081,44916,11546,38527,94999,15,219,11626,11857,313,2095,7463,9874,7506,6628,10018,24151,13000,4105,6828,23937,15741,3865,8632,28241,20811,3407,10690,34911,20046,1902,10084,32030,10062,531,6733,17326,1877,69,3433,5380,89372,22821,75514,187706
RA23,0,0,63,63,0,6,30,43,39,23,52,113,75,21,49,151,74,19,55,152,152,34,104,290,177,7,92,278,88,4,46,138,20,0,24,50,631,114,513,1267,0,0,43,43,0,7,15,28,50,28,32,108,91,26,36,146,90,21,35,145,178,25,78,278,143,12,55,216,69,4,61,136,14,0,28,46,634,118,393,1150,0,0,104,104,5,13,49,69,84,47,89,222,167,41,82,297,164,41,95,295,332,55,184,566,320,23,145,490,163,5,106,268,38,0,56,96,1269,236,907,2408
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
