RA_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
RA20,56686,27448,28968,56421,27450,29276,56719,27823,28971,56793,26943,28339,55281,137321,144583,281900,26426,28107,54537,25050,27382,52434,24631,26461,51091,23518,25728,49242,22843,25312,48153,122469,132980,255449,22631,24670,47304,21486,23904,45395,20185,22954,43140,19772,22455,42226,19110,21745,40853,103192,115726,218920,18620,21577,40195,18143,20810,38951,17385,20094,37483,17506,20223,37728,18301,20879,39182,89946,103585,193531,15229,17112,32342,13896,16067,29965,13122,15323,28448,11465,13636,25099,11318,13302,24625,65032,75444,140476,44533,55874,100407,25476,36831,62304,11383,20049,31424,2621,6069,8684,228,837,1067,2468475,2549938,5018415
RA21,15448,7697,8148,15837,7885,8517,16402,8190,9018,17206,8381,9137,17519,39512,42900,82410,8409,9073,17480,8197,8853,17048,8449,9013,17466,8210,8883,17093,7994,8545,16540,41260,44362,85627,8177,8540,16721,7996,8497,16500,8002,8363,16364,7951,8407,16360,7829,7911,15740,39967,41718,81690,7659,7692,15351,7378,7784,15160,7106,7247,14352,7025,7043,14068,7158,7441,14594,36324,37213,73535,5900,5912,11811,5370,5517,10889,4914,5231,10149,4294,4624,8917,4215,4518,8737,24694,25806,50499,15555,17369,32924,8014,10911,18927,3417,6030,9447,737,1779,2513,56,229,285,597176,617778,1214965
RA22,3519,1709,1753,3462,1863,1900,3760,1921,1960,3880,2077,2044,4120,9289,9450,18737,2077,2122,4198,2067,2009,4076,2087,2051,4143,2101,2045,4148,2065,2052,4112,10393,10284,20676,1948,1926,3873,1973,1988,3963,1933,1846,3774,2024,1909,3929,1902,1776,3678,9771,9442,19220,1842,1740,3583,1910,1771,3687,1768,1643,3413,1759,1613,3373,1833,1606,3443,9113,8380,17492,1393,1310,2703,1328,1278,2610,1137,1160,2298,1063,1032,2096,1090,1120,2214,6012,5900,11914,3847,4264,8116,1964,2725,4688,853,1414,2270,182,439,622,14,63,75,128377,129306,257682
RA23,54,25,25,42,34,31,59,32,38,67,40,36,74,156,137,299,41,28,74,35,28,69,39,42,80,34,42,73,38,32,65,186,180,363,46,26,72,24,34,61,40,28,66,40,29,63,35,23,59,184,137,323,30,20,54,28,15,47,9,14,23,23,22,50,45,27,73,143,102,245,27,15,42,23,22,52,12,22,32,24,20,38,10,17,29,93,99,191,66,59,123,38,39,76,15,32,41,4,7,15,0,0,0,1728,1579,3305
RA25,0,5,6,9,0,0,0,0,0,0,0,0,0,5,6,9,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,6,0,6,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,38
RA29,145,56,43,92,56,42,98,59,46,104,82,41,120,353,212,563,75,49,126,51,47,100,61,46,105,56,39,98,48,41,87,288,217,511,71,33,102,52,35,80,46,36,84,64,21,88,37,20,58,271,141,418,35,16,51,17,19,42,25,9,37,16,13,26,25,14,34,116,74,194,31,14,44,15,15,24,8,8,20,12,8,18,12,0,15,70,42,120,20,14,34,7,14,26,5,0,3,0,3,3,0,0,0,5170,3915,9089
