RA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
RA20,105663,110281,55901,33325,42178,28041,16765,392158,22114,21054,12226,8031,10566,5646,2964,82601,23554,21761,11362,7024,8645,4852,2486,79687,103799,100013,60154,40539,53380,28040,13566,399492,1079,1126,550,332,213,84,51,3427,256201,254225,140197,89249,114985,66664,35832,957359,7387,12783,8979,6949,9977,7167,4666,57913,3465,4949,3536,2637,3605,1786,1016,21000,1899,3469,2409,1821,2574,1338,736,14249,13144,20965,14847,11244,15228,6967,3546,85936,1092,1266,680,468,351,159,75,4092,26985,43433,30450,23118,31741,17414,10042,183181,283190,297659,170648,112373,146722,84069,45876,1140536
RA21,4396,4686,2513,1536,2067,805,311,16312,2759,3200,1979,1329,1608,532,212,11624,3111,3229,1810,1179,1324,406,149,11212,41286,43388,26526,17823,21541,6399,2208,159167,243,279,158,112,70,15,4,891,51798,54787,32992,21977,26615,8154,2889,199202,284,501,404,287,420,190,82,2167,616,1013,748,523,639,191,83,3819,277,512,432,335,456,110,60,2188,7647,11546,7969,5877,6712,1670,597,42024,358,424,245,176,116,28,7,1367,9193,14000,9801,7208,8336,2193,834,51564,60985,68785,42795,29184,34951,10345,3718,250771
RA22,878,881,472,313,368,107,34,3066,354,369,250,146,200,47,7,1370,583,547,310,182,188,35,16,1868,8033,8283,5266,3544,4175,895,224,30422,48,64,37,31,26,4,0,207,9899,10144,6335,4218,4960,1083,287,36931,77,93,84,47,67,29,7,412,108,189,104,87,77,18,3,588,37,91,62,61,58,19,3,331,1647,2395,1591,1228,1319,243,60,8484,87,78,69,43,25,0,0,299,1957,2844,1910,1461,1549,304,77,10104,11854,12985,8254,5678,6508,1389,362,47035
RA23,3,4,5,0,0,0,0,12,0,0,0,0,4,0,0,5,12,10,3,0,0,0,0,26,82,118,83,45,43,7,0,376,0,0,0,0,0,0,0,0,97,129,86,49,49,10,0,416,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,3,14,24,17,10,14,4,0,80,0,0,0,0,0,0,0,3,14,28,18,13,14,4,0,93,108,158,105,58,65,13,0,509
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
