RA_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
RA20,72421,18936,15394,10812,11133,15721,16540,7249,2548,170755,26468,7745,2769,1985,2525,3927,5291,2624,922,54246,14495,15455,7992,5674,6212,8820,11192,6941,2469,79247,5234,13713,12678,8679,9784,13494,27250,24126,8153,123108,4518,12897,12047,8246,9278,11836,21439,16277,7784,104316,5487,17394,18054,10920,10372,12416,17762,11525,3638,107561,3154,18797,24911,14963,12858,13411,14318,8834,2604,113847,2150,21082,43770,27464,22792,21256,14062,6082,1639,160301,1082,17337,57376,39551,31641,27375,14407,5062,1159,194995,315,9169,47646,35084,26786,21341,9670,2968,662,153636,151,4569,41361,35943,27218,20112,7637,2403,622,140020,64,1984,28047,30479,22979,15967,5263,1486,329,106608,67,1648,44772,68247,49330,30930,8531,2088,486,206105,36,288,7984,19008,15012,8995,2403,635,158,54514,67,464,8664,32120,35483,20420,6193,1799,509,105714,7616,11612,28264,21748,17414,13772,11178,9472,6026,127098,143327,173076,401730,370910,310828,259787,193133,109567,39708,2002066,61473,16055,33678,34450,26334,35091,24243,9662,4386,245376,31673,8649,6890,8502,7340,9094,8202,3592,1293,85236,18220,17827,13775,13992,12329,14857,15466,8822,3122,118419
RA21,13341,1851,1822,1649,2138,3957,3934,1517,465,30675,7482,788,418,426,622,1213,1881,787,223,13847,3655,2130,1670,1378,1722,2944,4244,2301,633,20672,1289,1927,2356,2001,2797,4882,11666,8942,2399,38265,1814,1892,2246,2009,3013,4859,10548,7015,2650,36047,2374,3045,2641,2325,2999,4704,8370,4715,1248,32419,1319,4137,4076,3025,3547,4953,6734,3569,823,32186,856,5069,8128,5766,6314,7470,5761,2306,525,42205,435,3843,10766,8323,8825,9507,5707,1725,284,49428,121,1875,8086,7192,7284,6905,3333,905,164,35865,60,949,6810,6998,6870,6057,2479,662,182,31067,21,422,4312,5559,5653,4474,1527,354,70,22400,22,360,5643,9847,10331,7552,2063,446,101,36369,4,59,900,2173,2449,1775,540,144,38,8089,25,81,969,3135,4268,3352,1328,450,130,13745,3002,2527,5755,5691,6235,6168,6160,4407,2288,42231,35816,30968,66600,67502,75083,80773,76286,40249,12227,485507,11228,1449,3627,3889,4165,8420,5307,1705,673,40458,9095,903,1374,1579,1520,2716,2591,946,305,21010,4453,2549,2747,2823,2939,4970,5637,2573,735,29414
RA22,2545,373,430,375,496,1041,910,342,140,6647,1276,129,98,88,143,336,419,188,68,2745,680,353,397,340,456,844,1047,528,152,4808,242,334,465,507,718,1352,3263,2270,591,9738,411,368,543,503,792,1410,2975,1788,633,9410,505,547,663,580,790,1298,1979,1107,285,7746,278,873,1028,848,950,1433,1505,843,207,7963,169,1059,1892,1416,1579,1938,1369,493,125,10040,106,785,2377,1878,1942,2353,1244,357,63,11100,26,369,1505,1383,1489,1582,692,208,42,7295,8,171,1182,1177,1244,1328,485,161,47,5812,0,68,662,826,892,876,293,93,18,3729,5,45,792,1294,1457,1301,465,116,28,5505,0,6,109,219,329,267,124,49,7,1105,12,20,182,361,560,533,266,98,43,2081,804,607,1264,1294,1496,1792,1867,1221,560,10914,7067,6091,13592,13103,15335,19679,18886,9866,3012,106628,2176,266,770,678,771,1670,1084,399,191,8018,1689,153,274,279,310,601,499,212,68,4089,754,402,629,647,669,1151,1233,570,215,6277
RA23,23,3,0,5,9,15,14,3,0,82,15,0,0,0,3,3,4,3,4,40,8,3,3,9,9,35,18,14,7,102,0,3,9,15,11,34,54,31,9,169,0,0,11,4,12,33,57,28,10,154,5,0,5,7,4,22,36,8,3,103,3,4,5,3,12,22,24,13,4,94,0,7,25,15,27,29,18,10,6,139,0,12,21,27,17,23,16,9,0,133,0,7,12,18,6,22,10,4,0,82,0,0,6,8,17,25,15,6,0,81,0,0,9,9,12,10,6,0,0,53,0,0,3,13,9,21,12,3,0,57,0,0,0,3,0,4,0,0,0,14,0,0,0,5,0,5,3,3,0,24,10,4,7,23,18,36,37,18,19,165,72,53,131,172,167,339,324,159,63,1477,20,6,4,8,12,30,11,3,0,92,3,3,3,0,4,8,0,6,0,37,11,3,11,8,4,19,18,17,0,94
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,0,0,0,24,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,56,23,53,63,54,39,24,0,0,310,11,6,12,13,16,13,10,5,0,77,36,49,56,60,58,23,16,9,0,304,9,27,83,87,77,67,56,15,0,422,4,21,32,44,59,50,69,23,4,308,6,18,34,35,34,21,20,10,0,184,0,21,42,26,28,20,16,4,0,147,5,24,64,28,25,23,12,5,0,190,9,23,72,39,27,22,12,0,0,206,0,11,31,23,22,24,14,0,0,117,0,4,42,28,21,19,3,0,0,114,0,5,22,12,11,14,3,0,0,67,0,0,35,25,16,8,5,0,0,88,0,0,6,9,5,7,3,0,0,31,0,0,11,29,19,4,0,0,0,60,89,120,360,487,440,283,133,26,8,1949,234,345,939,1008,912,644,392,90,15,4576,53,25,53,42,33,44,16,7,0,266,16,12,9,12,13,13,5,0,0,82,41,41,43,36,38,31,7,0,0,239
