RA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
RA20,267,3277,98,57296,415,90,177,263,241,414,128,291,181,1164,11616,14979,358,101,219,240,100,173,42,169,126,2623,2737,6893,115400,23080,3047,64921,9108,45084,4639,32638,5646,148281,16627,468475
RA21,97,851,26,9175,125,33,31,122,47,156,29,130,61,560,4288,5589,153,59,102,116,34,76,24,73,56,1282,1013,3001,23329,7593,1317,19962,2551,11573,1773,11360,2330,55381,6291,143444
RA22,17,153,3,1531,30,16,13,33,8,38,11,37,16,111,1083,1388,52,22,30,50,10,21,5,20,16,342,339,913,5443,1812,403,4607,518,2451,391,2609,515,12649,1700,33111
RA23,0,10,0,22,0,0,0,0,0,0,0,0,0,4,25,25,4,0,0,0,0,0,0,0,0,7,3,19,80,24,5,87,11,42,4,43,15,181,28,515
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
