RA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
RA20,1468,2890,10422,19303,5083,40020,3237,22667,1704,106781,10318,36902,35164,41531,27207,40348,13099,25902,4938,235412,64912,208995,85479,66311,72880,40281,34167,43195,13362,629582,102666,189306,67124,51622,73034,30377,31324,32395,11893,589735,92280,126427,54611,46058,70843,28574,30381,33683,9043,491899,53383,77828,37876,32184,54157,21086,26402,29133,5582,337637,13412,24285,8914,7002,14736,5942,6371,8299,1830,90795,2089,3203,863,501,1422,796,425,1112,589,10993,172,203,48,22,73,60,18,64,184,833,340696,670043,300501,264536,319424,207485,145417,196444,49120,2493667
RA21,672,372,5179,5663,1115,11511,827,8392,713,34443,2360,4142,10016,8570,3719,5982,2119,6712,785,44387,10093,23554,20304,14010,10055,6786,5681,11689,1804,103969,17028,26236,16848,12308,12669,5912,6047,10220,1781,109049,20526,23692,15575,14102,15629,7411,8203,11680,2051,118875,17348,18763,12565,11971,14354,6782,8832,11778,1751,104146,8027,6311,3059,2631,4027,1977,2581,3471,763,32857,2337,641,254,153,399,239,190,441,339,4989,293,31,15,12,26,14,9,25,117,547,78685,103738,83811,69419,61997,46617,34477,64408,10114,553266
RA22,223,61,992,945,175,2025,187,1664,143,6414,577,700,1791,1414,590,986,484,1493,173,8208,2600,4036,3325,2602,1618,1308,1234,3194,440,20364,3894,3779,2799,2219,2042,1170,1308,2478,425,20119,5047,3631,2663,2760,2681,1509,1690,2819,455,23250,5447,3308,2499,2674,2704,1552,2149,3147,440,23916,3163,1062,669,601,855,431,631,969,213,8600,992,104,77,39,86,48,62,145,150,1701,138,0,3,0,3,0,4,22,43,225,22075,16686,14809,13257,10765,9037,7749,15934,2492,112800
RA23,4,0,6,3,0,0,8,17,0,44,8,0,6,10,4,4,6,16,0,59,36,35,14,22,14,7,24,25,9,197,86,29,14,34,23,10,21,25,3,245,82,31,10,17,33,7,18,19,3,221,126,42,22,36,34,12,35,41,8,351,113,11,3,5,8,5,14,23,3,190,31,4,0,0,9,0,0,0,5,43,3,0,0,0,0,0,0,0,0,4,480,159,85,132,111,55,118,180,28,1350
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,15
RA29,4,0,17,14,4,26,9,10,0,82,7,18,32,45,16,30,15,35,3,217,41,143,83,80,47,36,45,117,14,600,45,89,48,24,29,16,21,53,13,341,34,40,37,32,18,15,38,60,6,277,30,39,28,27,24,10,31,29,5,227,4,7,10,4,3,4,5,6,3,47,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,174,334,250,227,143,129,177,308,49,1797
