RA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
RA20,11076,17007,21399,18430,68080,93068,31152,77865,2617,340696,25413,60931,62055,55799,149873,183521,44473,83105,4878,670043,12727,25898,27566,18650,71667,87619,20420,31122,4822,300501,26122,66867,50433,29461,40804,28881,6930,11049,3998,264536,12074,41306,43752,27663,92146,67908,13428,18435,2710,319424,15667,69052,33318,13914,32045,25113,6107,9873,2400,207485,5457,14819,16292,10010,36023,33199,9871,16827,2918,145417,10887,51439,32194,15008,37385,28229,6852,10878,3574,196444,2505,4720,3859,2436,9204,8482,1587,3793,12535,49120,121928,352046,290854,191363,537242,556015,140825,262947,40448,2493667
RA21,2926,5314,5604,4584,11804,17742,6557,22948,1211,78685,5846,11768,13108,12079,20058,21345,6598,12131,798,103738,3602,6629,6093,4866,18137,25359,6143,11569,1410,83811,6921,15882,13023,8619,10380,8152,2059,3302,1082,69419,2959,10082,10193,6787,15554,10490,2289,3061,578,61997,3286,16160,7528,3717,6843,4924,1262,2170,731,46617,1825,2746,2532,1793,6295,7860,3140,7565,730,34477,4168,16952,7980,5044,10755,10430,2988,4664,1422,64408,811,1054,661,466,1403,1518,342,946,2912,10114,32338,86583,66723,47961,101230,107808,31380,68358,10880,553266
RA22,737,1535,1536,1231,2522,4437,1609,8073,401,22075,973,1815,1981,2004,3281,3456,1059,1965,157,16686,656,1311,1077,959,3341,4173,999,2012,277,14809,1248,2882,2588,1697,2095,1499,365,637,243,13257,483,1759,1859,1273,2617,1812,345,504,121,10765,523,2887,1524,804,1446,1012,250,448,151,9037,425,598,607,370,1351,1814,640,1759,176,7749,873,3810,2047,1417,2822,2582,684,1252,447,15934,186,237,167,122,326,295,80,207,879,2492,6110,16826,13379,9868,19799,21082,6031,16861,2840,112800
RA23,14,35,31,19,31,92,30,213,16,480,6,22,25,23,26,30,14,17,0,159,3,17,11,3,13,16,10,10,0,85,13,30,25,25,14,12,3,3,0,132,0,35,31,6,11,11,0,5,0,111,3,15,10,5,9,6,3,6,0,55,7,12,10,5,23,24,8,37,0,118,10,40,24,14,17,41,13,19,3,180,4,4,3,4,0,0,0,3,12,28,59,205,173,107,136,234,84,313,36,1350
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
RA29,19,21,10,3,33,43,14,33,4,174,18,34,45,24,74,99,12,25,6,334,20,28,20,14,53,60,23,25,8,250,35,60,39,31,15,21,9,8,5,227,4,25,21,14,39,26,3,12,4,143,13,40,20,9,15,11,5,4,7,129,17,34,17,11,30,36,8,28,6,177,27,60,46,33,50,54,3,27,11,308,7,8,0,0,10,3,0,0,23,49,164,300,218,132,329,340,91,164,69,1797
