RA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
RA20,2468475,2549938,5018415,152724,144500,297219,313687,297380,611067,143327,136403,279732,173076,164738,337815,401730,408756,810489,370910,378513,749421,310828,327678,638502,259787,277565,537352,193133,219311,412451,109567,131316,240882,39708,63780,103485,2402450,2482613,4885061,66029,67325,133354,16348,16081,32427,632,534,1171,476,481,958,17459,17096,34553,1494255,1525321,3019577,864275,917345,1781625,1521678,1553815,3075499,824229,878240,1702471,1999257,2072207,4071464,45830,43202,89027,295128,280086,575216,118798,117733,236524,82124,85271,167400,99208,141233,240436,1263991,1376279,2640277,200913,189760,390676,225809,202365,428174,94481,91044,185526,80319,102389,182709,26167,34693,60862,2320563,2400282,4720838,135009,134511,269519
RA21,597176,617778,1214965,33197,32076,65279,78469,73131,151601,35816,33511,69327,30968,29195,60154,66600,68845,135443,67502,72772,140280,75083,79943,155025,80773,87260,168040,76286,78929,155222,40249,43175,83421,12227,18943,31168,570090,593011,1163104,27089,24774,51862,10745,10879,21625,373,355,719,281,256,538,11397,11486,22884,488963,505957,994921,67983,72010,139989,522816,543700,1066514,34118,36832,70953,531953,553950,1085895,9564,9187,18752,72417,67705,140120,25604,25626,51227,7806,9978,17791,11764,23920,35679,196920,249410,446332,78840,77143,155980,100523,84170,184698,42551,36101,78646,26392,25014,51404,2589,2352,4939,543946,567735,1111673,47633,45741,93376
RA22,128377,129306,257682,6476,6392,12865,15272,14525,29799,7067,6494,13564,6091,5514,11605,13592,13888,27484,13103,13842,26949,15335,16286,31621,19679,19735,39414,18886,17819,36710,9866,10169,20029,3012,4639,7657,121441,123413,244847,6936,5895,12828,3538,3780,7317,102,81,190,85,107,190,3731,3964,7694,103119,104021,207141,13913,14674,28593,109458,110903,220363,8568,8715,17284,111708,113106,224813,1763,1791,3548,13717,13187,26906,4667,4669,9336,1016,1407,2419,1827,4367,6190,35980,45927,81903,18185,17430,35619,23354,19264,42615,10551,8512,19061,7218,6383,13603,813,733,1544,114725,116400,231122,15014,14580,29591
RA23,1728,1579,3305,54,66,123,193,175,369,72,54,122,53,37,89,131,125,258,172,170,342,167,166,335,339,320,657,324,239,566,159,158,311,63,71,133,1613,1483,3096,113,93,211,26,24,51,0,0,0,0,0,0,26,25,54,1453,1302,2758,110,132,241,1537,1398,2932,43,48,100,1546,1395,2943,23,16,34,173,149,325,48,37,89,5,12,17,15,49,64,400,543,950,293,212,507,331,254,589,153,97,248,139,96,239,6,4,14,1527,1382,2908,203,192,391
RA25,36,6,38,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,16,0,16,3,0,3,10,6,14,4,0,4,0,0,0,0,0,0,35,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,3,9,0,13,5,0,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,72,565
RA29,5170,3915,9089,222,189,414,370,361,730,234,229,459,345,321,671,939,878,1819,1008,730,1736,912,479,1393,644,429,1074,392,224,613,90,58,152,15,19,29,0,0,0,5170,3915,9089,241,206,448,4,3,9,0,0,4,246,214,462,2348,1934,4283,743,649,1390,2445,2041,4485,490,492,977,2541,2153,4693,39,23,63,201,203,407,57,85,140,55,75,133,95,175,267,1215,1231,2452,366,285,652,529,389,919,235,157,395,152,91,240,37,18,51,0,0,0,0,0,0
