RA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
RA20,2002066,2108061,4110133,923492,573532,1497030,301759,532508,834270,70531,91847,162374,74089,65896,139985,1369871,1263782,2633656,532741,745254,1277995,5.4,5.2,5.3,68.4,60,64.1,64.7,56.8,60.7,176385,184473,360857,41446,80691,122137,391612,470049,861659,182253,226350,408609,336991,177429,514419,13648,20495,34146,24723,37228,61955,375363,235150,610514,1959774,2036653,3996425,364179,374904,739081,1240376,1306287,2546660,956377,984880,1941257
RA21,485507,512571,998085,200349,108432,308778,63112,138155,201265,18915,24305,43217,12458,10046,22509,294829,280939,575772,158842,199297,358137,4.2,3.6,3.9,60.7,54.8,57.7,58.2,52.9,55.4,14819,19414,34228,8192,18752,26946,46765,75114,121881,36581,57275,93850,133004,68382,201391,4299,7873,12175,6112,8941,15053,143417,85196,228614,476218,494068,970279,72214,77409,149627,315855,324076,639928,204653,220418,425068
RA22,106628,108390,215019,41700,22071,63778,12842,27231,40075,4149,4800,8950,2716,1903,4614,61408,56007,117419,36217,43700,79917,4.4,3.4,3.9,57.6,51.7,54.6,55,49.9,52.5,1759,2494,4251,1184,3048,4227,6963,12972,19938,6969,11292,18260,28089,14468,42555,1006,1811,2817,1422,1784,3213,30523,18060,48585,101517,102313,203829,14544,15235,29780,70331,69737,140068,40210,42261,82472
RA23,1477,1340,2817,545,219,766,146,342,483,52,45,99,47,28,74,790,640,1422,560,589,1149,5.7,4.7,5.3,53.2,47.8,50.6,50.2,45.5,48,9,25,34,5,27,31,55,156,208,61,138,195,331,190,527,15,22,37,7,20,29,352,239,596,1429,1294,2722,127,133,263,1107,1002,2109,391,368,762
RA25,36,6,38,7,0,8,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,28.6,25,28.2,28.6,25,28.2,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,5,0,5,7,0,9
RA29,4576,3373,7946,621,302,919,281,367,646,125,103,231,298,191,485,1324,961,2281,1218,1228,2447,22.6,19.6,21.3,28.9,28.4,28.7,22.4,22.9,22.6,114,129,239,35,69,98,337,365,701,161,208,372,614,336,949,54,54,112,50,41,90,715,435,1148,847,576,1426,2008,1884,3889,538,340,876,2171,2008,4180
