RA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
RA20,340696,670043,300501,264536,319424,207485,145417,196444,49120,2493667
RA21,78685,103738,83811,69419,61997,46617,34477,64408,10114,553266
RA22,22075,16686,14809,13257,10765,9037,7749,15934,2492,112800
RA23,480,159,85,132,111,55,118,180,28,1350
RA25,0,4,0,0,0,0,0,4,0,15
RA29,174,334,250,227,143,129,177,308,49,1797
