RA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
RA20,149,34,31,28,143085,143327,3121,157,103,69,169630,173076,112210,4130,5157,276,279950,401730,234929,10705,17744,637,106897,370910,199512,14430,30389,1631,64856,310828,171190,12089,35180,3919,37413,259787,136620,7702,24612,7981,16219,193133,79199,2993,10060,12026,5294,109567,23247,622,1966,12384,1483,39708,960178,52865,125246,38955,824831,2002066,214,33,23,21,136109,136403,7557,475,256,55,156398,164738,151533,7014,8368,486,241360,408756,239778,15221,25670,1856,95985,378513,199415,18339,45667,5118,59138,327678,165927,13858,51483,13961,32334,277565,126274,7951,38656,31942,14485,219311,59125,2513,15952,48659,5075,131316,11624,411,3675,46001,2068,63780,961445,65809,189755,148097,742953,2108061,361,65,56,53,279188,279732,10678,636,361,123,326022,337815,263741,11143,13523,768,521314,810489,474707,25928,43415,2487,202881,749421,398930,32765,76057,6750,123994,638502,337118,25945,86661,17879,69750,537352,262894,15654,63266,39926,30705,412451,138324,5506,26010,60682,10369,240882,34869,1033,5645,58385,3558,103485,1921619,118672,314994,187055,1567786,4110133
RA21,22,12,8,10,35769,35816,535,46,18,28,30341,30968,18056,1041,798,65,46639,66600,38055,2684,3764,153,22847,67502,42864,4185,8833,525,18671,75083,49488,4145,12754,1546,12842,80773,51609,3337,11608,3463,6275,76286,27774,1241,4364,4912,1954,40249,6705,182,691,4163,484,12227,235108,16879,42842,14859,175824,485507,31,6,3,6,33459,33511,976,112,24,22,28061,29195,23230,1679,1380,144,42414,68845,41259,3845,5402,459,21809,72772,44972,4968,12328,1408,16274,79943,51543,4600,16670,4254,10200,87260,47770,2905,13754,10135,4375,78929,20923,774,5044,14987,1448,43175,3470,131,960,13855,532,18943,234174,19014,55559,45261,158568,512571,55,15,12,24,69223,69327,1507,157,41,49,58401,60154,41288,2718,2176,207,89054,135443,79316,6530,9164,608,44658,140280,87832,9149,21163,1935,34949,155025,101030,8747,29419,5796,23045,168040,99381,6240,25362,13597,10648,155222,48699,2014,9407,19899,3401,83421,10174,312,1651,18015,1018,31168,469284,35890,98398,60122,334397,998085
RA22,0,0,0,5,7062,7067,124,11,0,0,5947,6091,3777,206,177,14,9417,13592,7071,580,733,24,4693,13103,8524,869,1742,115,4079,15335,11663,1066,3224,395,3325,19679,12076,994,3186,894,1737,18886,6699,289,1175,1156,539,9866,1631,50,152,1039,150,3012,51565,4079,10394,3646,36943,106628,4,4,0,7,6481,6494,247,26,3,5,5229,5514,4791,359,265,34,8444,13888,7719,809,948,83,4280,13842,9281,1036,2368,317,3291,16286,12075,987,3503,1050,2115,19735,11111,611,2826,2403,871,17819,4976,154,986,3777,268,10169,830,30,178,3509,89,4639,51034,4018,11072,11191,31069,108390,4,5,0,11,13538,13564,372,42,3,6,11181,11605,8571,564,439,49,17861,27484,14790,1391,1682,105,8978,26949,17806,1907,4107,436,7365,31621,23744,2055,6730,1444,5442,39414,23186,1609,6015,3297,2607,36710,11671,450,2160,4939,806,20029,2459,83,329,4549,232,7657,102597,8100,21467,14838,68011,215019
RA23,0,0,0,0,72,72,0,0,0,0,49,53,37,0,4,0,91,131,83,6,11,0,64,172,91,6,21,7,47,167,183,22,57,7,78,339,206,17,56,17,34,324,95,9,17,17,17,159,30,7,5,20,5,63,731,64,173,55,450,1477,0,0,0,0,54,54,0,0,0,0,36,37,56,0,7,0,63,125,99,6,0,3,57,170,101,15,18,0,38,166,205,16,53,12,33,320,166,7,33,29,9,239,84,0,13,61,4,158,18,0,6,54,3,71,725,48,123,154,286,1340,0,0,0,0,122,122,5,0,0,0,88,89,96,3,9,0,150,258,189,9,20,6,116,342,189,26,39,8,79,335,385,34,107,22,115,657,371,24,87,43,40,566,176,12,32,74,21,311,47,7,5,67,3,133,1456,108,300,216,739,2817
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,0,0,0,16,0,0,3,0,0,3,3,5,3,0,0,10,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,13,6,0,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,0,0,0,16,0,0,3,0,0,3,7,5,3,0,0,14,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,13,6,0,8,38
RA29,0,0,0,0,234,234,9,0,0,0,337,345,92,35,27,0,783,939,241,98,84,0,575,1008,195,137,156,4,417,912,215,82,166,14,164,644,169,51,115,20,38,392,39,7,28,14,8,90,9,0,4,4,0,15,963,416,581,56,2551,4576,0,0,0,0,231,229,13,0,0,0,304,321,119,58,20,7,682,878,166,60,79,16,412,730,103,65,116,14,185,479,157,39,119,32,79,429,96,13,66,13,28,224,19,6,11,17,6,58,5,4,0,10,0,19,676,246,425,103,1924,3373,0,0,0,0,461,459,18,0,0,3,641,671,207,93,52,7,1467,1819,409,162,165,11,992,1736,300,203,272,18,600,1393,371,123,283,49,243,1074,269,66,180,36,62,613,59,8,45,33,12,152,9,4,7,13,0,29,1642,658,1005,165,4474,7946
