RA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
RA20,16805,22262,39069,5664,6615,12275,6453,15037,21490,6632,29220,35845,19033,66320,85351,20958,42872,63830,59427,32562,91994,57550,41565,99118,72260,47628,119895,86586,40950,127540,68782,37066,105847,72659,29642,102303,164508,51611,216123,130598,8007,138615,110325,13865,124193,74643,3816,78455,233825,22000,255829,67352,10478,77830,14096,14161,28256,1288162,535680,1823843
RA21,3198,4501,7696,1551,1857,3411,1416,4776,6193,1774,10135,11909,6323,27343,33667,6880,16874,23763,22895,10948,33839,20496,13153,33650,23559,12809,36368,27078,8741,35816,19130,7123,26255,20586,5057,25643,41832,7008,48840,30069,936,31007,22649,1599,24244,13410,303,13712,31735,2640,34380,20550,1527,22074,5175,6372,11548,320312,143702,464018
RA22,828,1094,1925,361,466,826,368,1228,1596,448,2632,3084,1574,7192,8766,1667,3889,5561,5911,2553,8468,4919,3267,8189,5609,2912,8517,6197,1912,8104,4069,1439,5506,4477,977,5461,8391,1309,9700,5549,200,5752,3725,271,4000,2074,66,2142,4490,546,5033,4702,348,5047,1430,1855,3283,66804,34172,100973
RA23,7,19,22,8,8,15,11,37,42,8,56,57,27,130,159,27,52,74,79,36,118,79,49,122,70,41,119,89,19,111,48,26,71,61,17,78,90,15,112,69,0,69,38,4,38,20,0,20,51,4,53,55,3,58,23,29,49,858,543,1402
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
