RA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
RA20,110563,59038,36478,21211,7856,1431,360857,2580,23728,29578,27107,20773,13634,4069,665,122137,67708,256517,220330,143070,88731,56839,22296,6161,861659,28259,84089,92066,80163,59767,40250,18467,5550,408609,46411,110446,98505,96847,82343,48281,24021,7555,514419,6797,6725,6214,5487,4751,2970,983,219,34146,3936,7697,10195,12702,12237,8966,4605,1622,61955,57143,124867,114912,115034,99325,60219,29616,9392,610514,1804,4921,5230,3724,3529,3501,2370,1008,26095,33118,53811,43505,34808,30470,29660,26846,18307,270520,198162,664655,616193,462939,339079,225317,111521,42515,2660382
RA21,7501,6805,6177,4921,1607,216,34228,408,3579,5387,5766,5652,4786,1214,154,26946,5094,25654,27316,22442,18190,16009,5933,1235,121881,3514,13363,16804,18408,18351,15503,6503,1401,93850,15920,38965,36716,37561,36391,23805,9651,2385,201391,2281,2221,2144,1810,1845,1409,374,82,12175,920,1545,1961,2778,3161,2972,1321,393,15053,19114,42732,40817,42153,41403,28185,11346,2862,228614,211,530,566,620,760,964,724,267,4632,10038,10088,10509,11787,13519,15233,12669,7224,91065,38836,102482,108901,107993,104054,85591,40002,13360,601221
RA22,896,744,736,593,191,33,4251,68,603,761,855,947,761,220,17,4227,741,4415,4199,3538,3153,2724,962,193,19938,590,2462,2996,3546,3867,3251,1250,297,18260,3188,7743,7114,7686,8515,5690,2143,469,42555,496,529,473,426,481,307,86,20,2817,182,308,456,585,694,642,277,68,3213,3870,8581,8048,8698,9689,6641,2503,555,48585,37,120,119,118,155,232,162,49,988,2575,2583,2685,3041,3949,4357,3241,1730,24160,7963,19738,19708,20548,22500,18562,8530,2871,120415
RA23,3,9,7,6,0,0,34,0,4,0,10,9,4,0,0,31,3,43,46,33,45,35,9,0,208,5,19,36,29,49,31,18,0,195,25,85,91,74,141,89,23,3,527,3,3,10,5,11,5,0,0,37,0,0,3,5,9,5,0,0,29,33,88,101,84,154,104,24,3,596,0,0,0,0,3,4,3,6,12,21,20,40,33,58,61,51,34,327,66,188,235,189,334,240,110,47,1405
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29,0,6,16,3,15,4,0,0,40
RA29,77,37,26,13,0,0,239,4,20,25,17,21,9,0,0,98,44,280,153,107,71,37,8,0,701,25,95,66,56,79,42,7,0,372,100,227,210,170,141,83,20,0,949,29,26,20,17,13,7,0,0,112,3,13,17,25,11,11,0,0,90,131,270,243,211,161,104,20,0,1148,9,8,8,8,8,0,0,0,37,397,694,879,659,422,207,45,15,3316,608,1458,1448,1099,779,411,85,18,5907
