POW_SA4_CODE_2021,CoPSW_1250_1499_H_0,CoPSW_1250_1499_H_1_19,CoPSW_1250_1499_H_20_29,CoPSW_1250_1499_H_30_34,CoPSW_1250_1499_H_35_39,CoPSW_1250_1499_H_40_44,CoPSW_1250_1499_H_45_49,CoPSW_1250_1499_H_50ov,CoPSW_1250_1499_H_NS,CoPSW_1250_1499_H_Tot,CoPSW_1500_1749_H_0,CoPSW_1500_1749_H_1_19,CoPSW_1500_1749_H_20_29,CoPSW_1500_1749_H_30_34,CoPSW_1500_1749_H_35_39,CoPSW_1500_1749_H_40_44,CoPSW_1500_1749_H_45_49,CoPSW_1500_1749_H_50ov,CoPSW_1500_1749_H_NS,CoPSW_1500_1749_H_Tot,CoPSW_1750_1999_H_0,CoPSW_1750_1999_H_1_19,CoPSW_1750_1999_H_20_29,CoPSW_1750_1999_H_30_34,CoPSW_1750_1999_H_35_39,CoPSW_1750_1999_H_40_44,CoPSW_1750_1999_H_45_49,CoPSW_1750_1999_H_50ov,CoPSW_1750_1999_H_NS,CoPSW_1750_1999_H_Tot,CoPSW_2000_2999_H_0,CoPSW_2000_2999_H_1_19,CoPSW_2000_2999_H_20_29,CoPSW_2000_2999_H_30_34,CoPSW_2000_2999_H_35_39,CoPSW_2000_2999_H_40_44,CoPSW_2000_2999_H_45_49,CoPSW_2000_2999_H_50ov,CoPSW_2000_2999_H_NS,CoPSW_2000_2999_H_Tot,CoPSW_3000_3499_H_0,CoPSW_3000_3499_H_1_19,CoPSW_3000_3499_H_20_29,CoPSW_3000_3499_H_30_34,CoPSW_3000_3499_H_35_39,CoPSW_3000_3499_H_40_44,CoPSW_3000_3499_H_45_49,CoPSW_3000_3499_H_50ov,CoPSW_3000_3499_H_NS,CoPSW_3000_3499_H_Tot,CoPSW_3500mo_H_0,CoPSW_3500mo_H_1_19,CoPSW_3500mo_H_20_29,CoPSW_3500mo_H_30_34,CoPSW_3500mo_H_35_39,CoPSW_3500mo_H_40_44,CoPSW_3500mo_H_45_49,CoPSW_3500mo_H_50ov,CoPSW_3500mo_H_NS,CoPSW_3500mo_H_Tot,CoPSW_PINS_H_0,CoPSW_PINS_H_1_19,CoPSW_PINS_H_20_29,CoPSW_PINS_H_30_34,CoPSW_PINS_H_35_39,CoPSW_PINS_H_40_44,CoPSW_PINS_H_45_49,CoPSW_PINS_H_50ov,CoPSW_PINS_H_NS,CoPSW_PINS_H_Tot,CoPSW_Tot_H_0,CoPSW_Tot_H_1_19,CoPSW_Tot_H_20_29,CoPSW_Tot_H_30_34,CoPSW_Tot_H_35_39,CoPSW_Tot_H_40_44,CoPSW_Tot_H_45_49,CoPSW_Tot_H_50ov,CoPSW_Tot_H_NS,CoPSW_Tot_H_Tot,ClAW_NNI_H_0,ClAW_NNI_H_1_19,ClAW_NNI_H_20_29,ClAW_NNI_H_30_34,ClAW_NNI_H_35_39,ClAW_NNI_H_40_44,ClAW_NNI_H_45_49,ClAW_NNI_H_50ov,ClAW_NNI_H_NS,ClAW_NNI_H_Tot,ClAW_1_149_H_0,ClAW_1_149_H_1_19,ClAW_1_149_H_20_29,ClAW_1_149_H_30_34,ClAW_1_149_H_35_39,ClAW_1_149_H_40_44,ClAW_1_149_H_45_49,ClAW_1_149_H_50ov,ClAW_1_149_H_NS,ClAW_1_149_H_Tot,ClAW_150_299_H_0,ClAW_150_299_H_1_19,ClAW_150_299_H_20_29,ClAW_150_299_H_30_34,ClAW_150_299_H_35_39,ClAW_150_299_H_40_44,ClAW_150_299_H_45_49,ClAW_150_299_H_50ov,ClAW_150_299_H_NS,ClAW_150_299_H_Tot,ClAW_300_399_H_0,ClAW_300_399_H_1_19,ClAW_300_399_H_20_29,ClAW_300_399_H_30_34,ClAW_300_399_H_35_39,ClAW_300_399_H_40_44,ClAW_300_399_H_45_49,ClAW_300_399_H_50ov,ClAW_300_399_H_NS,ClAW_300_399_H_Tot,ClAW_400_499_H_0,ClAW_400_499_H_1_19,ClAW_400_499_H_20_29,ClAW_400_499_H_30_34,ClAW_400_499_H_35_39,ClAW_400_499_H_40_44,ClAW_400_499_H_45_49,ClAW_400_499_H_50ov,ClAW_400_499_H_NS,ClAW_400_499_H_Tot,ClAW_500_649_H_0,ClAW_500_649_H_1_19,ClAW_500_649_H_20_29,ClAW_500_649_H_30_34,ClAW_500_649_H_35_39,ClAW_500_649_H_40_44,ClAW_500_649_H_45_49,ClAW_500_649_H_50ov,ClAW_500_649_H_NS,ClAW_500_649_H_Tot,ClAW_650_799_H_0,ClAW_650_799_H_1_19,ClAW_650_799_H_20_29,ClAW_650_799_H_30_34,ClAW_650_799_H_35_39,ClAW_650_799_H_40_44,ClAW_650_799_H_45_49,ClAW_650_799_H_50ov,ClAW_650_799_H_NS,ClAW_650_799_H_Tot,ClAW_800_999_H_0,ClAW_800_999_H_1_19,ClAW_800_999_H_20_29,ClAW_800_999_H_30_34,ClAW_800_999_H_35_39,ClAW_800_999_H_40_44,ClAW_800_999_H_45_49,ClAW_800_999_H_50ov,ClAW_800_999_H_NS,ClAW_800_999_H_Tot,ClAW_1000_1249_H_0,ClAW_1000_1249_H_1_19,ClAW_1000_1249_H_20_29,ClAW_1000_1249_H_30_34,ClAW_1000_1249_H_35_39,ClAW_1000_1249_H_40_44,ClAW_1000_1249_H_45_49,ClAW_1000_1249_H_50ov,ClAW_1000_1249_H_NS,ClAW_1000_1249_H_Tot,ClAW_1250_1499_H_0,ClAW_1250_1499_H_1_19,ClAW_1250_1499_H_20_29,ClAW_1250_1499_H_30_34,ClAW_1250_1499_H_35_39,ClAW_1250_1499_H_40_44,ClAW_1250_1499_H_45_49,ClAW_1250_1499_H_50ov,ClAW_1250_1499_H_NS,ClAW_1250_1499_H_Tot,ClAW_1500_1749_H_0,ClAW_1500_1749_H_1_19,ClAW_1500_1749_H_20_29,ClAW_1500_1749_H_30_34,ClAW_1500_1749_H_35_39,ClAW_1500_1749_H_40_44,ClAW_1500_1749_H_45_49,ClAW_1500_1749_H_50ov,ClAW_1500_1749_H_NS,ClAW_1500_1749_H_Tot,ClAW_1750_1999_H_0,ClAW_1750_1999_H_1_19,ClAW_1750_1999_H_20_29,ClAW_1750_1999_H_30_34,ClAW_1750_1999_H_35_39,ClAW_1750_1999_H_40_44,ClAW_1750_1999_H_45_49,ClAW_1750_1999_H_50ov,ClAW_1750_1999_H_NS,ClAW_1750_1999_H_Tot
201,44,44,83,109,214,127,34,47,8,711,32,17,22,53,133,162,30,47,10,505,29,7,22,15,65,105,30,41,0,318,48,11,11,20,57,174,50,72,4,439,8,0,0,4,3,12,6,20,0,62,0,7,0,0,0,8,0,13,0,36,12,14,12,0,9,5,0,9,21,78,924,2280,1847,1352,1489,1011,243,395,138,9668,5,22,15,3,4,0,0,6,0,48,16,75,11,0,0,0,0,0,0,101,10,131,21,0,0,3,0,0,0,175,26,192,45,7,8,5,0,0,0,287,21,220,90,16,19,7,5,5,6,380,50,203,312,69,61,30,0,8,7,737,54,154,340,185,162,73,7,19,4,1002,52,99,245,250,449,222,27,33,17,1387,64,79,177,223,645,397,61,51,5,1707,33,42,77,86,420,251,61,58,3,1030,39,33,36,42,269,170,43,62,4,708,15,15,24,20,147,88,53,45,6,405
202,44,36,87,116,222,151,28,51,9,747,30,25,35,59,161,146,37,71,4,563,22,7,23,31,88,126,27,57,0,374,53,10,11,20,50,189,47,100,0,486,7,0,0,0,4,11,6,21,0,44,6,6,0,3,5,3,8,11,0,44,0,12,11,8,9,7,3,0,22,70,844,2132,1773,1213,1516,1028,232,471,145,9347,9,26,4,3,4,5,3,0,0,49,10,75,4,0,0,0,0,0,3,96,13,101,9,0,0,4,0,0,0,142,20,150,41,7,4,3,0,0,4,228,23,224,101,13,8,6,0,3,0,371,44,227,322,49,38,20,3,7,8,713,30,133,314,161,135,72,9,8,8,877,38,108,253,232,401,201,23,33,5,1303,52,69,157,193,581,319,51,55,6,1471,44,39,67,117,425,271,45,51,6,1074,23,33,36,53,284,169,45,82,0,728,14,12,21,19,124,112,41,35,0,383
203,77,74,136,188,338,302,64,93,17,1283,69,36,63,109,239,355,76,103,7,1047,66,22,31,47,138,220,69,83,5,672,76,23,21,31,88,341,107,140,3,840,8,5,0,3,8,27,7,26,0,85,3,13,14,6,14,24,15,20,0,122,18,19,23,11,10,16,0,5,35,136,1792,4850,3706,2216,2536,2106,459,708,227,18607,9,44,11,3,11,7,0,7,3,96,18,124,9,3,0,0,0,0,0,168,25,272,30,8,3,9,0,0,6,357,34,359,68,17,10,6,0,0,4,503,44,360,191,32,23,13,0,4,0,668,72,410,496,101,66,38,6,13,4,1208,90,301,640,256,194,97,12,21,19,1620,107,234,481,413,643,342,48,42,15,2329,108,165,297,385,1087,639,96,120,23,2926,84,79,134,216,925,538,100,103,8,2177,76,78,80,132,552,378,74,109,4,1483,24,40,48,56,267,218,65,79,0,804
204,35,46,86,105,206,222,77,76,6,856,41,28,31,67,137,167,50,73,6,592,37,15,19,27,80,154,38,50,0,433,70,18,15,20,65,237,79,126,10,643,4,6,3,0,3,12,3,21,0,63,9,4,4,0,6,13,0,15,0,52,3,8,11,12,11,8,0,7,23,84,1073,2230,1853,1306,1613,1518,403,616,206,10817,3,25,7,5,0,13,0,4,0,56,17,84,5,4,0,4,0,7,0,118,9,122,18,0,4,4,0,3,0,168,16,158,32,7,7,4,0,0,0,230,18,176,78,22,20,12,3,0,7,330,35,194,287,61,53,31,9,10,9,692,39,160,304,190,152,78,8,20,14,956,53,93,225,238,375,223,29,42,10,1285,60,71,115,211,546,383,72,51,13,1517,41,40,57,81,349,231,55,77,10,950,35,27,38,43,179,171,45,56,11,592,7,20,18,22,82,98,36,26,4,319
205,65,60,106,139,274,210,62,76,8,996,68,19,38,83,195,235,62,112,8,818,53,13,30,33,103,156,66,62,3,521,100,16,20,10,103,292,93,148,7,789,15,0,5,3,11,21,6,23,0,84,11,14,9,3,6,15,12,19,3,77,11,22,20,6,19,14,0,5,30,128,1484,3493,3002,1914,2239,1615,441,689,251,15128,11,44,8,3,3,12,3,5,0,88,16,104,10,0,6,5,0,0,0,131,28,216,38,3,6,3,0,4,5,300,29,309,67,19,18,15,0,3,5,465,47,346,162,47,34,17,0,9,3,669,77,399,493,106,77,49,6,14,19,1258,99,264,595,286,241,122,12,37,16,1666,79,196,387,426,709,342,38,57,21,2253,122,127,248,328,876,534,85,75,9,2398,61,65,97,156,507,365,76,83,9,1404,42,49,46,75,338,261,65,74,5,961,25,29,33,22,161,138,36,61,3,499
206,403,332,449,528,1314,1270,279,318,59,4958,337,206,255,298,1035,1148,264,372,45,3959,216,77,131,120,548,843,224,294,25,2467,369,120,108,143,679,1818,530,721,27,4512,50,35,20,22,60,178,81,184,9,632,40,39,50,34,73,139,46,154,12,583,34,80,40,36,34,50,14,20,132,426,7973,14539,10058,5298,8776,8215,1934,2735,935,60461,78,99,54,20,62,30,5,17,20,387,89,469,44,15,24,20,3,3,6,671,175,1003,140,47,41,26,3,11,13,1459,177,1238,333,52,67,33,0,8,30,1944,191,1418,775,114,110,61,12,18,30,2725,298,1681,2058,398,304,165,32,46,65,5037,371,1124,2649,1043,1300,578,73,75,76,7306,494,830,2263,1830,4727,2316,256,254,112,13087,708,753,1745,1997,9509,5780,691,581,125,21889,624,432,906,1286,8234,5583,889,850,116,18920,574,328,578,853,6253,4865,883,973,67,15378,399,160,288,427,3430,3262,699,921,45,9618
207,68,94,175,182,386,220,52,90,9,1270,49,65,106,97,255,208,74,88,4,950,48,32,42,46,113,151,53,56,5,544,108,33,38,40,109,258,151,142,6,884,13,6,8,0,14,30,18,38,4,133,11,9,4,4,11,22,10,39,4,117,12,28,25,3,12,8,0,3,32,134,1743,5686,3877,2020,2722,1619,504,678,214,19060,20,38,17,9,6,6,0,4,5,104,29,254,12,5,4,7,0,0,0,318,56,435,50,14,9,9,0,7,7,573,41,489,127,15,17,6,0,0,7,712,51,449,234,28,21,13,0,0,8,806,71,516,576,117,74,49,12,9,15,1435,65,377,747,288,283,129,24,21,15,1953,71,288,556,444,820,426,56,62,19,2740,96,185,414,400,1343,829,101,99,19,3491,87,135,194,220,1054,709,153,129,18,2695,67,106,151,153,726,568,168,159,9,2111,40,68,61,84,368,384,118,110,3,1236
208,74,102,156,189,441,287,56,103,12,1419,54,62,75,110,203,251,55,82,11,909,24,31,35,44,113,135,53,66,9,513,73,41,38,36,89,249,71,117,4,712,8,15,8,8,10,13,8,14,0,76,6,22,14,15,11,27,0,20,6,116,23,30,32,12,17,8,0,5,37,156,2091,6505,4356,2491,3196,1944,400,728,284,21993,17,60,23,6,7,12,3,5,8,148,44,248,13,0,3,4,3,0,3,321,35,459,64,12,7,5,0,0,4,588,46,522,105,17,14,10,5,8,4,733,55,521,269,32,23,21,4,0,7,925,84,534,666,107,61,46,8,3,14,1517,66,412,786,296,304,123,16,15,18,2048,88,294,577,458,855,417,43,68,20,2811,85,238,402,477,1380,884,157,114,22,3760,87,136,175,257,989,756,130,145,13,2684,56,101,135,148,571,485,107,160,6,1768,25,72,57,68,300,265,63,108,6,965
209,100,97,158,217,508,419,73,129,14,1716,75,61,80,129,366,361,112,97,10,1294,47,25,41,54,174,234,79,110,4,763,90,28,30,41,120,363,132,156,5,954,7,3,4,3,5,16,9,41,5,94,3,8,4,3,9,3,0,18,0,56,15,31,23,8,20,17,6,6,48,176,1929,5472,4369,2681,3840,2553,600,897,293,22634,20,49,18,6,16,11,0,13,6,140,36,227,19,6,0,4,0,0,0,299,35,422,51,13,4,4,0,0,3,541,54,500,110,16,20,8,0,5,20,726,33,566,270,44,30,22,4,6,3,984,64,553,749,164,83,65,11,12,17,1712,95,392,784,400,393,159,13,29,18,2297,99,290,604,565,1040,503,56,62,19,3239,115,201,349,443,1371,912,152,152,28,3729,68,104,181,213,919,712,125,133,17,2468,42,84,103,104,605,465,104,116,9,1643,19,31,47,43,254,298,71,105,3,879
210,95,83,119,152,371,324,92,111,28,1378,81,43,62,88,300,301,93,112,15,1094,65,26,35,47,143,210,97,83,3,717,110,27,24,33,143,386,150,175,12,1048,4,5,0,0,13,28,8,21,0,86,4,6,6,6,11,22,9,34,0,96,13,24,16,3,10,10,0,9,38,131,1692,3802,3259,2015,3061,2196,675,848,321,17869,26,46,18,10,11,19,0,8,7,145,22,137,13,0,0,0,5,3,6,191,30,357,48,5,14,9,0,0,3,465,46,381,126,7,20,3,0,3,9,600,43,400,241,28,20,17,0,7,13,782,64,417,670,141,108,60,3,22,17,1499,99,291,649,325,450,205,28,26,21,2099,103,220,497,423,1168,685,89,100,33,3319,118,161,289,378,1703,1132,209,218,43,4244,82,87,151,189,1193,888,181,257,32,3064,75,79,89,121,767,655,163,241,18,2198,37,41,49,52,315,347,101,159,5,1097
