POW_SA4_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
201,95,15,7,0,0,116,472,6,11,4,6,498,30,4,7,0,0,36,50,6,5,0,0,64,162,17,24,0,3,210,185,9,19,0,3,212,38,9,0,0,0,44,113,10,13,3,0,132,1477,119,171,54,16,1840,156,17,15,8,0,194,156,23,15,13,0,208,952,68,100,32,7,1162,433,32,65,14,37,584,58254,4830,5039,1426,643,70192
202,69,14,0,0,0,88,580,8,12,3,7,613,14,0,3,0,0,24,34,5,0,0,0,46,216,21,22,6,0,271,190,18,12,0,0,224,101,0,0,0,0,111,290,9,11,0,5,314,1287,133,222,36,18,1701,125,12,26,9,0,166,135,11,8,4,0,162,1175,60,82,9,11,1334,473,51,61,26,36,657,58256,4308,5263,1292,612,69726
203,370,30,68,3,7,479,1325,13,19,6,8,1362,117,14,12,0,4,141,152,9,10,3,0,177,526,47,56,9,0,636,514,30,20,3,9,569,74,3,0,0,0,82,390,22,27,3,4,444,4045,410,421,71,36,4988,369,38,43,11,0,464,455,40,58,24,9,581,3193,231,230,58,39,3746,667,72,49,21,48,866,113427,9175,9282,1774,911,134572
204,74,3,6,0,0,81,532,6,14,4,5,558,12,3,0,0,0,19,38,0,0,0,0,41,206,17,21,3,0,243,146,6,0,3,0,165,71,4,3,0,0,74,104,5,11,0,3,119,1684,159,212,80,18,2152,185,24,17,9,0,239,142,3,16,0,4,164,1075,109,102,36,25,1354,667,60,95,43,65,931,62677,5306,6728,2359,874,77944
205,97,13,17,0,0,131,925,12,17,4,9,971,64,5,11,4,0,87,66,0,11,0,0,83,333,35,35,12,7,421,355,40,25,3,0,419,159,4,0,0,0,165,228,9,26,7,5,279,2711,242,354,112,51,3468,209,18,35,7,4,276,232,25,43,8,0,312,1473,133,184,48,26,1869,1083,120,159,63,116,1537,91127,7170,10341,2895,1556,113091
206,4129,144,162,32,25,4490,12916,108,125,25,31,13198,1597,93,118,11,10,1823,3915,119,117,21,3,4176,6242,328,227,29,12,6831,10892,243,153,41,41,11365,2121,95,85,17,11,2325,3324,160,146,29,11,3671,29322,1582,1404,155,81,32535,5360,272,298,30,11,5966,10556,567,458,161,85,11828,45334,2043,2123,302,298,50103,1497,113,87,44,128,1871,706740,36145,28580,4458,2777,778703
207,543,53,64,9,0,660,1652,41,45,15,4,1751,247,37,32,3,3,325,753,66,71,16,5,906,1164,103,97,11,3,1381,2372,163,85,21,8,2652,605,95,82,21,3,802,523,42,41,4,9,624,4333,424,331,51,10,5154,710,53,56,10,0,828,1619,178,143,56,7,1995,6152,529,476,89,47,7293,301,35,34,7,27,405,128008,13540,9872,2298,636,154349
208,493,29,27,3,7,552,2550,28,57,8,5,2647,383,118,94,26,6,625,467,33,42,7,0,555,1798,442,324,39,4,2611,2635,154,108,19,10,2931,302,35,16,8,0,369,763,46,41,3,0,859,5781,790,708,107,28,7416,821,101,99,14,9,1040,2378,180,166,47,24,2800,9665,1374,1240,227,85,12594,391,42,40,8,50,536,138469,17147,13086,2537,866,172105
209,717,100,101,7,10,937,2391,27,68,13,6,2504,237,26,20,4,4,291,380,25,31,0,0,442,645,65,70,6,0,784,2100,172,146,21,14,2454,231,19,26,3,0,276,512,35,36,8,0,594,3714,380,360,59,17,4539,508,44,53,5,0,610,2932,228,253,49,28,3486,8667,831,852,157,83,10585,518,52,40,15,55,681,143711,14023,12348,2080,1038,173204
210,1222,209,430,41,17,1918,2650,56,53,17,12,2789,263,16,9,5,0,296,342,23,18,3,0,392,514,41,24,3,0,596,2267,186,119,24,11,2599,137,12,12,3,0,164,467,27,39,3,3,544,3130,270,235,39,14,3688,372,23,32,4,4,428,3215,147,188,50,19,3619,10840,1121,950,184,127,13211,601,73,37,13,65,784,138639,12578,9541,1872,1078,163696
211,572,40,34,12,0,658,1938,33,47,13,5,2040,314,35,39,8,3,402,565,63,64,8,3,711,1226,151,109,16,0,1509,2824,223,151,31,9,3248,346,52,37,11,0,446,692,35,58,15,0,798,6228,752,678,132,27,7821,566,51,70,6,0,699,1622,115,141,41,12,1929,7786,600,551,130,79,9138,529,68,52,19,37,712,160022,16555,14015,2816,925,194328
212,1957,223,267,32,21,2507,5553,113,132,31,15,5850,822,108,95,18,14,1057,1161,58,85,12,4,1324,2431,211,132,26,12,2810,10474,1158,879,216,79,12804,802,66,51,15,11,944,1226,75,83,18,5,1399,10403,757,575,112,51,11899,1027,38,51,4,0,1126,6592,652,655,129,67,8099,22401,1769,1586,328,178,26264,1131,86,82,32,103,1430,304369,24997,19020,4087,1968,354435
213,1743,306,455,48,23,2573,7405,159,224,47,18,7857,575,64,43,9,4,690,645,57,63,9,4,778,1185,90,84,16,3,1377,2440,220,233,33,10,2930,334,39,22,5,6,399,1070,51,79,14,5,1220,6066,465,436,74,25,7073,686,39,42,11,3,776,9611,1231,1149,296,140,12428,20214,1729,1655,326,251,24174,867,76,63,25,89,1117,234935,19430,16101,3170,1650,275280
214,171,5,6,0,0,184,1266,17,29,5,7,1326,115,20,32,0,7,171,123,12,17,5,0,151,613,85,61,15,6,785,918,59,35,13,0,1015,94,12,7,0,4,115,332,24,35,10,3,403,5191,797,732,118,56,6889,309,51,51,11,7,426,505,46,58,17,3,627,3333,360,364,74,56,4185,495,69,73,22,45,696,88371,10341,9177,1707,925,110525
215,72,10,0,0,0,83,691,0,11,3,5,713,10,6,3,0,0,18,29,3,0,0,0,36,193,16,10,3,0,233,119,3,5,0,5,123,210,3,3,0,14,234,242,11,14,0,12,279,755,51,82,30,13,925,70,10,13,0,0,97,247,19,15,23,8,316,1229,59,51,25,18,1378,627,51,88,78,78,926,52858,4889,5613,2724,1013,67092
216,91,19,5,0,0,118,747,11,10,4,11,777,20,3,0,0,0,23,28,6,0,0,0,29,127,10,0,0,0,136,167,17,7,0,0,190,160,4,0,4,3,169,128,7,12,5,4,152,779,68,79,30,14,968,75,8,7,0,0,87,71,4,21,0,0,93,973,76,54,21,18,1140,521,54,72,39,48,730,48056,4375,4230,1567,753,58982
217,26,0,0,0,0,25,431,3,11,3,0,457,12,0,7,0,0,17,21,0,4,0,0,20,150,17,20,4,0,194,133,9,3,0,0,145,193,4,0,0,4,198,76,8,20,9,4,111,866,90,128,41,12,1138,93,10,12,9,3,118,84,3,4,3,0,101,625,43,46,19,12,746,482,51,105,51,66,749,45062,3737,6149,1980,927,57849
297,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,196,0,0,0,0,194
299,290,60,236,7,15,616,506,38,161,13,12,725,179,51,108,5,4,350,200,31,94,8,0,330,395,74,170,14,9,664,564,127,258,24,11,976,80,11,53,7,0,158,216,16,80,5,3,322,2532,560,1582,70,64,4815,310,37,143,13,0,505,607,148,348,36,20,1159,4044,860,2191,120,104,7321,660,149,314,47,114,1284,79049,16470,37324,2452,2182,137478
