POW_SA4_CODE_2021,LE_IDNS_PINS_Mng,LE_IDNS_PINS_Pro,LE_IDNS_PINS_TecTW,LE_IDNS_PINS_CoPSW,LE_IDNS_PINS_ClAW,LE_IDNS_PINS_SWks,LE_IDNS_PINS_MaOpDv,LE_IDNS_PINS_Lab,LE_IDNS_PINS_IDNS,LE_IDNS_PINS_Tot,LE_IDNS_Tot_Mng,LE_IDNS_Tot_Pro,LE_IDNS_Tot_TecTW,LE_IDNS_Tot_CoPSW,LE_IDNS_Tot_ClAW,LE_IDNS_Tot_SWks,LE_IDNS_Tot_MaOpDv,LE_IDNS_Tot_Lab,LE_IDNS_Tot_IDNS,LE_IDNS_Tot_Tot,Tot_NNI_Mng,Tot_NNI_Pro,Tot_NNI_TecTW,Tot_NNI_CoPSW,Tot_NNI_ClAW,Tot_NNI_SWks,Tot_NNI_MaOpDv,Tot_NNI_Lab,Tot_NNI_IDNS,Tot_NNI_Tot,Tot_1_149_Mng,Tot_1_149_Pro,Tot_1_149_TecTW,Tot_1_149_CoPSW,Tot_1_149_ClAW,Tot_1_149_SWks,Tot_1_149_MaOpDv,Tot_1_149_Lab,Tot_1_149_IDNS,Tot_1_149_Tot,Tot_150_299_Mng,Tot_150_299_Pro,Tot_150_299_TecTW,Tot_150_299_CoPSW,Tot_150_299_ClAW,Tot_150_299_SWks,Tot_150_299_MaOpDv,Tot_150_299_Lab,Tot_150_299_IDNS,Tot_150_299_Tot,Tot_300_399_Mng,Tot_300_399_Pro,Tot_300_399_TecTW,Tot_300_399_CoPSW,Tot_300_399_ClAW,Tot_300_399_SWks,Tot_300_399_MaOpDv,Tot_300_399_Lab,Tot_300_399_IDNS,Tot_300_399_Tot,Tot_400_499_Mng,Tot_400_499_Pro,Tot_400_499_TecTW,Tot_400_499_CoPSW,Tot_400_499_ClAW,Tot_400_499_SWks,Tot_400_499_MaOpDv,Tot_400_499_Lab,Tot_400_499_IDNS,Tot_400_499_Tot,Tot_500_649_Mng,Tot_500_649_Pro,Tot_500_649_TecTW,Tot_500_649_CoPSW,Tot_500_649_ClAW,Tot_500_649_SWks,Tot_500_649_MaOpDv,Tot_500_649_Lab,Tot_500_649_IDNS,Tot_500_649_Tot,Tot_650_799_Mng,Tot_650_799_Pro,Tot_650_799_TecTW,Tot_650_799_CoPSW,Tot_650_799_ClAW,Tot_650_799_SWks,Tot_650_799_MaOpDv,Tot_650_799_Lab,Tot_650_799_IDNS,Tot_650_799_Tot,Tot_800_999_Mng,Tot_800_999_Pro,Tot_800_999_TecTW,Tot_800_999_CoPSW,Tot_800_999_ClAW,Tot_800_999_SWks,Tot_800_999_MaOpDv,Tot_800_999_Lab,Tot_800_999_IDNS,Tot_800_999_Tot,Tot_1000_1249_Mng,Tot_1000_1249_Pro,Tot_1000_1249_TecTW,Tot_1000_1249_CoPSW,Tot_1000_1249_ClAW,Tot_1000_1249_SWks,Tot_1000_1249_MaOpDv,Tot_1000_1249_Lab,Tot_1000_1249_IDNS,Tot_1000_1249_Tot,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000_3499_Mng,Tot_3000_3499_Pro,Tot_3000_3499_TecTW,Tot_3000_3499_CoPSW,Tot_3000_3499_ClAW,Tot_3000_3499_SWks,Tot_3000_3499_MaOpDv,Tot_3000_3499_Lab,Tot_3000_3499_IDNS,Tot_3000_3499_Tot,Tot_3500mo_Mng,Tot_3500mo_Pro,Tot_3500mo_TecTW,Tot_3500mo_CoPSW,Tot_3500mo_ClAW,Tot_3500mo_SWks,Tot_3500mo_MaOpDv,Tot_3500mo_Lab,Tot_3500mo_IDNS,Tot_3500mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
201,6,5,11,9,7,6,3,9,51,101,208,222,155,195,150,113,86,180,139,1444,76,20,23,26,26,16,3,17,10,209,53,61,27,76,39,62,6,65,10,393,92,131,88,177,90,123,19,132,11,863,123,164,118,306,150,188,40,153,29,1270,142,243,206,410,207,221,48,203,32,1719,267,456,388,787,413,361,97,345,38,3159,354,621,649,1029,611,396,155,418,48,4279,495,1028,1249,1255,841,413,301,491,53,6128,750,1775,1497,1110,1108,308,378,434,74,7429,678,1939,1018,599,684,153,255,207,61,5592,675,2139,688,437,508,100,167,140,44,4892,513,1640,380,279,305,68,108,83,47,3423,1210,2358,583,376,302,96,159,84,44,5212,343,390,94,52,59,24,24,14,8,1013,518,742,82,30,46,60,30,16,16,1545,55,67,87,46,20,15,12,32,81,406,6345,13774,7181,6992,5422,2586,1799,2836,599,47529
202,14,15,7,13,3,0,4,9,48,115,185,247,143,201,165,129,98,180,126,1470,87,26,23,25,29,4,4,15,24,235,43,48,33,58,30,63,8,65,15,361,72,125,81,162,85,136,21,114,20,823,110,189,122,249,124,156,45,160,24,1165,153,204,219,388,216,230,62,214,21,1699,239,444,409,784,401,321,103,345,52,3097,324,636,566,1049,497,356,160,477,49,4105,536,1060,1088,1207,744,347,298,645,68,5983,715,1790,1331,993,931,278,361,549,76,7021,601,2027,947,639,689,143,233,242,51,5574,674,2330,698,473,481,115,231,129,48,5177,572,1740,406,334,276,66,126,72,51,3643,1250,2464,598,420,256,83,191,82,47,5394,341,352,119,39,59,24,27,10,4,971,483,681,64,31,52,62,16,11,14,1420,57,79,65,44,25,15,23,40,86,429,6252,14187,6781,6892,4906,2392,1907,3151,644,47106
203,11,24,20,20,19,9,6,18,111,244,270,419,259,424,290,215,153,320,320,2665,101,100,50,53,65,22,15,22,50,468,52,125,73,177,64,120,18,97,18,739,99,242,175,371,202,275,45,239,34,1683,157,343,263,619,302,365,103,310,41,2512,212,441,408,852,390,450,142,490,48,3432,335,884,671,1625,763,651,240,628,77,5881,520,1323,1138,2075,1037,664,352,701,81,7912,765,1989,1893,2323,1501,732,664,963,127,10958,1290,3452,2607,1941,1895,623,780,850,163,13596,1222,3898,1966,1113,1530,407,441,434,132,11134,1265,4261,1715,909,1045,266,291,248,134,10126,1050,3555,1089,599,594,158,161,182,93,7474,2853,5640,1591,713,767,248,205,203,128,12356,803,826,271,77,103,65,44,22,25,2239,1274,1766,285,98,148,112,42,27,66,3824,90,156,166,91,80,31,37,48,223,926,12083,29008,14359,13638,10483,5196,3584,5460,1446,95260
204,21,14,8,8,6,8,8,11,68,153,332,214,176,245,186,144,149,289,190,1927,156,30,47,26,34,11,8,34,24,369,63,43,47,90,51,44,17,87,12,460,155,105,80,199,99,101,23,169,22,961,226,168,138,291,134,145,42,188,23,1352,228,215,234,403,184,201,49,234,45,1791,417,381,424,875,420,369,115,431,49,3479,510,560,680,1192,555,377,204,552,72,4701,698,936,1332,1344,805,406,465,704,85,6782,1059,1611,1749,1169,1000,326,600,682,113,8307,870,1833,1204,681,642,186,402,320,75,6205,930,2081,860,479,417,121,301,207,54,5452,781,1479,499,363,229,78,186,125,41,3785,1595,2123,578,546,269,98,178,124,41,5560,345,280,91,53,32,33,20,10,3,872,536,492,82,49,49,37,18,21,20,1307,88,67,94,68,27,28,22,46,113,550,8654,12412,8131,7831,4950,2556,2646,3934,812,51929
205,29,16,18,18,8,17,4,18,78,214,409,346,261,396,292,268,182,429,247,2836,205,56,60,41,56,22,15,50,42,544,128,93,75,133,52,96,15,111,32,741,185,188,149,307,173,193,34,236,28,1500,269,224,266,448,256,235,55,279,39,2067,330,300,411,716,353,327,71,375,49,2932,558,611,719,1364,703,535,124,560,76,5252,667,934,1024,1854,929,569,263,740,89,7079,950,1440,1676,1754,1345,620,496,899,146,9319,1274,2369,2125,1556,1441,472,584,777,149,10751,1071,2731,1538,812,897,223,448,433,101,8260,1097,2967,1259,716,644,172,331,275,85,7546,844,2206,775,464,365,105,277,200,74,5302,1782,3108,1307,674,371,129,365,284,88,8109,530,464,338,78,65,25,106,52,16,1685,816,903,529,65,92,73,97,34,44,2656,149,117,170,84,56,43,39,73,181,908,10850,18697,12425,11064,7794,3828,3332,5392,1247,74630
206,72,187,66,83,97,47,25,32,738,1354,1916,3821,1141,1291,2086,860,413,835,2068,14425,421,603,166,190,273,123,28,89,283,2174,150,694,156,493,248,275,52,213,92,2373,247,1275,371,1316,709,820,145,555,157,5589,458,1759,632,1993,1062,1265,238,888,241,8546,631,2109,1009,2570,1649,1510,351,1489,292,11607,1200,4106,2005,4395,3247,2421,589,2402,428,20795,1890,6151,3140,5544,4892,2670,800,2431,543,28061,3526,11325,5343,6365,9307,3063,1197,2624,863,43616,6740,23991,7800,6327,16281,3412,1255,2045,1260,69113,7683,31480,6100,4115,14293,2541,772,1046,1072,69089,9440,37281,5318,3265,11843,2231,538,773,1032,71701,9635,33849,4029,2072,7592,1455,509,570,833,60542,32506,74971,6810,3784,10799,2766,1101,927,1474,135140,13465,19012,1353,542,2425,769,315,227,397,38497,31324,35329,1454,416,3766,1865,192,212,835,75389,538,1344,408,305,479,163,72,128,1410,4847,119840,285273,46088,43690,88860,27350,8145,16635,11193,647081
207,11,27,17,22,18,13,9,6,131,267,323,676,247,412,364,268,89,191,368,2942,149,164,54,48,71,58,4,34,52,641,81,294,77,235,139,153,18,91,30,1111,141,569,146,549,299,407,41,211,48,2404,238,619,227,763,402,496,48,283,82,3160,251,780,328,1006,507,607,79,343,83,3975,472,1397,599,1600,983,795,139,580,110,6676,637,1832,883,1938,1317,828,173,554,119,8280,1015,2905,1450,2218,1905,830,272,573,183,11344,1501,4934,1833,2103,2600,834,295,488,212,14797,1382,5684,1344,1122,2014,591,193,244,157,12728,1586,6536,1065,843,1627,462,135,152,156,12564,1442,5327,701,497,977,296,97,107,110,9544,4345,10770,1004,827,1337,522,94,121,165,19183,1585,2178,167,124,252,170,13,30,51,4572,3620,3956,174,101,365,307,13,22,90,8653,108,295,97,111,96,59,18,21,275,1078,18551,48229,10158,14082,14881,7409,1634,3853,1925,120717
208,29,44,24,21,15,13,15,11,183,350,491,724,394,460,424,337,200,326,496,3849,183,148,70,68,92,58,11,33,72,744,64,250,79,221,119,153,26,94,33,1024,129,443,166,576,293,432,54,250,39,2383,198,524,320,760,392,532,85,312,63,3180,270,646,484,1085,535,701,146,439,63,4366,460,1135,821,1900,939,1015,240,688,99,7301,734,1590,1306,2263,1286,1045,425,817,121,9589,1205,2643,2286,2795,1861,1187,809,1155,206,14143,1854,4401,2936,2494,2589,1102,820,878,283,17359,1798,5032,2372,1240,1855,730,490,485,166,14172,1907,5276,1885,801,1255,545,292,259,184,12412,1645,4328,1250,463,721,348,149,185,102,9188,4047,7348,1519,615,906,613,137,219,150,15544,1318,1494,259,66,207,199,29,22,52,3643,3146,3360,205,75,291,334,16,45,120,7596,166,308,195,116,111,55,30,50,335,1360,19119,38909,16137,15540,13438,9065,3757,5929,2092,123995
209,17,39,29,22,35,22,12,15,162,343,321,671,440,553,461,339,277,366,417,3842,119,122,78,76,82,48,26,33,50,637,70,236,99,220,114,195,29,112,37,1123,122,425,224,538,268,456,99,277,31,2439,186,555,319,825,399,520,157,350,59,3371,252,664,487,1111,559,672,222,494,66,4529,432,1260,929,1848,958,925,365,769,105,7591,644,1847,1405,2484,1340,923,563,906,134,10239,1083,2807,2268,3074,1924,901,1007,1162,195,14426,1553,4968,3075,2582,2364,802,1115,960,266,17686,1424,5709,2359,1478,1605,518,665,519,185,14460,1556,6255,1925,1124,1130,346,481,337,161,13321,1413,4841,1192,684,637,226,228,160,117,9501,3156,7160,1618,834,770,335,252,210,150,14476,907,1240,227,84,143,89,66,35,32,2822,1487,2297,204,43,179,113,25,36,52,4436,111,265,244,126,113,73,37,63,309,1343,14506,40663,16666,17127,12578,7140,5343,6410,1963,122399
210,20,18,33,27,17,16,13,24,181,354,380,454,447,428,478,316,442,385,506,3848,87,91,91,63,88,37,36,40,56,580,41,120,83,127,72,108,35,92,32,714,102,240,159,383,215,311,108,210,32,1765,119,259,325,511,313,397,189,278,48,2440,192,344,479,764,432,433,272,418,61,3402,353,618,758,1451,816,690,530,684,110,6014,507,940,1241,1921,1223,785,903,996,175,8683,872,1545,2236,2258,1936,834,1728,1423,225,13061,1454,2792,3166,2039,2525,771,1837,1219,293,16103,1415,3278,2733,1135,1938,529,1143,674,222,13070,1591,3606,2359,895,1405,415,773,487,178,11703,1328,2801,1594,579,742,259,370,297,111,8084,3441,5010,2229,913,929,327,425,357,141,13768,1061,865,392,68,177,76,69,52,25,2788,1741,1519,309,81,164,96,53,45,48,4060,103,176,244,93,102,58,68,66,349,1256,14406,24206,18401,13276,13075,6120,8535,7347,2110,107477
