POW_SA4_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
201,5,278,168,444,146,175,316,65,35,93,1813,616,2427,4,3,8,62,71,137,73,36,111,56,47,104,0,0,3,193,209,402,39,15,54,3,20,24,432,404,836,5,12,16,155,261,415,75,106,180,161,153,314,392,530,921,0,3,3,124,54,179,269,334,603,399,391,788,11,5,18,1121,1405,2524,553,169,725,1688,1581,3269,0,0,0,254,396,645,481,478,962,731,876,1611,4,0,4,1157,1705,2861,27,12,36,774,407,1181,1962,2121,4080,42,104,143,1250,3824,5070,538,836,1377,178,389,566,2006,5153,7158,25,147,173,1014,4378,5399,838,2377,3212,293,1290,1585,687,2370,3052,2854,10572,13427,0,6,14,142,128,272,77,113,196,412,486,898,20,22,38,655,765,1418,0,0,0,992,178,1166,365,993,1359,0,0,0,1357,1168,2529,1058,576,1639,483,378,860,33937,36258,70192
202,16,288,182,475,103,28,128,78,31,107,1688,463,2152,3,8,14,42,81,123,53,29,83,34,31,65,0,0,0,121,56,179,69,28,102,15,55,73,346,291,635,10,13,31,663,877,1539,69,71,143,176,197,371,917,1163,2081,0,4,3,82,27,103,221,336,558,302,361,664,16,6,26,1154,1414,2570,304,109,418,1483,1531,3013,0,4,4,191,413,595,513,549,1061,697,959,1664,3,5,13,1211,1669,2874,93,88,182,924,437,1363,2235,2194,4431,46,95,136,1140,3609,4749,304,490,799,133,305,432,1624,4497,6122,39,145,182,987,4255,5242,792,2419,3213,257,1475,1730,584,2187,2770,2663,10472,13139,4,3,10,77,86,161,109,128,236,332,357,682,11,15,22,522,589,1105,0,0,0,962,189,1156,356,994,1355,0,8,8,1322,1188,2513,1003,581,1578,487,397,885,33905,35816,69726
203,35,585,239,823,388,117,506,302,147,453,3333,921,4248,8,8,15,75,87,162,101,81,176,41,25,66,7,0,7,177,72,249,53,13,66,44,149,193,495,439,934,28,22,44,341,488,831,602,1162,1768,409,359,768,1378,2036,3414,5,5,10,176,56,233,544,822,1365,720,883,1609,26,15,39,3121,3528,6649,724,257,988,3873,3799,7677,0,3,0,475,787,1259,1046,878,1923,1521,1663,3182,8,10,22,1729,2924,4652,91,53,146,1951,1207,3157,3779,4201,7978,93,162,251,2236,6890,9125,1439,1966,3404,313,651,970,4081,9671,13758,44,207,250,1556,6744,8303,1408,4433,5843,521,3031,3558,1494,5253,6753,5029,19678,24702,26,26,50,154,126,278,148,195,342,719,631,1347,31,37,68,1073,1018,2084,0,0,3,1634,288,1919,690,2189,2874,0,48,48,2327,2519,4842,2030,1204,3242,884,667,1553,64153,70425,134572
204,527,270,214,484,112,47,157,151,58,207,2589,925,3510,6,3,7,57,79,134,20,20,45,20,25,39,0,0,0,51,16,65,17,6,20,5,26,31,175,181,351,9,10,13,115,324,445,31,46,73,113,121,236,264,507,768,0,6,6,141,71,210,197,333,524,336,407,741,4,9,16,885,1335,2219,210,56,265,1096,1399,2500,0,8,8,305,408,711,581,607,1188,886,1022,1907,8,6,12,1306,1790,3088,1938,594,2532,862,407,1266,4109,2794,6898,43,112,155,1241,4345,5584,382,549,930,270,410,682,1931,5414,7346,36,137,178,557,3417,3972,650,1947,2589,289,1732,2023,435,2151,2581,1959,9389,11351,6,3,13,94,67,164,52,60,107,411,400,808,13,15,22,573,543,1115,0,0,0,1126,234,1364,303,916,1218,0,9,9,1434,1157,2588,1119,613,1731,657,532,1186,39451,38492,77944
205,51,443,346,794,192,83,275,61,23,83,2614,850,3466,3,5,12,61,77,135,57,45,95,40,49,95,3,0,4,152,45,196,224,92,316,17,46,60,559,362,919,16,14,27,212,562,775,96,184,283,178,237,411,492,998,1489,0,4,4,114,65,180,427,688,1117,542,755,1303,16,11,26,1563,2042,3604,322,101,427,1904,2149,4057,0,3,3,328,547,874,801,792,1592,1127,1344,2471,4,12,14,1786,3096,4883,637,222,861,1304,670,1973,3731,4005,7728,64,126,191,1823,6606,8431,340,572,911,204,419,620,2429,7725,10150,49,209,256,1107,5478,6577,1077,3513,4590,446,2866,3311,714,3319,4030,3389,15374,18761,20,12,30,250,234,488,70,110,182,413,613,1019,17,32,47,765,996,1762,0,0,0,1818,379,2194,563,1755,2318,0,5,8,2384,2137,4517,1568,840,2414,1053,878,1932,55220,57877,113091
206,374,4035,2073,6109,3255,1388,4649,648,241,895,18891,7535,26431,255,209,461,2291,2300,4586,2111,1527,3641,1777,1433,3205,266,245,512,8227,3759,11994,2227,975,3201,254,392,651,17414,10840,28255,831,565,1399,24645,20027,44677,9277,10027,19308,12330,9023,21358,47091,39649,86739,31,34,69,582,389,978,7002,6709,13710,7617,7133,14748,449,336,782,49629,50484,100111,30031,11524,41558,80113,62342,142452,7,30,35,8650,10286,18934,4459,4315,8774,13121,14628,27747,93,138,227,18958,26522,45477,2351,969,3315,11002,6331,17340,32398,33959,66356,1023,1729,2750,4480,12306,16786,10584,14508,25091,1989,3277,5265,18073,31818,49897,387,972,1355,9335,27541,36876,7032,17539,24578,1940,5234,7174,3264,10160,13425,21951,61452,83408,320,313,637,1184,1744,2929,2179,2274,4455,4178,3176,7352,3888,2283,6167,11746,9790,21538,8,8,12,3020,601,3623,5864,10815,16678,7,230,235,8892,11658,20548,10970,8990,19963,4734,4010,8739,398447,380255,778703
207,18,485,185,668,235,213,444,89,52,142,2136,729,2862,28,14,41,91,134,230,227,140,366,24,30,54,18,15,30,514,481,998,164,53,220,25,113,133,1089,984,2072,105,79,182,958,1024,1982,467,440,910,1347,1106,2456,2874,2648,5525,0,8,13,130,96,229,1601,1765,3367,1736,1870,3612,70,49,123,7138,6985,14122,3078,1200,4276,10283,8231,18515,0,8,14,747,1042,1792,1055,859,1918,1808,1912,3718,9,9,12,2040,2475,4521,53,17,71,1223,831,2053,3323,3336,6655,181,378,561,3123,9554,12676,2734,3872,6607,899,1563,2460,6933,15367,22300,98,328,426,1656,5688,7346,2688,7538,10224,1319,4170,5484,1550,4542,6085,7306,22262,29566,22,14,38,37,66,105,163,195,358,747,798,1549,69,30,99,1036,1106,2140,0,0,0,1115,249,1359,1467,3113,4579,0,131,133,2576,3497,6075,2145,1842,3986,1048,807,1857,69615,84739,154349
208,21,577,240,810,190,82,277,555,260,814,3261,1100,4369,29,23,50,118,178,297,292,211,503,47,34,84,25,14,40,331,115,446,185,70,255,16,45,69,1034,700,1741,104,55,169,721,705,1434,320,331,652,1150,780,1926,2305,1874,4172,8,11,18,191,112,299,1391,1694,3086,1589,1817,3408,61,39,101,4747,5142,9894,2231,845,3075,7044,6030,13068,0,4,5,901,1341,2242,1314,848,2167,2215,2197,4416,5,11,16,1376,2395,3771,56,11,67,1177,427,1604,2622,2841,5456,147,243,392,2758,9649,12407,915,1320,2236,851,1451,2308,4674,12675,17342,100,322,424,1641,6174,7816,2087,6979,9067,1098,4034,5137,1216,4974,6191,6147,22484,28634,31,44,73,64,53,121,275,346,627,1162,976,2142,63,28,85,1594,1454,3043,3,0,3,2122,454,2577,1180,2929,4112,0,124,124,3305,3510,6811,4049,2688,6730,1299,976,2274,82836,89271,172105
209,127,867,302,1170,330,158,490,454,177,625,5242,1330,6568,14,12,27,58,64,116,197,125,317,29,10,39,6,13,19,316,139,452,120,43,160,42,166,207,773,565,1344,43,35,76,519,716,1235,181,223,401,478,344,816,1219,1317,2534,0,3,7,158,90,247,833,959,1796,998,1051,2049,18,20,40,3283,3637,6922,1043,339,1385,4352,3997,8343,0,8,8,602,975,1578,1621,1237,2862,2225,2215,4439,7,15,21,1870,2979,4842,832,213,1048,1886,1198,3086,4595,4399,8999,98,224,321,2767,10600,13368,1829,2716,4548,532,1105,1630,5227,14637,19866,94,301,401,3060,10676,13738,2194,6724,8922,910,4162,5077,1686,6008,7697,7949,27874,35820,29,31,59,64,33,98,252,312,562,681,882,1566,31,42,72,1054,1296,2348,0,0,5,2304,476,2776,858,2478,3335,0,33,37,3167,2989,6157,3639,2042,5679,1441,994,2431,82955,90245,173204
210,33,2189,693,2884,3467,1735,5202,1036,393,1432,16323,6016,22335,18,3,25,65,108,179,116,74,194,19,23,37,3,3,9,470,142,613,80,37,118,10,37,50,785,433,1223,28,21,52,468,564,1033,187,331,521,269,234,500,955,1153,2108,4,5,5,395,244,634,512,567,1079,910,815,1725,31,6,39,1991,2016,4008,845,288,1130,2871,2303,5172,0,4,5,935,1046,1979,1572,1224,2790,2504,2269,4775,13,19,28,1760,2419,4176,99,25,123,3413,1460,4877,5284,3924,9209,94,163,254,2334,9109,11443,292,427,717,463,930,1396,3182,10638,13817,63,151,210,196,771,971,1375,3469,4842,472,2243,2711,647,3477,4123,2760,10109,12861,18,14,31,64,33,101,124,136,268,568,546,1114,31,55,89,814,787,1601,4,0,5,3002,517,3517,920,1736,2654,0,7,7,3919,2261,6180,4799,2181,6985,1720,1086,2797,95945,67751,163696
