POW_SA4_CODE_2021,FTS_NNI_Mng,FTS_NNI_Pro,FTS_NNI_TecTW,FTS_NNI_CoPSW,FTS_NNI_ClAW,FTS_NNI_SWks,FTS_NNI_MaOpDv,FTS_NNI_Lab,FTS_NNI_IDNS,FTS_NNI_Tot,FTS_1_149_Mng,FTS_1_149_Pro,FTS_1_149_TecTW,FTS_1_149_CoPSW,FTS_1_149_ClAW,FTS_1_149_SWks,FTS_1_149_MaOpDv,FTS_1_149_Lab,FTS_1_149_IDNS,FTS_1_149_Tot,FTS_150_299_Mng,FTS_150_299_Pro,FTS_150_299_TecTW,FTS_150_299_CoPSW,FTS_150_299_ClAW,FTS_150_299_SWks,FTS_150_299_MaOpDv,FTS_150_299_Lab,FTS_150_299_IDNS,FTS_150_299_Tot,FTS_300_399_Mng,FTS_300_399_Pro,FTS_300_399_TecTW,FTS_300_399_CoPSW,FTS_300_399_ClAW,FTS_300_399_SWks,FTS_300_399_MaOpDv,FTS_300_399_Lab,FTS_300_399_IDNS,FTS_300_399_Tot,FTS_400_499_Mng,FTS_400_499_Pro,FTS_400_499_TecTW,FTS_400_499_CoPSW,FTS_400_499_ClAW,FTS_400_499_SWks,FTS_400_499_MaOpDv,FTS_400_499_Lab,FTS_400_499_IDNS,FTS_400_499_Tot,FTS_500_649_Mng,FTS_500_649_Pro,FTS_500_649_TecTW,FTS_500_649_CoPSW,FTS_500_649_ClAW,FTS_500_649_SWks,FTS_500_649_MaOpDv,FTS_500_649_Lab,FTS_500_649_IDNS,FTS_500_649_Tot,FTS_650_799_Mng,FTS_650_799_Pro,FTS_650_799_TecTW,FTS_650_799_CoPSW,FTS_650_799_ClAW,FTS_650_799_SWks,FTS_650_799_MaOpDv,FTS_650_799_Lab,FTS_650_799_IDNS,FTS_650_799_Tot,FTS_800_999_Mng,FTS_800_999_Pro,FTS_800_999_TecTW,FTS_800_999_CoPSW,FTS_800_999_ClAW,FTS_800_999_SWks,FTS_800_999_MaOpDv,FTS_800_999_Lab,FTS_800_999_IDNS,FTS_800_999_Tot,FTS_1000_1249_Mng,FTS_1000_1249_Pro,FTS_1000_1249_TecTW,FTS_1000_1249_CoPSW,FTS_1000_1249_ClAW,FTS_1000_1249_SWks,FTS_1000_1249_MaOpDv,FTS_1000_1249_Lab,FTS_1000_1249_IDNS,FTS_1000_1249_Tot,FTS_1250_1499_Mng,FTS_1250_1499_Pro,FTS_1250_1499_TecTW,FTS_1250_1499_CoPSW,FTS_1250_1499_ClAW,FTS_1250_1499_SWks,FTS_1250_1499_MaOpDv,FTS_1250_1499_Lab,FTS_1250_1499_IDNS,FTS_1250_1499_Tot,FTS_1500_1749_Mng,FTS_1500_1749_Pro,FTS_1500_1749_TecTW,FTS_1500_1749_CoPSW,FTS_1500_1749_ClAW,FTS_1500_1749_SWks,FTS_1500_1749_MaOpDv,FTS_1500_1749_Lab,FTS_1500_1749_IDNS,FTS_1500_1749_Tot,FTS_1750_1999_Mng,FTS_1750_1999_Pro,FTS_1750_1999_TecTW,FTS_1750_1999_CoPSW,FTS_1750_1999_ClAW,FTS_1750_1999_SWks,FTS_1750_1999_MaOpDv,FTS_1750_1999_Lab,FTS_1750_1999_IDNS,FTS_1750_1999_Tot,FTS_2000_2999_Mng,FTS_2000_2999_Pro,FTS_2000_2999_TecTW,FTS_2000_2999_CoPSW,FTS_2000_2999_ClAW,FTS_2000_2999_SWks,FTS_2000_2999_MaOpDv,FTS_2000_2999_Lab,FTS_2000_2999_IDNS,FTS_2000_2999_Tot,FTS_3000_3499_Mng,FTS_3000_3499_Pro,FTS_3000_3499_TecTW,FTS_3000_3499_CoPSW,FTS_3000_3499_ClAW,FTS_3000_3499_SWks,FTS_3000_3499_MaOpDv,FTS_3000_3499_Lab,FTS_3000_3499_IDNS,FTS_3000_3499_Tot,FTS_3500mo_Mng,FTS_3500mo_Pro,FTS_3500mo_TecTW,FTS_3500mo_CoPSW,FTS_3500mo_ClAW,FTS_3500mo_SWks,FTS_3500mo_MaOpDv,FTS_3500mo_Lab,FTS_3500mo_IDNS,FTS_3500mo_Tot,FTS_PINS_Mng,FTS_PINS_Pro,FTS_PINS_TecTW,FTS_PINS_CoPSW,FTS_PINS_ClAW,FTS_PINS_SWks,FTS_PINS_MaOpDv,FTS_PINS_Lab,FTS_PINS_IDNS,FTS_PINS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_IDNS,FTS_Tot_Tot,PTS_NNI_Mng,PTS_NNI_Pro,PTS_NNI_TecTW,PTS_NNI_CoPSW,PTS_NNI_ClAW,PTS_NNI_SWks,PTS_NNI_MaOpDv,PTS_NNI_Lab,PTS_NNI_IDNS,PTS_NNI_Tot,PTS_1_149_Mng,PTS_1_149_Pro,PTS_1_149_TecTW,PTS_1_149_CoPSW,PTS_1_149_ClAW,PTS_1_149_SWks,PTS_1_149_MaOpDv,PTS_1_149_Lab,PTS_1_149_IDNS,PTS_1_149_Tot,PTS_150_299_Mng,PTS_150_299_Pro,PTS_150_299_TecTW,PTS_150_299_CoPSW,PTS_150_299_ClAW,PTS_150_299_SWks,PTS_150_299_MaOpDv,PTS_150_299_Lab,PTS_150_299_IDNS,PTS_150_299_Tot
201,5,0,6,20,0,27,0,18,7,82,13,34,29,349,42,844,20,524,19,1871,12,25,25,189,29,389,15,214,12,906,5,14,15,123,36,158,9,59,5,431,3,12,9,116,38,106,15,46,3,351,14,26,32,116,41,103,4,45,3,375,3,15,48,84,20,48,3,20,0,243,8,13,33,51,21,12,0,15,0,157,5,7,10,30,8,7,0,4,0,81,0,4,0,11,3,0,0,0,0,24,0,3,0,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,12,5,7,5,40,79,152,213,1104,241,1715,72,955,68,4593,0,0,0,3,0,0,0,0,0,6,0,0,3,8,0,15,0,14,0,44,3,0,16,20,0,23,5,21,0,80
202,5,0,0,0,3,20,0,27,14,71,14,18,32,291,38,817,31,582,30,1851,9,19,23,184,21,418,25,245,14,948,3,14,7,128,28,113,15,67,3,389,0,9,26,87,17,97,16,46,0,300,17,10,40,93,36,67,5,39,7,303,7,21,44,62,18,28,4,15,0,194,11,12,23,35,18,9,9,9,0,129,5,12,4,21,5,9,0,3,0,62,0,6,5,8,4,0,0,4,0,25,0,0,4,0,4,0,0,0,0,12,0,4,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,15,0,8,8,41,73,109,202,920,185,1598,110,1050,72,4324,0,0,0,4,0,0,0,0,0,0,0,0,0,6,3,14,0,9,0,33,3,0,13,26,8,21,4,8,3,84
203,0,4,7,22,6,49,0,23,6,122,10,38,69,758,74,1719,60,1061,42,3831,19,45,74,484,81,851,63,466,16,2095,15,35,49,314,64,396,40,180,4,1104,23,44,55,291,51,294,39,134,7,938,14,42,58,305,64,261,42,132,6,920,12,32,78,168,34,102,22,63,0,527,15,31,43,96,29,43,13,37,3,312,10,16,20,51,15,15,8,8,3,149,9,7,11,15,3,5,7,3,0,56,3,3,0,5,0,0,0,4,0,17,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,0,3,0,13,3,37,0,15,8,73,137,301,470,2522,441,3770,293,2123,105,10163,0,0,0,0,0,3,0,0,0,12,0,0,8,23,6,21,4,14,0,77,3,4,22,38,0,59,8,37,0,168
204,3,0,10,16,3,32,0,28,12,97,14,17,46,385,45,797,13,594,35,1939,11,3,28,154,26,348,5,231,10,813,0,10,6,87,9,81,4,39,0,236,5,7,10,77,12,44,9,25,3,188,8,12,22,74,19,41,3,24,0,205,6,12,26,64,12,17,8,18,4,167,3,16,70,77,3,5,3,11,3,196,9,14,72,35,4,0,7,4,0,145,0,9,18,10,0,0,0,0,0,32,0,0,0,7,0,0,0,0,0,13,0,0,5,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,12,0,5,8,31,61,97,316,981,142,1367,52,982,81,4085,0,0,0,4,0,0,0,9,0,9,0,0,3,6,0,12,5,19,3,49,3,0,14,18,5,19,0,20,3,80
205,13,0,3,13,6,46,0,37,9,124,17,25,52,526,46,1339,30,779,60,2873,12,15,33,231,39,586,19,286,19,1232,9,18,15,119,21,154,7,83,5,426,10,11,33,96,18,83,0,44,3,305,9,24,53,114,26,52,3,49,5,336,11,13,36,64,18,36,4,14,0,198,13,11,37,61,9,12,0,5,0,149,5,16,11,25,16,5,0,0,0,81,0,5,8,13,8,0,0,3,0,35,0,4,5,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,12,0,30,0,14,8,70,104,148,294,1278,203,2344,74,1316,109,5860,0,0,3,0,0,0,0,5,0,8,0,6,6,18,0,23,3,14,0,68,0,5,28,30,4,42,0,21,3,126
206,5,58,19,122,47,109,10,69,41,471,55,412,93,1529,368,2118,84,1224,119,5996,99,533,161,1694,625,1861,121,802,90,5988,82,485,169,1399,648,1263,109,545,66,4767,88,405,269,1245,694,987,115,594,54,4449,132,560,344,1288,782,956,139,642,71,4909,122,443,309,777,583,428,71,361,42,3135,97,367,233,462,444,201,74,198,36,2115,63,298,107,197,334,88,25,71,31,1211,29,135,52,67,116,29,13,22,7,467,23,66,4,34,44,13,7,5,8,210,8,25,6,18,21,7,0,10,0,90,5,26,8,21,9,6,3,5,0,88,0,7,4,3,4,0,0,0,0,33,3,8,5,11,3,12,0,7,6,50,5,21,11,51,27,56,6,24,81,278,819,3846,1790,8912,4758,8139,766,4574,649,34262,0,9,6,10,6,8,0,4,5,47,0,22,17,50,31,43,4,30,6,202,6,40,31,131,44,104,13,65,6,445
207,7,17,3,48,20,41,3,34,4,187,32,306,58,999,152,1627,65,772,27,4039,27,268,66,764,217,1173,43,413,25,2994,34,166,53,515,200,622,34,201,21,1856,28,102,59,395,151,463,30,177,17,1422,41,102,76,306,155,371,34,149,8,1241,34,83,85,197,129,141,14,83,12,782,23,68,61,120,72,70,7,43,7,474,18,46,16,67,44,27,5,17,4,240,5,21,4,12,12,6,0,6,0,74,6,9,4,7,6,8,3,5,0,41,0,7,0,6,0,0,0,0,0,16,0,7,0,7,4,0,0,0,0,22,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,6,3,15,11,26,0,13,28,102,275,1198,497,3461,1171,4584,241,1923,158,13505,0,3,0,3,0,0,0,3,0,14,3,13,3,17,8,22,0,11,0,84,3,11,20,45,9,46,10,21,0,168
208,7,14,7,54,11,73,3,42,19,214,29,200,78,1239,156,2036,73,1065,48,4930,36,183,80,940,212,1422,86,493,30,3482,34,107,61,599,201,790,49,258,13,2122,33,100,101,446,162,640,64,207,17,1768,48,111,117,419,186,497,64,193,6,1645,40,51,106,276,118,224,29,103,17,960,27,56,104,141,73,92,22,59,8,580,13,39,36,84,30,43,9,21,3,281,0,15,4,30,10,16,3,10,0,94,0,5,7,13,5,8,0,0,0,46,0,3,0,5,7,0,0,0,0,15,3,6,0,6,0,3,0,4,0,27,0,0,0,8,0,3,0,0,0,10,0,0,0,9,3,3,0,0,0,18,4,13,0,33,9,47,0,20,27,151,279,904,703,4287,1194,5905,415,2475,181,16343,0,0,3,5,0,3,0,0,0,11,3,6,5,35,8,37,4,18,4,125,9,11,20,61,20,101,12,29,3,260
209,0,7,0,47,9,80,4,52,16,219,26,131,54,799,146,2216,50,1076,49,4560,34,125,61,589,154,1515,68,570,26,3134,26,69,54,364,112,595,49,240,26,1532,45,61,83,281,113,454,49,188,16,1302,51,90,104,265,128,341,70,177,12,1241,41,46,104,201,85,183,47,85,15,804,35,50,88,105,47,72,31,71,8,506,5,34,48,59,37,29,6,21,7,246,7,14,8,19,9,9,4,0,6,74,0,4,8,16,7,3,0,0,0,39,0,0,5,3,0,0,5,0,0,14,0,5,6,5,0,0,0,6,0,10,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,8,3,16,3,37,0,19,32,121,295,640,628,2775,851,5537,388,2513,203,13818,0,0,4,4,0,4,0,0,0,15,5,9,10,18,14,46,0,12,3,120,0,8,27,49,15,84,7,38,0,221
210,4,8,5,21,6,84,10,50,12,192,21,97,49,492,75,1482,47,752,32,3044,26,66,43,359,140,1020,95,443,28,2227,20,45,52,241,90,435,83,224,21,1197,25,34,94,173,70,326,90,171,12,997,36,38,105,189,90,245,95,153,11,958,24,22,94,104,60,129,72,111,9,624,23,20,80,68,40,48,67,77,15,448,12,28,35,43,30,19,39,24,8,242,3,10,8,5,6,6,11,13,4,70,0,0,7,10,0,4,7,0,0,32,0,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,4,9,0,0,7,12,0,33,3,18,30,114,193,377,581,1724,624,3830,627,2037,180,10178,0,0,7,4,0,3,0,5,0,11,4,9,16,6,5,22,0,17,8,76,4,3,15,21,6,49,11,38,6,149
