POW_SA4_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
201,553,81,114,254,480,452,460,5,29,2432,47,0,8,16,22,26,28,0,0,157,77,9,10,30,57,56,56,0,10,302,95,11,26,22,50,54,73,0,28,354,2456,314,540,828,1606,1489,1712,26,158,9126
202,459,80,111,180,480,410,446,10,31,2196,44,6,9,14,18,15,17,0,3,123,69,7,10,16,45,33,32,0,5,221,82,12,17,35,81,62,62,0,10,358,2122,323,539,769,1681,1426,1622,25,145,8645
203,1320,221,321,479,1130,1005,989,18,61,5534,82,15,11,29,37,38,35,7,3,263,207,35,49,62,165,175,187,0,16,887,233,31,53,67,178,226,248,5,54,1093,6300,985,1430,2119,4611,4626,5031,65,374,25542
204,528,87,112,138,333,306,366,6,40,1905,48,5,12,11,12,28,26,0,0,142,97,12,19,18,28,49,30,0,7,260,114,14,16,29,66,56,69,0,24,389,2938,366,532,756,1416,1340,1709,45,232,9326
205,979,135,212,341,647,594,588,16,48,3563,83,11,12,18,24,11,17,0,7,180,162,19,31,39,86,79,58,0,12,489,187,23,30,41,73,77,96,4,29,561,4928,564,889,1257,2243,2045,2246,57,330,14560
206,7174,1967,2560,3699,6126,5992,6149,171,252,34094,1284,393,586,821,1184,1045,994,19,61,6387,1676,406,514,758,1382,1489,1649,33,67,7971,1919,545,815,1311,2161,2425,3539,82,603,13395,57674,16654,23465,35991,55202,59266,72279,1434,2855,324818
207,2811,810,1029,1550,2436,2238,2207,24,101,13194,110,22,38,61,77,64,66,0,0,441,545,157,172,263,428,400,423,3,29,2419,424,105,175,295,460,515,722,13,156,2864,13125,3395,4870,7512,11022,10625,11696,170,652,63067
208,2763,848,950,1411,2526,2314,2639,22,108,13582,156,35,50,83,99,86,85,0,7,592,682,172,205,260,453,385,471,5,27,2653,921,259,296,431,698,654,820,16,193,4275,15546,4112,5144,7401,11458,10349,12365,156,779,67308
209,2955,843,1050,1596,3384,2653,2244,32,148,14904,94,18,23,63,94,69,48,0,6,427,491,121,152,174,335,330,352,4,33,1986,732,177,217,324,586,567,701,15,186,3497,13776,3480,4231,6032,11730,9633,10244,114,768,60011
210,1126,352,458,660,1409,1138,909,10,41,6088,74,10,20,30,54,30,33,0,4,270,563,142,145,195,417,400,417,4,36,2308,874,245,304,388,818,751,1008,20,217,4621,14401,3766,4440,6073,12168,9761,10888,133,820,62443
