POW_SA4_CODE_2021,ClAW_2000_2999_H_0,ClAW_2000_2999_H_1_19,ClAW_2000_2999_H_20_29,ClAW_2000_2999_H_30_34,ClAW_2000_2999_H_35_39,ClAW_2000_2999_H_40_44,ClAW_2000_2999_H_45_49,ClAW_2000_2999_H_50ov,ClAW_2000_2999_H_NS,ClAW_2000_2999_H_Tot,ClAW_3000_3499_H_0,ClAW_3000_3499_H_1_19,ClAW_3000_3499_H_20_29,ClAW_3000_3499_H_30_34,ClAW_3000_3499_H_35_39,ClAW_3000_3499_H_40_44,ClAW_3000_3499_H_45_49,ClAW_3000_3499_H_50ov,ClAW_3000_3499_H_NS,ClAW_3000_3499_H_Tot,ClAW_3500mo_H_0,ClAW_3500mo_H_1_19,ClAW_3500mo_H_20_29,ClAW_3500mo_H_30_34,ClAW_3500mo_H_35_39,ClAW_3500mo_H_40_44,ClAW_3500mo_H_45_49,ClAW_3500mo_H_50ov,ClAW_3500mo_H_NS,ClAW_3500mo_H_Tot,ClAW_PINS_H_0,ClAW_PINS_H_1_19,ClAW_PINS_H_20_29,ClAW_PINS_H_30_34,ClAW_PINS_H_35_39,ClAW_PINS_H_40_44,ClAW_PINS_H_45_49,ClAW_PINS_H_50ov,ClAW_PINS_H_NS,ClAW_PINS_H_Tot,ClAW_Tot_H_0,ClAW_Tot_H_1_19,ClAW_Tot_H_20_29,ClAW_Tot_H_30_34,ClAW_Tot_H_35_39,ClAW_Tot_H_40_44,ClAW_Tot_H_45_49,ClAW_Tot_H_50ov,ClAW_Tot_H_NS,ClAW_Tot_H_Tot,SWs_NNI_H_0,SWs_NNI_H_1_19,SWs_NNI_H_20_29,SWs_NNI_H_30_34,SWs_NNI_H_35_39,SWs_NNI_H_40_44,SWs_NNI_H_45_49,SWs_NNI_H_50ov,SWs_NNI_H_NS,SWs_NNI_H_Tot,SWs_1_149_H_0,SWs_1_149_H_1_19,SWs_1_149_H_20_29,SWs_1_149_H_30_34,SWs_1_149_H_35_39,SWs_1_149_H_40_44,SWs_1_149_H_45_49,SWs_1_149_H_50ov,SWs_1_149_H_NS,SWs_1_149_H_Tot,SWs_150_299_H_0,SWs_150_299_H_1_19,SWs_150_299_H_20_29,SWs_150_299_H_30_34,SWs_150_299_H_35_39,SWs_150_299_H_40_44,SWs_150_299_H_45_49,SWs_150_299_H_50ov,SWs_150_299_H_NS,SWs_150_299_H_Tot,SWs_300_399_H_0,SWs_300_399_H_1_19,SWs_300_399_H_20_29,SWs_300_399_H_30_34,SWs_300_399_H_35_39,SWs_300_399_H_40_44,SWs_300_399_H_45_49,SWs_300_399_H_50ov,SWs_300_399_H_NS,SWs_300_399_H_Tot,SWs_400_499_H_0,SWs_400_499_H_1_19,SWs_400_499_H_20_29,SWs_400_499_H_30_34,SWs_400_499_H_35_39,SWs_400_499_H_40_44,SWs_400_499_H_45_49,SWs_400_499_H_50ov,SWs_400_499_H_NS,SWs_400_499_H_Tot,SWs_500_649_H_0,SWs_500_649_H_1_19,SWs_500_649_H_20_29,SWs_500_649_H_30_34,SWs_500_649_H_35_39,SWs_500_649_H_40_44,SWs_500_649_H_45_49,SWs_500_649_H_50ov,SWs_500_649_H_NS,SWs_500_649_H_Tot,SWs_650_799_H_0,SWs_650_799_H_1_19,SWs_650_799_H_20_29,SWs_650_799_H_30_34,SWs_650_799_H_35_39,SWs_650_799_H_40_44,SWs_650_799_H_45_49,SWs_650_799_H_50ov,SWs_650_799_H_NS,SWs_650_799_H_Tot,SWs_800_999_H_0,SWs_800_999_H_1_19,SWs_800_999_H_20_29,SWs_800_999_H_30_34,SWs_800_999_H_35_39,SWs_800_999_H_40_44,SWs_800_999_H_45_49,SWs_800_999_H_50ov,SWs_800_999_H_NS,SWs_800_999_H_Tot,SWs_1000_1249_H_0,SWs_1000_1249_H_1_19,SWs_1000_1249_H_20_29,SWs_1000_1249_H_30_34,SWs_1000_1249_H_35_39,SWs_1000_1249_H_40_44,SWs_1000_1249_H_45_49,SWs_1000_1249_H_50ov,SWs_1000_1249_H_NS,SWs_1000_1249_H_Tot,SWs_1250_1499_H_0,SWs_1250_1499_H_1_19,SWs_1250_1499_H_20_29,SWs_1250_1499_H_30_34,SWs_1250_1499_H_35_39,SWs_1250_1499_H_40_44,SWs_1250_1499_H_45_49,SWs_1250_1499_H_50ov,SWs_1250_1499_H_NS,SWs_1250_1499_H_Tot,SWs_1500_1749_H_0,SWs_1500_1749_H_1_19,SWs_1500_1749_H_20_29,SWs_1500_1749_H_30_34,SWs_1500_1749_H_35_39,SWs_1500_1749_H_40_44,SWs_1500_1749_H_45_49,SWs_1500_1749_H_50ov,SWs_1500_1749_H_NS,SWs_1500_1749_H_Tot,SWs_1750_1999_H_0,SWs_1750_1999_H_1_19,SWs_1750_1999_H_20_29,SWs_1750_1999_H_30_34,SWs_1750_1999_H_35_39,SWs_1750_1999_H_40_44,SWs_1750_1999_H_45_49,SWs_1750_1999_H_50ov,SWs_1750_1999_H_NS,SWs_1750_1999_H_Tot,SWs_2000_2999_H_0,SWs_2000_2999_H_1_19,SWs_2000_2999_H_20_29,SWs_2000_2999_H_30_34,SWs_2000_2999_H_35_39,SWs_2000_2999_H_40_44,SWs_2000_2999_H_45_49,SWs_2000_2999_H_50ov,SWs_2000_2999_H_NS,SWs_2000_2999_H_Tot,SWs_3000_3499_H_0,SWs_3000_3499_H_1_19,SWs_3000_3499_H_20_29,SWs_3000_3499_H_30_34,SWs_3000_3499_H_35_39,SWs_3000_3499_H_40_44,SWs_3000_3499_H_45_49,SWs_3000_3499_H_50ov,SWs_3000_3499_H_NS,SWs_3000_3499_H_Tot,SWs_3500mo_H_0,SWs_3500mo_H_1_19,SWs_3500mo_H_20_29,SWs_3500mo_H_30_34,SWs_3500mo_H_35_39,SWs_3500mo_H_40_44,SWs_3500mo_H_45_49,SWs_3500mo_H_50ov,SWs_3500mo_H_NS,SWs_3500mo_H_Tot
201,14,17,21,12,92,88,68,57,4,372,0,9,4,6,11,18,10,10,0,72,4,7,5,7,15,11,3,19,0,71,3,12,10,4,3,9,0,4,8,51,403,1316,1438,935,2307,1368,342,369,67,8531,19,19,8,0,4,0,0,0,0,56,102,792,17,6,0,0,0,0,9,928,63,495,63,9,0,4,0,0,9,641,52,336,118,17,9,7,0,4,4,536,38,255,184,17,20,11,3,3,8,530,84,233,361,104,50,21,3,13,6,878,46,143,214,171,188,61,15,15,8,862,29,53,88,126,320,145,32,18,9,824,13,43,41,39,199,157,37,28,3,574,13,13,15,21,62,89,21,27,3,263,9,3,6,16,44,57,22,23,0,178,3,4,8,4,30,34,9,16,0,108,4,5,8,9,29,45,28,30,0,159,0,0,0,6,7,7,3,10,0,38,0,4,7,0,13,18,7,41,0,85
202,18,18,12,19,87,94,38,57,0,348,3,5,3,9,8,14,10,20,0,70,0,9,8,8,10,11,6,12,0,67,6,12,5,4,10,3,0,4,7,53,347,1248,1356,894,2132,1309,268,381,60,7987,8,21,0,0,0,0,0,3,0,39,93,769,19,0,0,0,0,0,18,896,64,512,72,7,4,0,0,0,12,671,38,284,88,12,6,0,0,3,3,438,39,250,183,41,13,14,0,4,6,563,48,231,317,90,49,15,8,10,9,768,55,121,195,139,178,60,9,9,9,780,27,62,85,102,258,126,19,33,10,728,18,37,35,33,175,161,34,38,4,537,8,16,11,17,72,67,20,29,3,258,8,11,11,10,45,59,23,30,5,190,5,7,6,10,23,34,10,27,0,119,5,6,4,6,27,38,11,38,0,139,0,0,5,0,3,3,8,16,0,34,5,4,0,0,7,15,4,38,0,68
203,27,22,47,49,294,280,92,122,6,947,0,13,12,12,26,42,9,14,0,133,4,26,22,17,15,41,19,49,0,190,0,19,14,8,20,14,3,11,20,105,733,2557,2570,1702,4141,2655,537,697,119,15704,27,38,8,0,10,4,0,6,6,94,238,1597,28,3,0,5,0,0,21,1884,132,1063,108,7,6,5,0,5,14,1338,113,666,172,27,12,8,0,8,5,1007,100,530,380,44,26,12,4,3,11,1107,106,492,617,146,63,45,4,11,13,1504,82,227,400,292,265,70,15,13,15,1380,66,139,191,188,482,211,47,36,16,1385,47,64,89,83,399,268,50,58,5,1065,33,30,50,39,181,200,53,71,0,660,22,25,22,24,118,140,31,64,0,446,11,11,18,14,68,92,26,45,0,279,12,15,12,16,58,123,32,83,3,347,0,8,3,5,8,33,9,17,0,83,3,14,12,14,21,24,12,72,0,169
204,19,22,23,13,74,93,41,53,0,330,0,4,3,9,9,14,4,10,0,54,4,10,5,3,11,17,0,12,0,63,3,3,6,5,11,0,0,3,6,49,353,1207,1229,913,1871,1367,304,379,85,7712,18,21,0,6,0,3,0,0,0,44,116,692,23,5,6,0,0,0,21,857,57,427,69,7,6,3,0,3,7,580,38,238,93,9,3,6,4,3,8,406,39,199,157,36,25,15,0,3,12,489,57,207,343,121,51,28,3,15,12,839,53,128,224,185,217,64,8,15,12,913,25,63,120,129,282,136,28,28,3,813,18,24,54,44,187,149,36,41,9,561,13,16,17,23,72,96,28,40,3,304,7,7,11,12,41,65,33,41,3,221,3,0,4,4,23,28,18,27,0,105,4,3,3,8,35,34,3,46,4,149,0,0,0,0,0,13,6,23,0,45,0,4,0,3,3,13,3,25,0,54
205,25,12,24,26,133,147,46,73,0,485,0,10,8,5,23,25,3,13,0,91,6,16,13,11,17,18,5,32,0,118,3,21,19,12,18,10,0,3,19,102,649,2207,2235,1526,3167,2062,385,535,113,12882,22,36,12,3,0,4,0,11,3,88,174,1244,34,4,4,3,0,0,26,1490,98,757,127,6,5,4,0,9,12,1014,65,458,156,27,18,10,0,5,9,744,61,344,309,54,46,9,6,7,13,853,88,367,536,173,90,52,0,13,17,1334,76,221,322,288,271,110,20,23,18,1334,53,99,157,194,516,213,36,41,9,1330,18,67,59,73,326,245,55,46,6,905,17,23,22,32,83,130,36,52,5,389,9,11,17,16,61,97,26,46,5,299,4,5,4,7,37,52,13,47,4,174,3,12,7,10,37,52,28,53,0,202,0,5,0,3,5,8,0,19,0,45,0,3,8,6,13,17,10,32,0,94
206,490,193,325,460,3467,4726,1294,1843,38,12831,80,74,87,93,498,994,283,622,15,2749,100,115,109,107,383,1331,476,1491,16,4119,19,62,72,33,170,132,23,44,128,678,4873,9976,12443,8792,38574,29891,5604,7749,899,118797,82,102,30,3,17,16,0,24,15,279,430,1893,54,4,4,7,0,3,42,2434,448,2025,227,29,12,18,3,6,45,2804,471,1680,474,47,33,31,4,20,42,2813,366,1420,889,102,53,37,8,18,41,2929,436,1368,1558,354,159,82,23,34,57,4069,413,816,1174,677,685,228,27,45,50,4124,257,480,697,620,1560,664,108,99,62,4546,242,263,417,423,1869,1136,185,211,34,4784,114,131,192,187,1306,1066,210,240,25,3481,105,108,115,123,979,1058,246,271,14,3014,65,56,64,72,601,613,162,264,14,1909,97,79,99,120,814,1277,378,650,15,3525,29,22,25,17,174,303,110,251,7,946,34,53,51,64,235,703,262,860,14,2269
207,38,89,79,75,350,495,168,240,0,1542,8,19,32,19,34,102,31,62,0,299,5,45,28,15,44,124,37,112,3,423,5,27,21,8,22,20,6,3,14,141,759,3535,3306,1891,5182,3878,877,1022,135,20579,12,45,16,0,16,16,0,0,5,116,240,1502,19,4,0,8,0,0,5,1786,165,1312,141,17,3,13,0,0,13,1664,138,833,273,27,12,20,3,7,10,1322,107,600,422,60,19,30,0,8,12,1256,111,484,599,145,70,38,5,12,12,1486,94,256,415,247,246,96,16,20,15,1401,51,136,212,178,422,208,39,32,10,1296,46,103,113,86,419,316,58,79,9,1212,23,44,53,50,234,251,57,78,4,789,20,26,42,32,148,230,63,68,5,634,8,24,16,26,88,143,36,75,10,409,14,21,28,36,118,228,77,148,5,684,3,7,13,11,22,58,35,64,0,212,4,19,17,9,28,95,38,155,0,363
208,23,77,73,57,248,354,87,190,8,1130,4,31,20,17,37,70,18,55,6,259,9,55,41,21,35,91,21,89,0,372,3,31,14,23,29,23,3,8,21,159,728,3792,3426,2005,4870,3573,663,966,160,20181,32,70,16,4,5,8,4,11,8,155,353,1820,40,4,0,7,0,0,12,2222,248,1534,162,17,3,12,3,6,11,1996,225,972,275,26,21,11,3,6,5,1542,215,789,500,50,36,16,0,9,14,1636,183,707,775,185,87,48,13,17,17,2039,149,368,567,299,295,109,15,25,23,1852,113,207,334,247,681,259,33,59,21,1957,65,116,173,128,637,386,81,80,9,1678,37,66,75,43,391,304,66,90,10,1079,23,42,50,49,224,258,81,84,8,828,11,16,26,33,130,169,50,67,7,507,16,35,43,41,163,260,95,178,10,842,3,13,15,15,44,63,32,70,3,252,8,17,35,22,37,111,52,162,3,444
209,26,50,52,61,243,293,94,162,0,980,6,14,14,10,36,51,14,37,0,185,0,23,23,11,29,53,18,63,3,229,0,29,27,16,38,36,3,12,26,189,708,3543,3421,2117,5084,3599,678,919,172,20230,34,67,16,6,3,3,0,5,8,144,274,2085,50,6,4,0,3,7,18,2444,210,1675,243,16,9,9,0,3,21,2183,135,910,341,44,13,19,3,3,9,1479,117,749,531,60,39,15,3,11,12,1548,148,543,798,237,118,58,6,17,12,1932,102,309,505,341,339,136,18,27,24,1801,78,148,229,238,632,247,57,49,21,1704,57,83,110,111,487,385,80,89,16,1423,21,34,43,51,254,279,72,75,4,833,20,26,27,22,162,214,64,81,3,615,11,14,11,15,92,130,26,69,3,372,14,12,17,18,106,167,56,115,4,499,3,9,6,3,19,28,16,35,0,117,4,11,3,17,17,37,21,64,6,175
210,26,42,51,49,331,391,147,246,4,1274,8,12,14,11,38,70,21,44,0,218,3,16,24,11,39,50,21,72,3,234,3,22,19,16,29,47,9,14,31,179,791,2719,2928,1767,6196,4565,974,1418,243,21607,42,85,8,6,9,3,3,0,3,157,221,1341,39,3,3,0,0,0,16,1625,151,1172,145,25,4,6,0,11,15,1532,104,687,251,26,18,10,0,4,10,1111,105,490,410,49,23,13,0,7,25,1125,124,376,596,184,95,29,3,17,14,1437,112,246,441,274,334,110,23,26,15,1586,83,132,244,189,570,225,40,52,15,1551,76,89,104,107,476,338,80,92,12,1376,38,37,66,55,254,275,70,71,4,873,23,26,29,26,181,212,64,77,5,633,10,20,13,8,105,149,40,70,3,420,10,16,8,14,119,164,48,103,3,488,0,0,7,8,15,37,12,23,4,106,4,7,3,6,18,37,17,54,0,153
