POW_SA4_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
201,193,642,391,245,303,303,87,271,37,2469,70,340,172,81,91,88,28,121,31,1016,45,156,96,51,38,52,13,60,39,552,3989,11607,9128,6545,13419,12953,3862,7540,1151,70192
202,208,682,391,267,334,319,97,303,48,2653,67,326,189,84,72,93,25,101,31,986,33,173,79,53,38,53,10,80,49,565,3836,11454,8931,6621,13565,12728,3607,7830,1154,69726
203,332,1206,732,399,497,519,147,334,64,4238,118,608,292,143,114,143,28,141,30,1614,45,303,102,60,43,76,20,70,44,755,7592,23714,17837,11872,25827,25791,6925,13001,2016,134572
204,300,861,563,360,417,510,116,520,90,3737,85,514,266,153,119,225,51,239,45,1701,69,271,185,106,74,138,39,174,81,1134,4480,11701,9491,7080,14049,15188,4370,9996,1584,77944
205,383,1239,823,469,543,566,191,667,121,5006,128,666,350,167,140,239,59,325,76,2159,87,404,201,125,68,137,36,204,97,1364,6648,18616,14614,10248,20548,20223,6005,13751,2438,113091
206,1066,2781,2218,1385,2739,2730,781,1712,211,15629,409,1724,1026,575,765,867,226,586,128,6298,249,938,453,236,213,252,60,212,169,2778,38895,73998,71122,51239,179588,207797,49937,95609,10515,778703
207,328,1282,915,513,638,711,173,434,52,5043,118,880,401,198,178,225,67,150,27,2247,86,592,188,94,62,97,29,54,52,1259,7446,27775,20768,12642,29106,30992,8099,15483,2045,154349
208,325,1481,1070,593,864,886,237,575,60,6079,149,1024,497,275,267,308,72,231,35,2855,90,574,256,108,86,111,36,69,34,1372,8648,31225,23246,14221,33845,32882,8497,16972,2568,172105
209,343,1192,869,510,863,754,199,473,72,5270,111,603,305,142,199,214,64,133,35,1815,70,342,134,73,55,83,31,54,51,893,8656,29464,23534,15475,34865,33897,8569,15747,2997,173204
210,282,779,581,361,867,702,193,396,67,4224,102,388,226,138,188,164,57,103,42,1411,41,199,101,49,80,69,21,55,30,626,7771,22267,19108,11668,37728,34905,9751,17080,3410,163696
211,401,1627,1120,694,1022,931,259,579,65,6696,168,961,430,239,229,265,59,227,49,2636,100,509,193,107,80,91,23,75,47,1233,9647,33247,25048,16063,40225,38379,10095,18777,2850,194328
212,549,1979,1413,924,1991,1644,462,958,126,10046,217,1067,571,333,432,418,106,248,74,3462,115,567,276,112,112,158,32,108,101,1578,14619,48573,41337,27218,82777,76376,20760,36509,6269,354435
213,410,1233,851,561,1247,1029,297,616,100,6341,134,580,337,140,244,236,51,163,36,1917,60,271,114,64,47,69,15,51,50,725,12777,40597,34207,21799,60249,56317,15074,28528,5727,275280
214,266,1030,680,397,480,495,132,324,55,3850,126,652,289,152,119,156,45,112,28,1676,75,361,129,63,43,68,17,56,43,845,6716,19753,15412,10495,20123,20342,5409,10362,1913,110525
215,189,575,454,259,389,463,126,522,66,3034,74,378,191,108,101,161,45,215,56,1329,62,236,112,68,56,104,33,138,88,890,3288,9266,7443,5862,13040,13448,3668,9476,1597,67092
216,158,531,347,227,332,384,108,353,61,2505,67,325,162,85,69,114,47,130,32,1032,42,175,100,34,24,81,14,74,66,610,3021,8317,6763,5181,11270,11656,3613,7799,1362,58982
217,192,602,442,234,275,382,106,498,68,2798,70,359,169,99,79,146,43,248,68,1292,44,203,124,60,46,90,31,152,93,856,3148,9261,6935,4761,9721,10921,3300,8555,1248,57849
297,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,3,3,12,22,9,114,0,194
299,554,1741,806,469,410,551,119,342,79,5077,270,911,340,145,87,168,38,126,62,2149,215,539,165,80,36,73,11,88,83,1298,9454,25035,16766,10677,19053,31147,7014,14943,3389,137478
