POW_SA4_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
201,17,2847,14,2879,6,520,3,535,47,5229,17,5293,6,674,0,680,78,5756,26,5857,10,1182,4,1195,93,7156,16,7269,74,5446,17,5538,27,2393,10,2427,4,824,0,836,4,912,3,921,10,778,0,788,22,3239,11,3269,31,1570,0,1611,56,4014,13,4080,75,7078,3,7158,144,13246,41,13427,19,1393,3,1418,35,2484,6,2529,53,2396,47,2497,817,69133,241,70192
202,36,2659,27,2721,26,1285,3,1311,105,6311,26,6439,14,778,0,786,88,5234,29,5346,16,1158,5,1178,104,6995,31,7126,84,4720,24,4836,40,2101,10,2152,3,628,0,635,24,2056,0,2081,9,655,0,664,27,2980,10,3013,32,1618,6,1664,92,4319,23,4431,77,6029,14,6122,180,12926,37,13139,26,1082,0,1105,41,2464,6,2513,50,2350,60,2460,1073,68330,320,69726
203,18,2316,19,2351,0,235,0,232,75,8164,33,8272,11,1500,0,1510,147,12998,36,13182,23,3351,0,3386,126,15485,42,15653,103,10642,26,10770,42,4187,16,4248,6,925,3,934,24,3386,5,3414,7,1599,4,1609,47,7612,15,7677,30,3147,6,3182,101,7875,5,7978,117,13618,23,13758,234,24418,54,24702,20,2060,8,2084,42,4789,14,4842,65,4672,53,4789,1244,132965,366,134572
204,60,5840,37,5944,11,302,0,313,95,6817,42,6950,9,511,0,525,117,6602,27,6747,29,1397,6,1434,118,7266,35,7416,117,6464,41,6617,52,3436,17,3510,9,347,0,351,8,754,0,768,3,732,5,741,17,2475,7,2500,42,1852,12,1907,168,6700,33,6898,93,7223,20,7346,171,11131,43,11351,17,1098,5,1115,43,2537,11,2588,87,2785,49,2921,1280,76277,387,77944
205,88,9051,63,9198,19,1102,0,1124,87,6870,29,6985,35,3290,14,3339,109,9653,44,9795,12,2112,6,2132,167,11146,55,11363,152,7975,38,8170,40,3405,20,3466,8,909,4,919,8,1475,11,1489,8,1290,4,1303,38,4006,12,4057,28,2433,12,2471,164,7535,24,7728,123,10001,28,10150,293,18394,79,18761,28,1727,10,1762,65,4427,24,4517,97,4163,88,4344,1562,110966,570,113091
206,4,1152,0,1158,9,1537,0,1544,54,20387,24,20459,58,11708,8,11772,244,36899,95,37243,42,13527,27,13595,210,47146,76,47424,219,48386,82,48691,107,26283,40,26431,126,28099,27,28255,236,86426,74,86739,61,14672,18,14748,422,141893,133,142452,132,27566,51,27747,688,65580,91,66356,343,49502,49,49897,520,82777,112,83408,217,21291,30,21538,148,20367,26,20548,211,28317,173,28700,4048,773526,1129,778703
207,0,314,0,319,4,102,0,104,12,3754,9,3775,0,420,3,422,52,8855,15,8926,6,3633,6,3650,53,18183,21,18258,22,9979,19,10015,14,2847,5,2862,8,2061,0,2072,8,5508,9,5525,6,3601,3,3612,32,18468,19,18515,21,3697,4,3718,42,6603,10,6655,68,22193,34,22300,91,29424,48,29566,15,2118,3,2140,28,6035,13,6075,36,5760,47,5842,508,153575,264,154349
208,3,562,0,572,0,134,0,134,36,13662,21,13722,3,702,0,703,91,14715,43,14845,20,5267,9,5297,82,22294,35,22410,55,12871,24,12947,15,4331,20,4369,4,1737,0,1741,12,4161,4,4172,6,3393,7,3408,30,13017,21,13068,17,4389,11,4416,15,5434,10,5456,53,17258,35,17342,80,28503,48,28634,21,3016,6,3043,21,6781,17,6811,41,8901,57,9002,607,171141,357,172105
209,8,1423,0,1435,4,286,0,288,59,12993,33,13089,3,773,5,781,138,16061,27,16223,16,4757,5,4783,109,19105,34,19245,65,10690,22,10774,21,6540,14,6568,15,1320,0,1344,14,2520,4,2534,12,2032,0,2049,42,8294,14,8343,26,4411,5,4439,135,8843,19,8999,145,19695,28,19866,329,35427,67,35820,24,2326,4,2348,35,6102,16,6157,74,7967,73,8116,1267,171557,382,173204
210,6,1017,0,1020,4,217,0,214,99,22190,37,22326,14,1689,5,1711,141,18769,46,18960,25,5951,8,5989,71,14458,17,14549,39,8071,15,8135,127,22161,49,22335,11,1205,0,1223,9,2098,8,2108,3,1714,6,1725,13,5150,13,5172,22,4747,14,4775,97,9093,21,9209,89,13705,29,13817,53,12787,26,12861,18,1580,3,1601,28,6138,13,6180,76,9640,68,9782,950,162368,372,163696
