POW_SA4_CODE_2021,AgFF_Mng,AgFF_Pro,AgFF_Tech_trds_wks,AgFF_Com_persl_svce_wks,AgFF_Cler_admin_wks,AgFF_Sales_wks,AgFF_Mach_ops_dvrs,AgFF_Labourers,AgFF_IDNS,AgFF_Tot,Min_Mng,Min_Pro,Min_Tech_trds_wks,Min_Com_persl_svce_wks,Min_Cler_admin_wks,Min_Sales_wks,Min_Mach_ops_dvrs,Min_Labourers,Min_IDNS,Min_Tot,Mnf_Mng,Mnf_Pro,Mnf_Tech_trds_wks,Mnf_Com_persl_svce_wks,Mnf_Cler_admin_wks,Mnf_Sales_wks,Mnf_Mach_ops_dvrs,Mnf_Labourers,Mnf_IDNS,Mnf_Tot,EGWWS_Mng,EGWWS_Pro,EGWWS_Tech_trds_wks,EGWWS_Com_persl_svce_wks,EGWWS_Cler_admin_wks,EGWWS_Sales_wks,EGWWS_Mach_ops_dvrs,EGWWS_Labourers,EGWWS_IDNS,EGWWS_Tot,Const_Mng,Const_Pro,Const_Tech_trds_wks,Const_Com_persl_svce_wks,Const_Cler_admin_wks,Const_Sales_wks,Const_Mach_ops_dvrs,Const_Labourers,Const_IDNS,Const_Tot,WST_Mng,WST_Pro,WST_Tech_trds_wks,WST_Com_persl_svce_wks,WST_Cler_admin_wks,WST_Sales_wks,WST_Mach_ops_dvrs,WST_Labourers,WST_IDNS,WST_Tot,RetT_Mng,RetT_Pro,RetT_Tech_trds_wks,RetT_Com_persl_svce_wks,RetT_Cler_admin_wks,RetT_Sales_wks,RetT_Mach_ops_dvrs,RetT_Labourers,RetT_IDNS,RetT_Tot,AcFd_Mng,AcFd_Pro,AcFd_Tech_trds_wks,AcFd_Com_persl_svce_wks,AcFd_Cler_admin_wks,AcFd_Sales_wks,AcFd_Mach_ops_dvrs,AcFd_Labourers,AcFd_IDNS,AcFd_Tot,TPW_Mng,TPW_Pro,TPW_Tech_trds_wks,TPW_Com_persl_svce_wks,TPW_Cler_admin_wks,TPW_Sales_wks,TPW_Mach_ops_dvrs,TPW_Labourers,TPW_IDNS,TPW_Tot,IMT_Mng,IMT_Pro,IMT_Tech_trds_wks,IMT_Com_persl_svce_wks,IMT_Cler_admin_wks,IMT_Sales_wks,IMT_Mach_ops_dvrs,IMT_Labourers,IMT_IDNS,IMT_Tot,FinIns_Mng,FinIns_Pro,FinIns_Tech_trds_wks,FinIns_Com_persl_svce_wks,FinIns_Cler_admin_wks,FinIns_Sales_wks,FinIns_Mach_ops_dvrs,FinIns_Labourers,FinIns_IDNS,FinIns_Tot,RHRE_Mng,RHRE_Pro,RHRE_Tech_trds_wks,RHRE_Com_persl_svce_wks,RHRE_Cler_admin_wks,RHRE_Sales_wks,RHRE_Mach_ops_dvrs,RHRE_Labourers,RHRE_IDNS,RHRE_Tot,ProSTS_Mng,ProSTS_Pro,ProSTS_Tech_trds_wks,ProSTS_Com_persl_svce_wks,ProSTS_Cler_admin_wks,ProSTS_Sales_wks,ProSTS_Mach_ops_dvrs,ProSTS_Labourers,ProSTS_IDNS,ProSTS_Tot,AdSup_Mng,AdSup_Pro,AdSup_Tech_trds_wks,AdSup_Com_persl_svce_wks,AdSup_Cler_admin_wks,AdSup_Sales_wks,AdSup_Mach_ops_dvrs,AdSup_Labourers,AdSup_IDNS,AdSup_Tot,PubAS_Mng,PubAS_Pro,PubAS_Tech_trds_wks,PubAS_Com_persl_svce_wks,PubAS_Cler_admin_wks,PubAS_Sales_wks,PubAS_Mach_ops_dvrs,PubAS_Labourers,PubAS_IDNS,PubAS_Tot,EdTrn_Mng,EdTrn_Pro,EdTrn_Tech_trds_wks,EdTrn_Com_persl_svce_wks,EdTrn_Cler_admin_wks,EdTrn_Sales_wks,EdTrn_Mach_ops_dvrs,EdTrn_Labourers,EdTrn_IDNS,EdTrn_Tot,HltHC_SA_Mng,HltHC_SA_Pro,HltHC_SA_Tech_trds_wks,HltHC_SA_Com_persl_svce_wks,HltHC_SA_Cler_admin_wks,HltHC_SA_Sales_wks,HltHC_SA_Mach_ops_dvrs,HltHC_SA_Labourers,HltHC_SA_IDNS,HltHC_SA_Tot,ArtsR_Mng,ArtsR_Pro,ArtsR_Tech_trds_wks,ArtsR_Com_persl_svce_wks,ArtsR_Cler_admin_wks,ArtsR_Sales_wks,ArtsR_Mach_ops_dvrs,ArtsR_Labourers,ArtsR_IDNS,ArtsR_Tot,OthSvs_Mng,OthSvs_Pro,OthSvs_Tech_trds_wks,OthSvs_Com_persl_svce_wks,OthSvs_Cler_admin_wks,OthSvs_Sales_wks,OthSvs_Mach_ops_dvrs,OthSvs_Labourers,OthSvs_IDNS,OthSvs_Tot,IDNS_Mng,IDNS_Pro,IDNS_Tech_trds_wks,IDNS_Com_persl_svce_wks,IDNS_Cler_admin_wks,IDNS_Sales_wks,IDNS_Mach_ops_dvrs,IDNS_Labourers,IDNS_IDNS,IDNS_Tot
201,1647,102,192,18,144,48,92,605,28,2879,58,82,121,7,37,3,186,45,0,535,836,368,1380,83,431,310,614,1215,50,5293,103,88,167,0,123,4,123,58,6,680,717,166,2857,0,602,73,575,814,58,5857,206,61,113,5,167,339,193,104,7,1195,1100,260,460,79,387,4031,225,696,28,7269,979,44,715,1399,135,847,89,1310,23,5538,215,53,114,33,529,174,1208,87,18,2427,85,239,105,15,281,74,12,24,12,836,119,291,6,14,417,58,0,0,16,921,84,70,42,12,158,364,17,21,13,788,274,1738,434,18,718,26,15,25,22,3269,132,174,216,142,231,20,30,656,10,1611,479,732,212,1049,1226,15,125,184,61,4080,526,4058,187,1496,661,22,14,160,36,7158,644,5437,414,4381,1743,56,88,577,83,13427,183,249,214,304,105,70,17,253,23,1418,198,137,1191,461,206,47,44,226,11,2529,253,186,379,154,236,137,236,347,564,2497
202,1607,73,169,10,102,27,123,590,21,2721,99,191,295,10,52,3,543,107,15,1311,900,402,1425,89,454,337,614,2153,63,6439,125,124,149,0,178,11,138,51,11,786,707,112,2601,21,565,88,487,713,57,5346,206,89,82,0,183,311,214,91,9,1178,1079,241,464,96,316,3904,246,760,26,7126,731,21,567,1268,120,676,123,1301,29,4836,223,45,80,21,434,135,1103,96,19,2152,104,241,99,7,99,69,0,15,8,635,316,742,36,6,917,26,0,5,34,2081,66,58,29,7,114,330,16,28,12,664,307,1550,418,8,634,24,21,36,25,3013,126,182,166,158,181,14,20,791,21,1664,484,927,181,1416,948,15,154,241,55,4431,376,3692,137,1304,474,9,12,83,37,6122,629,5591,380,4146,1642,90,78,520,69,13139,184,284,128,284,71,33,3,109,10,1105,227,218,1195,355,263,39,34,176,11,2513,269,183,306,135,253,151,205,376,585,2460
203,1164,110,182,13,113,44,99,584,40,2351,27,19,40,0,20,3,111,20,5,232,1300,811,2047,205,616,478,1056,1644,106,8272,185,214,274,10,368,62,250,107,32,1510,1573,430,6841,20,1172,192,1011,1793,153,13182,548,423,479,16,409,523,616,332,34,3386,2368,998,805,138,782,8120,1009,1365,82,15653,1629,64,1403,3118,278,1497,153,2554,62,10770,443,187,185,86,787,227,2045,236,38,4248,163,338,175,8,95,131,9,9,7,934,542,1209,41,47,1388,86,9,17,75,3414,183,151,60,22,307,777,43,50,21,1609,820,3873,904,39,1788,76,36,81,67,7677,296,379,409,228,330,37,108,1366,35,3182,924,1908,362,2435,1763,23,107,337,125,7978,1071,8109,399,2628,1185,28,63,206,70,13758,1332,10018,745,7915,3236,112,145,1017,170,24702,413,448,235,509,157,82,20,183,41,2084,383,291,2265,952,416,77,58,368,32,4842,576,523,589,234,475,279,531,543,1045,4789
204,3810,160,277,18,220,75,205,1114,63,5944,55,37,50,0,23,3,124,13,5,313,1073,492,1491,158,483,319,982,1881,78,6950,63,39,130,0,78,12,138,52,7,525,755,206,3117,56,676,71,744,1049,80,6747,271,70,152,4,175,380,218,161,7,1434,1067,202,536,74,363,3865,465,810,47,7416,1368,33,838,1698,247,700,140,1550,49,6617,358,81,174,212,561,220,1762,115,32,3510,50,134,57,3,45,42,8,12,0,351,81,214,7,5,408,26,0,3,19,768,73,34,58,16,120,395,16,23,17,741,177,1180,427,13,607,22,8,29,28,2500,176,155,236,143,161,21,69,931,15,1907,1104,1251,743,1945,1113,8,331,306,100,6898,539,4069,186,1735,576,17,27,176,29,7346,608,4188,368,4025,1281,52,55,697,73,11351,178,182,178,217,98,34,32,173,17,1115,192,185,1349,344,242,36,30,205,14,2588,357,196,426,153,235,156,295,377,738,2921
205,5351,221,421,27,324,78,503,2157,111,9198,125,99,387,11,65,4,353,68,13,1124,868,366,1905,124,504,371,1013,1741,92,6985,383,445,1024,23,443,26,567,359,80,3339,1100,224,4644,56,976,127,1054,1500,108,9795,412,126,219,9,228,594,335,201,13,2132,1737,285,754,91,487,6548,348,1081,42,11363,1458,46,1022,2090,235,1122,117,2017,62,8170,347,82,187,40,729,200,1699,143,36,3466,147,235,163,3,189,126,17,22,8,919,147,406,11,6,843,48,8,9,14,1489,110,97,55,26,301,630,16,47,23,1303,316,1787,697,22,1080,48,16,62,30,4057,169,253,342,175,269,33,71,1136,23,2471,999,1716,407,1927,1990,27,112,407,147,7728,698,5581,246,2473,872,12,18,205,50,10150,906,6865,585,6753,2340,69,84,1020,145,18761,279,417,197,418,160,78,14,171,33,1762,301,264,2225,613,446,73,73,484,35,4517,455,291,660,235,397,222,365,544,1166,4344
206,400,280,99,13,152,50,45,114,21,1158,491,704,76,0,170,13,49,11,23,1544,5373,5385,2844,506,2061,1459,995,1633,208,20459,2894,4534,741,20,2260,698,206,188,232,11772,7867,5524,13913,131,3980,471,891,3956,499,37243,3990,3839,723,77,2041,1855,641,306,123,13595,10318,6536,2287,513,3830,20247,1185,2151,362,47424,9102,1363,9317,16372,1986,3131,423,6664,340,48691,4400,5297,1247,352,4901,1181,7208,1374,463,26431,5853,14930,2219,132,3211,1359,71,160,336,28255,15796,37455,888,592,28058,2477,26,121,1322,86739,3067,3245,274,153,2389,5115,67,193,248,14748,23177,92374,6817,377,16059,1809,114,358,1370,142452,4851,6959,914,1606,4560,663,396,7394,409,27747,13003,21646,1658,10983,16653,219,199,661,1329,66356,6550,30277,1255,5084,5706,177,59,356,434,49897,6958,43642,2991,13964,12636,439,566,1569,645,83408,4447,6437,1453,4977,2063,815,113,856,367,21538,3425,4419,4932,3441,2690,423,115,889,218,20548,4975,7059,1949,1174,3400,1635,1088,1551,5877,28700
207,97,62,52,3,42,31,4,26,6,319,25,46,3,0,15,0,10,0,7,104,875,670,558,197,381,512,272,270,32,3775,93,120,62,0,94,24,11,9,0,422,1804,816,3960,12,1000,115,201,879,141,8926,1212,998,175,5,553,484,132,48,41,3650,3317,2108,910,155,1285,8775,368,1204,129,18258,1649,85,1602,3087,210,1232,117,1962,71,10015,327,224,69,29,643,172,1273,85,45,2862,335,675,228,33,556,218,0,14,23,2072,855,2423,52,22,1891,111,3,8,164,5525,484,501,50,32,659,1752,13,41,63,3612,3020,10907,1138,75,2683,406,24,82,182,18515,602,508,282,305,493,76,51,1365,41,3718,927,1979,343,965,1944,35,53,285,124,6655,1977,14117,522,3226,2072,46,10,211,116,22300,2110,12079,929,8657,4430,177,101,875,206,29566,463,483,72,761,227,72,4,26,28,2140,788,1070,1745,1221,716,119,37,325,54,6075,983,1163,489,264,703,386,262,347,1248,5842
208,133,61,82,3,58,33,38,156,3,572,37,40,13,0,16,3,14,5,0,134,2874,1544,2627,153,1290,863,1907,2301,163,13722,155,106,72,0,126,42,128,63,12,703,2440,865,7348,22,1634,233,504,1618,186,14845,1517,697,243,23,963,902,653,250,54,5297,4006,1557,1061,164,1311,11853,764,1544,141,22410,2010,185,2069,4003,291,1627,148,2531,81,12947,577,303,144,41,887,245,1871,230,73,4369,341,685,184,19,194,253,9,33,25,1741,646,1723,48,14,1350,225,10,20,139,4172,517,530,91,25,614,1469,25,77,63,3408,1884,7422,1234,46,2059,201,40,68,121,13068,724,599,497,424,553,113,162,1294,33,4416,587,1125,308,1618,1247,38,72,364,96,5456,1354,10434,328,3666,1241,39,30,148,104,17342,1771,11171,871,9013,4256,209,200,1000,149,28634,571,719,223,903,319,120,18,124,46,3043,664,502,2743,1533,632,134,80,469,65,6811,1533,1306,871,324,1143,562,868,852,1543,9002
209,404,79,134,12,100,43,129,507,22,1435,42,65,47,0,27,4,81,15,7,288,2216,1026,3030,189,1275,819,1933,2432,157,13089,146,89,142,0,115,20,183,67,16,781,2077,669,7907,23,1808,248,998,2270,221,16223,1175,419,215,28,866,841,851,347,40,4783,2856,950,939,147,1057,10675,802,1688,131,19245,1628,80,1323,2512,207,2215,204,2530,69,10774,586,231,316,177,1128,237,3587,200,100,6568,213,462,251,11,177,174,13,11,20,1344,283,861,21,11,1223,66,0,9,52,2534,215,147,67,30,415,1070,41,42,32,2049,946,4572,939,35,1586,91,34,68,64,8343,432,382,463,354,574,55,164,1963,49,4439,940,2211,632,2495,1813,32,158,540,160,8999,1474,12135,501,3775,1646,37,24,175,110,19866,1675,16270,1331,10511,4493,147,226,947,225,35820,390,591,151,813,197,82,13,71,49,2348,517,415,2838,1156,562,112,87,413,49,6157,1013,858,1019,362,959,469,980,875,1575,8116
210,380,56,120,0,80,32,89,243,12,1020,39,18,37,3,21,0,82,13,4,214,3830,2543,5278,123,2219,789,3191,4020,331,22326,247,218,226,4,266,44,488,183,34,1711,2314,750,8712,24,2007,301,1670,2889,295,18960,1323,670,451,25,1165,790,1131,361,77,5989,2128,637,797,124,855,7704,950,1245,120,14549,1226,73,936,1715,250,1596,227,2040,76,8135,2356,2293,1175,1293,5083,1142,7555,1038,399,22335,209,346,227,16,163,127,48,66,23,1223,235,575,40,15,1042,82,66,12,41,2108,282,104,98,32,309,708,68,92,31,1725,626,2483,815,23,971,67,61,73,55,5172,428,496,423,369,496,126,411,1974,55,4775,784,1264,684,3445,2161,52,155,488,176,9209,827,8244,262,3188,981,20,35,191,68,13817,623,3833,383,5791,1622,76,52,417,70,12861,309,290,129,517,139,78,17,79,40,1601,511,324,3071,777,598,114,142,579,57,6180,1077,820,1371,375,1172,491,1500,1215,1760,9782
