POW_SA4_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
201,274,23085,75,23434,84,8279,38,8405,45,2023,28,2096,399,33392,139,33937,184,14122,31,14337,190,18643,45,18881,41,2980,25,3043,419,35741,97,36258,459,37203,104,37767,276,26926,83,27284,85,5001,57,5136,817,69133,241,70192
202,366,23046,92,23511,132,8201,41,8365,40,1965,30,2028,540,33204,160,33905,233,13939,49,14222,251,18303,85,18640,51,2886,24,2961,535,35128,159,35816,604,36986,138,37727,378,26503,124,27010,93,4846,49,4990,1073,68330,320,69726
203,382,43448,109,43939,159,16237,58,16448,54,3677,37,3762,595,63361,197,64153,278,27264,58,27603,304,36585,86,36978,64,5758,23,5843,644,69610,162,70425,661,70710,174,71543,468,52820,140,53422,114,9434,56,9609,1244,132965,366,134572
204,442,27124,128,27694,130,8959,56,9145,67,2509,34,2605,642,38590,221,39451,266,15593,59,15912,309,18731,81,19127,66,3358,29,3457,637,37685,168,38492,704,42715,189,43610,442,27690,138,28269,134,5867,59,6063,1280,76277,387,77944
205,493,37722,196,38412,181,12701,62,12937,64,3764,38,3871,738,54191,294,55220,335,21681,100,22118,402,30000,134,30532,84,5096,46,5224,826,56777,271,57877,829,59401,296,60529,587,42702,189,43471,147,8866,79,9095,1562,110966,570,113091
206,1402,305943,356,307704,400,69795,157,70356,174,20121,97,20391,1977,395862,608,398447,1213,223759,256,225229,637,125196,176,126010,218,28714,91,29019,2069,377662,520,380255,2619,529706,610,532930,1035,194991,337,196361,395,48833,187,49411,4048,773526,1129,778703
207,166,45738,59,45962,72,19858,36,19965,24,3648,23,3695,258,69241,119,69615,145,37516,55,37717,88,41065,76,41221,24,5759,17,5801,255,84338,143,84739,311,83254,115,83674,153,60921,108,61187,44,9403,43,9493,508,153575,264,154349
208,212,54897,92,55208,79,23027,66,23172,30,4403,23,4454,326,82327,184,82836,112,36803,70,36987,146,45292,81,45519,23,6711,26,6760,284,88812,176,89271,323,91703,162,92195,224,68321,149,68695,50,11113,48,11219,607,171141,357,172105
209,403,55369,105,55878,119,22180,63,22356,44,4644,31,4721,564,82196,202,82955,341,36791,63,37197,295,45729,97,46116,65,6846,23,6930,699,89362,180,90245,739,92164,169,93077,410,67903,157,68472,114,11486,56,11655,1267,171557,382,173204
210,405,68308,130,68842,115,21392,52,21559,36,5463,38,5539,561,95163,216,95945,173,30378,72,30626,175,31252,61,31480,47,5579,29,5644,389,67206,159,67751,580,98689,200,99474,290,52639,116,53044,78,11038,63,11182,950,162368,372,163696
