POW_SA4_CODE_2021,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Taiwan_E,F_Taiwan_OM_IE,F_Taiwan_OM_UIE,F_Taiwan_CFW,F_Taiwan_ES_NS,F_Taiwan_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Afghanistan_E,P_Afghanistan_OM_IE,P_Afghanistan_OM_UIE,P_Afghanistan_CFW,P_Afghanistan_ES_NS,P_Afghanistan_Tot,P_Bangladesh_E,P_Bangladesh_OM_IE,P_Bangladesh_OM_UIE,P_Bangladesh_CFW,P_Bangladesh_ES_NS,P_Bangladesh_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Nepal_E,P_Nepal_OM_IE,P_Nepal_OM_UIE,P_Nepal_CFW,P_Nepal_ES_NS,P_Nepal_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot
201,3,100,69,3,9,0,0,91,26,7,0,0,0,31,81,3,5,3,0,95,783,38,74,25,11,933,86,11,7,3,0,104,111,12,10,0,0,135,523,22,43,19,8,615,239,12,20,6,16,292,31794,1418,2081,700,261,36258,50371,4152,4231,1192,533,60478,12,6,3,0,0,22,62,5,6,0,0,67,88,5,9,0,0,111,325,63,31,27,0,450,22,5,5,4,0,29,33,0,9,0,0,38,38,4,0,0,0,44,123,16,18,3,0,159,4,8,10,0,0,22,40,5,8,0,0,43,1306,116,87,21,15,1537,54,3,7,0,0,67,36,3,9,0,0,50,28,3,6,0,0,39,112,7,11,5,0,136,60,10,9,4,0,86,51,3,10,5,0,74,45,6,3,0,0,51,7,0,6,0,0,11,160,13,19,3,0,196,229,0,0,0,0,228,73,10,20,11,0,113,667,52,88,17,6,836
202,0,127,80,3,6,0,0,99,48,0,0,0,0,50,152,11,9,0,5,175,704,42,79,13,3,847,60,7,22,5,0,88,85,5,5,0,0,94,548,21,36,5,4,619,240,19,29,12,14,314,31293,1374,2235,669,246,35816,50634,3667,4504,1115,503,60421,44,9,0,0,0,50,35,3,8,0,0,46,89,6,9,4,0,110,227,42,23,16,0,306,13,0,0,4,0,16,28,13,3,0,0,49,42,4,0,0,0,48,98,4,16,8,0,132,15,7,5,3,0,35,33,3,7,0,0,42,921,92,52,5,8,1076,85,3,6,0,0,90,27,0,0,0,0,33,26,0,0,0,0,29,74,12,7,0,0,101,39,8,10,7,3,62,22,0,16,0,0,30,44,4,4,0,0,49,11,3,3,0,0,22,216,16,23,3,3,260,126,0,0,0,0,132,63,11,14,0,0,95,644,40,76,14,6,783
203,0,311,209,7,7,0,5,227,44,0,0,0,0,56,252,11,19,3,0,287,2172,115,185,37,8,2513,209,16,34,4,0,256,274,20,28,11,0,337,1712,73,100,36,20,1930,362,20,23,10,29,439,62250,2720,4090,993,372,70425,91489,7246,7396,1376,664,108169,192,34,26,3,9,272,143,8,3,0,0,159,273,29,20,3,0,330,730,132,96,49,3,1016,220,38,26,10,0,300,67,8,7,0,0,91,117,5,10,3,0,128,272,35,42,11,8,367,62,14,18,12,0,113,120,12,9,6,0,144,3709,307,238,36,36,4315,175,8,13,4,0,202,250,19,26,0,0,296,83,18,15,0,4,117,321,39,34,3,0,390,276,45,34,11,8,375,92,5,16,0,6,108,115,10,5,0,0,139,31,20,9,3,0,68,407,32,40,0,0,480,316,5,3,0,0,326,201,21,37,10,0,261,1569,124,143,21,14,1874
204,0,122,55,4,0,0,0,62,41,3,3,0,0,46,74,0,10,0,4,87,837,61,94,42,4,1040,92,14,7,4,0,121,71,0,10,0,0,82,528,54,53,17,9,664,340,17,42,21,21,441,32539,1800,2665,1139,354,38492,54450,4573,5918,2036,704,67686,20,0,7,0,0,25,28,9,0,0,0,39,114,10,17,5,0,146,208,47,30,17,0,301,26,0,5,3,0,32,25,0,0,0,0,33,74,0,0,0,0,73,179,13,42,13,5,250,17,12,4,5,0,43,52,6,3,0,0,63,918,59,15,15,9,1021,56,0,3,0,0,60,35,3,5,0,0,48,21,0,0,0,0,19,125,8,8,8,7,151,105,19,26,25,5,179,38,0,10,5,0,50,30,0,0,0,0,37,8,4,3,0,0,17,116,21,12,5,0,156,210,5,4,0,0,217,109,17,30,10,0,166,772,84,87,17,15,973
205,5,211,141,9,12,0,0,167,96,5,0,0,0,108,159,9,24,7,3,205,1447,87,154,51,20,1774,102,10,23,0,0,140,131,12,32,3,0,182,741,54,88,26,13,925,580,35,63,28,53,760,49164,2326,4243,1465,673,57877,78541,5940,8843,2417,1261,96996,33,10,11,3,0,57,35,8,10,0,0,54,147,11,20,0,4,185,318,78,48,33,6,481,42,3,4,3,0,57,43,10,9,0,3,63,91,7,8,0,0,107,214,27,52,19,10,319,13,8,9,7,0,37,64,11,14,3,0,88,1220,127,47,18,9,1424,103,3,5,0,0,119,42,5,5,0,0,52,30,3,0,0,0,38,148,7,21,12,0,196,150,33,37,18,10,244,58,3,6,0,0,67,59,7,4,5,0,66,10,6,0,0,0,20,280,19,23,5,0,329,109,3,0,0,0,113,226,46,65,23,13,364,1213,126,179,57,25,1594
206,4,2961,4616,46,54,13,21,4752,1282,45,53,9,7,1393,2284,100,102,20,10,2516,12595,366,569,69,34,13637,2827,116,143,14,5,3111,6051,236,233,92,46,6666,23059,567,869,129,139,24770,750,43,36,15,46,896,354419,10214,12232,2204,1190,380255,408004,22668,17856,2197,1288,452014,968,80,77,15,15,1160,2201,28,51,15,12,2305,2603,113,120,9,3,2842,23791,2080,1015,588,143,27609,948,62,52,12,10,1089,1237,123,63,12,14,1456,1852,56,40,7,8,1961,2757,170,158,18,11,3120,2165,257,189,65,25,2696,5094,224,179,39,15,5550,54835,1495,810,178,210,57528,5565,170,109,30,13,5882,3106,185,143,50,18,3502,999,67,77,6,20,1176,4210,149,111,6,13,4496,3942,411,314,100,42,4804,2115,78,142,21,17,2370,3417,234,172,43,16,3885,1124,167,132,37,27,1491,13331,567,427,66,34,14424,5680,90,44,16,21,5855,1159,85,54,7,4,1310,18431,708,756,58,44,19991
207,3,766,1170,47,38,9,3,1258,404,38,43,12,0,500,398,32,33,5,3,474,2276,125,132,24,0,2562,429,19,32,4,0,484,984,71,74,35,5,1169,3468,169,222,57,26,3948,165,22,14,4,11,213,74184,4494,4491,1259,312,84739,77141,7081,5547,832,287,90880,272,52,44,3,4,373,263,18,9,3,3,302,342,32,26,3,0,398,8431,2312,1065,751,96,12658,122,22,20,0,0,166,233,52,34,4,4,328,242,22,18,9,5,289,359,47,28,11,4,452,552,102,91,23,0,760,1644,250,173,31,10,2110,6647,395,295,67,36,7443,764,63,42,16,6,889,973,236,142,66,12,1430,124,23,4,0,3,152,410,43,18,4,0,473,619,135,68,30,8,867,335,19,47,8,4,406,833,106,115,20,7,1084,172,50,44,10,6,279,3164,411,305,61,16,3951,1025,17,9,6,5,1063,185,17,19,3,0,234,2183,208,154,18,5,2574
208,0,1430,1231,48,47,7,9,1339,196,9,9,8,0,228,553,31,31,5,0,622,3031,222,326,52,16,3644,451,29,56,11,4,553,1314,78,95,25,20,1529,5396,428,615,117,40,6596,204,12,18,3,23,251,75985,5293,6259,1356,385,89271,83841,10602,8043,1350,432,104263,527,63,69,12,12,680,234,15,6,0,0,256,388,61,47,7,0,503,4624,1083,468,361,38,6580,199,25,25,7,5,262,220,48,29,10,0,301,438,28,9,3,0,482,446,93,93,18,5,658,661,111,115,19,8,916,681,56,60,6,0,808,8112,544,305,74,47,9083,716,42,37,3,6,807,417,73,46,4,6,552,81,18,10,6,4,112,720,102,67,10,9,906,616,115,84,19,9,847,411,27,54,0,0,496,628,68,72,14,5,791,173,59,45,10,11,289,1631,170,114,25,12,1956,1172,17,10,3,5,1195,209,37,29,4,0,286,2894,324,281,28,12,3545
209,0,433,1062,51,52,7,4,1184,141,4,6,3,0,164,382,21,28,4,5,436,1908,106,144,39,5,2200,284,14,35,4,0,339,1570,88,133,24,5,1832,4540,233,313,70,30,5187,281,13,9,12,18,333,79803,3800,5186,1058,401,90245,94369,8820,7670,1093,547,112511,162,40,36,3,6,243,282,26,24,8,0,349,281,34,25,6,0,342,3059,665,393,226,39,4380,243,31,34,9,3,324,341,59,44,8,8,461,447,20,23,4,0,498,340,49,48,3,0,444,742,138,118,29,12,1040,504,42,49,4,0,603,9176,971,772,135,91,11153,454,28,39,8,3,530,760,125,115,24,10,1036,782,126,131,18,13,1068,459,59,21,3,0,545,1290,283,181,62,33,1851,202,3,27,0,0,239,360,27,38,3,0,433,525,142,148,24,15,855,1288,117,112,12,4,1537,1613,38,24,3,10,1683,140,20,13,4,5,178,2329,158,200,22,17,2724
210,0,210,822,52,50,6,5,944,75,3,5,3,0,88,300,20,26,3,3,352,1171,71,85,29,5,1361,160,4,15,3,0,191,1475,55,91,26,6,1657,4327,230,244,91,36,4925,244,14,21,3,27,302,60162,2906,3354,951,375,67751,86670,7232,5046,995,516,100466,184,34,26,6,3,248,294,40,34,6,3,379,196,19,14,5,0,236,1784,281,165,71,11,2311,347,62,29,15,0,452,408,83,54,8,0,556,681,42,27,9,0,760,340,36,27,16,5,430,570,93,62,24,5,762,310,23,20,6,0,365,9527,1130,737,132,104,11629,329,20,14,3,5,374,554,70,53,13,6,697,2189,341,364,49,44,2983,417,44,30,5,0,492,1369,265,150,54,22,1858,152,6,15,3,0,167,209,14,15,0,0,234,864,267,288,48,28,1491,742,67,53,10,0,868,1467,50,49,11,9,1586,99,10,9,3,0,126,2903,128,113,16,19,3177
