POW_SA4_CODE_2021,F_M2_TrnFer_15_24,F_M2_TrnFer_25_34,F_M2_TrnFer_35_44,F_M2_TrnFer_45_54,F_M2_TrnFer_55_64,F_M2_TrnFer_65_74,F_M2_TrnFer_75ov,F_M2_TrnFer_Tot,F_M2_TrnTrm_or_LR_15_24,F_M2_TrnTrm_or_LR_25_34,F_M2_TrnTrm_or_LR_35_44,F_M2_TrnTrm_or_LR_45_54,F_M2_TrnTrm_or_LR_55_64,F_M2_TrnTrm_or_LR_65_74,F_M2_TrnTrm_or_LR_75ov,F_M2_TrnTrm_or_LR_Tot,F_M2_TrnCarAsDriv_15_24,F_M2_TrnCarAsDriv_25_34,F_M2_TrnCarAsDriv_35_44,F_M2_TrnCarAsDriv_45_54,F_M2_TrnCarAsDriv_55_64,F_M2_TrnCarAsDriv_65_74,F_M2_TrnCarAsDriv_75ov,F_M2_TrnCarAsDriv_Tot,F_M2_TrnCarAsPas_15_24,F_M2_TrnCarAsPas_25_34,F_M2_TrnCarAsPas_35_44,F_M2_TrnCarAsPas_45_54,F_M2_TrnCarAsPas_55_64,F_M2_TrnCarAsPas_65_74,F_M2_TrnCarAsPas_75ov,F_M2_TrnCarAsPas_Tot,F_M2_TrnOth_15_24,F_M2_TrnOth_25_34,F_M2_TrnOth_35_44,F_M2_TrnOth_45_54,F_M2_TrnOth_55_64,F_M2_TrnOth_65_74,F_M2_TrnOth_75ov,F_M2_TrnOth_Tot,F_M2_Train_and_Tot_15_24,F_M2_Train_and_Tot_25_34,F_M2_Train_and_Tot_35_44,F_M2_Train_and_Tot_45_54,F_M2_Train_and_Tot_55_64,F_M2_Train_and_Tot_65_74,F_M2_Train_and_Tot_75ov,F_M2_Train_and_Tot_Tot,F_M2_BusFer_15_24,F_M2_BusFer_25_34,F_M2_BusFer_35_44,F_M2_BusFer_45_54,F_M2_BusFer_55_64,F_M2_BusFer_65_74,F_M2_BusFer_75ov,F_M2_BusFer_Tot,F_M2_BusTrm_or_LR_15_24,F_M2_BusTrm_or_LR_25_34,F_M2_BusTrm_or_LR_35_44,F_M2_BusTrm_or_LR_45_54,F_M2_BusTrm_or_LR_55_64,F_M2_BusTrm_or_LR_65_74,F_M2_BusTrm_or_LR_75ov,F_M2_BusTrm_or_LR_Tot,F_M2_BusCarAsDriv_15_24,F_M2_BusCarAsDriv_25_34,F_M2_BusCarAsDriv_35_44,F_M2_BusCarAsDriv_45_54,F_M2_BusCarAsDriv_55_64,F_M2_BusCarAsDriv_65_74,F_M2_BusCarAsDriv_75ov,F_M2_BusCarAsDriv_Tot,F_M2_BusCarAsPas_15_24,F_M2_BusCarAsPas_25_34,F_M2_BusCarAsPas_35_44,F_M2_BusCarAsPas_45_54,F_M2_BusCarAsPas_55_64,F_M2_BusCarAsPas_65_74,F_M2_BusCarAsPas_75ov,F_M2_BusCarAsPas_Tot,F_M2_BusOth_15_24,F_M2_BusOth_25_34,F_M2_BusOth_35_44,F_M2_BusOth_45_54,F_M2_BusOth_55_64,F_M2_BusOth_65_74,F_M2_BusOth_75ov,F_M2_BusOth_Tot,F_M2_BusTot_15_24,F_M2_BusTot_25_34,F_M2_BusTot_35_44,F_M2_BusTot_45_54,F_M2_BusTot_55_64,F_M2_BusTot_65_74,F_M2_BusTot_75ov,F_M2_BusTot_Tot,F_M2_Other_M2_15_24,F_M2_Other_M2_25_34,F_M2_Other_M2_35_44,F_M2_Other_M2_45_54,F_M2_Other_M2_55_64,F_M2_Other_M2_65_74,F_M2_Other_M2_75ov,F_M2_Other_M2_Tot,F_M2_Tot_M2_15_24,F_M2_Tot_M2_25_34,F_M2_Tot_M2_35_44,F_M2_Tot_M2_45_54,F_M2_Tot_M2_55_64,F_M2_Tot_M2_65_74,F_M2_Tot_M2_75ov,F_M2_Tot_M2_Tot,F_M3_Trn_and_2_oth_Ms_15_24,F_M3_Trn_and_2_oth_Ms_25_34,F_M3_Trn_and_2_oth_Ms_35_44,F_M3_Trn_and_2_oth_Ms_45_54,F_M3_Trn_and_2_oth_Ms_55_64,F_M3_Trn_and_2_oth_Ms_65_74,F_M3_Trn_and_2_oth_Ms_75ov,F_M3_Trn_and_2_oth_Ms_Tot,F_M3_Bus2othMs_ex_tn_15_24,F_M3_Bus2othMs_ex_tn_25_34,F_M3_Bus2othMs_ex_tn_35_44,F_M3_Bus2othMs_ex_tn_45_54,F_M3_Bus2othMs_ex_tn_55_64,F_M3_Bus2othMs_ex_tn_65_74,F_M3_Bus2othMs_ex_tn_75ov,F_M3_Bus2othMs_ex_tn_Tot,F_M3_Other_M3_15_24,F_M3_Other_M3_25_34,F_M3_Other_M3_35_44,F_M3_Other_M3_45_54,F_M3_Other_M3_55_64,F_M3_Other_M3_65_74,F_M3_Other_M3_75ov,F_M3_Other_M3_Tot,F_M3_Tot_M3_15_24,F_M3_Tot_M3_25_34,F_M3_Tot_M3_35_44,F_M3_Tot_M3_45_54,F_M3_Tot_M3_55_64,F_M3_Tot_M3_65_74,F_M3_Tot_M3_75ov,F_M3_Tot_M3_Tot,F_Wkd_at_home_15_24,F_Wkd_at_home_25_34,F_Wkd_at_home_35_44,F_Wkd_at_home_45_54,F_Wkd_at_home_55_64,F_Wkd_at_home_65_74,F_Wkd_at_home_75ov,F_Wkd_at_home_Tot,F_Did_not_go_to_work_15_24,F_Did_not_go_to_work_25_34,F_Did_not_go_to_work_35_44,F_Did_not_go_to_work_45_54,F_Did_not_go_to_work_55_64,F_Did_not_go_to_work_65_74,F_Did_not_go_to_work_75ov,F_Did_not_go_to_work_Tot,F_MT_NS_15_24,F_MT_NS_25_34,F_MT_NS_35_44,F_MT_NS_45_54,F_MT_NS_55_64,F_MT_NS_65_74,F_MT_NS_75ov,F_MT_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75ov,F_Tot_Tot,P_M1_Train_15_24,P_M1_Train_25_34,P_M1_Train_35_44,P_M1_Train_45_54,P_M1_Train_55_64,P_M1_Train_65_74,P_M1_Train_75ov,P_M1_Train_Tot,P_M1_Bus_15_24,P_M1_Bus_25_34,P_M1_Bus_35_44,P_M1_Bus_45_54,P_M1_Bus_55_64,P_M1_Bus_65_74,P_M1_Bus_75ov,P_M1_Bus_Tot,P_M1_Ferry_15_24,P_M1_Ferry_25_34,P_M1_Ferry_35_44,P_M1_Ferry_45_54,P_M1_Ferry_55_64,P_M1_Ferry_65_74,P_M1_Ferry_75ov,P_M1_Ferry_Tot
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,6,7,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,6,9,0,0,0,0,29,5,5,0,0,3,0,0,17,22,18,11,0,3,0,0,56,41,35,20,20,8,4,0,131,73,59,33,27,14,8,0,209,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,10,38,32,18,20,5,8,0,122,48,34,25,20,5,8,0,136,177,896,1553,1534,1107,392,74,5728,1296,1228,991,824,872,223,25,5460,37,31,29,30,32,22,17,203,5759,7288,7309,7769,6442,1514,175,36258,20,34,8,9,0,0,0,68,136,64,37,26,27,5,0,292,0,0,0,3,0,0,0,16
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,6,0,0,9,3,0,6,0,0,0,0,7,0,3,0,0,4,0,0,4,6,6,7,5,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,25,4,3,0,4,0,0,36,4,3,3,6,0,0,0,12,34,11,8,0,7,0,0,57,38,31,23,18,15,4,0,133,78,47,34,23,26,4,0,217,6,0,0,0,0,0,0,8,0,3,0,0,0,0,0,3,12,27,7,13,0,0,0,58,15,28,7,8,6,0,0,71,169,912,1522,1684,1142,441,93,5959,1232,1204,952,856,895,255,20,5411,35,22,37,28,30,18,8,177,5524,6985,7287,7764,6473,1596,190,35816,30,32,12,23,17,0,0,117,172,69,60,30,23,8,0,364,3,3,5,6,4,0,0,14
203,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,6,6,4,3,0,4,0,27,4,3,5,0,0,0,0,12,0,3,3,4,0,0,0,6,24,42,21,8,0,4,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,6,5,0,0,28,42,21,6,3,4,0,0,72,11,8,6,4,0,0,0,33,59,33,16,13,10,0,0,128,57,64,36,45,28,10,0,235,147,141,72,71,41,11,0,477,9,17,3,5,0,0,0,35,8,13,0,0,0,0,0,30,58,51,39,15,17,0,0,177,71,80,42,22,17,0,0,241,492,2721,4163,3681,2269,699,90,14114,2720,2446,2088,1553,1516,431,20,10771,60,50,44,51,43,20,21,295,11505,15220,15159,14700,11038,2571,231,70425,56,103,61,31,20,3,0,279,382,283,145,90,108,29,3,1034,0,4,8,8,0,0,0,31
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,14,10,0,0,0,4,0,0,13,3,0,0,0,0,0,0,12,19,5,0,3,9,0,0,36,42,29,18,21,21,6,0,136,60,34,23,27,24,5,0,176,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,16,10,12,13,5,0,59,12,15,10,15,13,5,0,65,139,713,1224,1437,1249,671,182,5618,1262,1115,908,823,967,331,31,5441,74,32,34,40,33,35,29,277,5715,6864,7343,8432,7504,2288,355,38492,4,10,5,6,4,0,0,33,120,66,28,27,20,9,0,276,3,0,3,8,0,4,0,24
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,9,0,0,0,0,0,0,9,0,0,4,0,0,0,0,4,8,9,4,5,6,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,17,15,6,0,5,0,0,0,24,0,4,0,3,0,0,0,3,23,7,6,8,0,3,0,49,48,50,47,37,31,19,3,229,77,68,52,50,39,20,3,311,8,9,4,0,0,0,0,15,5,6,0,0,0,0,0,6,19,9,9,12,15,6,0,70,30,19,12,15,14,6,0,93,251,1359,1999,2140,1796,906,220,8669,1861,1831,1412,1315,1552,447,38,8454,90,66,64,82,78,46,34,457,8428,10990,11195,12591,11140,3102,430,57877,37,30,16,11,7,5,0,111,141,52,31,39,22,8,0,299,9,9,8,5,4,6,0,27
206,0,0,3,0,0,0,0,3,564,1051,453,245,173,44,0,2526,370,785,587,386,220,51,0,2399,171,325,154,90,72,18,0,839,63,158,95,36,29,0,0,382,1687,3084,1746,1027,703,152,8,8404,0,0,0,0,0,0,0,0,117,192,77,40,56,24,0,508,18,30,22,29,15,0,0,110,31,23,12,11,3,0,0,91,11,19,7,5,5,4,0,59,183,274,113,87,81,28,0,763,338,682,315,195,139,28,9,1697,2206,4032,2170,1304,920,213,12,10862,617,1045,643,342,202,63,5,2916,22,25,11,15,5,3,0,78,220,457,186,82,50,20,0,1012,856,1527,839,440,266,81,3,4004,10096,59121,58677,38987,18326,3822,346,189372,9903,15850,12213,5790,4371,1533,178,49844,210,360,238,185,154,98,62,1302,42029,120967,100459,67887,38642,9363,915,380255,6029,12656,8872,5384,3500,825,43,37314,740,1048,613,414,344,88,15,3269,16,47,43,14,11,6,4,145
207,0,0,0,0,0,0,0,0,62,117,24,16,0,0,0,227,21,18,18,11,13,3,0,93,26,25,8,8,4,0,0,68,4,17,4,4,9,0,0,44,229,346,114,81,58,14,0,841,0,0,0,0,0,0,0,0,21,32,9,9,3,8,0,81,10,20,8,4,3,3,0,45,37,13,5,4,0,0,0,71,11,10,4,0,5,0,0,28,80,70,30,21,17,11,0,226,93,100,44,52,27,8,0,329,403,514,184,153,99,35,3,1392,95,94,39,26,19,8,0,278,14,4,3,5,0,0,0,33,34,70,23,18,6,3,0,170,149,175,69,47,26,6,0,481,1355,6225,7660,7743,4662,1247,215,29107,3572,2694,2302,1837,1747,541,72,12767,33,70,49,43,31,18,17,252,12446,19440,17907,17997,13004,3469,473,84739,556,824,344,213,149,44,3,2133,494,389,159,136,91,24,3,1292,0,9,3,7,3,0,0,24
208,0,0,0,0,0,0,0,0,77,104,39,15,13,4,0,256,21,21,12,17,9,6,0,90,33,30,10,10,0,0,0,75,8,16,12,3,7,0,0,41,362,387,146,110,69,20,0,1099,0,0,0,0,0,0,0,0,9,18,4,0,0,0,0,33,3,7,12,7,8,3,0,34,57,29,5,14,3,0,0,102,5,13,6,3,0,0,0,26,80,53,23,25,12,6,0,203,94,85,58,63,51,11,0,365,531,529,229,199,135,35,0,1667,158,158,49,35,20,7,6,427,10,6,6,0,3,4,0,30,52,89,34,22,14,11,0,218,218,257,91,54,35,16,5,678,1043,3991,5879,6681,3944,1280,187,23004,4623,2875,2282,2013,1840,645,76,14356,47,61,59,55,37,28,15,301,15252,18442,17626,19423,13990,4071,459,89271,760,1026,405,225,184,42,3,2644,532,370,118,132,96,35,5,1292,4,9,3,5,0,0,0,22
209,0,0,0,0,0,0,0,0,5,27,4,0,8,0,0,47,11,24,17,9,10,0,0,71,23,19,6,0,4,3,0,53,5,11,11,10,0,0,0,46,164,250,114,52,41,16,0,637,0,0,0,0,0,0,0,0,21,30,13,7,3,0,0,81,4,7,9,10,6,0,0,35,62,30,17,12,7,0,0,121,8,11,4,3,0,3,0,35,99,75,48,34,17,4,0,274,83,91,60,49,35,0,3,328,346,416,223,135,95,22,0,1238,71,86,29,17,7,0,0,209,15,16,9,4,3,0,0,39,58,81,35,22,16,0,4,218,134,182,73,41,23,4,4,468,841,4106,5558,5135,3185,818,95,19740,3853,3213,2708,2058,1806,550,46,14240,52,60,66,38,55,17,20,310,14229,20589,19606,18947,13475,3121,285,90245,350,477,241,148,115,31,4,1361,555,449,195,153,133,32,8,1529,4,17,9,5,0,4,0,32
210,0,0,0,0,0,0,0,0,6,15,3,3,0,0,0,30,10,19,5,3,4,0,0,42,12,17,7,5,3,0,0,39,3,8,3,5,0,0,0,18,107,147,53,35,21,11,0,373,0,0,0,0,0,0,0,0,7,15,8,0,7,4,0,40,8,12,7,8,5,0,0,49,35,16,9,8,4,0,0,70,9,4,5,3,0,0,0,23,62,46,26,25,17,3,0,179,89,78,49,52,26,10,0,309,264,271,131,115,68,21,0,858,49,57,32,13,8,0,0,160,16,8,4,0,3,0,0,34,58,68,44,28,9,7,0,223,125,134,84,46,26,6,0,417,660,3121,4320,3745,2121,500,57,14527,2406,2240,1851,1542,1265,330,36,9677,63,83,56,48,40,19,3,317,10395,15423,15304,14726,9750,1992,170,67751,217,339,145,89,54,10,0,856,301,254,108,114,78,18,3,876,3,14,10,11,0,0,0,39
