POW_SA4_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
201,377,802,1439,1358,2739,1682,322,518,135,9365,397,622,1112,1195,2960,2556,574,774,117,10313,290,275,585,705,1910,1941,564,865,64,7201,279,197,336,558,1443,1662,502,931,62,5973,176,104,195,272,874,1177,443,791,31,4065,264,146,175,221,1016,1717,780,1558,57,5934,48,37,40,60,133,265,153,386,6,1120,55,84,68,86,189,368,178,714,22,1763,35,92,54,36,87,103,18,83,198,700,3989,11607,9128,6545,13419,12953,3862,7540,1151,70192
202,399,882,1457,1298,2632,1768,332,549,135,9452,415,522,1059,1135,2812,2452,555,919,122,9989,305,296,609,801,1927,1789,500,866,54,7150,270,218,373,612,1628,1667,510,997,52,6323,178,127,190,332,1008,1184,374,874,41,4314,297,144,194,314,1114,1663,734,1667,40,6159,37,32,43,43,137,283,138,376,9,1105,53,66,62,92,170,334,142,651,19,1592,38,91,58,50,91,91,20,77,208,725,3836,11454,8931,6621,13565,12728,3607,7830,1154,69726
203,738,1737,2782,2267,4274,2943,497,653,221,16101,680,1115,2234,2111,5371,4585,891,1266,200,18452,547,640,1243,1374,3969,3748,959,1398,127,14010,537,462,710,1175,3127,3399,952,1665,103,12130,362,263,421,636,2123,2548,830,1451,61,8700,529,315,438,623,2904,4293,1592,3047,83,13826,72,92,92,114,322,712,296,807,19,2526,112,211,254,244,427,932,443,1626,43,4291,64,155,118,74,160,202,50,121,413,1350,7592,23714,17837,11872,25827,25791,6925,13001,2016,134572
204,459,904,1536,1415,2801,2139,434,754,168,10606,487,633,1107,1244,3162,3137,720,1249,168,11903,355,313,605,770,2032,2238,668,1199,99,8280,308,228,359,553,1494,1935,646,1220,90,6835,194,151,198,297,884,1313,463,1037,37,4581,297,175,205,285,952,1791,750,1859,56,6368,35,48,38,42,97,243,115,389,9,1019,53,83,79,88,126,316,133,642,27,1551,44,94,67,51,94,120,32,117,273,899,4480,11701,9491,7080,14049,15188,4370,9996,1584,77944
205,621,1348,2232,2094,3877,2725,503,995,267,14666,654,938,1570,1677,4233,3685,825,1567,213,15350,469,455,815,1062,2657,2863,843,1568,139,10870,455,308,502,775,2197,2605,821,1696,119,9475,275,190,252,432,1406,1713,682,1426,69,6442,442,235,272,373,1723,2673,1188,2478,76,9463,102,75,74,100,300,451,204,626,18,1947,150,129,143,128,456,563,331,1131,54,3091,79,190,140,85,177,220,42,215,424,1569,6648,18616,14614,10248,20548,20223,6005,13751,2438,113091
206,3155,6515,10703,7296,16054,9546,1387,1845,974,57473,3722,5204,9487,8615,28570,21047,3423,4031,1039,85137,3137,3042,5753,6720,27978,24237,4516,5354,766,81514,3218,2401,4203,5859,26815,26531,5477,7422,638,82567,2702,1488,2455,3914,20462,23610,5207,7694,482,68015,5164,2463,3461,5934,35563,56278,14531,23583,648,147628,1145,750,959,1377,6840,15623,4697,10004,198,41585,1865,1491,1742,2080,7384,23529,9520,32630,391,80637,231,413,355,248,788,1090,187,561,2279,6156,38895,73998,71122,51239,179588,207797,49937,95609,10515,778703
207,602,1882,3054,2127,3728,2226,353,491,204,14677,674,1461,2437,2166,5387,4048,715,865,209,17967,499,875,1416,1526,4547,3897,906,1105,129,14903,481,644,1048,1270,4043,4126,1072,1453,92,14231,372,420,568,765,2804,3410,884,1380,73,10671,666,659,739,960,4195,6989,2321,4146,85,20749,137,189,232,182,656,1607,550,1373,26,4956,154,391,434,380,813,2384,951,3764,61,9325,63,172,138,51,184,189,44,114,465,1408,7446,27775,20768,12642,29106,30992,8099,15483,2045,154349
208,816,2117,3561,2689,6068,3285,492,807,302,20143,743,1682,2755,2427,7246,5360,1044,1277,255,22792,554,966,1537,1664,5334,4910,1021,1515,158,17659,505,687,995,1244,3907,4402,1200,1825,131,14897,308,455,581,704,2533,3260,1038,1646,98,10624,467,617,735,850,3220,5558,1910,4071,116,17549,84,211,207,209,542,1157,461,1227,38,4138,143,437,473,470,729,2069,787,3317,62,8495,93,240,148,96,216,260,47,167,582,1851,8648,31225,23246,14221,33845,32882,8497,16972,2568,172105
209,871,2083,3550,2897,6495,3778,617,857,331,21487,878,1469,2746,2824,7218,5935,1121,1498,301,23999,643,778,1500,1865,5231,5184,1165,1697,226,18299,578,537,938,1405,4234,4848,1289,1927,171,15921,400,308,464,764,2628,3502,1041,1817,90,11022,561,433,553,675,3194,5171,1902,3686,106,16282,78,115,156,146,402,862,371,1020,35,3171,122,181,271,252,528,1231,502,1879,42,4995,79,203,136,100,263,308,48,167,654,1962,8656,29464,23534,15475,34865,33897,8569,15747,2997,173204
210,858,1693,2992,2507,7387,4361,787,917,412,21919,833,1215,2019,1940,8207,6609,1507,1838,402,24561,570,624,1022,1152,5601,5339,1485,2044,240,18076,502,455,600,793,4402,4761,1344,2269,201,15340,322,274,359,429,2498,3243,1079,1967,101,10275,539,357,408,484,3180,5263,2007,3902,137,16275,108,94,106,133,467,864,414,1064,36,3285,208,218,209,201,566,1052,508,1839,47,4844,74,176,126,79,267,271,67,148,721,1942,7771,22267,19108,11668,37728,34905,9751,17080,3410,163696
