POW_SA4_CODE_2021,Pro_500_649_A_25_34,Pro_500_649_A_35_44,Pro_500_649_A_45_54,Pro_500_649_A_55_64,Pro_500_649_A_65_74,Pro_500_649_A_75ov,Pro_500_649_Tot,Pro_650_799_A_15_19,Pro_650_799_A_20_24,Pro_650_799_A_25_34,Pro_650_799_A_35_44,Pro_650_799_A_45_54,Pro_650_799_A_55_64,Pro_650_799_A_65_74,Pro_650_799_A_75ov,Pro_650_799_Tot,Pro_800_999_A_15_19,Pro_800_999_A_20_24,Pro_800_999_A_25_34,Pro_800_999_A_35_44,Pro_800_999_A_45_54,Pro_800_999_A_55_64,Pro_800_999_A_65_74,Pro_800_999_A_75ov,Pro_800_999_Tot,Pro_1000_1249_A_15_19,Pro_1000_1249_A_20_24,Pro_1000_1249_A_25_34,Pro_1000_1249_A_35_44,Pro_1000_1249_A_45_54,Pro_1000_1249_A_55_64,Pro_1000_1249_A_65_74,Pro_1000_1249_A_75ov,Pro_1000_1249_Tot,Pro_1250_1499_A_15_19,Pro_1250_1499_A_20_24,Pro_1250_1499_A_25_34,Pro_1250_1499_A_35_44,Pro_1250_1499_A_45_54,Pro_1250_1499_A_55_64,Pro_1250_1499_A_65_74,Pro_1250_1499_A_75ov,Pro_1250_1499_Tot,Pro_1500_1749_A_15_19,Pro_1500_1749_A_20_24,Pro_1500_1749_A_25_34,Pro_1500_1749_A_35_44,Pro_1500_1749_A_45_54,Pro_1500_1749_A_55_64,Pro_1500_1749_A_65_74,Pro_1500_1749_A_75ov,Pro_1500_1749_Tot,Pro_1750_1999_A_15_19,Pro_1750_1999_A_20_24,Pro_1750_1999_A_25_34,Pro_1750_1999_A_35_44,Pro_1750_1999_A_45_54,Pro_1750_1999_A_55_64,Pro_1750_1999_A_65_74,Pro_1750_1999_A_75ov,Pro_1750_1999_Tot,Pro_2000_2999_A_15_19,Pro_2000_2999_A_20_24,Pro_2000_2999_A_25_34,Pro_2000_2999_A_35_44,Pro_2000_2999_A_45_54,Pro_2000_2999_A_55_64,Pro_2000_2999_A_65_74,Pro_2000_2999_A_75ov,Pro_2000_2999_Tot,Pro_3000_3499_A_15_19,Pro_3000_3499_A_20_24,Pro_3000_3499_A_25_34,Pro_3000_3499_A_35_44,Pro_3000_3499_A_45_54,Pro_3000_3499_A_55_64,Pro_3000_3499_A_65_74,Pro_3000_3499_A_75ov,Pro_3000_3499_Tot,Pro_3500mo_A_15_19,Pro_3500mo_A_20_24,Pro_3500mo_A_25_34,Pro_3500mo_A_35_44,Pro_3500mo_A_45_54,Pro_3500mo_A_55_64,Pro_3500mo_A_65_74,Pro_3500mo_A_75ov,Pro_3500mo_Tot,Pro_PINS_A_15_19,Pro_PINS_A_20_24,Pro_PINS_A_25_34,Pro_PINS_A_35_44,Pro_PINS_A_45_54,Pro_PINS_A_55_64,Pro_PINS_A_65_74,Pro_PINS_A_75ov,Pro_PINS_Tot,Pro_Tot_A_15_19,Pro_Tot_A_20_24,Pro_Tot_A_25_34,Pro_Tot_A_35_44,Pro_Tot_A_45_54,Pro_Tot_A_55_64,Pro_Tot_A_65_74,Pro_Tot_A_75ov,Pro_Tot_Tot,TaTW_NNI_A_15_19,TaTW_NNI_A_20_24,TaTW_NNI_A_25_34,TaTW_NNI_A_35_44,TaTW_NNI_A_45_54,TaTW_NNI_A_55_64,TaTW_NNI_A_65_74,TaTW_NNI_A_75ov,TaTW_NNI_Tot,TaTW_1_149_A_15_19,TaTW_1_149_A_20_24,TaTW_1_149_A_25_34,TaTW_1_149_A_35_44,TaTW_1_149_A_45_54,TaTW_1_149_A_55_64,TaTW_1_149_A_65_74,TaTW_1_149_A_75ov,TaTW_1_149_Tot,TaTW_150_299_A_15_19,TaTW_150_299_A_20_24,TaTW_150_299_A_25_34,TaTW_150_299_A_35_44,TaTW_150_299_A_45_54,TaTW_150_299_A_55_64,TaTW_150_299_A_65_74,TaTW_150_299_A_75ov,TaTW_150_299_Tot,TaTW_300_399_A_15_19,TaTW_300_399_A_20_24,TaTW_300_399_A_25_34,TaTW_300_399_A_35_44,TaTW_300_399_A_45_54,TaTW_300_399_A_55_64,TaTW_300_399_A_65_74,TaTW_300_399_A_75ov,TaTW_300_399_Tot,TaTW_400_499_A_15_19,TaTW_400_499_A_20_24,TaTW_400_499_A_25_34,TaTW_400_499_A_35_44,TaTW_400_499_A_45_54,TaTW_400_499_A_55_64,TaTW_400_499_A_65_74,TaTW_400_499_A_75ov,TaTW_400_499_Tot,TaTW_500_649_A_15_19,TaTW_500_649_A_20_24,TaTW_500_649_A_25_34,TaTW_500_649_A_35_44,TaTW_500_649_A_45_54,TaTW_500_649_A_55_64,TaTW_500_649_A_65_74,TaTW_500_649_A_75ov,TaTW_500_649_Tot,TaTW_650_799_A_15_19,TaTW_650_799_A_20_24,TaTW_650_799_A_25_34,TaTW_650_799_A_35_44,TaTW_650_799_A_45_54,TaTW_650_799_A_55_64,TaTW_650_799_A_65_74,TaTW_650_799_A_75ov,TaTW_650_799_Tot,TaTW_800_999_A_15_19,TaTW_800_999_A_20_24,TaTW_800_999_A_25_34,TaTW_800_999_A_35_44,TaTW_800_999_A_45_54,TaTW_800_999_A_55_64,TaTW_800_999_A_65_74,TaTW_800_999_A_75ov,TaTW_800_999_Tot,TaTW_1000_1249_A_15_19,TaTW_1000_1249_A_20_24,TaTW_1000_1249_A_25_34,TaTW_1000_1249_A_35_44,TaTW_1000_1249_A_45_54,TaTW_1000_1249_A_55_64,TaTW_1000_1249_A_65_74,TaTW_1000_1249_A_75ov,TaTW_1000_1249_Tot,TaTW_1250_1499_A_15_19,TaTW_1250_1499_A_20_24,TaTW_1250_1499_A_25_34,TaTW_1250_1499_A_35_44,TaTW_1250_1499_A_45_54,TaTW_1250_1499_A_55_64,TaTW_1250_1499_A_65_74,TaTW_1250_1499_A_75ov,TaTW_1250_1499_Tot,TaTW_1500_1749_A_15_19,TaTW_1500_1749_A_20_24,TaTW_1500_1749_A_25_34,TaTW_1500_1749_A_35_44
201,100,132,73,92,64,13,511,11,44,169,186,108,117,62,9,699,3,105,273,283,204,183,66,5,1124,0,177,557,439,331,288,78,11,1870,0,158,682,463,358,289,79,4,2038,0,49,731,541,488,340,59,3,2209,0,12,390,475,454,295,62,8,1701,0,14,414,733,696,454,98,3,2415,0,5,60,125,110,90,19,0,408,0,0,71,212,261,156,52,0,752,0,4,11,9,24,13,4,0,65,71,653,3590,3753,3225,2451,735,70,14552,6,3,4,9,4,11,5,0,35,33,5,4,9,6,6,3,0,69,40,15,19,26,22,22,12,5,161,41,19,27,37,34,30,19,0,212,136,39,49,53,45,53,26,5,410,188,172,92,91,107,90,29,4,771,76,285,238,143,135,132,43,4,1063,34,328,497,273,288,200,43,4,1671,17,211,570,396,333,262,35,0,1820,5,90,356,285,263,175,26,0,1194,0,27,219,211
202,99,121,117,72,70,3,502,3,45,149,177,125,135,64,0,705,0,101,292,298,193,171,66,10,1126,0,171,547,425,358,304,94,8,1908,0,146,703,491,416,276,92,4,2123,0,69,762,614,491,382,92,8,2422,0,21,430,486,490,303,62,3,1799,0,22,418,739,755,489,99,9,2533,0,3,49,112,107,66,23,0,360,0,0,58,206,226,149,47,9,699,4,3,15,17,15,17,6,0,86,31,666,3646,3854,3417,2478,799,74,14965,4,3,5,11,5,12,7,0,36,38,0,10,10,6,7,12,0,77,38,14,19,18,21,31,9,0,150,32,10,26,30,42,27,11,4,194,107,58,51,46,46,73,23,5,395,181,171,103,91,104,100,30,0,794,85,259,227,133,122,109,25,3,965,28,282,435,243,239,185,43,8,1461,13,157,507,326,300,247,51,0,1599,0,66,350,259,216,142,27,4,1063,4,29,219,222
203,280,231,142,137,94,10,981,9,100,388,396,210,204,118,14,1440,3,201,569,568,373,279,119,20,2129,4,398,1245,859,593,413,135,9,3655,0,288,1478,931,703,516,129,12,4063,0,103,1584,1125,868,572,142,20,4409,0,23,1024,1049,906,549,117,8,3677,0,14,1134,1925,1575,949,182,10,5793,0,0,142,248,265,152,49,3,856,0,0,166,576,555,388,123,15,1825,0,12,41,31,35,30,13,0,172,81,1390,8370,8300,6447,4419,1346,145,30503,7,3,10,22,10,5,3,0,64,76,12,11,18,17,13,16,0,164,69,51,37,54,44,28,16,0,298,56,78,79,67,45,52,33,4,419,180,138,112,105,93,88,42,8,756,293,303,194,170,136,142,49,7,1293,111,547,474,243,218,197,47,3,1834,44,497,837,452,383,262,54,9,2543,22,380,1117,646,523,393,77,8,3166,9,168,742,547,479,290,60,4,2298,0,76,554,543
204,67,82,64,89,79,16,428,4,30,124,161,106,113,60,9,612,0,63,237,243,215,174,91,11,1028,4,100,477,396,348,286,101,7,1719,0,110,591,445,356,315,82,0,1909,0,46,659,523,475,380,86,6,2174,0,10,331,388,439,297,62,4,1522,0,14,327,633,630,470,98,3,2169,0,0,36,101,82,54,17,0,291,0,0,47,130,134,133,43,9,508,0,5,16,10,21,21,5,0,75,46,457,2987,3257,2987,2446,824,92,13095,8,3,6,12,20,14,7,0,61,54,10,10,15,11,11,5,0,113,36,15,12,10,36,31,18,0,159,30,26,34,33,38,46,18,5,223,159,50,45,46,65,75,43,8,480,218,150,89,93,104,109,42,4,827,87,277,222,151,165,145,59,3,1111,73,360,477,298,261,242,70,3,1795,61,294,650,439,365,311,57,3,2179,8,115,407,344,271,201,44,0,1393,4,45,243,274
205,146,157,102,147,78,9,696,6,58,237,240,165,181,109,14,1014,4,123,352,357,267,284,125,21,1530,0,201,732,573,439,427,142,16,2531,0,233,954,593,503,440,120,13,2861,0,115,1000,738,637,490,121,10,3108,0,35,571,560,567,435,113,6,2290,0,17,536,900,926,671,128,10,3186,0,3,79,136,133,98,30,3,477,0,3,85,240,288,226,78,13,932,0,11,17,17,36,27,11,0,124,74,927,4904,4735,4205,3642,1196,136,19813,5,3,12,22,26,15,6,0,84,56,16,22,22,21,17,11,0,162,72,21,36,33,36,53,31,0,287,60,39,55,66,75,85,44,7,428,263,85,71,94,90,128,52,6,781,363,274,165,145,151,197,69,13,1380,136,412,315,233,218,226,88,8,1638,54,447,660,387,338,310,65,11,2262,17,298,786,551,442,387,86,5,2556,3,113,530,467,344,257,45,4,1765,0,82,408,352
206,1567,964,579,446,255,50,4752,37,1013,2322,1567,888,597,363,66,6842,24,2066,4629,2653,1398,965,495,91,12316,20,4343,11172,5062,2544,1604,690,99,25537,7,3388,16629,7160,3313,1916,649,64,33120,3,1566,18519,10399,5059,2852,749,76,39227,5,579,14266,11204,5452,3089,748,81,35426,0,467,23743,29973,15004,7474,1533,148,78351,3,67,3785,8171,4837,2360,563,82,19869,3,55,3647,13308,11861,5989,1665,232,36756,3,96,424,367,264,181,73,14,1424,579,16551,102815,92235,52162,28196,8262,1109,301895,16,26,65,55,37,30,8,6,231,68,71,37,30,22,22,17,10,281,86,170,131,84,73,59,22,5,631,63,256,309,149,133,74,42,6,1031,160,407,469,213,180,138,68,10,1653,217,755,930,476,291,251,93,14,3031,136,993,1568,739,486,371,91,17,4400,81,1171,2762,1350,838,572,159,13,6940,45,947,3836,2258,1240,812,201,20,9364,22,457,2756,1912,1209,761,129,9,7250,3,206,1972,1896
207,416,326,252,213,140,39,1551,4,208,512,466,322,273,167,39,1988,4,316,955,631,470,451,242,36,3100,0,574,1867,1064,727,617,252,49,5151,3,430,2416,1187,873,664,273,37,5896,0,158,2622,1674,1175,836,239,40,6740,0,48,1664,1574,1169,816,220,37,5516,0,39,2274,3626,2831,1844,450,70,11133,0,7,298,738,656,406,124,15,2247,0,3,302,1108,1379,932,299,44,4076,0,23,72,58,73,62,21,7,311,356,2651,13971,13007,10386,7514,2659,489,51034,3,10,15,14,12,8,5,0,71,45,27,15,20,13,4,6,0,135,35,66,45,29,38,31,18,0,273,39,69,95,74,49,53,21,7,395,56,109,105,81,90,71,28,13,552,107,196,207,181,122,131,43,14,1000,48,299,336,230,199,176,56,4,1346,18,296,642,384,297,262,64,3,1969,8,205,779,526,324,302,79,7,2225,0,67,558,377,354,219,30,0,1616,5,37,348,313
208,268,240,240,210,131,31,1308,4,163,381,441,307,264,165,29,1749,3,283,720,636,546,436,200,31,2864,5,440,1507,981,763,614,287,44,4637,0,352,1931,1154,910,646,265,34,5294,0,99,1909,1298,1128,779,231,47,5495,0,39,1142,1212,1071,778,235,33,4514,0,34,1314,2363,2104,1396,382,62,7652,0,0,180,461,481,311,107,19,1559,0,3,185,925,1265,761,305,48,3482,3,17,68,55,80,72,38,9,332,275,2125,10015,10230,9357,6600,2550,414,41564,5,12,22,15,14,12,13,0,100,68,25,21,11,14,6,9,4,167,60,56,42,33,38,44,21,0,299,47,91,84,63,75,85,40,12,489,134,171,130,106,109,114,55,16,823,202,338,262,198,197,162,73,7,1436,83,508,508,290,303,239,89,15,2025,35,592,1004,531,473,363,134,14,3147,21,321,1201,801,648,530,124,11,3655,0,158,919,679,593,402,95,5,2850,4,80,610,581
209,375,339,223,166,109,24,1396,3,148,541,542,359,238,135,19,1977,3,306,870,793,487,352,170,20,2990,0,508,1814,1210,841,586,198,23,5185,3,437,2448,1263,915,640,166,16,5883,0,127,2528,1548,1233,774,205,12,6419,0,33,1496,1446,1063,742,171,16,4959,0,34,1616,2267,1865,1258,261,24,7334,0,4,249,395,349,205,60,9,1268,0,3,194,782,727,454,174,16,2348,0,20,70,73,64,42,12,0,279,168,2135,12780,11204,8473,5725,1824,204,42517,6,9,21,37,17,23,5,0,121,61,20,22,36,27,20,11,0,192,53,62,49,74,67,47,27,3,377,64,93,109,98,87,70,21,7,545,185,166,149,134,110,93,36,0,874,259,354,299,253,248,189,52,15,1667,119,537,557,370,331,259,91,11,2286,46,600,1018,589,462,393,95,10,3221,29,408,1289,843,699,516,102,6,3896,14,179,903,675,572,411,92,3,2851,9,96,675,566
210,185,158,118,89,40,13,700,4,91,296,295,172,124,66,7,1055,6,180,534,430,273,202,61,22,1699,4,275,1164,686,435,306,132,9,3016,0,278,1484,786,503,329,79,11,3472,0,83,1498,941,705,425,103,11,3767,0,24,826,888,641,464,92,9,2935,0,21,1064,1807,1312,818,184,14,5212,0,7,128,301,284,156,41,4,923,0,0,126,481,599,381,75,10,1674,0,11,50,38,40,35,13,0,191,139,1267,7650,7108,5291,3500,958,118,26030,7,8,31,38,26,24,7,0,144,57,20,25,28,21,18,6,6,180,53,41,38,58,57,25,15,0,294,55,73,118,100,103,76,28,4,562,165,202,164,138,120,105,31,12,940,290,406,265,223,181,145,55,9,1582,149,621,543,382,284,225,64,4,2272,75,615,1088,657,551,406,99,4,3494,41,448,1347,885,840,568,108,4,4236,11,219,981,829,705,518,83,4,3354,3,109,796,754
