POW_SA4_CODE_2021,Emp_15_19_HW_0,Emp_15_19_HW_1_19,Emp_15_19_HW_20_29,Emp_15_19_HW_30_34,Emp_15_19_HW_35_39,Emp_15_19_HW_40_44,Emp_15_19_HW_45_49,Emp_15_19_HW_50mor,Emp_15_19_HW_NS,Emp_15_19_Tot,Emp_20_24_HW_0,Emp_20_24_HW_1_19,Emp_20_24_HW_20_29,Emp_20_24_HW_30_34,Emp_20_24_HW_35_39,Emp_20_24_HW_40_44,Emp_20_24_HW_45_49,Emp_20_24_HW_50mor,Emp_20_24_HW_NS,Emp_20_24_Tot,Emp_25_29_HW_0,Emp_25_29_HW_1_19,Emp_25_29_HW_20_29,Emp_25_29_HW_30_34,Emp_25_29_HW_35_39,Emp_25_29_HW_40_44,Emp_25_29_HW_45_49,Emp_25_29_HW_50mor,Emp_25_29_HW_NS,Emp_25_29_Tot,Emp_30_34_HW_0,Emp_30_34_HW_1_19,Emp_30_34_HW_20_29,Emp_30_34_HW_30_34,Emp_30_34_HW_35_39,Emp_30_34_HW_40_44,Emp_30_34_HW_45_49,Emp_30_34_HW_50mor,Emp_30_34_HW_NS,Emp_30_34_Tot,Emp_35_39_HW_0,Emp_35_39_HW_1_19,Emp_35_39_HW_20_29,Emp_35_39_HW_30_34,Emp_35_39_HW_35_39,Emp_35_39_HW_40_44,Emp_35_39_HW_45_49,Emp_35_39_HW_50mor,Emp_35_39_HW_NS,Emp_35_39_Tot,Emp_40_44_HW_0,Emp_40_44_HW_1_19,Emp_40_44_HW_20_29,Emp_40_44_HW_30_34,Emp_40_44_HW_35_39,Emp_40_44_HW_40_44,Emp_40_44_HW_45_49,Emp_40_44_HW_50mor,Emp_40_44_HW_NS,Emp_40_44_Tot,Emp_45_49_HW_0,Emp_45_49_HW_1_19,Emp_45_49_HW_20_29,Emp_45_49_HW_30_34,Emp_45_49_HW_35_39,Emp_45_49_HW_40_44,Emp_45_49_HW_45_49,Emp_45_49_HW_50mor,Emp_45_49_HW_NS,Emp_45_49_Tot,Emp_50_54_HW_0,Emp_50_54_HW_1_19,Emp_50_54_HW_20_29,Emp_50_54_HW_30_34,Emp_50_54_HW_35_39,Emp_50_54_HW_40_44,Emp_50_54_HW_45_49,Emp_50_54_HW_50mor,Emp_50_54_HW_NS,Emp_50_54_Tot,Emp_55_59_HW_0,Emp_55_59_HW_1_19,Emp_55_59_HW_20_29,Emp_55_59_HW_30_34,Emp_55_59_HW_35_39,Emp_55_59_HW_40_44,Emp_55_59_HW_45_49,Emp_55_59_HW_50mor,Emp_55_59_HW_NS,Emp_55_59_Tot,Emp_60_64_HW_0,Emp_60_64_HW_1_19,Emp_60_64_HW_20_29,Emp_60_64_HW_30_34,Emp_60_64_HW_35_39,Emp_60_64_HW_40_44,Emp_60_64_HW_45_49,Emp_60_64_HW_50mor,Emp_60_64_HW_NS,Emp_60_64_Tot,Emp_65_69_HW_0,Emp_65_69_HW_1_19,Emp_65_69_HW_20_29,Emp_65_69_HW_30_34,Emp_65_69_HW_35_39,Emp_65_69_HW_40_44,Emp_65_69_HW_45_49,Emp_65_69_HW_50mor,Emp_65_69_HW_NS,Emp_65_69_Tot,Emp_70_74_HW_0,Emp_70_74_HW_1_19,Emp_70_74_HW_20_29,Emp_70_74_HW_30_34,Emp_70_74_HW_35_39,Emp_70_74_HW_40_44,Emp_70_74_HW_45_49,Emp_70_74_HW_50mor,Emp_70_74_HW_NS,Emp_70_74_Tot,Emp_75ov_HW_0,Emp_75ov_HW_1_19,Emp_75ov_HW_20_29,Emp_75ov_HW_30_34,Emp_75ov_HW_35_39,Emp_75ov_HW_40_44,Emp_75ov_HW_45_49,Emp_75ov_HW_50mor,Emp_75ov_HW_NS,Emp_75ov_Tot,Emp_Tot_HW_0,Emp_Tot_HW_1_19,Emp_Tot_HW_20_29,Emp_Tot_HW_30_34,Emp_Tot_HW_35_39,Emp_Tot_HW_40_44,Emp_Tot_HW_45_49,Emp_Tot_HW_50mor,Emp_Tot_HW_NS,Emp_Tot_Tot,OM_IEs_15_19_HW_0,OM_IEs_15_19_HW_1_19,OM_IEs_15_19_HW_20_29,OM_IEs_15_19_HW_30_34,OM_IEs_15_19_HW_35_39,OM_IEs_15_19_HW_40_44,OM_IEs_15_19_HW_45_49,OM_IEs_15_19_HW_50mor,OM_IEs_15_19_HW_NS,OM_IEs_15_19_Tot,OM_IEs_20_24_HW_0,OM_IEs_20_24_HW_1_19,OM_IEs_20_24_HW_20_29,OM_IEs_20_24_HW_30_34,OM_IEs_20_24_HW_35_39,OM_IEs_20_24_HW_40_44,OM_IEs_20_24_HW_45_49,OM_IEs_20_24_HW_50mor,OM_IEs_20_24_HW_NS,OM_IEs_20_24_Tot,OM_IEs_25_29_HW_0,OM_IEs_25_29_HW_1_19,OM_IEs_25_29_HW_20_29,OM_IEs_25_29_HW_30_34,OM_IEs_25_29_HW_35_39,OM_IEs_25_29_HW_40_44,OM_IEs_25_29_HW_45_49,OM_IEs_25_29_HW_50mor,OM_IEs_25_29_HW_NS,OM_IEs_25_29_Tot,OM_IEs_30_34_HW_0,OM_IEs_30_34_HW_1_19,OM_IEs_30_34_HW_20_29,OM_IEs_30_34_HW_30_34,OM_IEs_30_34_HW_35_39,OM_IEs_30_34_HW_40_44,OM_IEs_30_34_HW_45_49,OM_IEs_30_34_HW_50mor,OM_IEs_30_34_HW_NS,OM_IEs_30_34_Tot,OM_IEs_35_39_HW_0,OM_IEs_35_39_HW_1_19,OM_IEs_35_39_HW_20_29,OM_IEs_35_39_HW_30_34,OM_IEs_35_39_HW_35_39,OM_IEs_35_39_HW_40_44,OM_IEs_35_39_HW_45_49,OM_IEs_35_39_HW_50mor,OM_IEs_35_39_HW_NS,OM_IEs_35_39_Tot,OM_IEs_40_44_HW_0,OM_IEs_40_44_HW_1_19,OM_IEs_40_44_HW_20_29,OM_IEs_40_44_HW_30_34,OM_IEs_40_44_HW_35_39,OM_IEs_40_44_HW_40_44,OM_IEs_40_44_HW_45_49,OM_IEs_40_44_HW_50mor,OM_IEs_40_44_HW_NS,OM_IEs_40_44_Tot
201,451,2598,426,160,362,304,67,65,94,4521,380,1340,950,540,1378,1073,272,245,121,6296,414,773,724,607,1719,1442,394,496,124,6698,461,788,718,526,1399,1257,377,594,93,6211,317,685,861,564,1242,1199,334,540,70,5810,198,587,783,566,1185,1256,390,564,54,5583,190,510,791,634,1351,1264,394,627,67,5822,247,521,711,633,1330,1210,414,602,71,5746,332,616,706,635,1223,1005,328,457,58,5358,294,573,662,518,859,647,168,298,43,4055,141,433,256,165,250,192,44,77,20,1585,43,180,83,34,51,22,4,23,11,453,22,60,17,10,9,9,0,3,9,128,3485,9660,7697,5600,12356,10876,3182,4588,818,58254,0,10,0,0,0,0,0,0,0,9,6,0,3,0,0,9,0,9,0,30,4,3,9,12,30,36,16,47,5,167,8,19,32,13,47,96,25,117,0,371,12,43,45,38,55,128,37,178,11,547,13,43,43,45,49,135,25,235,5,598
202,381,2678,427,164,350,283,57,58,93,4493,337,1197,845,561,1284,1083,213,338,113,5965,344,691,632,555,1745,1472,391,498,104,6426,486,693,732,545,1446,1292,356,625,88,6258,313,671,865,599,1309,1171,342,586,74,5943,198,608,752,623,1243,1179,323,648,66,5644,207,538,734,591,1489,1253,369,652,74,5907,247,518,734,626,1328,1170,385,654,63,5725,332,607,737,623,1206,982,322,534,61,5408,319,617,710,508,834,696,180,338,49,4248,165,437,278,182,280,200,52,91,26,1705,40,162,69,35,41,27,7,23,11,412,12,57,17,9,10,4,4,4,6,118,3376,9473,7538,5618,12565,10801,2999,5051,829,58256,0,4,0,0,0,0,0,0,0,7,0,7,3,0,7,8,0,9,0,31,0,7,16,7,15,21,8,26,0,96,7,20,20,19,39,75,28,69,0,277,3,32,28,28,55,112,36,148,12,467,9,32,48,50,60,125,33,192,7,553
203,899,5338,707,247,514,451,86,70,100,8418,889,3338,1999,1060,2468,2053,384,431,233,12855,726,1579,1563,1138,3605,3113,742,909,256,13634,940,1342,1500,1038,3105,2983,752,1062,172,12893,691,1449,1701,1132,2809,2655,735,1099,160,12430,436,1219,1550,1106,2378,2511,697,1114,118,11131,364,1060,1507,1151,2504,2549,780,1237,118,11265,398,1008,1368,1004,2475,2272,671,1108,123,10422,515,1080,1421,1029,2190,1779,546,906,95,9558,455,1166,1146,741,1375,1134,334,499,79,6916,258,800,522,258,405,356,93,144,36,2872,81,325,127,59,62,59,8,26,11,764,14,142,32,13,25,17,0,6,8,260,6674,19841,15138,9975,23919,21930,5830,8627,1499,113427,0,11,3,0,3,0,0,0,0,26,3,9,13,3,13,9,13,10,0,75,13,25,25,14,46,85,16,113,4,343,16,85,51,37,89,201,57,242,14,794,32,84,98,67,145,275,79,354,18,1149,22,75,91,94,129,280,66,405,6,1174
204,548,2579,432,215,536,543,117,136,137,5242,335,962,817,562,1305,1343,340,409,160,6233,372,657,713,543,1486,1540,427,616,133,6492,439,662,710,552,1257,1430,379,652,117,6203,314,649,775,585,1283,1246,382,673,106,6013,234,541,724,592,1213,1313,367,706,77,5771,216,525,759,653,1433,1406,435,726,83,6239,282,563,760,666,1475,1398,441,703,97,6385,378,646,777,663,1402,1198,360,635,80,6129,386,745,802,543,1042,791,215,392,62,4978,205,565,342,202,327,274,61,157,40,2177,40,259,96,50,58,62,12,30,14,620,13,98,37,3,16,12,3,11,0,200,3774,9452,7748,5834,12835,12552,3546,5838,1109,62677,0,6,0,0,0,0,0,0,0,9,0,7,4,3,4,6,0,4,0,28,3,12,9,7,10,40,10,58,9,156,10,22,24,21,41,72,25,132,4,352,11,37,31,24,52,123,34,158,17,482,15,43,44,36,63,136,43,210,5,595
205,718,3941,672,239,691,590,106,112,181,7243,471,1427,1149,802,2050,1680,355,480,226,8652,588,991,941,838,2480,2208,528,860,222,9648,673,1129,1084,789,2090,1904,605,884,185,9348,488,1140,1267,900,1872,1814,552,952,138,9127,364,926,1120,879,1806,1696,531,934,127,8390,335,912,1192,942,1960,1826,590,1010,136,8897,443,979,1291,989,2014,1807,632,1094,143,9392,579,1094,1360,963,1922,1576,541,936,120,9092,624,1227,1219,844,1308,1084,338,578,83,7296,275,774,525,278,425,294,109,187,55,2926,68,355,149,62,77,65,22,31,16,838,32,139,35,13,10,18,3,12,8,270,5653,15039,12002,8545,18707,16563,4914,8063,1647,91127,0,7,0,0,0,0,0,0,0,10,5,0,0,0,8,17,3,16,0,52,12,18,14,0,37,41,14,67,3,201,14,36,45,23,66,127,39,175,7,538,14,56,55,54,96,164,51,233,16,739,13,40,65,42,109,194,52,266,19,801
206,2062,7935,1473,442,649,523,87,68,255,13504,4917,15357,10036,4148,12320,10718,1918,2191,1216,62818,4624,8860,9574,5983,30737,29608,6243,8426,1630,105691,7189,6491,8674,6443,31851,34457,7369,11405,1491,115370,6156,5483,8444,7072,28464,33903,6819,11692,1149,109188,2781,4174,6391,5765,20497,27408,6301,11841,718,85872,1749,3373,4859,4514,15285,20692,6149,11809,518,68942,1722,3012,4163,3834,13092,16056,5019,10221,473,57593,1733,2636,3514,3169,10246,11295,3413,6698,326,43026,1532,2692,2902,2389,6570,6331,1854,3480,208,27949,880,1964,1589,1023,2431,2112,595,1031,119,11749,293,1071,593,329,582,523,141,254,48,3834,125,478,179,83,113,101,19,71,42,1199,35769,63529,62385,45196,172835,193725,45921,79178,8193,706740,6,11,7,0,4,3,0,0,0,32,15,67,78,28,29,65,18,41,18,372,35,119,169,101,145,318,74,270,42,1275,93,221,294,218,452,847,204,963,87,3383,145,341,368,327,649,1275,325,1488,109,5025,92,323,377,336,553,1355,378,1607,90,5121
207,900,5093,638,135,166,179,26,22,64,7233,971,5189,2589,1039,2001,1734,336,317,240,14402,645,1857,1981,1231,4295,3778,969,1087,288,16126,970,1379,1766,1182,4200,4081,953,1341,219,16088,767,1400,1787,1157,3607,3656,893,1299,164,14730,361,1189,1619,1076,2797,3195,780,1422,107,12545,307,1234,1478,1165,2673,2891,837,1689,107,12385,350,1285,1490,1061,2538,2572,872,1702,120,11990,382,1182,1431,996,2123,2059,669,1207,85,10126,397,1206,1153,740,1509,1263,402,732,44,7444,238,803,602,337,516,452,114,199,29,3302,73,452,201,101,114,120,42,50,11,1160,43,262,69,29,34,35,7,9,10,499,6406,22519,16795,10251,26569,26012,6903,11076,1480,128008,0,4,0,0,0,0,0,0,0,14,8,19,16,10,8,17,4,12,4,100,10,37,54,21,55,81,21,49,8,338,38,103,117,89,152,283,53,212,20,1056,52,140,193,122,234,372,57,310,14,1499,37,170,196,130,166,452,100,390,26,1663
208,1154,6486,853,218,346,305,49,37,88,9537,1465,5944,3354,1171,2680,2082,353,416,263,17724,782,1942,2263,1299,4713,3881,866,974,364,17083,909,1445,1729,1177,4199,3796,924,1262,277,15719,666,1354,1801,1263,3814,3231,824,1251,219,14418,404,1261,1604,1083,3053,2954,796,1298,172,12619,302,1295,1645,1213,3178,3102,865,1608,139,13349,413,1286,1640,1250,3235,2809,827,1564,134,13147,439,1256,1475,1139,2684,2203,667,1190,100,11152,425,1190,1270,878,1867,1411,351,637,73,8100,230,889,657,366,670,536,138,233,28,3749,108,525,231,131,175,122,31,51,9,1393,56,248,78,18,36,19,11,11,11,489,7360,25127,18598,11200,30638,26447,6705,10529,1867,138469,0,5,0,0,0,0,0,0,0,17,3,10,15,10,7,27,0,25,0,99,11,40,32,36,46,117,25,110,5,418,43,69,94,69,148,272,59,276,16,1058,47,153,174,141,248,465,112,469,35,1843,36,158,191,176,219,560,160,557,31,2096
209,928,6326,947,260,450,415,89,54,105,9578,1017,4636,2834,1370,2751,2354,475,463,363,16256,828,1840,2023,1500,4627,4132,1014,1250,388,17597,1177,1724,2084,1542,4280,4048,1017,1416,320,17615,775,1752,2189,1566,3876,3466,813,1340,269,16043,429,1531,1898,1373,3418,3174,764,1286,166,14039,384,1442,1904,1379,3385,3136,884,1409,148,14076,457,1270,1812,1353,3259,2932,802,1386,154,13433,485,1238,1574,1229,2848,2367,630,1030,135,11537,511,1185,1333,900,1948,1498,409,643,69,8496,254,786,636,352,739,511,134,223,43,3669,74,365,170,67,129,101,40,35,15,995,41,179,46,36,23,18,5,11,9,370,7353,24278,19450,12939,31740,28150,7078,10551,2177,143711,0,16,0,0,0,3,0,5,0,35,4,35,16,9,24,31,8,19,8,162,14,43,61,33,68,127,26,105,18,504,31,95,128,76,189,316,74,299,38,1250,50,173,178,103,233,475,112,422,28,1774,49,144,194,163,222,536,130,478,27,1939
210,719,4486,804,243,569,500,88,81,137,7617,771,3298,2450,1044,2915,2406,569,568,370,14388,707,1484,1967,1082,4639,4084,1024,1261,450,16692,960,1351,1764,1119,4674,4046,1152,1612,379,17053,716,1383,1770,1088,4406,3947,1140,1676,312,16437,502,1209,1557,1034,3740,3446,1020,1599,241,14339,437,1178,1448,1122,3763,3380,1009,1624,209,14166,533,1168,1452,978,3840,3272,987,1578,161,13974,552,1042,1208,890,3338,2557,799,1250,138,11775,454,901,916,679,2163,1634,451,727,92,8011,220,517,434,243,760,535,138,222,38,3108,75,230,135,61,145,93,26,34,16,811,19,110,35,19,35,28,8,9,8,271,6651,18359,15943,9606,34979,29916,8407,12237,2538,138639,0,12,3,0,0,0,0,0,0,20,9,26,28,10,17,34,7,27,5,161,20,55,77,39,75,128,31,130,34,589,37,96,94,66,158,327,72,334,33,1222,42,131,152,108,238,480,109,431,49,1738,34,126,135,111,230,427,108,447,38,1663
