POW_SA4_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
201,499,124,43,6840,5822,689,613,129,60,7317,5746,691,587,133,75,7240,5358,642,597,175,78,6845,4055,509,609,195,86,5461,1585,301,392,139,50,2469,453,176,224,135,31,1016,128,94,140,150,36,552,58254,4830,5039,1426,643,70192
202,572,86,53,6914,5907,610,626,102,48,7299,5725,665,668,119,62,7242,5408,558,648,138,82,6832,4248,464,635,175,70,5594,1705,322,431,152,46,2653,412,157,241,140,33,986,118,98,156,142,50,565,58256,4308,5263,1292,612,69726
203,1066,169,95,13634,11265,1358,1094,187,82,13991,10422,1281,1069,168,97,13039,9558,1116,980,176,89,11919,6916,853,935,188,87,8977,2872,560,577,172,51,4238,764,308,345,164,32,1614,260,140,161,144,51,755,113427,9175,9282,1774,911,134572
204,573,146,63,7141,6239,691,686,162,79,7861,6385,813,763,206,93,8251,6129,735,780,255,97,7989,4978,680,877,299,96,6934,2177,410,720,341,87,3737,620,220,473,341,45,1701,200,133,376,337,93,1134,62677,5306,6728,2359,874,77944
205,911,189,111,10398,8897,944,1114,207,163,11326,9392,1080,1169,249,149,12040,9092,912,1262,297,169,11722,7296,826,1314,383,188,10009,2926,575,960,412,131,5006,838,317,598,317,89,2159,270,174,441,359,118,1364,91127,7170,10341,2895,1556,113091
206,3370,499,262,95121,68942,5091,3324,454,265,78083,57593,4991,3011,479,238,66312,43026,4128,2654,443,242,50498,27949,2958,2166,382,194,33647,11749,1919,1493,350,119,15629,3834,1211,889,284,84,6298,1199,630,542,259,143,2778,706740,36145,28580,4458,2777,778703
207,997,272,65,15546,12385,2005,1107,291,64,15836,11990,2050,1213,279,72,15596,10126,1762,1108,214,79,13279,7444,1328,981,201,56,10007,3302,890,677,142,45,5043,1160,524,410,134,20,2247,499,315,274,144,31,1259,128008,13540,9872,2298,636,154349
208,1428,267,74,16476,13349,2550,1695,286,96,17981,13147,2689,1781,298,82,17997,11152,2321,1511,272,86,15340,8100,1775,1355,261,75,11565,3749,1182,870,238,38,6079,1393,713,517,197,38,2855,489,401,269,167,41,1372,138469,17147,13086,2537,866,172105
209,1555,262,114,17911,14076,1932,1453,213,98,17773,13433,1978,1393,213,102,17112,11537,1705,1214,225,105,14787,8496,1333,1002,216,100,11138,3669,785,608,154,53,5270,995,394,295,93,38,1815,370,245,160,80,36,893,143711,14023,12348,2080,1038,173204
210,1184,215,114,17508,14166,1709,1117,207,102,17304,13974,1785,1091,230,119,17189,11775,1579,964,176,97,14582,8011,1085,709,150,89,10052,3108,552,377,141,47,4224,811,295,186,96,26,1411,271,173,94,77,19,626,138639,12578,9541,1872,1078,163696
211,1562,305,92,19379,16237,2259,1648,308,87,20545,16104,2462,1750,303,115,20741,14559,2204,1699,311,108,18875,10438,1793,1350,302,97,13980,4486,1059,869,236,51,6696,1357,582,465,195,31,2636,479,292,246,167,47,1233,160022,16555,14015,2816,925,194328
212,2296,496,223,38278,31497,3443,2235,452,213,37830,30170,3416,2166,412,195,36360,25654,2917,1871,405,180,31025,18069,2187,1613,332,170,22362,7527,1264,922,256,82,10046,2073,664,461,220,44,3462,695,345,284,190,71,1578,304369,24997,19020,4087,1968,354435
213,2210,418,180,30457,23318,2696,1939,381,171,28500,21350,2401,1666,331,145,25895,17806,1921,1427,308,131,21587,12306,1392,1104,263,121,15174,4780,760,566,155,73,6341,1206,354,239,90,27,1917,347,163,106,66,40,725,234935,19430,16101,3170,1650,275280
214,1029,165,87,10653,8609,1449,1174,163,94,11480,8602,1565,1218,225,107,11717,7353,1363,1074,184,92,10059,5640,1106,876,189,101,7915,2353,683,607,141,69,3850,790,413,305,128,42,1676,291,206,171,129,54,845,88371,10341,9177,1707,925,110525
215,498,162,75,6000,4917,607,568,189,89,6373,5371,692,636,279,119,7093,5186,695,745,314,104,7046,4246,618,808,405,111,6192,1726,385,538,299,83,3034,482,205,332,267,50,1329,156,123,256,293,71,890,52858,4889,5613,2724,1013,67092
216,380,101,58,5421,4758,574,464,124,73,5991,4928,654,523,165,80,6346,4711,645,520,190,81,6147,3688,556,559,209,98,5110,1520,321,401,202,60,2505,471,145,219,159,28,1032,141,106,142,154,59,610,48056,4375,4230,1567,753,58982
217,534,117,53,5189,4461,491,690,139,73,5848,4670,548,725,170,97,6214,4594,520,799,206,126,6247,3508,444,852,237,103,5138,1531,284,651,254,71,2798,438,162,375,253,62,1292,124,105,289,240,94,856,45062,3737,6149,1980,927,57849
