POW_SA4_CODE_2021,OM_UIE_75ov_HW_0,OM_UIE_75ov_HW_1_19,OM_UIE_75ov_HW_20_29,OM_UIE_75ov_HW_30_34,OM_UIE_75ov_HW_35_39,OM_UIE_75ov_HW_40_44,OM_UIE_75ov_HW_45_49,OM_UIE_75ov_HW_50mor,OM_UIE_75ov_HW_NS,OM_UIE_75ov_Tot,OM_UIE_Tot_HW_0,OM_UIE_Tot_HW_1_19,OM_UIE_Tot_HW_20_29,OM_UIE_Tot_HW_30_34,OM_UIE_Tot_HW_35_39,OM_UIE_Tot_HW_40_44,OM_UIE_Tot_HW_45_49,OM_UIE_Tot_HW_50mor,OM_UIE_Tot_HW_NS,OM_UIE_Tot_Tot,CFW_15_19_HW_0,CFW_15_19_HW_1_19,CFW_15_19_HW_20_29,CFW_15_19_HW_30_34,CFW_15_19_HW_35_39,CFW_15_19_HW_40_44,CFW_15_19_HW_45_49,CFW_15_19_HW_50mor,CFW_15_19_HW_NS,CFW_15_19_Tot,CFW_20_24_HW_0,CFW_20_24_HW_1_19,CFW_20_24_HW_20_29,CFW_20_24_HW_30_34,CFW_20_24_HW_35_39,CFW_20_24_HW_40_44,CFW_20_24_HW_45_49,CFW_20_24_HW_50mor,CFW_20_24_HW_NS,CFW_20_24_Tot,CFW_25_29_HW_0,CFW_25_29_HW_1_19,CFW_25_29_HW_20_29,CFW_25_29_HW_30_34,CFW_25_29_HW_35_39,CFW_25_29_HW_40_44,CFW_25_29_HW_45_49,CFW_25_29_HW_50mor,CFW_25_29_HW_NS,CFW_25_29_Tot,CFW_30_34_HW_0,CFW_30_34_HW_1_19,CFW_30_34_HW_20_29,CFW_30_34_HW_30_34,CFW_30_34_HW_35_39,CFW_30_34_HW_40_44,CFW_30_34_HW_45_49,CFW_30_34_HW_50mor,CFW_30_34_HW_NS,CFW_30_34_Tot,CFW_35_39_HW_0,CFW_35_39_HW_1_19,CFW_35_39_HW_20_29,CFW_35_39_HW_30_34,CFW_35_39_HW_35_39,CFW_35_39_HW_40_44,CFW_35_39_HW_45_49,CFW_35_39_HW_50mor,CFW_35_39_HW_NS,CFW_35_39_Tot,CFW_40_44_HW_0,CFW_40_44_HW_1_19,CFW_40_44_HW_20_29,CFW_40_44_HW_30_34,CFW_40_44_HW_35_39,CFW_40_44_HW_40_44,CFW_40_44_HW_45_49,CFW_40_44_HW_50mor,CFW_40_44_HW_NS,CFW_40_44_Tot,CFW_45_49_HW_0,CFW_45_49_HW_1_19,CFW_45_49_HW_20_29,CFW_45_49_HW_30_34,CFW_45_49_HW_35_39,CFW_45_49_HW_40_44,CFW_45_49_HW_45_49,CFW_45_49_HW_50mor,CFW_45_49_HW_NS,CFW_45_49_Tot,CFW_50_54_HW_0,CFW_50_54_HW_1_19,CFW_50_54_HW_20_29,CFW_50_54_HW_30_34,CFW_50_54_HW_35_39,CFW_50_54_HW_40_44,CFW_50_54_HW_45_49,CFW_50_54_HW_50mor,CFW_50_54_HW_NS,CFW_50_54_Tot,CFW_55_59_HW_0,CFW_55_59_HW_1_19,CFW_55_59_HW_20_29,CFW_55_59_HW_30_34,CFW_55_59_HW_35_39,CFW_55_59_HW_40_44,CFW_55_59_HW_45_49,CFW_55_59_HW_50mor,CFW_55_59_HW_NS,CFW_55_59_Tot,CFW_60_64_HW_0,CFW_60_64_HW_1_19,CFW_60_64_HW_20_29,CFW_60_64_HW_30_34,CFW_60_64_HW_35_39,CFW_60_64_HW_40_44,CFW_60_64_HW_45_49,CFW_60_64_HW_50mor,CFW_60_64_HW_NS,CFW_60_64_Tot,CFW_65_69_HW_0,CFW_65_69_HW_1_19,CFW_65_69_HW_20_29,CFW_65_69_HW_30_34,CFW_65_69_HW_35_39,CFW_65_69_HW_40_44,CFW_65_69_HW_45_49,CFW_65_69_HW_50mor,CFW_65_69_HW_NS,CFW_65_69_Tot,CFW_70_74_HW_0,CFW_70_74_HW_1_19,CFW_70_74_HW_20_29,CFW_70_74_HW_30_34,CFW_70_74_HW_35_39,CFW_70_74_HW_40_44,CFW_70_74_HW_45_49,CFW_70_74_HW_50mor,CFW_70_74_HW_NS,CFW_70_74_Tot,CFW_75ov_HW_0,CFW_75ov_HW_1_19,CFW_75ov_HW_20_29,CFW_75ov_HW_30_34,CFW_75ov_HW_35_39,CFW_75ov_HW_40_44,CFW_75ov_HW_45_49,CFW_75ov_HW_50mor,CFW_75ov_HW_NS,CFW_75ov_Tot,CFW_Tot_HW_0,CFW_Tot_HW_1_19,CFW_Tot_HW_20_29,CFW_Tot_HW_30_34,CFW_Tot_HW_35_39,CFW_Tot_HW_40_44,CFW_Tot_HW_45_49,CFW_Tot_HW_50mor,CFW_Tot_HW_NS,CFW_Tot_Tot,St_Em_NS_15_19_HW_0,St_Em_NS_15_19_HW_1_19,St_Em_NS_15_19_HW_20_29,St_Em_NS_15_19_HW_30_34,St_Em_NS_15_19_HW_35_39,St_Em_NS_15_19_HW_40_44,St_Em_NS_15_19_HW_45_49,St_Em_NS_15_19_HW_50mor,St_Em_NS_15_19_HW_NS,St_Em_NS_15_19_Tot,St_Em_NS_20_24_HW_0,St_Em_NS_20_24_HW_1_19,St_Em_NS_20_24_HW_20_29,St_Em_NS_20_24_HW_30_34,St_Em_NS_20_24_HW_35_39,St_Em_NS_20_24_HW_40_44,St_Em_NS_20_24_HW_45_49,St_Em_NS_20_24_HW_50mor,St_Em_NS_20_24_HW_NS,St_Em_NS_20_24_Tot,St_Em_NS_25_29_HW_0,St_Em_NS_25_29_HW_1_19,St_Em_NS_25_29_HW_20_29,St_Em_NS_25_29_HW_30_34,St_Em_NS_25_29_HW_35_39,St_Em_NS_25_29_HW_40_44,St_Em_NS_25_29_HW_45_49,St_Em_NS_25_29_HW_50mor,St_Em_NS_25_29_HW_NS,St_Em_NS_25_29_Tot,St_Em_NS_30_34_HW_0,St_Em_NS_30_34_HW_1_19,St_Em_NS_30_34_HW_20_29,St_Em_NS_30_34_HW_30_34,St_Em_NS_30_34_HW_35_39,St_Em_NS_30_34_HW_40_44,St_Em_NS_30_34_HW_45_49,St_Em_NS_30_34_HW_50mor,St_Em_NS_30_34_HW_NS,St_Em_NS_30_34_Tot
201,6,31,28,15,14,11,6,22,0,140,247,1035,708,443,421,827,273,991,80,5039,0,29,8,3,0,0,3,0,5,43,0,11,0,0,0,4,0,3,0,23,0,10,5,3,0,6,4,3,0,29,4,18,5,10,5,6,0,8,6,65,3,32,10,7,0,14,0,10,0,86,6,35,19,7,5,14,3,28,4,124,3,28,15,11,13,19,3,31,0,129,5,24,23,8,0,17,8,46,8,133,15,35,27,13,3,21,9,51,9,175,13,52,27,16,13,15,8,44,9,195,9,35,24,11,3,16,6,28,4,139,9,44,27,13,4,20,0,21,5,135,11,41,32,17,8,18,0,18,9,150,78,384,206,120,67,163,46,297,62,1426,5,10,0,0,3,4,0,0,11,35,7,7,0,0,7,0,0,0,7,34,0,5,3,4,4,3,0,4,12,41,3,5,4,4,3,4,3,0,8,37
202,4,45,28,17,9,23,5,27,6,156,212,1117,779,532,457,831,246,1013,69,5263,9,27,0,0,0,0,0,0,3,39,0,12,3,0,3,3,0,0,0,25,0,19,0,0,0,0,0,7,4,23,5,27,7,0,5,4,0,12,6,60,7,31,10,5,0,10,3,15,5,87,4,23,13,6,5,8,6,15,3,86,5,23,14,0,10,13,6,27,7,102,9,25,12,8,6,15,9,31,3,119,11,28,12,18,5,20,4,35,8,138,20,41,24,5,7,27,9,39,6,175,12,42,20,7,9,10,6,38,9,152,10,39,27,20,0,19,0,27,4,140,6,40,25,13,5,8,0,25,18,142,89,372,177,87,53,129,42,258,74,1292,0,4,0,0,0,0,0,0,6,15,0,3,3,3,4,8,0,0,8,33,4,3,3,0,4,3,0,8,11,32,0,0,3,4,0,3,0,5,11,34
203,9,66,24,17,3,16,10,18,0,161,469,2236,1465,1001,798,1497,424,1267,128,9282,7,29,5,0,0,0,0,0,8,49,7,15,8,0,0,0,0,0,3,40,5,21,3,7,0,3,0,0,4,50,5,52,10,4,6,9,0,10,3,107,11,65,18,5,9,19,5,18,10,166,11,55,22,18,5,25,0,24,7,169,10,48,35,16,13,24,11,27,4,187,15,40,28,11,11,22,3,23,15,168,8,55,23,11,6,27,10,40,3,176,16,63,36,10,11,19,4,27,9,188,17,60,32,20,7,23,0,14,4,172,8,69,23,18,6,12,0,24,8,164,13,56,15,14,0,13,8,12,8,144,130,632,268,126,76,198,38,221,79,1774,3,13,0,0,3,0,0,0,12,35,4,4,0,3,3,8,0,7,17,52,7,5,0,5,14,15,3,7,15,66,8,9,0,0,9,13,3,10,17,77
204,21,74,49,46,27,53,10,96,10,376,347,1137,859,616,531,1114,386,1613,131,6728,5,36,8,0,0,0,0,0,9,58,0,3,0,0,0,3,0,0,0,16,0,3,3,7,5,0,0,0,0,32,3,21,12,0,0,7,0,13,3,58,0,27,11,7,9,15,5,18,6,101,7,27,17,9,7,19,5,37,10,146,10,31,16,13,6,23,5,48,8,162,11,37,20,11,4,19,14,75,7,206,9,50,24,16,16,28,8,92,7,255,19,67,44,28,18,47,12,63,7,299,18,84,62,34,16,49,12,66,7,341,14,88,50,39,15,52,16,63,8,341,22,69,69,37,16,33,10,46,37,337,135,553,328,207,122,296,83,529,113,2359,7,8,0,0,4,5,0,0,4,35,3,3,4,6,3,11,0,6,15,43,3,0,0,3,5,8,0,9,9,48,0,0,3,4,4,4,0,4,11,46
205,15,114,68,60,27,45,13,82,20,441,477,1907,1356,900,799,1666,527,2478,224,10341,5,44,11,0,0,0,0,0,4,64,0,15,7,3,0,3,0,3,4,37,0,30,10,0,0,3,5,11,4,63,12,45,8,8,8,12,5,22,8,134,7,50,32,7,8,21,0,42,11,179,14,46,28,11,4,23,8,46,15,189,8,48,31,13,9,37,8,39,13,207,16,58,33,13,12,31,6,72,15,249,19,73,40,20,13,29,10,85,3,297,24,88,44,36,22,46,10,106,13,383,24,114,59,38,8,47,5,99,20,412,16,79,53,15,11,50,8,73,13,317,26,100,73,27,13,41,5,61,19,359,167,778,435,198,110,336,62,659,144,2895,3,22,4,0,0,4,0,3,23,68,8,9,8,8,10,6,0,8,13,70,12,7,6,4,7,15,3,12,17,80,15,10,8,3,8,15,3,14,24,100
206,31,200,98,55,24,65,5,51,11,542,1437,5952,4401,2847,2377,4796,1315,4955,506,28580,14,46,9,0,6,3,0,0,14,89,19,48,21,5,11,9,0,3,6,125,15,44,22,13,18,24,4,18,29,188,33,93,67,33,26,47,10,43,36,387,31,125,92,45,32,65,17,68,45,520,46,108,82,55,42,72,17,45,35,499,37,111,77,37,22,57,17,66,32,454,47,109,75,44,30,64,15,80,29,479,35,126,72,39,33,35,19,57,33,443,37,115,62,31,18,38,9,48,24,382,31,105,84,30,9,31,8,31,10,350,29,92,70,18,5,18,3,24,20,284,26,107,45,24,9,16,4,12,29,259,390,1243,771,373,254,467,101,509,346,4458,16,21,4,0,5,0,0,0,18,60,12,24,20,3,9,11,0,7,74,168,28,25,28,10,28,37,8,5,100,268,48,27,41,10,47,49,4,24,135,375
207,14,155,32,29,8,13,8,10,10,274,481,2693,1704,1018,823,1545,389,1097,137,9872,4,32,4,0,0,0,0,0,3,42,5,20,4,3,0,0,0,3,8,46,5,19,18,9,8,3,0,3,5,63,6,47,39,17,30,32,3,11,9,185,16,84,67,22,23,43,5,14,11,280,6,85,54,26,12,39,5,25,14,272,11,86,65,30,18,53,3,24,6,291,16,74,53,28,14,41,3,31,10,279,16,60,43,19,12,21,8,25,8,214,8,69,49,20,20,13,4,21,3,201,12,68,28,7,7,7,4,7,4,142,13,56,32,6,3,6,0,5,6,134,9,73,29,14,6,8,0,5,9,144,138,777,475,193,149,273,32,172,95,2298,0,4,0,0,0,0,0,0,0,6,8,13,6,0,10,5,0,0,12,51,9,7,9,0,6,3,0,0,14,46,4,3,3,0,3,7,0,0,27,54
208,12,119,46,28,11,24,6,14,0,269,682,3296,2238,1353,1126,2063,575,1577,173,13086,8,30,3,0,0,0,0,0,7,43,3,13,9,0,6,0,0,3,3,45,0,12,8,6,3,8,0,9,3,51,10,56,26,10,14,22,8,13,14,164,12,66,39,18,16,29,6,32,12,232,11,76,41,32,12,43,14,28,10,267,17,77,44,24,12,47,8,43,12,286,17,90,50,23,12,31,10,56,10,298,13,85,44,29,24,34,4,37,7,272,12,84,50,22,12,20,9,36,11,261,22,99,46,23,4,20,6,15,3,238,11,95,34,19,4,14,0,15,6,197,12,73,37,22,15,0,0,8,5,167,144,863,443,233,140,272,68,294,93,2537,7,12,0,0,0,0,0,0,0,25,3,8,12,6,3,5,0,0,20,59,3,3,4,5,11,12,0,5,28,68,10,7,8,5,9,4,0,7,27,80
209,8,67,25,10,6,22,3,8,4,160,691,2962,2149,1218,1166,2012,511,1439,195,12348,0,28,9,0,0,0,0,0,3,46,0,29,8,0,0,0,0,4,13,53,6,38,19,9,8,0,0,0,3,84,10,59,30,14,12,18,9,13,13,176,22,80,45,15,24,32,8,28,12,271,20,61,47,34,16,35,5,32,8,262,18,64,25,20,15,29,4,31,5,213,16,57,25,22,13,20,3,38,9,213,20,65,31,22,15,23,4,32,15,225,18,78,33,15,9,25,6,28,5,216,17,55,25,12,0,23,0,14,9,154,9,36,17,14,0,0,5,10,7,93,5,35,14,11,4,8,0,3,7,80,157,693,324,178,123,220,41,242,103,2080,0,11,4,0,0,0,0,0,10,28,4,5,11,6,3,7,0,0,19,59,3,12,9,9,9,16,0,3,38,98,5,7,8,4,14,13,7,11,33,112
210,6,34,9,9,14,13,0,8,3,94,546,2056,1607,923,870,1613,453,1244,233,9541,4,39,0,0,0,0,0,0,4,48,0,23,7,5,0,3,0,3,8,48,14,26,9,0,7,3,5,3,8,86,6,71,43,9,13,15,0,18,15,190,25,80,40,20,10,26,3,9,9,221,14,63,41,19,18,28,9,27,8,215,14,63,31,19,11,28,8,18,12,207,9,62,33,15,14,35,7,35,17,230,17,51,25,26,10,23,3,21,0,176,24,56,18,10,7,12,0,22,9,150,9,42,34,10,6,10,4,22,5,141,3,35,16,7,7,8,0,3,12,96,10,14,10,7,5,8,0,13,8,77,133,621,308,153,116,195,42,197,102,1872,3,13,0,3,0,0,0,0,7,29,3,8,9,4,3,14,0,0,18,63,8,7,15,9,13,14,0,3,28,100,10,16,4,5,20,13,6,8,37,121
