POW_SA4_CODE_2021,Tot_150_299_A_55_64,Tot_150_299_A_65_74,Tot_150_299_A_75ov,Tot_150_299_Tot,Tot_300_399_A_15_19,Tot_300_399_A_20_24,Tot_300_399_A_25_34,Tot_300_399_A_35_44,Tot_300_399_A_45_54,Tot_300_399_A_55_64,Tot_300_399_A_65_74,Tot_300_399_A_75ov,Tot_300_399_Tot,Tot_400_499_A_15_19,Tot_400_499_A_20_24,Tot_400_499_A_25_34,Tot_400_499_A_35_44,Tot_400_499_A_45_54,Tot_400_499_A_55_64,Tot_400_499_A_65_74,Tot_400_499_A_75ov,Tot_400_499_Tot,Tot_500_649_A_15_19,Tot_500_649_A_20_24,Tot_500_649_A_25_34,Tot_500_649_A_35_44,Tot_500_649_A_45_54,Tot_500_649_A_55_64,Tot_500_649_A_65_74,Tot_500_649_A_75ov,Tot_500_649_Tot,Tot_650_799_A_15_19,Tot_650_799_A_20_24,Tot_650_799_A_25_34,Tot_650_799_A_35_44,Tot_650_799_A_45_54,Tot_650_799_A_55_64,Tot_650_799_A_65_74,Tot_650_799_A_75ov,Tot_650_799_Tot,Tot_800_999_A_15_19,Tot_800_999_A_20_24,Tot_800_999_A_25_34,Tot_800_999_A_35_44,Tot_800_999_A_45_54,Tot_800_999_A_55_64,Tot_800_999_A_65_74,Tot_800_999_A_75ov,Tot_800_999_Tot,Tot_1000_1249_A_15_19,Tot_1000_1249_A_20_24,Tot_1000_1249_A_25_34,Tot_1000_1249_A_35_44,Tot_1000_1249_A_45_54,Tot_1000_1249_A_55_64,Tot_1000_1249_A_65_74,Tot_1000_1249_A_75ov,Tot_1000_1249_Tot,Tot_1250_1499_A_15_19,Tot_1250_1499_A_20_24,Tot_1250_1499_A_25_34,Tot_1250_1499_A_35_44,Tot_1250_1499_A_45_54,Tot_1250_1499_A_55_64,Tot_1250_1499_A_65_74,Tot_1250_1499_A_75ov,Tot_1250_1499_Tot,Tot_1500_1749_A_15_19,Tot_1500_1749_A_20_24,Tot_1500_1749_A_25_34,Tot_1500_1749_A_35_44,Tot_1500_1749_A_45_54,Tot_1500_1749_A_55_64,Tot_1500_1749_A_65_74,Tot_1500_1749_A_75ov,Tot_1500_1749_Tot,Tot_1750_1999_A_15_19,Tot_1750_1999_A_20_24,Tot_1750_1999_A_25_34,Tot_1750_1999_A_35_44,Tot_1750_1999_A_45_54,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000_3499_A_15_19,Tot_3000_3499_A_20_24,Tot_3000_3499_A_25_34,Tot_3000_3499_A_35_44,Tot_3000_3499_A_45_54,Tot_3000_3499_A_55_64,Tot_3000_3499_A_65_74,Tot_3000_3499_A_75ov,Tot_3000_3499_Tot,Tot_3500mo_A_15_19,Tot_3500mo_A_20_24,Tot_3500mo_A_25_34,Tot_3500mo_A_35_44,Tot_3500mo_A_45_54,Tot_3500mo_A_55_64,Tot_3500mo_A_65_74,Tot_3500mo_A_75ov,Tot_3500mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
201,266,132,34,2331,355,464,379,351,328,423,206,49,2545,383,555,551,437,473,558,270,57,3278,435,898,990,914,926,1000,404,80,5650,239,1125,1498,1218,1263,1240,402,60,7046,146,1282,2305,1710,1844,1610,424,53,9365,63,890,2633,2172,2239,1866,405,43,10313,22,432,1827,1602,1641,1333,307,36,7201,7,161,1477,1481,1449,1138,231,23,5973,0,75,868,1086,1107,749,155,28,4065,3,61,1033,1658,1767,1169,226,18,5934,0,10,143,304,361,247,49,11,1120,0,21,156,437,613,379,135,23,1763,54,63,113,81,183,138,49,18,700,4621,6506,14341,13826,14556,12309,3488,552,70192
202,245,108,29,2259,346,400,319,298,327,367,181,55,2303,354,482,447,417,469,598,264,49,3092,409,824,921,867,922,1030,435,58,5464,266,1060,1421,1213,1289,1257,406,56,6963,137,1216,2315,1811,1806,1654,446,60,9452,73,857,2432,2069,2130,1903,481,53,9989,9,423,1846,1614,1647,1257,316,37,7150,13,208,1539,1603,1512,1147,271,36,6323,0,86,925,1134,1175,822,170,10,4314,0,63,1001,1701,1863,1237,243,33,6159,0,11,116,316,362,244,54,3,1105,0,11,123,422,553,349,108,25,1592,42,83,122,102,153,146,49,25,725,4580,6154,13870,13948,14541,12424,3643,565,69726
203,399,219,23,4603,711,1142,761,610,604,630,280,48,4779,616,1338,989,877,859,969,408,79,6129,670,1910,1833,1592,1492,1593,626,96,9810,365,2084,2790,2230,2070,1947,681,76,12247,239,2266,4149,3104,3045,2482,734,85,16101,96,1719,5289,3871,3684,3028,701,65,18452,26,812,4093,3238,2998,2303,489,52,14010,9,332,3379,3181,2860,1907,411,44,12130,11,119,2102,2422,2325,1411,282,26,8700,5,96,2561,4454,3933,2317,419,42,13826,6,9,318,758,804,515,108,13,2526,7,26,394,1218,1435,890,280,53,4291,89,131,244,216,312,233,89,31,1350,8578,13282,29633,28540,27029,20899,5855,755,134572
204,352,243,62,2434,344,315,311,345,373,512,318,76,2601,429,404,409,464,510,679,421,111,3421,531,743,947,867,1036,1217,655,151,6145,395,1215,1498,1232,1444,1471,636,151,8043,321,1377,2291,1805,1998,2047,668,107,10606,202,1068,2723,2259,2559,2287,704,97,11903,49,500,1927,1833,1875,1613,428,64,8280,22,219,1553,1612,1637,1384,361,48,6835,11,96,880,1132,1276,940,207,50,4581,0,62,921,1705,1944,1345,326,48,6368,0,11,107,273,304,230,64,25,1019,5,9,131,336,459,405,160,44,1551,50,72,143,122,198,184,83,37,899,5366,6422,14172,14362,16112,14933,5434,1134,77944
205,576,277,73,3878,562,497,565,554,618,879,441,124,4237,700,608,724,802,920,1141,614,138,5644,760,1217,1418,1445,1697,2030,831,187,9584,400,1606,2259,2054,2297,2242,862,150,11874,232,1808,3296,2718,2882,2731,852,146,14666,117,1263,3714,3119,3264,2936,838,113,15350,42,666,2741,2387,2420,1971,548,92,10870,7,362,2396,2222,2212,1803,427,58,9475,11,127,1367,1610,1650,1319,324,39,6442,5,113,1560,2444,2810,2084,401,47,9463,4,15,261,512,565,466,116,15,1947,9,16,267,724,972,820,219,55,3091,97,126,232,254,315,324,157,65,1569,7420,9021,21485,21532,23367,21736,7162,1364,113091
206,719,378,78,12385,1602,4995,3385,1793,1402,1187,553,116,15034,1147,5692,4998,2398,1823,1599,800,171,18624,1053,7856,9600,4736,3382,2880,1157,196,30862,729,7512,13087,7225,4997,3930,1508,219,39211,462,9097,20772,11655,7759,5640,1848,239,57473,268,10602,33656,18483,11462,7930,2492,248,85137,85,6247,34279,19762,11502,7520,1938,184,81514,47,2933,32183,22894,13908,8448,1968,190,82567,19,1142,23115,21670,12837,7407,1670,152,68015,27,949,39460,54685,32498,16646,3092,269,147628,13,147,6865,16589,11322,5462,1053,134,41585,19,224,6835,28409,28484,13362,2891,405,80637,155,663,1609,1395,1202,794,262,83,6156,13825,64509,233178,213947,144395,84149,21928,2778,778703
207,430,229,57,5833,790,1700,997,763,719,616,279,63,5920,427,1717,1138,876,985,812,348,77,6370,356,1945,2108,1599,1545,1407,590,114,9661,188,1799,2792,2094,2045,1728,692,128,11469,128,1830,4166,2805,2593,2250,794,104,14677,47,1681,5600,3766,3263,2675,812,119,17967,17,851,4972,3189,2878,2234,656,100,14903,15,383,4484,3509,2969,2199,572,86,14231,3,132,2727,2927,2539,1801,457,75,10671,3,98,4026,6471,5579,3578,869,125,20749,9,17,574,1548,1605,923,241,43,4956,0,18,647,2492,3490,2045,541,95,9325,66,172,280,214,302,268,79,32,1408,7396,15013,35513,33161,31430,23287,7292,1259,154349
208,480,233,46,6486,916,1965,864,702,734,723,335,79,6327,620,2127,1274,919,1055,1003,462,108,7566,609,2611,2272,1650,1904,1702,764,140,11657,313,2510,3326,2527,2585,2279,849,131,14522,168,2652,5441,3731,3848,3137,1037,119,20143,77,1843,6513,4683,4642,3769,1142,126,22792,25,901,5191,3974,3806,2781,895,89,17659,19,358,4028,3582,3540,2587,681,105,14897,6,133,2404,2804,2751,1921,543,63,10624,5,116,2957,5138,5167,3215,818,129,17549,4,23,447,1185,1389,804,236,51,4138,6,41,486,2216,3187,1812,617,128,8495,82,206,338,299,417,338,138,33,1851,9708,18358,36501,34352,35976,26902,8939,1372,172105
209,482,209,35,6475,839,1548,1061,926,848,802,310,54,6379,656,1727,1397,1291,1176,1056,379,85,7768,658,2309,2493,2194,2212,1813,661,125,12473,345,2387,3670,3159,2995,2470,798,95,15913,207,2679,5648,4491,4193,3315,870,88,21487,97,2036,6848,5433,4844,3735,910,96,23999,31,1039,5568,4328,3798,2822,657,50,18299,18,429,4782,4010,3660,2417,561,50,15921,7,155,2821,3103,2674,1839,382,43,11022,0,148,3197,4907,4490,2874,611,56,16282,0,21,446,932,985,604,162,17,3171,3,27,405,1493,1650,1034,332,46,4995,86,207,432,324,417,361,100,31,1962,9769,17011,39894,37748,34888,25929,7087,893,173204
210,394,143,26,4880,709,1122,839,788,709,643,218,32,5054,551,1405,1205,1031,990,857,332,49,6416,623,2039,2219,1949,1820,1475,466,73,10654,414,2315,3583,3017,2808,2164,600,68,14972,284,2724,5987,4667,4248,3231,721,70,21919,129,1911,7013,5619,5238,3778,820,48,24561,41,1016,5226,4497,3846,2844,557,47,18076,16,430,4191,4091,3636,2507,435,31,15340,9,163,2471,2888,2668,1743,303,28,10275,7,129,3176,5178,4468,2751,521,53,16275,0,26,400,1027,1101,597,118,15,3285,9,45,415,1329,1730,1071,200,39,4844,110,213,410,345,443,307,92,25,1942,7760,15069,38094,37381,34490,24636,5635,626,163696
211,673,299,57,7660,1104,1674,940,1038,998,1011,439,83,7289,828,1836,1312,1287,1327,1334,609,123,8657,950,2637,2296,2218,2473,2291,925,166,13956,478,2864,3621,3283,3405,3046,1022,137,17857,300,3141,5898,4581,4845,4144,1242,141,24287,144,2380,7155,5629,5872,5002,1212,118,27513,33,1097,5383,4660,4704,3602,828,66,20371,15,426,4315,4253,4289,3165,683,73,17216,0,155,2556,3116,3014,2094,485,40,11471,7,106,2791,5331,5402,3408,712,66,17816,0,15,374,1127,1234,860,169,21,3792,8,36,380,1420,2052,1329,361,66,5654,125,228,410,348,473,404,117,36,2144,12570,18964,38556,39527,41294,32857,9328,1233,194328
212,799,352,73,10562,1502,2666,1862,1670,1395,1281,514,111,11001,1172,2971,2601,2237,2028,1699,693,150,13556,1309,4141,4703,4010,3634,3069,1149,170,22184,749,4714,7306,6254,5815,4496,1339,154,30825,584,5596,12564,9927,8960,6724,1760,158,46272,242,4505,14938,11971,10829,8340,1886,145,52859,62,2218,11871,9741,8370,6056,1331,102,39750,34,889,9376,8810,7655,5354,1140,91,33338,18,351,5578,6698,5948,3838,789,63,23286,4,237,6467,11537,10475,6433,1118,101,36378,7,35,943,2382,2319,1464,299,31,7475,7,43,829,3093,4192,2578,702,115,11568,197,446,742,680,847,640,166,50,3776,16295,32629,81772,81073,74192,53389,13507,1578,354435
213,653,224,35,9240,1374,2299,1693,1547,1205,1122,344,62,9637,1097,2516,2441,2023,1643,1298,431,65,11510,1052,3534,4242,3629,3015,2367,698,92,18630,650,3834,6383,5393,4476,3159,879,73,24836,429,4184,10471,8462,6911,4734,1024,81,36294,192,3309,11930,10124,8177,5659,1140,57,40584,51,1737,9505,7979,6254,4116,868,55,30568,19,708,7560,7098,5681,3582,692,32,25375,12,288,4341,5228,4335,2745,501,30,17478,12,210,5300,8154,6892,4059,669,37,25341,4,36,834,1649,1473,946,162,16,5132,6,70,747,2227,2420,1448,332,40,7287,151,383,683,618,604,445,128,24,3053,14899,26202,68007,66030,54398,36767,8256,725,275280
214,351,208,22,4080,669,852,577,606,577,539,268,66,4156,590,1035,754,787,784,786,364,77,5181,697,1547,1384,1343,1546,1486,604,116,8719,429,1777,2201,1917,2016,1866,636,81,10920,309,2010,3461,2712,2965,2352,703,81,14595,186,1411,3801,3153,3435,2605,678,80,15355,46,664,3066,2440,2495,1849,456,40,11065,18,294,2502,2353,2316,1528,364,32,9413,4,120,1375,1710,1741,1210,280,32,6472,7,91,1630,2600,2780,1810,430,37,9394,0,11,209,489,591,335,81,32,1758,12,12,222,800,1002,711,255,67,3081,90,123,193,219,317,262,78,25,1307,8189,11039,21956,21785,23197,17981,5526,845,110525
