POW_SA4_CODE_2021,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20mo_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20mo_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
201,127,31,5,6,168,3865,1064,55,49,5039
202,139,22,0,6,168,4034,1157,38,36,5263
203,292,33,0,9,330,7448,1719,69,45,9282
204,200,42,3,10,256,4963,1634,53,82,6728
205,296,67,0,12,366,7441,2693,66,142,10341
206,1086,130,22,21,1265,22770,4373,1379,54,28580
207,399,33,3,0,433,8241,1492,119,20,9872
208,434,54,7,5,498,10923,2041,96,31,13086
209,434,44,4,3,490,10401,1834,78,32,12348
210,329,70,4,5,411,7854,1585,68,29,9541
211,498,55,0,6,562,11529,2350,88,41,14015
212,735,105,4,13,863,15729,3064,158,66,19020
213,567,87,7,10,669,13482,2473,101,46,16101
214,284,48,5,3,342,7483,1595,54,45,9177
215,110,28,0,8,150,3669,1819,44,77,5613
216,97,27,0,5,128,3035,1096,43,49,4230
217,155,30,3,7,198,4042,1940,63,106,6149
297,0,0,0,0,0,0,0,0,0,0
299,909,59,4,15,986,33670,3375,56,218,37324
