POW_SA4_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
201,159,298,45,39,552,37767,27284,3989,1151,70192
202,181,303,33,49,565,37727,27010,3836,1154,69726
203,209,463,45,44,755,71543,53422,7592,2016,134572
204,430,558,69,81,1134,43610,28269,4480,1584,77944
205,445,729,87,97,1364,60529,43471,6648,2438,113091
206,740,1625,249,169,2778,532930,196361,38895,10515,778703
207,244,877,86,52,1259,83674,61187,7446,2045,154349
208,303,940,90,34,1372,92195,68695,8648,2568,172105
209,221,549,70,51,893,93077,68472,8656,2997,173204
210,215,346,41,30,626,99474,53044,7771,3410,163696
211,277,813,100,47,1233,107476,74353,9647,2850,194328
212,409,958,115,101,1578,216425,117125,14619,6269,354435
213,178,445,60,50,725,160173,96602,12777,5727,275280
214,176,553,75,43,845,56235,45661,6716,1913,110525
215,329,416,62,88,890,39636,22569,3288,1597,67092
216,194,306,42,66,610,34340,20261,3021,1362,58982
217,327,391,44,93,856,32497,20953,3148,1248,57849
297,0,0,0,0,0,160,17,19,0,194
299,211,784,215,83,1298,72156,52479,9454,3389,137478
