POW_SA4_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
201,2081,700,261,36258,156,14,61,221,17,464,2193,29,109,79,26,2434,1924,71,183,132,29,2331,1910,124,324,135,47,2545,2588,155,370,121,45,3278,4616,283,535,144,73,5650,5942,371,559,120,53,7046,8140,491,559,102,71,9365,9001,547,602,90,79,10313,6168,487,422,71,54,7201,5024,511,347,52,36,5973,3439,334,248,30,16,4065,5005,583,279,37,28,5934,773,211,113,13,7,1120,904,558,252,32,16,1763,482,67,61,41,43,700,58254,4830,5039,1426,643,70192
202,2235,669,246,35816,171,25,51,200,10,457,2150,19,113,85,17,2388,1872,45,218,104,20,2259,1739,73,318,127,43,2303,2427,124,385,105,56,3092,4485,240,561,118,65,5464,5949,278,579,100,71,6963,8258,403,626,90,73,9452,8667,547,632,84,53,9989,6154,455,445,53,52,7150,5390,460,368,61,37,6323,3681,312,274,33,14,4314,5136,570,375,52,24,6159,781,219,88,14,8,1105,895,478,176,31,9,1592,507,45,60,42,62,725,58256,4308,5263,1292,612,69726
203,4090,993,372,70425,340,37,106,276,16,781,4444,45,225,109,29,4851,3964,87,389,138,25,4603,3933,157,483,150,49,4779,5110,241,561,151,64,6129,8363,396,813,146,90,9810,10631,523,877,136,76,12247,14123,729,1037,116,98,16101,16019,1038,1177,117,89,18452,12028,933,876,98,76,14010,10142,1070,775,84,53,12130,7362,769,478,50,38,8700,11645,1359,694,83,50,13826,1819,475,187,20,16,2526,2480,1203,520,59,31,4291,1018,114,87,28,110,1350,113427,9175,9282,1774,911,134572
204,2665,1139,354,38492,183,37,83,341,19,653,2299,28,126,125,31,2608,1844,69,284,197,40,2434,1847,135,359,208,52,2601,2521,174,455,212,57,3421,4847,323,640,232,105,6145,6620,421,714,198,89,8043,8964,551,823,170,96,10606,10000,731,875,183,114,11903,6950,547,608,111,64,8280,5657,532,510,94,48,6835,3803,388,309,51,26,4581,5195,605,468,66,36,6368,633,228,129,24,5,1019,750,457,265,57,18,1551,563,67,95,92,73,899,62677,5306,6728,2359,874,77944
205,4243,1465,673,57877,309,47,134,465,25,986,3488,31,243,199,56,4011,3042,114,421,216,84,3878,3057,185,606,302,90,4237,4281,242,757,243,120,5644,7682,449,1020,274,163,9584,9839,525,1102,234,175,11874,12333,759,1203,218,159,14666,12773,978,1231,203,164,15350,8992,734,949,110,96,10870,7752,744,790,90,97,9475,5306,529,486,65,64,6442,7878,822,608,82,72,9463,1434,256,197,38,22,1947,1945,634,406,61,44,3091,1015,112,196,106,132,1569,91127,7170,10341,2895,1556,113091
206,12232,2204,1190,380255,1873,254,256,740,69,3189,7745,167,523,203,54,8685,10901,298,863,222,104,12385,12967,531,1068,333,131,15034,16211,654,1309,302,155,18624,27153,1164,1992,367,186,30862,34742,1676,2262,331,205,39211,51914,2243,2682,365,272,57473,78363,3037,3088,385,269,85137,76131,2642,2353,213,174,81514,76886,3225,2057,214,175,82567,63494,2710,1549,147,119,68015,138982,5529,2733,216,165,147628,37885,2530,1017,82,63,41585,66621,9060,4555,239,161,80637,4884,410,280,101,479,6156,706740,36145,28580,4458,2777,778703
207,4491,1259,312,84739,433,107,83,323,14,956,4744,100,261,141,14,5254,5022,180,465,147,20,5833,4806,362,509,209,36,5920,5220,423,530,154,49,6370,7935,640,825,219,54,9661,9513,909,817,167,62,11469,12383,1022,1018,194,55,14677,15338,1260,1117,185,71,17967,12847,1038,867,104,38,14903,12157,1226,722,101,30,14231,9088,944,541,76,27,10671,17800,1897,912,113,30,20749,3726,870,312,42,8,4956,5953,2441,819,88,20,9325,1049,131,90,36,107,1408,128008,13540,9872,2298,636,154349
208,6259,1356,385,89271,562,123,103,410,19,1217,5673,78,303,111,23,6193,5601,175,503,166,32,6486,5190,332,567,196,44,6327,6209,408,710,178,58,7566,9634,667,1073,208,70,11657,12129,958,1188,176,65,14522,17261,1248,1360,168,100,20143,19375,1619,1507,206,87,22792,14796,1448,1241,126,53,17659,11879,1802,1050,119,42,14897,8357,1376,770,96,18,10624,13454,2748,1176,130,43,17549,2625,1081,362,67,12,4138,4440,2862,1019,127,44,8495,1290,208,149,49,150,1851,138469,17147,13086,2537,866,172105
209,5186,1058,401,90245,548,91,114,350,34,1144,5321,69,381,138,27,5938,5553,172,559,158,36,6475,5113,307,726,171,55,6379,6335,383,821,164,67,7768,10218,756,1222,200,78,12473,13329,1006,1286,190,101,15913,18370,1358,1464,154,142,21487,20474,1707,1562,157,98,23999,15678,1394,1062,98,61,18299,13378,1516,888,74,56,15921,9247,1101,572,60,30,11022,13519,1856,804,60,42,16282,2219,670,237,24,17,3171,2963,1453,520,38,17,4995,1443,179,123,41,176,1962,143711,14023,12348,2080,1038,173204
210,3354,951,375,67751,619,81,108,308,20,1139,3645,52,212,118,35,4070,4143,129,401,163,44,4880,4091,229,530,159,49,5054,5223,350,642,149,50,6416,8785,617,965,192,98,10654,12710,934,1071,151,107,14972,19093,1268,1279,144,131,21919,21387,1583,1304,137,152,24561,15839,1241,834,84,75,18076,13109,1505,614,74,48,15340,8738,1025,448,27,32,10275,13959,1647,562,71,43,16275,2492,585,167,23,15,3285,3365,1135,291,36,20,4844,1440,190,114,35,165,1942,138639,12578,9541,1872,1078,163696
