POW_SA4_CODE_2021,SW_300_399_Tot,SW_400_499_A_15_19,SW_400_499_A_20_24,SW_400_499_A_25_34,SW_400_499_A_35_44,SW_400_499_A_45_54,SW_400_499_A_55_64,SW_400_499_A_65_74,SW_400_499_A_75ov,SW_400_499_Tot,SW_500_649_A_15_19,SW_500_649_A_20_24,SW_500_649_A_25_34,SW_500_649_A_35_44,SW_500_649_A_45_54,SW_500_649_A_55_64,SW_500_649_A_65_74,SW_500_649_A_75ov,SW_500_649_Tot,SW_650_799_A_15_19,SW_650_799_A_20_24,SW_650_799_A_25_34,SW_650_799_A_35_44,SW_650_799_A_45_54,SW_650_799_A_55_64,SW_650_799_A_65_74,SW_650_799_A_75ov,SW_650_799_Tot,SW_800_999_A_15_19,SW_800_999_A_20_24,SW_800_999_A_25_34,SW_800_999_A_35_44,SW_800_999_A_45_54,SW_800_999_A_55_64,SW_800_999_A_65_74,SW_800_999_A_75ov,SW_800_999_Tot,SW_1000_1249_A_15_19,SW_1000_1249_A_20_24,SW_1000_1249_A_25_34,SW_1000_1249_A_35_44,SW_1000_1249_A_45_54,SW_1000_1249_A_55_64,SW_1000_1249_A_65_74,SW_1000_1249_A_75ov,SW_1000_1249_Tot,SW_1250_1499_A_15_19,SW_1250_1499_A_20_24,SW_1250_1499_A_25_34,SW_1250_1499_A_35_44,SW_1250_1499_A_45_54,SW_1250_1499_A_55_64,SW_1250_1499_A_65_74,SW_1250_1499_A_75ov,SW_1250_1499_Tot,SW_1500_1749_A_15_19,SW_1500_1749_A_20_24,SW_1500_1749_A_25_34,SW_1500_1749_A_35_44,SW_1500_1749_A_45_54,SW_1500_1749_A_55_64,SW_1500_1749_A_65_74,SW_1500_1749_A_75ov,SW_1500_1749_Tot,SW_1750_1999_A_15_19,SW_1750_1999_A_20_24,SW_1750_1999_A_25_34,SW_1750_1999_A_35_44,SW_1750_1999_A_45_54,SW_1750_1999_A_55_64,SW_1750_1999_A_65_74,SW_1750_1999_A_75ov,SW_1750_1999_Tot,SW_2000_2999_A_15_19,SW_2000_2999_A_20_24,SW_2000_2999_A_25_34,SW_2000_2999_A_35_44,SW_2000_2999_A_45_54,SW_2000_2999_A_55_64,SW_2000_2999_A_65_74,SW_2000_2999_A_75ov,SW_2000_2999_Tot,SW_3000_3499_A_15_19,SW_3000_3499_A_20_24,SW_3000_3499_A_25_34,SW_3000_3499_A_35_44,SW_3000_3499_A_45_54,SW_3000_3499_A_55_64,SW_3000_3499_A_65_74,SW_3000_3499_A_75ov,SW_3000_3499_Tot,SW_3500mo_A_15_19,SW_3500mo_A_20_24,SW_3500mo_A_25_34,SW_3500mo_A_35_44,SW_3500mo_A_45_54,SW_3500mo_A_55_64,SW_3500mo_A_65_74,SW_3500mo_A_75ov,SW_3500mo_Tot,SW_PINS_A_15_19,SW_PINS_A_20_24,SW_PINS_A_25_34,SW_PINS_A_35_44,SW_PINS_A_45_54,SW_PINS_A_55_64,SW_PINS_A_65_74,SW_PINS_A_75ov,SW_PINS_Tot,SW_Tot_A_15_19,SW_Tot_A_20_24,SW_Tot_A_25_34,SW_Tot_A_35_44,SW_Tot_A_45_54,SW_Tot_A_55_64,SW_Tot_A_65_74,SW_Tot_A_75ov,SW_Tot_Tot,MaOpD_NNI_A_15_19,MaOpD_NNI_A_20_24,MaOpD_NNI_A_25_34,MaOpD_NNI_A_35_44,MaOpD_NNI_A_45_54,MaOpD_NNI_A_55_64,MaOpD_NNI_A_65_74,MaOpD_NNI_A_75ov,MaOpD_NNI_Tot,MaOpD_1_149_A_15_19,MaOpD_1_149_A_20_24,MaOpD_1_149_A_25_34,MaOpD_1_149_A_35_44,MaOpD_1_149_A_45_54,MaOpD_1_149_A_55_64,MaOpD_1_149_A_65_74,MaOpD_1_149_A_75ov,MaOpD_1_149_Tot,MaOpD_150_299_A_15_19,MaOpD_150_299_A_20_24,MaOpD_150_299_A_25_34,MaOpD_150_299_A_35_44,MaOpD_150_299_A_45_54,MaOpD_150_299_A_55_64,MaOpD_150_299_A_65_74,MaOpD_150_299_A_75ov,MaOpD_150_299_Tot,MaOpD_300_399_A_15_19,MaOpD_300_399_A_20_24,MaOpD_300_399_A_25_34,MaOpD_300_399_A_35_44,MaOpD_300_399_A_45_54,MaOpD_300_399_A_55_64,MaOpD_300_399_A_65_74,MaOpD_300_399_A_75ov,MaOpD_300_399_Tot,MaOpD_400_499_A_15_19,MaOpD_400_499_A_20_24,MaOpD_400_499_A_25_34,MaOpD_400_499_A_35_44,MaOpD_400_499_A_45_54,MaOpD_400_499_A_55_64,MaOpD_400_499_A_65_74,MaOpD_400_499_A_75ov,MaOpD_400_499_Tot,MaOpD_500_649_A_15_19,MaOpD_500_649_A_20_24,MaOpD_500_649_A_25_34,MaOpD_500_649_A_35_44,MaOpD_500_649_A_45_54,MaOpD_500_649_A_55_64,MaOpD_500_649_A_65_74,MaOpD_500_649_A_75ov,MaOpD_500_649_Tot,MaOpD_650_799_A_15_19,MaOpD_650_799_A_20_24,MaOpD_650_799_A_25_34,MaOpD_650_799_A_35_44,MaOpD_650_799_A_45_54,MaOpD_650_799_A_55_64,MaOpD_650_799_A_65_74,MaOpD_650_799_A_75ov,MaOpD_650_799_Tot,MaOpD_800_999_A_15_19,MaOpD_800_999_A_20_24,MaOpD_800_999_A_25_34,MaOpD_800_999_A_35_44,MaOpD_800_999_A_45_54,MaOpD_800_999_A_55_64,MaOpD_800_999_A_65_74,MaOpD_800_999_A_75ov,MaOpD_800_999_Tot,MaOpD_1000_1249_A_15_19,MaOpD_1000_1249_A_20_24,MaOpD_1000_1249_A_25_34,MaOpD_1000_1249_A_35_44,MaOpD_1000_1249_A_45_54,MaOpD_1000_1249_A_55_64,MaOpD_1000_1249_A_65_74,MaOpD_1000_1249_A_75ov,MaOpD_1000_1249_Tot,MaOpD_1250_1499_A_15_19
201,536,65,152,100,43,67,85,16,7,530,81,214,153,134,128,134,36,3,878,36,185,202,124,146,133,31,3,862,33,141,201,120,152,133,37,3,824,0,52,146,123,124,99,26,0,574,0,13,61,53,64,56,15,0,263,0,7,29,41,43,35,13,3,178,0,5,29,24,22,17,7,5,108,0,4,29,37,43,32,6,0,159,0,0,9,9,3,9,0,0,38,0,0,17,13,27,12,9,0,85,15,12,8,0,14,10,5,0,61,1679,1086,1112,800,905,872,237,34,6717,5,0,0,0,3,7,0,0,8,23,0,0,0,6,3,0,0,34,14,14,6,3,6,8,5,0,56,4,17,9,8,10,12,17,4,78,13,16,20,16,12,25,22,0,117,10,21,36,26,39,45,40,0,219,13,25,57,53,71,84,36,6,346,16,61,145,104,156,170,51,0,698,6,49,152,150,211,225,41,0,840,0
202,438,93,136,78,56,83,90,23,6,563,75,179,139,99,122,119,38,4,768,40,162,153,112,138,132,40,4,780,21,111,169,135,134,119,30,6,728,8,61,124,94,108,111,20,9,537,0,12,52,46,73,47,19,5,258,0,6,42,48,46,30,3,4,190,0,7,23,23,28,35,3,0,119,0,3,24,40,43,20,9,0,139,0,0,6,8,11,7,0,0,34,0,0,5,21,24,13,6,0,68,12,8,16,4,11,4,4,0,52,1676,907,944,761,905,819,234,40,6284,3,0,0,0,5,3,0,0,14,35,3,5,0,0,4,0,0,49,32,4,5,4,4,4,0,0,66,18,14,14,12,14,13,11,0,94,12,20,11,13,15,35,12,0,119,12,22,33,26,30,71,40,3,229,13,34,56,57,76,100,34,0,376,8,69,119,116,160,188,38,7,708,7,55,161,152,203,211,61,3,860,0
203,1007,176,349,129,112,132,163,45,0,1107,125,452,249,169,210,225,69,3,1504,42,351,313,189,245,194,47,4,1380,16,264,371,233,238,209,61,5,1385,14,123,299,218,214,161,37,5,1065,3,41,184,159,131,118,20,4,660,0,13,110,113,112,76,9,4,446,0,5,45,66,75,63,15,3,279,0,0,58,116,100,63,7,0,347,0,0,6,28,26,15,7,5,83,0,0,25,54,49,22,13,0,169,30,22,13,7,14,12,3,0,98,3259,2323,2017,1623,1694,1488,409,35,12845,0,0,4,4,8,3,3,0,28,53,16,8,7,3,6,4,0,91,52,39,14,8,15,17,8,0,156,24,58,47,27,20,19,14,5,216,15,72,50,25,36,36,31,0,266,22,91,111,84,48,78,41,4,467,33,117,168,105,124,169,60,9,783,33,192,325,224,281,333,83,4,1465,7,82,333,303,400,379,84,4,1594,0
204,406,77,82,58,63,72,104,29,3,489,76,134,144,103,166,160,50,8,839,40,167,147,130,180,203,53,5,913,20,111,175,133,170,167,33,9,813,0,58,121,110,132,109,32,9,561,5,13,66,64,73,73,14,5,304,0,10,43,45,60,40,17,0,221,0,6,9,28,25,30,0,0,105,0,0,25,26,57,26,6,3,149,0,0,5,14,12,10,3,0,45,0,0,5,14,25,13,9,0,54,13,12,6,7,18,11,4,0,71,1571,724,887,808,1077,1034,299,39,6449,0,0,0,3,0,9,4,0,18,17,4,5,3,3,3,0,5,40,16,9,5,3,10,15,6,0,63,9,10,11,10,13,19,17,6,94,4,27,9,7,14,38,21,0,123,8,35,34,35,47,60,44,8,272,27,64,89,54,77,111,49,6,480,42,96,197,150,213,255,77,3,1038,32,119,264,215,318,310,76,4,1334,15
205,744,140,158,105,86,121,186,58,4,853,102,218,221,167,250,281,82,8,1334,51,237,290,191,281,211,66,3,1334,24,200,305,242,268,230,47,4,1330,13,81,215,183,201,167,40,5,905,4,27,67,91,107,68,29,3,389,0,9,71,64,76,58,14,4,299,0,5,25,43,49,41,12,3,174,6,7,29,48,67,44,19,0,202,0,0,7,5,15,11,0,0,45,0,0,8,24,34,23,4,0,94,31,13,19,15,22,24,4,3,131,2658,1234,1544,1293,1656,1544,447,50,10433,0,0,4,5,8,6,8,0,37,36,9,3,7,3,5,4,0,62,22,10,9,7,8,22,8,5,93,12,14,15,11,18,27,23,0,123,14,12,16,19,33,38,35,0,180,12,32,31,39,58,89,42,7,301,14,56,80,83,120,164,63,11,587,15,67,196,166,242,295,90,7,1077,11,74,205,225,293,331,77,4,1218,4
206,2813,270,1251,685,239,199,182,76,16,2929,181,1455,1209,447,351,316,94,22,4069,106,1024,1479,558,435,380,119,18,4124,37,879,1727,783,565,393,136,18,4546,33,656,1943,925,639,466,117,15,4784,13,232,1460,886,485,294,96,21,3481,0,123,1099,810,557,326,90,15,3014,5,41,594,590,393,219,59,5,1909,6,27,1009,1163,817,399,89,11,3525,0,7,193,343,269,90,31,3,946,5,11,292,776,763,319,70,24,2269,38,68,68,32,45,39,13,4,308,4217,8521,12621,7962,5877,3731,1131,185,44234,0,4,10,15,11,8,5,0,60,63,34,17,14,13,15,4,0,157,55,111,75,29,26,20,11,0,320,36,126,133,52,38,43,16,3,451,21,168,213,95,56,61,22,4,635,22,241,369,168,121,104,41,3,1066,29,197,502,249,209,203,63,0,1455,11,238,694,451,391,340,75,3,2211,14,137,614,496,461,400,106,6,2241,0
207,1322,143,534,182,95,138,113,42,9,1256,87,532,292,165,167,180,60,6,1486,35,311,358,193,230,181,80,16,1401,15,232,369,225,218,172,57,8,1296,5,149,371,230,224,172,65,11,1212,0,54,258,178,134,113,34,12,789,0,28,189,155,137,96,18,8,634,0,10,91,105,97,73,26,3,409,0,8,154,200,186,110,23,0,684,3,0,41,63,66,27,12,5,212,0,0,36,111,137,63,6,3,363,23,17,25,7,15,21,7,0,110,2850,3238,2666,1944,1958,1505,492,93,14737,3,6,3,10,0,0,0,0,21,61,12,6,3,6,0,0,0,85,27,36,20,5,11,14,3,0,108,12,34,17,15,7,16,12,0,114,6,43,28,17,15,16,6,0,138,3,60,56,35,26,38,14,0,223,5,50,82,49,57,59,21,0,326,3,36,125,89,91,105,30,3,475,5,20,90,108,124,109,30,3,491,0
208,1542,174,734,224,119,146,171,50,18,1636,126,731,396,194,236,250,90,12,2039,53,514,469,224,277,224,80,12,1852,18,391,578,292,313,259,89,14,1957,14,200,524,297,328,222,85,12,1678,0,67,317,249,230,146,57,10,1079,0,36,196,184,194,154,48,6,828,0,6,113,124,122,93,36,5,507,0,10,162,238,245,135,40,10,842,0,6,28,67,81,51,14,3,252,0,12,56,112,145,81,28,10,444,21,45,19,5,22,10,7,0,136,3693,4406,3375,2276,2554,2002,713,133,19153,5,4,3,5,3,8,0,0,39,67,25,7,9,5,10,0,4,130,58,50,14,19,20,14,8,0,180,18,56,32,19,27,25,16,6,202,14,89,65,17,29,39,18,5,286,20,93,122,59,71,80,34,5,494,17,112,203,176,166,190,50,3,923,17,131,412,304,387,359,88,6,1698,3,68,342,300,406,391,85,9,1610,0
209,1479,181,564,237,147,198,169,35,9,1548,109,598,357,249,301,249,69,8,1932,57,447,409,255,306,243,70,13,1801,27,337,440,301,287,246,58,11,1704,10,157,425,288,259,232,58,4,1423,3,53,198,200,199,154,32,0,833,0,30,132,149,165,116,16,8,615,0,6,87,86,103,72,16,0,372,0,7,97,132,153,89,23,0,499,0,0,15,32,36,23,12,0,117,0,4,23,53,52,31,10,0,175,34,43,24,15,30,20,3,0,166,4239,3553,2783,2148,2317,1867,480,63,17446,6,4,15,4,15,10,0,0,57,42,12,10,7,4,6,8,0,99,38,53,41,28,27,23,6,0,221,25,54,73,47,43,43,19,0,306,23,61,87,82,55,46,23,5,386,37,105,152,155,91,112,42,4,697,16,138,274,250,229,229,73,8,1222,16,185,493,435,468,437,108,4,2149,5,112,493,479,523,452,101,13,2170,0
210,1111,153,358,172,123,147,123,44,3,1125,95,409,252,190,229,209,40,6,1437,49,330,387,292,248,206,66,3,1586,28,245,406,295,304,210,60,4,1551,11,125,366,316,312,207,46,4,1376,9,44,225,213,209,144,32,4,873,0,25,121,182,172,120,15,0,633,0,13,60,113,135,81,12,0,420,0,6,90,135,168,82,9,0,488,0,0,9,26,40,18,0,0,106,0,0,19,52,53,23,0,0,153,25,26,16,15,24,17,3,0,137,3017,2452,2396,2163,2241,1628,385,30,14316,6,12,20,21,9,12,0,0,85,34,21,16,10,9,13,6,0,115,58,74,44,42,29,28,11,0,287,41,103,68,67,61,56,19,0,413,41,117,128,83,93,79,37,4,579,42,201,247,201,185,150,59,8,1086,28,250,474,352,398,326,93,8,1926,50,380,971,806,785,694,145,9,3832,20,212,925,938,906,838,145,11,4000,4
