POW_SA4_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
201,160,434,346,191,506,436,130,281,37,2529,131,318,188,131,432,430,109,255,492,2497,3989,11607,9128,6545,13419,12953,3862,7540,1151,70192
202,151,469,326,195,481,497,122,251,21,2513,114,336,217,144,412,437,84,245,479,2460,3836,11454,8931,6621,13565,12728,3607,7830,1154,69726
203,367,965,743,337,876,868,205,424,49,4842,198,626,444,320,781,931,200,443,860,4789,7592,23714,17837,11872,25827,25791,6925,13001,2016,134572
204,160,429,310,183,450,565,149,305,46,2588,155,356,282,173,444,502,127,288,595,2921,4480,11701,9491,7080,14049,15188,4370,9996,1584,77944
205,272,787,562,357,867,902,223,477,71,4517,275,533,361,236,643,711,155,451,983,4344,6648,18616,14614,10248,20548,20223,6005,13751,2438,113091
206,1623,2739,2998,1802,4801,3723,986,1718,157,20548,1219,2576,2345,1481,5551,6119,1276,2743,5388,28700,38895,73998,71122,51239,179588,207797,49937,95609,10515,778703
207,478,1104,962,518,1187,1019,286,474,54,6075,254,791,654,329,973,1130,182,457,1081,5842,7446,27775,20768,12642,29106,30992,8099,15483,2045,154349
208,588,1414,1040,530,1238,1077,315,537,80,6811,298,1130,889,530,1901,1813,323,824,1299,9002,8648,31225,23246,14221,33845,32882,8497,16972,2568,172105
209,528,1148,959,433,1134,1093,272,515,77,6157,264,938,753,478,1792,1578,289,602,1418,8116,8656,29464,23534,15475,34865,33897,8569,15747,2997,173204
210,440,898,832,407,1385,1261,316,539,100,6180,312,1024,848,508,2349,1948,415,765,1614,9782,7771,22267,19108,11668,37728,34905,9751,17080,3410,163696
211,702,1474,1199,636,1572,1741,466,855,75,8722,302,1132,868,647,2569,2290,486,882,1339,10520,9647,33247,25048,16063,40225,38379,10095,18777,2850,194328
212,867,1907,1709,839,3002,2648,726,1217,129,13045,613,2054,1827,1147,5437,4733,952,1750,3163,21683,14619,48573,41337,27218,82777,76376,20760,36509,6269,354435
213,690,1639,1465,747,2130,1864,492,852,122,10004,490,1499,1455,868,3332,3007,566,1198,2832,15249,12777,40597,34207,21799,60249,56317,15074,28528,5727,275280
214,511,785,672,353,733,774,179,343,44,4386,215,628,441,286,979,865,188,429,849,4872,6716,19753,15412,10495,20123,20342,5409,10362,1913,110525
215,129,328,267,190,500,510,129,263,27,2340,139,330,200,157,495,459,109,235,724,2844,3288,9266,7443,5862,13040,13448,3668,9476,1597,67092
216,144,409,303,189,521,554,146,279,36,2587,118,309,201,118,402,450,107,233,579,2515,3021,8317,6763,5181,11270,11656,3613,7799,1362,58982
217,112,343,236,147,369,394,83,213,25,1924,108,309,166,101,303,360,91,212,500,2141,3148,9261,6935,4761,9721,10921,3300,8555,1248,57849
297,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,8,0,16,19,8,3,3,12,22,9,114,0,194
299,489,1014,650,335,512,710,145,406,56,4323,550,1035,695,417,955,1183,201,599,1318,6946,9454,25035,16766,10677,19053,31147,7014,14943,3389,137478
