POW_SA4_CODE_2021,TYP_lthc_arth_A_15_24,TYP_ltch_arth_A_25_34,TYP_lthc_arth_A_35_34,TYP_lthc_arth_A_45_54,TYP_lthc_arth_A_55_64,TYP_lthc_arth_A_65_74,TYP_lthc_arth_A_75ov,TYP_lthc_arth_A_tot,TYP_lthc_asth_A_15_24,TYP_lthc_asth_A_25_34,TYP_lthc_asth_A_35_34,TYP_lthc_asth_A_45_54,TYP_lthc_asth_A_55_64,TYP_lthc_asth_A_65_74,TYP_lthc_asth_A_75ov,TYP_lthc_asth_A_tot,TYP_lthc_canc_A_15_24,TYP_lthc_canc_A_25_34,TYP_lthc_canc_A_35_34,TYP_lthc_canc_A_45_54,TYP_lthc_canc_A_55_64,TYP_lthc_canc_A_65_74,TYP_lthc_canc_A_75ov,TYP_lthc_canc_A_tot,TYP_lthc_demen_A_15_24,TYP_lthc_demen_A_25_34,TYP_lthc_demen_A_35_34,TYP_lthc_demen_A_45_54,TYP_lthc_demen_A_55_64,TYP_lthc_demen_A_65_74,TYP_lthc_demen_A_75ov,TYP_lthc_demen_A_tot,TYP_lthc_diab_A_15_24,TYP_lthc_diab_A_25_34,TYP_lthc_diab_A_35_34,TYP_lthc_diab_A_45_54,TYP_lthc_diab_A_55_64,TYP_lthc_diab_A_65_74,TYP_lthc_diab_A_75ov,TYP_lthc_diab_A_tot,TYP_lthc_hear_A_15_24,TYP_lthc_hear_A_25_34,TYP_lthc_hear_A_35_34,TYP_lthc_hear_A_45_54,TYP_lthc_hear_A_55_64,TYP_lthc_hear_A_65_74,TYP_lthc_hear_A_75ov,TYP_lthc_hear_A_tot,TYP_lthc_kidn_A_15_24,TYP_lthc_kidn_A_25_34,TYP_lthc_kidn_A_35_34,TYP_lthc_kidn_A_45_54,TYP_lthc_kidn_A_55_64,TYP_lthc_kidn_A_65_74,TYP_lthc_kidn_A_75ov,TYP_lthc_kidn_A_tot,TYP_lthc_lung_A_15_24,TYP_lthc_lung_A_25_34,TYP_lthc_lung_A_35_34,TYP_lthc_lung_A_45_54,TYP_lthc_lung_A_55_64,TYP_lthc_lung_A_65_74,TYP_lthc_lung_A_75ov,TYP_lthc_lung_A_tot,TYP_lthc_ment_A_15_24,TYP_lthc_ment_A_25_34,TYP_lthc_ment_A_35_34,TYP_lthc_ment_A_45_54,TYP_lthc_ment_A_55_64,TYP_lthc_ment_A_65_74,TYP_lthc_ment_A_75ov,TYP_lthc_ment_A_tot,TYP_lthc_stro_A_15_24,TYP_lthc_stro_A_25_34,TYP_lthc_stro_A_35_34,TYP_lthc_stro_A_45_54,TYP_lthc_stro_A_55_64,TYP_lthc_stro_A_65_74,TYP_lthc_stro_A_75ov,TYP_lthc_stro_A_tot,TYP_lthc_AO_lthc_A_15_24,TYP_lthc_AO_lthc_A_25_34,TYP_lthc_AO_lthc_A_35_34,TYP_lthc_AO_lthc_A_45_54,TYP_lthc_AO_lthc_A_55_64,TYP_lthc_AO_lthc_A_65_74,TYP_lthc_AO_lthc_A_75ov,TYP_lthc_AO_lthc_A_tot,TYP_lthc_NO_lthc_A_15_24,TYP_lthc_NO_lthc_A_25_34,TYP_lthc_NO_lthc_A_35_34,TYP_lthc_NO_lthc_A_45_54,TYP_lthc_NO_lthc_A_55_64,TYP_lthc_NO_lthc_A_65_74,TYP_lthc_NO_lthc_A_75ov,TYP_lthc_NO_lthc_A_tot,TYP_lthc_NS_A_15_24,TYP_lthc_NS_A_25_34,TYP_lthc_NS_A_35_34,TYP_lthc_NS_A_45_54,TYP_lthc_NS_A_55_64,TYP_lthc_NS_A_65_74,TYP_lthc_NS_A_75ov,TYP_lthc_NS_A_tot,TYP_lthc_Tot_A_15_24,TYP_lthc_Tot_A_25_34,TYP_lthc_Tot_A_35_34,TYP_lthc_Tot_A_45_54,TYP_lthc_Tot_A_55_64,TYP_lthc_Tot_A_65_74,TYP_lthc_Tot_A_75ov,TYP_lthc_Tot_A_tot,CNT_lthc_NONE_A_15_24,CNT_lthc_NONE_A_25_34,CNT_lthc_NONE_A_35_34,CNT_lthc_NONE_A_45_54,CNT_lthc_NONE_A_55_64,CNT_lthc_NONE_A_65_74,CNT_lthc_NONE_A_75ov,CNT_lthc_NONE_A_tot,CNT_lthc_ONE_A_15_24,CNT_lthc_ONE_A_25_34,CNT_lthc_ONE_A_35_34,CNT_lthc_ONE_A_45_54,CNT_lthc_ONE_A_55_64,CNT_lthc_ONE_A_65_74,CNT_lthc_ONE_A_75ov,CNT_lthc_ONE_A_tot,CNT_lthc_TWO_A_15_24,CNT_lthc_TWO_A_25_34,CNT_lthc_TWO_A_35_34,CNT_lthc_TWO_A_45_54,CNT_lthc_TWO_A_55_64,CNT_lthc_TWO_A_65_74,CNT_lthc_TWO_A_75ov,CNT_lthc_TWO_A_tot,CNT_lthc_THREEmo_A_15_24,CNT_lthc_THREEmo_A_25_34,CNT_lthc_THREEmo_A_35_34,CNT_lthc_THREEmo_A_45_54,CNT_lthc_THREEmo_A_55_64,CNT_lthc_THREEmo_A_65_74,CNT_lthc_THREEmo_A_75ov,CNT_lthc_THREEmo_A_tot,CNT_lthc_ONEmo_Tot_A_15_24,CNT_lthc_ONEmo_Tot_A_25_34,CNT_lthc_ONEmo_Tot_A_35_34,CNT_lthc_ONEmo_Tot_A_45_54,CNT_lthc_ONEmo_Tot_A_55_64,CNT_lthc_ONEmo_Tot_A_65_74,CNT_lthc_ONEmo_Tot_A_75ov,CNT_lthc_ONEmo_Tot_A_tot,CNT_lthc_NS_A_15_24,CNT_lthc_NS_Tot_A_25_34,CNT_lthc_NS_Tot_A_35_34,CNT_lthc_NS_Tot_A_45_54,CNT_lthc_NS_Tot_A_55_64,CNT_lthc_NS_Tot_A_65_74,CNT_lthc_NS_Tot_A_75ov,CNT_lthc_NS_Tot_A_tot,CNT_lthc_Tot_A_15_24,CNT_lthc_Tot_A_25_34,CNT_lthc_Tot_A_35_34,CNT_lthc_Tot_A_45_54,CNT_lthc_Tot_A_55_64,CNT_lthc_Tot_A_65_74,CNT_lthc_Tot_A_75ov,CNT_lthc_Tot_A_tot
201,79,300,576,1267,1897,781,143,5050,1316,1834,1681,1512,1110,300,45,7797,22,69,164,357,619,240,58,1532,4,0,3,4,5,0,8,25,73,168,312,630,870,361,52,2469,34,73,103,294,656,361,103,1624,15,34,52,68,97,50,12,327,17,31,71,137,279,126,29,678,1527,2320,2028,1824,1114,202,17,9039,11,10,28,58,103,49,21,289,634,1015,1099,1267,1169,326,55,5550,7708,9445,8854,8709,6497,1589,203,43002,457,399,396,562,442,103,20,2382,11125,14341,13826,14556,12309,3488,552,70192,8057,9976,9452,9387,7145,1735,229,45982,2162,3189,3108,3388,3239,1053,171,16321,406,695,727,956,1069,422,87,4361,38,83,139,259,416,170,42,1146,2604,3963,3977,4606,4723,1647,301,21824,457,399,396,562,442,103,20,2382,11125,14341,13826,14556,12309,3488,552,70192
202,77,247,566,1258,2119,864,154,5281,1175,1704,1583,1366,1204,264,39,7346,22,53,136,353,612,310,45,1533,0,5,0,5,5,3,8,32,43,176,303,556,784,334,65,2260,32,53,111,264,611,333,99,1502,24,32,45,76,100,40,14,332,12,24,58,109,260,100,20,586,1488,2206,1928,1829,1150,207,23,8830,7,16,35,43,87,52,18,248,578,965,1105,1268,1114,336,52,5417,7539,9253,9060,8922,6500,1639,206,43119,424,408,430,526,467,98,33,2376,10735,13870,13948,14541,12424,3643,565,69726,7848,9757,9669,9619,7071,1796,230,45993,2075,2999,3073,3254,3378,1167,176,16121,365,637,654,902,1109,434,78,4185,23,73,118,244,394,144,45,1051,2466,3708,3849,4399,4892,1749,307,21359,424,408,430,526,467,98,33,2376,10735,13870,13948,14541,12424,3643,565,69726
203,114,416,799,1791,2865,1147,189,7327,2363,3218,3252,2529,1753,530,66,13712,49,131,324,605,965,468,90,2621,0,5,6,6,6,10,11,43,140,298,524,1026,1422,564,88,4063,36,92,174,460,969,612,142,2494,22,59,98,144,162,89,17,600,18,45,80,163,331,175,34,839,2834,3932,3467,2863,1669,308,15,15097,12,28,63,106,159,106,22,490,1125,1824,1946,2074,1958,595,71,9591,15460,20921,19322,17364,11618,2715,267,87657,855,757,801,944,730,169,23,4280,21864,29633,28540,27029,20899,5855,755,134572,16112,21977,20506,18598,12718,3005,306,93217,4215,5683,5891,5730,5311,1745,253,28833,649,1128,1155,1403,1604,655,124,6709,32,84,187,359,541,282,53,1534,4895,6898,7234,7483,7455,2681,426,37077,855,757,801,944,730,169,23,4280,21864,29633,28540,27029,20899,5855,755,134572
204,59,226,521,1254,2243,1252,305,5859,1220,1625,1749,1616,1319,437,78,8044,15,50,156,369,699,462,160,1918,6,3,0,6,11,9,9,49,69,146,297,571,953,487,113,2644,29,63,105,312,788,534,207,2037,15,38,58,95,133,66,27,440,14,28,58,110,278,195,42,731,1365,1827,1834,1728,1230,316,27,8321,6,18,31,72,111,75,30,346,520,865,966,1235,1288,456,74,5403,8583,9934,9500,10068,8270,2461,418,49229,442,385,460,580,500,161,58,2584,11795,14172,14362,16112,14933,5434,1134,77944,8909,10421,10037,10781,8950,2676,447,52214,2111,2773,3100,3624,3823,1700,387,17517,318,544,633,897,1179,651,162,4386,14,56,139,221,477,255,80,1241,2442,3373,3872,4750,5480,2601,630,23142,442,385,460,580,500,161,58,2584,11795,14172,14362,16112,14933,5434,1134,77944
205,95,394,896,2011,3347,1526,335,8612,1731,2587,2509,2185,1742,570,92,11407,23,108,218,532,981,565,149,2579,0,7,0,11,5,11,13,41,106,234,445,1015,1520,722,156,4204,38,106,174,501,1100,810,258,2989,20,59,76,138,197,95,19,605,23,47,86,236,505,269,77,1240,1980,2887,2654,2463,1735,312,34,12063,9,24,56,111,158,115,39,509,815,1304,1526,1756,1934,614,113,8057,11867,14837,14365,14636,11970,3275,527,71481,621,616,648,828,712,237,56,3722,16442,21485,21532,23367,21736,7162,1364,113091,12335,15564,15229,15624,13006,3566,580,75897,2983,4316,4444,5149,5611,2192,426,25116,475,880,1002,1357,1769,837,183,6501,26,117,207,407,641,334,119,1852,3482,5311,5658,6909,8014,3361,724,33470,621,616,648,828,712,237,56,3722,16442,21485,21532,23367,21736,7162,1364,113091
206,377,2131,3932,6682,8612,3560,660,25960,7021,22041,19421,12154,6497,1696,208,69031,148,920,1845,3184,3813,1808,335,12058,4,26,11,25,33,34,21,156,327,1700,4179,5283,5852,2197,324,19855,160,558,1089,2155,3740,2048,471,10233,85,398,633,647,655,277,75,2774,63,264,347,559,885,491,114,2718,9360,25792,17963,10762,5125,914,85,70004,36,102,246,431,527,277,73,1696,3922,13597,13982,11677,8412,2339,303,54237,58672,174064,158114,98662,49531,10736,1030,550813,2048,4723,4543,4090,2514,621,121,18656,78333,233178,213947,144395,84149,21928,2778,778703,60865,182085,167172,106204,54644,11990,1155,584112,13399,39364,35640,27664,20175,6348,914,143503,1925,6546,5833,5323,5286,2221,405,27537,96,465,759,1109,1519,755,187,4896,15425,46372,42228,34098,26983,9322,1506,175933,2048,4723,4543,4090,2514,621,121,18656,78333,233178,213947,144395,84149,21928,2778,778703
207,87,337,596,1548,2529,1274,298,6672,1950,3185,2837,2421,1654,562,79,12685,42,130,269,705,1057,573,150,2929,3,5,0,4,6,3,10,32,86,260,620,1058,1438,676,154,4296,41,84,155,450,899,661,231,2524,17,59,80,138,160,94,35,587,20,38,42,125,188,124,51,585,2417,3549,2512,2357,1402,311,40,12584,0,19,35,85,130,79,30,382,1113,1936,2128,2454,2262,786,149,10823,16981,27013,24942,21653,13835,3566,477,108465,644,744,715,934,773,199,30,4041,22410,35513,33161,31430,23287,7292,1259,154349,17646,28183,26335,23273,15238,4005,541,115224,3590,5604,5187,5854,5537,2142,432,28337,501,908,816,1122,1366,694,168,5589,18,72,103,246,370,252,92,1160,4114,6583,6105,7225,7268,3093,695,35090,644,744,715,934,773,199,30,4041,22410,35513,33161,31430,23287,7292,1259,154349
208,118,358,730,1807,2819,1518,304,7647,2367,3184,2934,2859,2010,696,101,14141,45,130,311,844,1195,763,142,3428,0,6,8,6,8,12,13,49,137,297,626,1225,1794,900,174,5145,51,79,169,522,1174,912,247,3161,27,43,91,140,170,123,39,633,22,53,79,168,312,209,61,905,2769,3516,2659,2665,1622,373,35,13629,7,15,50,123,141,119,32,492,1303,1763,1980,2614,2397,884,125,11067,21435,28044,25641,24603,16049,4209,526,120506,916,824,904,1230,948,283,44,5157,28066,36501,34352,35976,26902,8939,1372,172105,22238,29081,26946,26357,17474,4684,575,127347,4309,5615,5492,6776,6347,2713,458,31708,573,902,883,1335,1650,956,208,6505,32,78,125,286,487,306,81,1390,4906,6596,6505,8395,8485,3971,752,39602,916,824,904,1230,948,283,44,5157,28066,36501,34352,35976,26902,8939,1372,172105
209,133,420,911,2025,3259,1353,244,8355,2351,3730,3404,2697,1894,574,51,14705,53,175,332,753,1069,492,91,2963,0,0,0,6,11,4,3,33,135,324,860,1546,2028,794,130,5819,46,88,227,576,1189,675,166,2965,39,73,94,192,222,89,26,737,26,39,71,175,312,182,35,849,2454,4119,3376,2695,1577,291,22,14538,11,22,59,112,176,98,32,508,1182,2212,2302,2613,2439,701,78,11531,20518,29903,27469,23426,14861,3316,341,119830,897,1008,1025,1274,948,226,25,5406,26776,39894,37748,34888,25929,7087,893,173204,21238,31205,28889,25076,16245,3681,375,126710,4067,6468,6513,6701,6433,2160,291,32625,532,1122,1164,1492,1725,749,141,6927,35,90,153,343,574,270,64,1538,4635,7679,7829,8538,8734,3179,499,41089,897,1008,1025,1274,948,226,25,5406,26776,39894,37748,34888,25929,7087,893,173204
210,90,415,874,1997,2777,1016,152,7321,1973,3210,3107,2589,1727,398,53,13057,32,133,264,610,954,382,77,2453,0,3,3,7,11,8,3,37,116,340,894,1736,2318,773,90,6267,35,97,198,714,1367,566,120,3103,31,73,106,189,189,77,13,675,24,45,68,189,350,160,24,851,1684,3010,2526,2195,1302,205,15,10940,0,23,46,109,162,82,22,442,927,1686,1944,2468,2099,524,40,9690,17868,29783,28164,23449,14195,2658,226,116346,806,954,1098,1272,907,199,26,5259,22829,38094,37381,34490,24636,5635,626,163696,18469,30842,29457,25024,15440,2920,252,122402,3136,5369,5745,6486,6081,1698,224,28743,384,844,947,1349,1690,572,91,5875,21,89,142,359,524,251,45,1423,3549,6300,6837,8191,8286,2517,356,36042,806,954,1098,1272,907,199,26,5259,22829,38094,37381,34490,24636,5635,626,163696
