POW_SA4_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
201,2456,314,540,828,1606,1489,1712,26,158,9126
202,2122,323,539,769,1681,1426,1622,25,145,8645
203,6300,985,1430,2119,4611,4626,5031,65,374,25542
204,2938,366,532,756,1416,1340,1709,45,232,9326
205,4928,564,889,1257,2243,2045,2246,57,330,14560
206,57674,16654,23465,35991,55202,59266,72279,1434,2855,324818
207,13125,3395,4870,7512,11022,10625,11696,170,652,63067
208,15546,4112,5144,7401,11458,10349,12365,156,779,67308
209,13776,3480,4231,6032,11730,9633,10244,114,768,60011
210,14401,3766,4440,6073,12168,9761,10888,133,820,62443
211,16055,3378,4506,6793,10992,9042,8725,128,639,60259
212,33203,9597,12043,17629,31406,25040,25853,330,1788,156885
213,23676,6663,8054,12730,26427,21211,22294,273,1460,122800
214,7956,1356,1961,3033,5183,4058,3700,46,461,27759
215,1501,223,421,592,1307,1450,2901,98,256,8752
216,1504,268,468,709,1585,1622,2122,40,190,8515
217,1433,206,408,573,883,903,1482,49,137,6067
297,14,0,7,0,6,4,0,0,0,39
299,9578,2134,2802,3551,6129,5487,6947,148,657,37444
