POW_SA4_CODE_2021,F_IDNS_H_0,F_IDNS_H_1_19,F_IDNS_H_20_29,F_IDNS_H_30_34,F_IDNS_H_35_39,F_IDNS_H_40_44,F_IDNS_H_45_49,F_IDNS_H_50ov,F_IDNS_H_NS,F_IDNS_H_Tot,F_Tot_H_0,F_Tot_H_1_19,F_Tot_H_20_29,F_Tot_H_30_34,F_Tot_H_35_39,F_Tot_H_40_44,F_Tot_H_45_49,F_Tot_H_50ov,F_Tot_H_NS,F_Tot_H_Tot,P_AgFF_H_0,P_AgFF_H_1_19,P_AgFF_H_20_29,P_AgFF_H_30_34,P_AgFF_H_35_39,P_AgFF_H_40_44,P_AgFF_H_45_49,P_AgFF_H_50ov,P_AgFF_H_NS,P_AgFF_H_Tot,P_Min_H_0,P_Min_H_1_19,P_Min_H_20_29,P_Min_H_30_34,P_Min_H_35_39,P_Min_H_40_44,P_Min_H_45_49,P_Min_H_50ov,P_Min_H_NS,P_Min_H_Tot,P_Mnf_H_0,P_Mnf_H_1_19,P_Mnf_H_20_29,P_Mnf_H_30_34,P_Mnf_H_35_39,P_Mnf_H_40_44,P_Mnf_H_45_49,P_Mnf_H_50ov,P_Mnf_H_NS,P_Mnf_H_Tot,P_EGWWS_H_0,P_EGWWS_H_1_19,P_EGWWS_H_20_29,P_EGWWS_H_30_34,P_EGWWS_H_35_39,P_EGWWS_H_40_44,P_EGWWS_H_45_49,P_EGWWS_H_50ov,P_EGWWS_H_NS,P_EGWWS_H_Tot,P_Const_H_0,P_Const_H_1_19,P_Const_H_20_29,P_Const_H_30_34,P_Const_H_35_39,P_Const_H_40_44,P_Const_H_45_49,P_Const_H_50ov,P_Const_H_NS,P_Const_H_Tot,P_WST_H_0,P_WST_H_1_19,P_WST_H_20_29,P_WST_H_30_34,P_WST_H_35_39,P_WST_H_40_44,P_WST_H_45_49,P_WST_H_50ov,P_WST_H_NS,P_WST_H_Tot,P_RetT_H_0,P_RetT_H_1_19,P_RetT_H_20_29,P_RetT_H_30_34,P_RetT_H_35_39,P_RetT_H_40_44,P_RetT_H_45_49,P_RetT_H_50ov,P_RetT_H_NS,P_RetT_H_Tot,P_AcFd_H_0,P_AcFd_H_1_19,P_AcFd_H_20_29,P_AcFd_H_30_34,P_AcFd_H_35_39,P_AcFd_H_40_44,P_AcFd_H_45_49,P_AcFd_H_50ov,P_AcFd_H_NS,P_AcFd_H_Tot,P_TPW_H_0,P_TPW_H_1_19,P_TPW_H_20_29,P_TPW_H_30_34,P_TPW_H_35_39,P_TPW_H_40_44,P_TPW_H_45_49,P_TPW_H_50ov,P_TPW_H_NS,P_TPW_H_Tot,P_IMT_H_0,P_IMT_H_1_19,P_IMT_H_20_29,P_IMT_H_30_34,P_IMT_H_35_39,P_IMT_H_40_44,P_IMT_H_45_49,P_IMT_H_50ov,P_IMT_H_NS,P_IMT_H_Tot,P_FinIns_H_0,P_FinIns_H_1_19,P_FinIns_H_20_29,P_FinIns_H_30_34,P_FinIns_H_35_39,P_FinIns_H_40_44,P_FinIns_H_45_49,P_FinIns_H_50ov,P_FinIns_H_NS,P_FinIns_H_Tot,P_RHRE_H_0,P_RHRE_H_1_19,P_RHRE_H_20_29,P_RHRE_H_30_34,P_RHRE_H_35_39,P_RHRE_H_40_44,P_RHRE_H_45_49,P_RHRE_H_50ov,P_RHRE_H_NS,P_RHRE_H_Tot,P_ProSTS_H_0,P_ProSTS_H_1_19,P_ProSTS_H_20_29,P_ProSTS_H_30_34,P_ProSTS_H_35_39,P_ProSTS_H_40_44,P_ProSTS_H_45_49,P_ProSTS_H_50ov,P_ProSTS_H_NS,P_ProSTS_H_Tot,P_AdSup_H_0,P_AdSup_H_1_19,P_AdSup_H_20_29,P_AdSup_H_30_34,P_AdSup_H_35_39,P_AdSup_H_40_44,P_AdSup_H_45_49,P_AdSup_H_50ov,P_AdSup_H_NS,P_AdSup_H_Tot,P_PubAS_H_0,P_PubAS_H_1_19,P_PubAS_H_20_29,P_PubAS_H_30_34,P_PubAS_H_35_39,P_PubAS_H_40_44,P_PubAS_H_45_49,P_PubAS_H_50ov,P_PubAS_H_NS,P_PubAS_H_Tot,P_EdTrn_H_0,P_EdTrn_H_1_19,P_EdTrn_H_20_29,P_EdTrn_H_30_34,P_EdTrn_H_35_39,P_EdTrn_H_40_44,P_EdTrn_H_45_49,P_EdTrn_H_50ov,P_EdTrn_H_NS,P_EdTrn_H_Tot,P_HltHC_SA_H_0,P_HltHC_SA_H_1_19,P_HltHC_SA_H_20_29,P_HltHC_SA_H_30_34,P_HltHC_SA_H_35_39,P_HltHC_SA_H_40_44,P_HltHC_SA_H_45_49,P_HltHC_SA_H_50ov,P_HltHC_SA_H_NS,P_HltHC_SA_H_Tot,P_ArtsR_H_0,P_ArtsR_H_1_19,P_ArtsR_H_20_29,P_ArtsR_H_30_34,P_ArtsR_H_35_39,P_ArtsR_H_40_44,P_ArtsR_H_45_49,P_ArtsR_H_50ov,P_ArtsR_H_NS,P_ArtsR_H_Tot
201,54,185,104,74,164,102,20,43,199,951,2535,7850,6478,4553,6534,4552,1220,2031,513,36258,89,336,251,225,362,555,168,840,47,2879,35,27,22,7,48,106,51,220,13,535,211,546,369,291,1328,1395,479,646,37,5293,22,29,41,29,156,201,68,124,6,680,162,424,416,275,1044,1933,505,1017,75,5857,54,123,120,62,292,302,98,141,13,1195,413,2067,1286,706,1233,858,274,362,70,7269,630,2365,817,331,563,356,107,305,69,5538,129,262,239,170,445,478,179,497,28,2427,67,99,74,42,192,160,124,71,0,836,50,69,105,68,230,203,59,125,5,921,14,78,70,46,188,197,63,119,4,788,100,372,421,264,630,846,220,401,22,3269,91,391,284,156,331,198,40,95,28,1611,261,309,391,290,1212,1074,228,287,31,4080,325,1155,1008,767,1520,984,456,888,51,7158,910,1857,2502,2363,2476,2037,447,726,102,13427,135,360,184,126,226,196,47,136,16,1418
202,52,195,123,74,151,105,13,47,221,977,2426,7717,6443,4479,6563,4406,1143,2110,537,35816,80,330,253,186,326,501,157,823,60,2721,92,56,47,27,71,266,141,598,21,1311,253,597,464,407,1627,1808,511,714,58,6439,36,30,49,59,141,286,57,112,4,786,147,390,311,319,954,1763,450,963,50,5346,44,112,88,76,274,294,99,175,9,1178,439,2231,1229,606,1173,756,226,383,87,7126,470,2087,719,333,445,329,86,285,77,4836,108,231,248,147,336,416,150,482,43,2152,29,90,75,47,196,111,34,49,5,635,102,121,208,134,687,458,146,212,9,2081,24,79,53,50,182,132,37,109,5,664,105,422,380,271,648,614,178,386,12,3013,77,443,261,169,366,200,40,92,14,1664,303,302,377,375,1300,1093,262,382,42,4431,281,1004,922,654,1348,763,385,729,41,6122,867,1842,2531,2311,2436,1857,429,756,101,13139,111,294,169,105,166,138,25,86,8,1105
203,96,357,267,149,248,244,40,87,379,1874,4911,15890,12896,8193,12705,9118,2194,3587,931,70425,70,374,256,187,349,445,113,510,37,2351,17,12,12,10,16,50,26,91,8,232,264,842,598,422,1942,2415,631,1076,83,8272,63,63,96,75,472,410,117,204,12,1510,291,881,778,700,2264,4551,1171,2403,152,13182,129,249,251,202,834,923,328,443,18,3386,1020,4624,2513,1272,2751,1990,515,826,135,15653,1252,4779,1608,620,1037,723,190,442,118,10770,265,468,508,260,606,910,355,819,61,4248,67,168,120,69,202,160,44,86,10,934,157,180,352,279,1020,868,197,339,15,3414,65,181,142,124,393,370,95,228,17,1609,271,1072,977,643,1608,1751,418,897,47,7677,161,904,507,267,568,425,117,187,45,3182,554,623,716,523,2121,2232,496,652,55,7978,643,2244,2042,1313,2973,2128,838,1479,94,13758,1501,3877,4884,4105,4701,3380,800,1282,179,24702,235,574,287,157,332,252,77,163,13,2084
204,71,207,156,95,153,120,29,52,252,1142,2738,7679,6600,4848,6594,5238,1382,2706,718,38492,181,697,671,470,639,1112,345,1704,121,5944,26,11,17,16,27,63,34,121,0,313,337,606,443,342,1664,1968,579,941,71,6950,21,25,31,12,154,142,48,85,5,525,230,492,378,337,1215,2035,540,1412,102,6747,43,144,117,114,281,354,128,242,14,1434,416,1888,1191,783,1260,974,305,499,107,7416,724,2359,959,430,742,556,144,595,114,6617,182,406,418,238,558,679,246,730,57,3510,21,57,42,19,97,63,20,34,0,351,31,76,98,85,189,158,35,88,12,768,39,110,95,63,159,133,36,103,3,741,95,359,331,267,466,472,163,324,23,2500,129,499,308,160,381,215,73,127,20,1907,377,406,434,415,1595,2309,558,739,73,6898,409,1012,996,775,1676,1062,450,895,72,7346,817,1564,2250,2120,1817,1650,358,659,125,11351,97,212,132,86,235,175,55,112,13,1115
205,147,309,209,135,192,177,30,87,433,1721,4141,12790,10676,7064,9756,6857,1791,3712,1084,57877,303,1195,972,655,982,1422,471,2958,230,9198,96,26,38,37,182,241,118,355,24,1124,267,668,521,412,1731,1582,887,828,93,6985,158,139,167,142,986,879,289,546,36,3339,299,692,554,496,1743,3330,795,1729,162,9795,99,234,171,133,460,521,188,308,22,2132,680,3322,1905,1070,1940,1313,338,659,148,11363,954,3313,1244,491,752,616,132,527,144,8170,149,405,450,253,483,666,228,765,67,3466,47,125,96,66,300,169,33,73,10,919,93,162,199,115,383,333,71,131,9,1489,51,137,134,112,326,261,64,202,13,1303,139,663,551,347,737,852,234,496,39,4057,161,685,399,240,459,305,58,127,40,2471,567,598,684,489,2084,1981,481,790,53,7728,508,1668,1569,1177,1972,1276,621,1255,108,10150,1328,2785,3818,3258,3172,2655,591,976,165,18761,207,481,214,148,335,207,38,104,17,1762
206,687,1494,1337,844,2597,2371,478,795,2400,13000,24347,45481,46498,34031,88487,84369,19960,32409,4677,380255,39,113,153,68,233,283,77,180,18,1158,74,41,73,63,154,454,194,466,16,1544,662,1443,1443,1056,5193,5889,1679,2995,102,20459,362,268,449,548,4031,3728,929,1396,64,11772,879,1546,1850,1515,6345,12307,3504,8900,403,37243,448,781,895,652,3437,4209,1093,2009,66,13595,3309,9595,6622,3532,9842,8097,2183,3809,439,47424,5960,14751,8941,3569,6696,4443,1283,2426,618,48691,1379,1692,2051,1204,6121,8059,2044,3590,284,26431,1002,1384,1418,1269,8048,9165,2072,3752,151,28255,3146,2200,3824,3687,20305,33651,6539,12907,471,86739,446,947,1099,742,3693,4173,1061,2497,90,14748,3832,7247,8628,7322,32279,48785,11056,22633,666,142452,1234,3302,4532,1821,6948,5986,1367,2324,231,27747,3463,2426,3855,3851,22614,17484,5038,7267,356,66356,2158,8247,5813,3764,11943,9464,2834,5392,269,49897,4604,9675,11843,11769,17312,17355,3707,6595,550,83408,3062,3034,2285,1533,4040,4407,1012,2005,164,21538
207,136,472,397,195,423,383,50,119,466,2650,4871,18278,14334,8609,15481,13178,3438,5622,932,84739,21,60,34,28,44,68,25,43,3,319,7,12,5,5,13,25,10,24,0,104,123,642,338,213,872,867,231,468,24,3775,7,30,20,31,140,119,28,58,0,422,200,717,798,541,1382,2879,704,1598,104,8926,98,329,302,201,863,1053,291,491,16,3650,1115,5073,2811,1266,2705,3010,750,1399,125,18258,942,4130,1859,600,987,756,173,465,102,10015,158,360,334,184,550,751,225,273,33,2862,146,266,234,153,420,425,207,204,17,2072,123,461,580,387,1262,1622,311,752,25,5525,111,416,426,278,826,892,207,436,25,3612,406,1934,1791,1184,3516,5651,1247,2713,74,18515,159,871,708,255,739,579,108,261,36,3718,351,510,548,416,2191,1593,442,565,33,6655,976,4517,2741,1712,4272,3816,1421,2751,86,22300,1478,4815,5365,4194,5882,4521,1204,1907,200,29566,298,745,259,140,285,219,46,141,19,2140
208,158,643,511,290,680,564,71,188,539,3659,5602,20292,15810,9416,16625,12161,2987,5210,1163,89271,9,73,62,55,155,120,33,57,7,572,10,15,9,9,19,34,7,32,4,134,322,1193,1045,748,4044,3621,1043,1631,68,13722,19,36,43,43,188,206,47,116,8,703,335,1060,1076,764,2727,5079,1193,2456,162,14845,178,522,484,405,1435,1325,351,578,19,5297,1685,6321,3643,1639,4009,2870,731,1336,183,22410,1288,5234,2203,765,1287,1029,307,695,136,12947,199,488,560,269,854,1169,311,478,49,4369,119,283,201,111,343,375,80,231,9,1741,106,395,470,323,809,1110,302,631,19,4172,101,377,383,230,725,806,244,518,19,3408,313,1888,1545,995,2218,3369,720,1954,77,13068,195,950,731,398,865,723,170,338,41,4416,305,573,627,448,1416,1286,318,438,49,5456,800,3561,2408,1559,3118,2558,1043,2180,110,17342,1416,4796,5425,4195,6094,3920,880,1692,216,28634,365,920,401,223,391,386,86,252,26,3043
209,122,540,412,251,586,410,56,100,553,3032,5667,19468,16177,10474,16893,12558,2839,4909,1265,90245,48,143,168,147,317,310,86,174,32,1435,15,10,14,9,42,83,17,96,0,288,326,1198,994,721,3940,3296,957,1524,121,13089,15,49,59,45,201,228,66,107,11,781,424,1337,1321,935,2831,5409,1192,2531,244,16223,140,439,458,321,1230,1291,346,521,38,4783,1208,5821,3362,1524,3395,2207,607,943,180,19245,906,4824,1850,644,945,745,198,531,135,10774,276,686,887,441,1096,1790,534,751,109,6568,100,253,166,101,283,256,56,120,13,1344,67,214,266,182,642,715,126,318,17,2534,79,235,223,157,459,457,142,270,18,2049,239,1220,1087,678,1600,1968,459,1048,55,8343,189,1034,860,397,901,606,122,272,58,4439,511,798,739,577,2394,2415,704,775,78,8999,940,3338,2770,1758,4453,2885,1222,2400,108,19866,2033,4986,6297,5751,6919,6321,1129,2116,271,35820,351,783,305,174,303,244,46,125,17,2348
210,158,532,424,221,697,460,60,116,595,3264,4406,13437,11449,6596,14636,9747,2444,3799,1244,67751,30,144,132,92,189,223,42,160,12,1020,9,11,10,5,42,59,12,66,4,214,507,1375,1555,1142,6868,6088,1872,2744,186,22326,48,76,85,90,417,503,159,306,18,1711,445,1266,1338,1002,3608,6270,1549,3142,328,18960,143,401,445,337,1817,1604,450,753,42,5989,907,4058,2458,1238,2738,1748,481,767,154,14549,806,3408,1332,463,882,608,154,363,122,8135,1518,2166,2662,1456,5045,4963,1526,2677,321,22335,77,166,116,59,298,285,72,143,14,1223,82,139,222,143,595,585,106,220,19,2108,79,168,174,101,460,359,130,240,21,1725,146,667,602,338,1081,1327,298,682,41,5172,209,974,833,401,1115,720,181,286,60,4775,513,660,797,582,2839,2307,639,796,82,9209,654,2144,2054,1387,2925,2091,892,1567,113,13817,638,2066,2448,1810,2837,1750,418,749,145,12861,200,465,172,123,219,217,58,126,22,1601
