POW_SA4_CODE_2021,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
201,95,65,100,78,51,61,37,82,121,700,8837,14552,9523,9668,8531,6717,3889,7412,1066,70192
202,103,86,93,70,53,52,45,82,139,725,8764,14965,8920,9347,7987,6284,4134,8231,1112,69726
203,136,172,199,136,105,98,84,129,296,1350,15919,30503,18456,18607,15704,12845,7482,12807,2242,134572
204,161,75,123,84,49,71,42,105,185,899,12354,13095,10799,10817,7712,6449,5633,9669,1422,77944
205,276,124,219,128,102,131,79,209,301,1569,16302,19813,16161,15128,12882,10433,6778,13380,2211,113091
206,638,1424,507,426,678,308,145,267,1755,6156,136928,301895,56595,60461,118797,44234,14454,30504,14836,778703
207,137,311,129,134,141,110,26,65,364,1408,21962,51034,13261,19060,20579,14737,2944,8068,2706,154349
208,210,332,237,156,159,136,62,116,441,1851,24343,41564,21063,21993,20181,19153,7544,13154,3116,172105
209,163,279,314,176,189,166,83,156,435,1962,19234,42517,22285,22634,20230,17446,10516,15182,3154,173204
210,165,191,353,131,179,137,138,162,493,1942,19762,26030,25239,17869,21607,14316,17944,17220,3720,163696
211,233,252,341,210,210,159,112,156,477,2144,26026,38536,28417,23210,23923,19711,11794,19207,3503,194328
212,355,445,532,289,302,289,284,299,979,3776,45750,75151,47658,34580,45791,31640,31928,34575,7366,354435
213,262,306,391,276,253,235,317,246,773,3053,30229,51576,34053,31724,31102,27452,35868,27199,6074,275280
214,137,153,213,122,122,115,63,118,270,1307,13165,21924,17018,16147,12385,11975,4692,11241,1972,110525
215,220,76,115,74,65,64,58,120,179,953,12475,10611,7953,8308,6788,5739,4293,9467,1455,67092
216,145,52,104,47,57,50,56,116,147,772,9221,9996,7764,6903,6244,5387,3966,8367,1140,58982
217,212,47,91,63,43,44,68,116,119,803,10656,9194,7314,6970,5418,4977,3941,8342,1053,57849
297,0,0,0,0,0,0,0,0,0,0,6,36,56,13,4,0,28,48,5,194
299,172,157,657,135,86,64,138,283,437,2136,11207,17584,46450,14088,6882,4695,10174,22816,3580,137478
