POW_SA4_CODE_2021,M_USA_OM_UIE,M_USA_CFW,M_USA_ES_NS,M_USA_Tot,M_Vietnam_E,M_Vietnam_OM_IE,M_Vietnam_OM_UIE,M_Vietnam_CFW,M_Vietnam_ES_NS,M_Vietnam_Tot,M_Elsewhere_E,M_Elsewhere_OM_IE,M_Elsewhere_OM_UIE,M_Elsewhere_CFW,M_Elsewhere_ES_NS,M_Elsewhere_Tot,M_COB_NS_E,M_COB_NS_OM_IE,M_COB_NS_OM_UIE,M_COB_NS_CFW,M_COB_NS_ES_NS,M_COB_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_Australia_E,F_Australia_OM_IE,F_Australia_OM_UIE,F_Australia_CFW,F_Australia_ES_NS,F_Australia_Tot,F_Afghanistan_E,F_Afghanistan_OM_IE,F_Afghanistan_OM_UIE,F_Afghanistan_CFW,F_Afghanistan_ES_NS,F_Afghanistan_Tot,F_Bangladesh_E,F_Bangladesh_OM_IE,F_Bangladesh_OM_UIE,F_Bangladesh_CFW,F_Bangladesh_ES_NS,F_Bangladesh_Tot,F_Canada_E,F_Canada_OM_IE,F_Canada_OM_UIE,F_Canada_CFW,F_Canada_ES_NS,F_Canada_Tot,F_China_E,F_China_OM_IE,F_China_OM_UIE,F_China_CFW,F_China_ES_NS,F_China_Tot,F_Croatia_E,F_Croatia_OM_IE,F_Croatia_OM_UIE,F_Croatia_CFW,F_Croatia_ES_NS,F_Croatia_Tot,F_Egypt_E,F_Egypt_OM_IE,F_Egypt_OM_UIE,F_Egypt_CFW,F_Egypt_ES_NS,F_Egypt_Tot,F_Fiji_E,F_Fiji_OM_IE,F_Fiji_OM_UIE,F_Fiji_CFW,F_Fiji_ES_NS,F_Fiji_Tot,F_Germany_E,F_Germany_OM_IE,F_Germany_OM_UIE,F_Germany_CFW,F_Germany_ES_NS,F_Germany_Tot,F_Greece_E,F_Greece_OM_IE,F_Greece_OM_UIE,F_Greece_CFW,F_Greece_ES_NS,F_Greece_Tot,F_HongKong_E,F_HongKong_OM_IE,F_HongKong_OM_UIE,F_HongKong_CFW,F_HongKong_ES_NS,F_HongKong_Tot,F_India_E,F_India_OM_IE,F_India_OM_UIE,F_India_CFW,F_India_ES_NS,F_India_Tot,F_Indonesia_E,F_Indonesia_OM_IE,F_Indonesia_OM_UIE,F_Indonesia_CFW,F_Indonesia_ES_NS,F_Indonesia_Tot,F_Iran_E,F_Iran_OM_IE,F_Iran_OM_UIE,F_Iran_CFW,F_Iran_ES_NS,F_Iran_Tot,F_Iraq_E,F_Iraq_OM_IE,F_Iraq_OM_UIE,F_Iraq_CFW,F_Iraq_ES_NS,F_Iraq_Tot,F_Ireland_E,F_Ireland_OM_IE,F_Ireland_OM_UIE,F_Ireland_CFW,F_Ireland_ES_NS,F_Ireland_Tot,F_Italy_E,F_Italy_OM_IE,F_Italy_OM_UIE,F_Italy_CFW,F_Italy_ES_NS,F_Italy_Tot,F_Japan_E,F_Japan_OM_IE,F_Japan_OM_UIE,F_Japan_CFW,F_Japan_ES_NS,F_Japan_Tot,F_KoreaSouth_E,F_KoreaSouth_OM_IE,F_KoreaSouth_OM_UIE,F_KoreaSouth_CFW,F_KoreaSouth_ES_NS,F_KoreaSouth_Tot,F_Lebanon_E,F_Lebanon_OM_IE,F_Lebanon_OM_UIE,F_Lebanon_CFW,F_Lebanon_ES_NS,F_Lebanon_Tot,F_Malaysia_E,F_Malaysia_OM_IE,F_Malaysia_OM_UIE,F_Malaysia_CFW,F_Malaysia_ES_NS,F_Malaysia_Tot,F_Nepal_E,F_Nepal_OM_IE,F_Nepal_OM_UIE,F_Nepal_CFW,F_Nepal_ES_NS,F_Nepal_Tot,F_Netherlands_E,F_Netherlands_OM_IE,F_Netherlands_OM_UIE,F_Netherlands_CFW,F_Netherlands_ES_NS,F_Netherlands_Tot,F_NZ_E,F_NZ_OM_IE,F_NZ_OM_UIE,F_NZ_CFW,F_NZ_ES_NS,F_NZ_Tot,F_Pakistan_E,F_Pakistan_OM_IE,F_Pakistan_OM_UIE,F_Pakistan_CFW,F_Pakistan_ES_NS,F_Pakistan_Tot,F_Philippines_E,F_Philippines_OM_IE,F_Philippines_OM_UIE,F_Philippines_CFW,F_Philippines_ES_NS,F_Philippines_Tot,F_Poland_E,F_Poland_OM_IE,F_Poland_OM_UIE,F_Poland_CFW,F_Poland_ES_NS,F_Poland_Tot,F_Singapore_E,F_Singapore_OM_IE,F_Singapore_OM_UIE,F_Singapore_CFW,F_Singapore_ES_NS,F_Singapore_Tot,F_SthAfrica_E,F_SthAfrica_OM_IE,F_SthAfrica_OM_UIE,F_SthAfrica_CFW
201,9,0,0,86,50,11,5,3,0,72,427,44,61,16,3,547,199,23,41,7,26,294,26466,3407,2957,728,381,33937,27624,1193,1748,582,216,31360,3,0,0,0,0,3,17,3,0,0,0,25,50,0,9,0,3,59,186,25,24,14,0,249,12,0,4,0,0,12,13,0,0,0,0,16,20,4,0,0,0,27,70,4,6,0,0,86,3,0,3,0,0,3,18,0,0,0,0,24,598,36,16,11,3,653,37,3,0,0,0,40,16,0,3,0,0,20,12,0,0,0,0,13,55,0,0,4,0,62,19,0,5,0,0,22,37,0,10,3,0,52,25,0,0,0,0,25,3,0,0,0,0,3,83,5,9,0,0,96,103,0,0,0,0,103,39,0,9,5,0,57,368,21,30,14,5,430,32,3,6,0,0,34,304,4,7,4,6,322,23,0,0,0,0,25,29,0,6,0,0,38,84,4,11,0
202,11,5,0,79,56,8,3,3,0,71,625,41,45,4,6,721,232,36,36,16,21,337,26962,2932,3025,622,366,33905,27411,1150,1899,588,199,31247,12,0,0,0,0,15,17,0,3,0,0,18,52,3,3,0,0,62,136,23,10,8,0,179,7,0,0,0,0,9,12,3,0,0,0,16,24,0,0,0,0,31,54,4,7,6,0,72,6,0,3,0,0,12,19,0,4,0,0,22,418,24,16,0,0,457,56,0,0,0,0,63,12,0,0,0,0,15,16,0,0,0,0,16,34,4,4,0,0,42,20,0,3,0,0,21,18,0,7,0,0,27,28,0,0,0,0,27,5,0,0,0,0,9,111,5,17,0,0,127,57,0,0,0,0,56,32,3,10,0,0,47,313,19,41,5,5,378,23,0,0,0,0,29,360,3,9,0,0,379,13,0,0,0,0,14,25,4,3,0,0,24,116,7,5,6
203,13,5,0,207,181,18,28,8,4,244,1482,155,133,26,18,1814,311,48,34,8,26,429,51178,6450,5194,788,545,64153,51067,2169,3346,784,279,57645,43,0,0,0,0,48,57,0,0,0,0,63,176,13,10,4,6,204,387,56,50,25,0,518,132,4,6,9,0,148,32,0,4,0,0,35,71,0,0,0,0,71,158,13,26,6,0,202,31,0,3,5,0,45,75,8,5,3,0,84,1521,56,31,15,7,1634,108,4,7,4,0,122,94,6,5,0,0,108,33,8,0,0,4,45,158,10,16,0,0,175,121,6,11,0,0,139,62,0,11,0,0,71,67,3,4,0,0,78,15,3,4,3,0,19,231,13,15,0,0,259,159,0,0,0,0,156,102,8,13,0,0,126,803,37,67,12,0,921,81,5,0,0,0,91,843,0,13,4,3,864,70,7,4,0,4,88,84,6,5,0,0,94,272,13,27,3
204,9,7,0,119,70,4,8,0,3,82,550,55,51,20,16,696,333,40,55,24,44,492,30143,3505,4065,1219,519,39451,28404,1508,2300,996,295,33504,5,0,0,0,0,5,11,3,0,0,0,13,70,5,6,0,0,84,116,22,17,7,0,164,13,0,5,0,0,12,11,0,0,0,0,12,34,0,0,0,0,34,106,8,14,9,0,134,6,6,3,0,0,13,31,3,0,0,0,39,400,14,4,6,3,432,39,0,3,0,0,42,17,0,0,0,0,17,9,0,0,0,0,9,50,0,3,0,0,56,40,0,7,7,3,70,34,0,3,7,0,39,11,0,0,0,0,18,3,0,0,0,0,3,55,7,3,5,0,71,85,0,0,0,0,84,57,7,15,4,0,78,407,36,38,9,10,494,14,0,0,0,0,20,315,0,8,3,0,337,12,0,0,0,0,7,22,0,4,0,0,24,101,15,8,0
205,10,5,0,127,101,15,10,0,0,130,734,79,94,23,9,946,501,81,95,33,64,777,41969,4843,6096,1431,886,55220,42483,1875,3547,1231,539,49678,10,0,0,0,0,13,19,4,4,0,0,21,82,4,14,0,0,104,194,36,28,22,3,281,26,0,0,0,0,26,20,0,0,0,0,25,46,0,0,0,0,43,133,13,35,13,5,193,3,5,4,0,0,12,35,0,3,5,0,43,563,29,20,8,3,627,64,5,7,0,0,73,16,0,4,0,0,20,8,0,0,0,0,8,68,3,5,9,0,83,69,10,8,4,0,88,29,8,6,0,0,40,34,3,0,0,0,37,4,0,0,0,0,7,148,10,13,3,0,173,46,0,0,0,0,50,118,14,27,8,3,174,635,51,75,27,12,800,25,0,7,0,0,44,645,5,7,4,10,675,34,0,4,0,0,47,38,0,0,0,0,42,170,7,18,5
206,148,13,5,2857,4507,325,224,69,38,5166,22276,1476,1263,169,158,25337,747,76,47,29,82,979,352325,25927,16352,2256,1590,398447,208179,6218,7861,1109,546,223904,253,3,5,5,3,263,726,9,12,0,3,753,1468,38,73,3,0,1591,13815,908,459,318,54,15555,491,22,24,5,3,544,543,25,17,3,5,590,1007,21,13,5,4,1041,1400,55,70,4,5,1536,1099,56,59,25,12,1254,2631,83,87,18,7,2818,23007,250,189,65,83,23594,3023,59,59,21,10,3158,1402,55,42,22,8,1526,413,19,12,0,3,452,2134,21,38,3,4,2208,1779,74,93,32,14,1998,1437,42,100,13,7,1604,1914,88,106,14,12,2136,521,33,40,11,5,611,6971,195,194,34,11,7406,2351,13,12,8,5,2391,503,16,15,9,0,551,9543,209,327,39,17,10136,889,16,25,13,0,944,7595,39,56,17,18,7730,945,36,58,7,3,1044,2118,32,49,8,0,2213,2787,69,84,21
207,23,8,0,345,636,104,66,20,3,829,2683,366,251,28,16,3341,139,14,17,4,11,191,53824,9045,5382,1038,323,69615,45248,2148,2587,456,125,50561,67,3,0,0,0,70,101,8,4,3,0,118,195,12,18,0,0,220,5379,1062,487,431,50,7413,76,9,12,0,0,94,116,10,13,3,0,145,153,8,11,3,3,175,207,12,10,3,0,235,314,23,27,12,0,376,1005,78,71,18,8,1184,3291,104,99,31,19,3549,474,26,30,13,0,541,563,59,56,36,4,718,60,3,0,0,0,66,221,11,9,0,0,239,319,30,22,15,6,386,252,9,34,0,0,301,506,37,61,14,5,625,76,9,13,4,0,105,1895,132,134,28,10,2201,581,7,3,0,4,596,94,4,5,0,0,109,1191,62,66,10,0,1332,169,16,10,0,0,192,1023,20,26,5,4,1074,169,14,14,3,3,198,462,27,44,10,3,538,683,33,44,5
208,47,4,3,489,1062,100,64,19,6,1263,4270,943,632,112,49,6000,188,31,29,4,31,281,62488,11852,6834,1184,482,82836,46516,3156,3838,702,178,54394,97,0,0,0,0,105,110,3,4,0,0,118,236,33,34,4,0,299,2824,498,226,215,17,3790,100,8,13,4,0,122,103,11,6,0,0,130,244,11,8,3,0,265,255,22,52,10,5,345,336,26,40,6,5,409,384,11,31,3,0,438,3817,140,103,32,23,4122,440,18,24,4,0,489,211,16,12,7,4,250,29,4,0,4,0,38,402,28,30,0,0,473,279,25,26,9,12,348,313,12,45,0,0,373,375,23,31,14,0,442,77,9,16,3,0,113,898,70,61,16,8,1049,621,0,3,0,0,625,113,9,16,6,0,142,1522,97,150,21,11,1802,129,3,6,3,0,142,1564,15,33,6,10,1629,231,40,42,12,3,334,264,15,28,3,0,309,1118,113,181,22
209,20,0,0,272,1363,133,116,25,17,1652,4130,594,539,91,48,5399,236,39,22,4,36,345,63910,10223,7165,1023,639,82955,54063,2358,3489,605,242,60759,38,0,0,0,0,43,122,8,8,0,0,140,167,15,15,4,0,200,1788,272,172,114,14,2361,135,14,12,3,0,158,175,9,11,0,0,205,261,6,3,4,0,273,190,18,21,0,0,232,366,28,34,11,0,441,277,17,24,0,0,313,4385,199,160,46,30,4812,262,10,21,4,3,296,402,20,29,9,0,470,374,26,24,10,6,436,223,17,11,3,0,252,608,50,59,26,8,744,147,0,21,0,0,172,226,10,28,0,0,266,248,26,24,7,7,311,767,39,56,3,4,867,775,5,5,0,3,791,70,4,9,4,0,91,1179,44,90,10,9,1326,233,18,23,5,0,276,1430,11,33,6,0,1482,145,12,14,0,0,166,211,11,17,4,0,246,367,24,42,0
210,11,0,0,245,1741,94,100,24,14,1964,6508,892,700,96,88,8284,357,61,21,7,40,486,78480,9671,6180,920,697,95945,39265,1705,2071,555,195,43792,48,0,0,0,0,46,115,14,8,4,0,138,115,5,4,5,0,130,868,107,72,44,3,1096,132,18,3,7,0,163,175,18,15,7,0,219,285,7,6,10,0,305,148,6,15,0,4,168,184,24,14,5,0,223,114,10,9,0,0,130,3542,193,136,48,31,3957,164,7,6,0,5,182,192,16,13,0,0,224,830,56,83,15,10,992,140,14,10,0,0,161,515,44,42,12,13,622,94,3,13,3,0,110,80,4,7,0,0,90,341,37,56,14,6,458,330,20,30,5,0,385,592,13,9,0,6,618,44,3,0,0,0,53,1191,38,55,9,5,1301,308,34,89,17,0,445,1315,24,26,6,8,1382,133,6,0,0,0,139,160,8,10,0,0,179,181,16,12,0
