POW_SA4_CODE_2021,M_15_19_E,M_15_19_OM_IE,M_15_19_OM_UIE,M_15_19_CFW,M_15_19_SE_NS,M_15_19_Total,M_20_24_E,M_20_24_OM_IE,M_20_24_OM_UIE,M_20_24_CFW,M_20_24_ES_NS,M_20_24_Total,M_25_29_E,M_25_29_OM_IE,M_25_29_OM_UIE,M_25_29_CFW,M_25_29_ES_NS,M_25_29_Total,M_30_34_E,M_30_34_OM_IE,M_30_34_OM_UIE,M_30_34_CFW,M_30_34_ES_NS,M_30_34_Total,M_35_39_E,M_35_39_OM_IE,M_35_39_OM_UIE,M_35_39_CFW,M_35_39_ES_NS,M_35_39_Total,M_40_44_E,M_40_44_OM_IE,M_40_44_OM_UIE,M_40_44_CFW,M_40_44_ES_NS,M_40_44_Total,M_45_49_E,M_45_49_OM_IE,M_45_49_OM_UIE,M_45_49_CFW,M_45_49_ES_NS,M_45_49_Total,M_50_54_E,M_50_54_OM_IE,M_50_54_OM_UIE,M_50_54_CFW,M_50_54_ES_NS,M_50_54_Total,M_55_59_E,M_55_59_OM_IE,M_55_59_OM_UIE,M_55_59_CFW,M_55_59_ES_NS,M_55_59_Total,M_60_64_E,M_60_64_OM_IE,M_60_64_OM_UIE,M_60_64_CFW,M_60_64_ES_NS,M_60_64_Total,M_65_69_E,M_65_69_OM_IE,M_65_69_OM_UIE,M_65_69_CFW,M_65_69_ES_NS,M_65_69_Total,M_70_74_E,M_70_74_OM_IE,M_70_74_OM_UIE,M_70_74_CFW,M_70_74_ES_NS,M_70_74_Total,M_75ov_E,M_75ov_OM_IE,M_75ov_OM_UIE,M_75ov_CFW,M_75ov_ES_NS,M_75ov_Total,M_Total_E,M_Total_OM_IE,M_Total_OM_UIE,M_Total_CFW,M_Total_ES_NS,M_Total_Total,F_15_19_E,F_15_19_OM_IE,F_15_19_OM_UIE,F_15_19_CFW,F_15_19_ES_NS,F_15_19_Total,F_20_24_E,F_20_24_OM_IE,F_20_24_OM_UIE,F_20_24_CFW,F_20_24_ES_NS,F_20_24_Total,F_25_29_E,F_25_29_OM_IE,F_25_29_OM_UIE,F_25_29_CFW,F_25_29_ES_NS,F_25_29_Total,F_30_34_E,F_30_34_OM_IE,F_30_34_OM_UIE,F_30_34_CFW,F_30_34_ES_NS,F_30_34_Total,F_35_39_E,F_35_39_OM_IE,F_35_39_OM_UIE,F_35_39_CFW,F_35_39_ES_NS,F_35_39_Total,F_40_44_E,F_40_44_OM_IE,F_40_44_OM_UIE,F_40_44_CFW,F_40_44_ES_NS,F_40_44_Total,F_45_49_E,F_45_49_OM_IE,F_45_49_OM_UIE,F_45_49_CFW,F_45_49_ES_NS,F_45_49_Total,F_50_54_E,F_50_54_OM_IE,F_50_54_OM_UIE,F_50_54_CFW,F_50_54_ES_NS,F_50_54_Total,F_55_59_E,F_55_59_OM_IE,F_55_59_OM_UIE,F_55_59_CFW,F_55_59_ES_NS,F_55_59_Total,F_60_64_E,F_60_64_OM_IE,F_60_64_OM_UIE,F_60_64_CFW,F_60_64_ES_NS,F_60_64_Total,F_65_69_E,F_65_69_OM_IE,F_65_69_OM_UIE,F_65_69_CFW,F_65_69_ES_NS,F_65_69_Total,F_70_74_E,F_70_74_OM_IE,F_70_74_OM_UIE,F_70_74_CFW,F_70_74_ES_NS,F_70_74_Total,F_75ov_E,F_75ov_OM_IE,F_75ov_OM_UIE,F_75ov_CFW,F_75ov_ES_NS,F_75ov_Total,F_Total_E,F_Total_OM_IE,F_Total_OM_UIE,F_Total_CFW,F_Total_ES_NS,F_Total_Total,P_15_19_E,P_15_19_OM_IE,P_15_19_OM_UIE,P_15_19_CFW,P_15_19_ES_NS,P_15_19_Total,P_20_24_E,P_20_24_OM_IE,P_20_24_OM_UIE,P_20_24_CFW,P_20_24_ES_NS,P_20_24_Total,P_25_29_E,P_25_29_OM_IE,P_25_29_OM_UIE,P_25_29_CFW,P_25_29_ES_NS,P_25_29_Total,P_30_34_E,P_30_34_OM_IE,P_30_34_OM_UIE,P_30_34_CFW,P_30_34_ES_NS,P_30_34_Total,P_35_39_E,P_35_39_OM_IE,P_35_39_OM_UIE,P_35_39_CFW,P_35_39_ES_NS,P_35_39_Total,P_40_44_E,P_40_44_OM_IE
201,2131,4,11,30,23,2192,3040,25,83,11,22,3167,3156,128,199,16,28,3528,2998,279,224,20,17,3532,2625,380,266,31,25,3326,2436,414,267,51,19,3187,2523,480,326,63,32,3428,2409,488,354,65,48,3360,2285,434,355,87,48,3206,1764,375,379,99,48,2667,783,220,248,69,30,1351,249,133,152,80,20,626,74,66,107,109,19,372,26466,3407,2957,728,381,33937,2388,4,3,12,15,2423,3262,5,50,9,11,3340,3539,36,108,14,14,3721,3214,90,204,39,15,3572,3182,165,235,58,15,3652,3142,184,234,76,19,3656,3298,211,290,64,27,3894,3340,203,239,70,26,3875,3069,205,245,93,33,3640,2288,133,230,102,42,2793,799,84,145,69,17,1121,204,46,74,59,8,390,56,31,36,43,17,175,31794,1418,2081,700,261,36258,4521,9,12,43,35,4621,6296,30,130,23,34,6506,6698,167,306,29,41,7240,6211,371,419,65,37,7101,5810,547,502,86,47,6984,5583,598
202,2109,0,14,17,13,2153,2951,21,50,17,20,3056,3129,72,168,3,19,3393,3037,192,220,17,21,3493,2766,324,256,30,27,3400,2539,374,294,41,27,3265,2529,408,326,43,26,3336,2523,432,379,52,45,3435,2280,377,385,58,46,3143,1963,336,382,89,38,2805,823,214,288,88,33,1452,235,110,160,81,18,603,73,74,104,94,34,375,26962,2932,3025,622,366,33905,2387,6,6,19,11,2430,3008,11,55,7,13,3098,3296,27,99,19,14,3452,3221,86,173,41,12,3528,3177,141,246,53,20,3633,3109,181,279,50,28,3648,3373,202,295,62,24,3960,3200,230,291,66,17,3808,3128,183,263,82,35,3693,2287,129,256,82,28,2781,883,103,143,66,13,1207,181,45,78,61,15,387,52,23,51,49,13,190,31293,1374,2235,669,246,35816,4493,7,21,39,15,4580,5965,31,105,25,33,6154,6426,96,270,23,32,6848,6258,277,391,60,34,7022,5943,467,497,87,47,7032,5644,553
203,3888,17,18,27,18,3970,6121,57,164,19,35,6387,6554,266,412,21,41,7291,5954,563,523,28,49,7121,5634,817,543,51,53,7095,4814,828,525,58,52,6286,4735,926,573,74,53,6365,4427,858,571,59,58,5963,4062,767,554,87,46,5523,3001,615,585,82,58,4334,1409,402,370,94,38,2306,405,227,231,89,25,978,170,108,121,92,30,529,51178,6450,5194,788,545,64153,4533,10,23,20,17,4602,6735,16,109,17,16,6900,7078,74,257,30,25,7474,6938,230,476,75,25,7750,6801,330,523,114,48,7809,6316,346,539,110,42,7353,6531,432,518,114,33,7624,5999,423,501,108,41,7073,5491,348,423,93,41,6395,3919,232,351,106,31,4647,1466,154,208,83,15,1934,357,84,111,76,11,640,90,28,43,51,20,231,62250,2720,4090,993,372,70425,8418,26,47,49,35,8578,12855,75,269,40,52,13282,13634,343,671,50,66,14765,12893,794,1001,107,77,14870,12430,1149,1068,166,93,14911,11131,1174
204,2639,5,13,27,17,2706,3263,16,66,11,25,3379,3306,118,205,17,25,3666,3077,247,268,18,31,3642,2857,313,317,27,32,3542,2711,361,307,64,31,3480,2820,434,368,70,43,3734,2831,527,452,90,51,3948,2776,498,492,127,62,3956,2275,449,533,147,70,3471,1100,288,465,181,60,2091,354,155,311,210,26,1057,127,97,276,228,62,783,30143,3505,4065,1219,519,39451,2607,4,9,28,20,2665,2970,12,36,6,20,3048,3180,36,118,14,19,3376,3123,112,196,45,16,3489,3157,169,250,69,24,3677,3062,231,262,81,26,3664,3420,257,323,95,39,4126,3553,288,311,118,42,4303,3348,241,284,129,35,4036,2703,232,345,152,34,3465,1074,121,257,162,27,1646,271,68,161,131,21,647,75,39,100,108,31,355,32539,1800,2665,1139,354,38492,5242,9,22,58,35,5366,6233,28,105,16,43,6422,6492,156,320,32,48,7040,6203,352,466,58,46,7133,6013,482,567,101,57,7218,5771,595
205,3432,8,20,40,34,3528,4258,42,114,24,43,4481,4680,145,340,22,43,5228,4424,360,400,40,53,5273,4261,486,518,68,73,5404,3730,553,515,73,58,4934,3759,642,614,87,77,5186,4038,690,667,113,80,5594,4025,586,760,130,96,5592,3319,575,820,188,114,5007,1400,401,631,231,84,2749,463,226,372,198,60,1310,183,132,323,224,77,932,41969,4843,6096,1431,886,55220,3818,4,15,26,38,3897,4391,16,96,14,24,4538,4971,56,243,47,39,5355,4920,170,394,97,49,5636,4869,254,436,111,54,5730,4660,247,393,114,54,5470,5137,302,497,120,85,6142,5361,392,500,137,66,6448,5069,324,501,168,69,6135,3981,254,495,193,73,5002,1524,174,333,183,46,2255,374,93,223,122,35,847,90,42,117,139,46,430,49164,2326,4243,1465,673,57877,7243,10,35,64,68,7420,8652,52,213,37,70,9021,9648,201,583,63,80,10580,9348,538,791,134,100,10906,9127,739,955,179,130,11137,8390,801
206,6003,19,67,55,34,6176,29085,282,577,79,105,30128,49284,877,1425,89,160,51836,55535,2412,2051,174,203,60373,55950,3590,1997,240,212,61992,45638,3662,1807,226,158,51497,35682,3590,1855,211,160,41500,29424,3508,1694,250,133,35008,22194,3029,1573,218,124,27146,14573,2152,1338,196,102,18365,6137,1409,974,196,72,8785,2075,903,586,167,46,3778,733,500,401,160,75,1866,352325,25927,16352,2256,1590,398447,7500,12,72,38,25,7649,33737,83,443,47,62,34381,56409,397,1135,102,112,58148,59836,973,1631,206,174,62819,53234,1433,1725,281,155,56830,40230,1464,1562,272,101,43627,33255,1505,1463,249,109,36582,28166,1480,1314,231,103,31303,20832,1102,1083,223,120,23359,13374,808,825,191,87,15283,5610,514,520,152,49,6840,1757,310,309,113,33,2522,468,139,144,101,65,915,354419,10214,12232,2204,1190,380255,13504,32,139,89,60,13825,62818,372,1025,125,168,64509,105691,1275,2553,188,268,109988,115370,3383,3680,387,375,123194,109188,5025,3726,520,369,118827,85872,5121
207,3093,8,66,29,0,3190,6405,78,235,35,26,6770,7022,222,401,36,28,7713,7090,681,485,69,24,8357,6449,957,548,116,31,8101,5475,1058,486,106,23,7152,4883,1272,513,103,29,6810,4559,1311,593,131,35,6631,3808,1230,598,86,33,5752,2856,963,578,103,32,4532,1360,642,443,78,24,2544,550,383,261,73,9,1278,273,238,174,87,15,786,53824,9045,5382,1038,323,69615,4144,5,42,15,6,4209,8001,27,177,18,25,8243,9098,112,263,29,24,9524,8995,372,395,120,27,9915,8280,538,504,164,25,9516,7078,607,507,167,41,8391,7497,731,589,185,32,9031,7425,739,619,150,32,8964,6317,529,511,124,44,7522,4583,367,405,105,28,5477,1936,245,235,67,14,2500,613,139,142,65,9,971,224,77,98,58,14,473,74184,4494,4491,1259,312,84739,7233,14,104,42,6,7396,14402,100,417,46,51,15013,16126,338,664,63,46,17236,16088,1056,881,185,54,18272,14730,1499,1052,280,58,17621,12545,1663
208,4201,8,50,28,17,4302,8153,74,224,28,29,8512,8206,319,481,33,36,9066,7553,736,592,60,45,8986,6823,1253,588,77,46,8793,5766,1391,625,100,52,7933,5778,1598,781,143,61,8357,5376,1791,853,130,42,8199,4631,1619,807,115,46,7215,3446,1309,775,122,45,5699,1656,889,538,130,17,3231,635,549,327,106,16,1637,257,323,191,108,29,912,62488,11852,6834,1184,482,82836,5332,8,39,17,11,5406,9567,23,213,15,31,9847,8878,103,310,22,31,9342,8163,321,477,102,37,9103,7592,586,699,158,45,9084,6854,697,797,168,25,8543,7572,957,912,145,41,9625,7774,901,932,167,39,9801,6520,698,703,159,44,8121,4648,463,579,143,31,5860,2089,292,324,114,26,2853,755,167,190,85,19,1220,229,77,78,63,21,459,75985,5293,6259,1356,385,89271,9537,17,86,43,25,9708,17724,99,436,45,59,18358,17083,418,785,51,68,18408,15719,1058,1065,164,80,18087,14418,1843,1288,232,92,17876,12619,2096
209,4265,16,42,31,18,4375,7698,126,271,37,38,8168,8301,404,648,27,69,9460,7913,937,860,62,68,9851,7345,1282,878,111,62,9677,6109,1360,801,126,63,8459,5800,1382,775,101,57,8115,5462,1406,786,113,55,7829,4827,1244,715,118,68,6961,3688,997,645,107,60,5487,1726,584,406,86,36,2837,549,289,212,57,27,1130,221,193,124,57,16,605,63910,10223,7165,1023,639,82955,5311,15,38,9,14,5388,8552,34,209,23,25,8842,9296,101,345,57,25,9829,9698,311,592,117,37,10761,8704,488,766,160,35,10154,7935,574,756,132,52,9454,8273,553,682,107,38,9652,7971,573,600,99,48,9289,6716,458,506,105,39,7822,4812,336,351,110,35,5654,1941,197,209,72,17,2432,445,102,82,36,12,684,146,60,43,25,18,285,79803,3800,5186,1058,401,90245,9578,35,80,46,28,9769,16256,162,478,53,59,17011,17597,504,994,84,98,19285,17615,1250,1453,176,112,20605,16043,1774,1641,271,99,19833,14039,1939
210,3792,14,29,31,18,3876,8081,129,274,38,39,8558,9704,483,633,33,75,10926,9849,978,789,56,75,11750,9599,1355,786,90,111,11944,8011,1254,705,93,73,10140,7746,1307,693,104,69,9915,7663,1336,671,115,74,9851,6723,1178,635,101,63,8704,4709,836,498,82,59,6181,1901,433,254,73,30,2690,509,228,144,62,14,956,184,145,72,47,13,460,78480,9671,6180,920,697,95945,3823,8,24,17,13,3882,6305,28,123,18,28,6508,6987,98,251,54,27,7419,7201,245,380,132,43,8002,6834,382,527,138,42,7935,6330,410,476,119,40,7374,6418,403,424,106,30,7385,6315,446,417,115,40,7337,5050,397,328,76,34,5884,3302,251,209,69,31,3868,1204,123,123,66,18,1535,303,69,38,32,14,456,84,34,25,30,8,170,60162,2906,3354,951,375,67751,7617,20,49,48,29,7760,14388,161,395,48,63,15069,16692,589,884,86,100,18344,17053,1222,1171,190,121,19752,16437,1738,1316,221,152,19873,14339,1663
