POW_SA4_CODE_2021,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000_3499_Mng,Tot_3000_3499_Pro,Tot_3000_3499_TecTW,Tot_3000_3499_CoPSW,Tot_3000_3499_ClAW,Tot_3000_3499_SWks,Tot_3000_3499_MaOpDv,Tot_3000_3499_Lab,Tot_3000_3499_IDNS,Tot_3000_3499_Tot,Tot_3500mo_Mng,Tot_3500mo_Pro,Tot_3500mo_TecTW,Tot_3500mo_CoPSW,Tot_3500mo_ClAW,Tot_3500mo_SWks,Tot_3500mo_MaOpDv,Tot_3500mo_Lab,Tot_3500mo_IDNS,Tot_3500mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
201,3,8,12,15,6,0,0,0,0,57,0,11,8,7,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,3,0,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,7,13,0,12,5,10,7,57,115,208,715,1344,300,1857,89,1069,78,5777
202,3,10,11,11,9,5,0,0,0,55,0,8,7,3,7,0,0,0,0,25,0,3,0,0,0,0,0,0,0,3,0,6,7,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,9,9,0,15,0,8,5,56,104,170,708,1124,256,1736,122,1140,85,5448
203,14,30,39,24,11,10,10,3,3,139,6,15,14,10,11,0,0,3,0,56,0,7,4,3,0,0,0,0,0,12,4,3,10,9,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,14,0,3,14,17,5,38,0,17,9,105,221,430,1526,3002,610,4089,352,2331,135,12690
204,3,12,20,13,0,0,6,3,0,67,5,8,5,8,0,0,4,0,0,32,0,3,9,8,0,0,0,0,0,18,5,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,4,0,4,9,0,11,0,5,11,50,105,153,915,1248,231,1498,101,1113,103,5467
205,11,23,20,21,11,0,0,9,0,104,3,15,15,11,0,0,0,3,0,46,0,7,3,5,0,0,0,0,0,20,3,4,6,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,4,16,24,0,27,0,13,14,98,169,260,1170,1637,358,2539,101,1475,136,7839
206,75,472,137,106,244,51,19,37,16,1147,50,220,59,62,107,26,8,9,11,550,20,84,32,34,37,11,0,10,4,231,17,56,18,39,28,13,4,12,7,194,3,16,8,15,10,7,0,0,0,62,7,8,4,34,8,10,0,7,3,87,8,36,42,67,37,67,6,26,102,384,1167,5610,3490,10374,6248,9031,918,5276,815,42923
207,15,50,20,23,28,8,0,7,7,162,13,18,11,18,11,4,3,5,6,81,0,7,4,4,4,0,0,5,0,22,0,9,5,7,4,0,0,0,0,28,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,9,10,17,11,31,0,14,37,119,388,1418,985,3908,1428,4955,281,2104,188,15651
208,18,36,34,40,18,21,7,13,7,182,10,14,18,24,13,6,0,6,5,87,0,7,9,11,7,0,0,0,0,27,0,13,8,9,0,3,0,4,0,36,0,0,0,5,0,7,0,0,0,19,0,0,4,12,3,12,0,0,0,31,3,13,12,42,9,55,0,21,35,186,396,1081,1659,4819,1423,6473,490,2718,220,19274
209,12,46,39,33,21,12,7,4,6,169,4,13,27,17,9,4,0,0,0,72,3,0,7,4,4,3,5,0,0,27,0,4,4,4,5,0,0,3,0,20,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,8,22,14,10,46,0,21,38,158,366,804,1697,3208,1042,5978,440,2755,231,16537
210,13,25,39,13,17,11,24,11,4,157,3,5,20,15,6,3,5,4,0,76,7,0,0,11,0,0,0,0,0,24,0,4,4,6,0,0,0,4,0,13,0,0,3,0,0,0,0,0,0,9,0,3,4,7,0,0,0,0,4,16,3,5,34,12,3,37,7,24,38,158,256,499,1737,2015,779,4098,777,2294,231,12681
