POW_SA4_CODE_2021,OIDNS_400_499_H_0,OIDNS_400_499_H_1_19,OIDNS_400_499_H_20_29,OIDNS_400_499_H_30_34,OIDNS_400_499_H_35_39,OIDNS_400_499_H_40_44,OIDNS_400_499_H_45_49,OIDNS_400_499_H_50ov,OIDNS_400_499_H_NS,OIDNS_400_499_H_Tot,OIDNS_500_649_H_0,OIDNS_500_649_H_1_19,OIDNS_500_649_H_20_29,OIDNS_500_649_H_30_34,OIDNS_500_649_H_35_39,OIDNS_500_649_H_40_44,OIDNS_500_649_H_45_49,OIDNS_500_649_H_50ov,OIDNS_500_649_H_NS,OIDNS_500_649_H_Tot,OIDNS_650_799_H_0,OIDNS_650_799_H_1_19,OIDNS_650_799_H_20_29,OIDNS_650_799_H_30_34,OIDNS_650_799_H_35_39,OIDNS_650_799_H_40_44,OIDNS_650_799_H_45_49,OIDNS_650_799_H_50ov,OIDNS_650_799_H_NS,OIDNS_650_799_H_Tot,OIDNS_800_999_H_0,OIDNS_800_999_H_1_19,OIDNS_800_999_H_20_29,OIDNS_800_999_H_30_34,OIDNS_800_999_H_35_39,OIDNS_800_999_H_40_44,OIDNS_800_999_H_45_49,OIDNS_800_999_H_50ov,OIDNS_800_999_H_NS,OIDNS_800_999_H_Tot,OIDNS_1000_1249_H_0,OIDNS_1000_1249_H_1_19,OIDNS_1000_1249_H_20_29,OIDNS_1000_1249_H_30_34,OIDNS_1000_1249_H_35_39,OIDNS_1000_1249_H_40_44,OIDNS_1000_1249_H_45_49,OIDNS_1000_1249_H_50ov,OIDNS_1000_1249_H_NS,OIDNS_1000_1249_H_Tot,OIDNS_1250_1499_H_0,OIDNS_1250_1499_H_1_19,OIDNS_1250_1499_H_20_29,OIDNS_1250_1499_H_30_34,OIDNS_1250_1499_H_35_39,OIDNS_1250_1499_H_40_44,OIDNS_1250_1499_H_45_49,OIDNS_1250_1499_H_50ov,OIDNS_1250_1499_H_NS,OIDNS_1250_1499_H_Tot,OIDNS_1500_1749_H_0,OIDNS_1500_1749_H_1_19,OIDNS_1500_1749_H_20_29,OIDNS_1500_1749_H_30_34,OIDNS_1500_1749_H_35_39,OIDNS_1500_1749_H_40_44,OIDNS_1500_1749_H_45_49,OIDNS_1500_1749_H_50ov,OIDNS_1500_1749_H_NS,OIDNS_1500_1749_H_Tot,OIDNS_1750_1999_H_0,OIDNS_1750_1999_H_1_19,OIDNS_1750_1999_H_20_29,OIDNS_1750_1999_H_30_34,OIDNS_1750_1999_H_35_39,OIDNS_1750_1999_H_40_44,OIDNS_1750_1999_H_45_49,OIDNS_1750_1999_H_50ov,OIDNS_1750_1999_H_NS,OIDNS_1750_1999_H_Tot,OIDNS_2000_2999_H_0,OIDNS_2000_2999_H_1_19,OIDNS_2000_2999_H_20_29,OIDNS_2000_2999_H_30_34,OIDNS_2000_2999_H_35_39,OIDNS_2000_2999_H_40_44,OIDNS_2000_2999_H_45_49,OIDNS_2000_2999_H_50ov,OIDNS_2000_2999_H_NS,OIDNS_2000_2999_H_Tot,OIDNS_3000_3499_H_0,OIDNS_3000_3499_H_1_19,OIDNS_3000_3499_H_20_29,OIDNS_3000_3499_H_30_34,OIDNS_3000_3499_H_35_39,OIDNS_3000_3499_H_40_44,OIDNS_3000_3499_H_45_49,OIDNS_3000_3499_H_50ov,OIDNS_3000_3499_H_NS,OIDNS_3000_3499_H_Tot,OIDNS_3500mo_H_0,OIDNS_3500mo_H_1_19,OIDNS_3500mo_H_20_29,OIDNS_3500mo_H_30_34,OIDNS_3500mo_H_35_39,OIDNS_3500mo_H_40_44,OIDNS_3500mo_H_45_49,OIDNS_3500mo_H_50ov,OIDNS_3500mo_H_NS,OIDNS_3500mo_H_Tot,OIDNS_PINS_H_0,OIDNS_PINS_H_1_19,OIDNS_PINS_H_20_29,OIDNS_PINS_H_30_34,OIDNS_PINS_H_35_39,OIDNS_PINS_H_40_44,OIDNS_PINS_H_45_49,OIDNS_PINS_H_50ov,OIDNS_PINS_H_NS,OIDNS_PINS_H_Tot,OIDNS_Tot_H_0,OIDNS_Tot_H_1_19,OIDNS_Tot_H_20_29,OIDNS_Tot_H_30_34,OIDNS_Tot_H_35_39,OIDNS_Tot_H_40_44,OIDNS_Tot_H_45_49,OIDNS_Tot_H_50ov,OIDNS_Tot_H_NS,OIDNS_Tot_H_Tot,Tot_NNI_H_0,Tot_NNI_H_1_19,Tot_NNI_H_20_29,Tot_NNI_H_30_34,Tot_NNI_H_35_39,Tot_NNI_H_40_44,Tot_NNI_H_45_49,Tot_NNI_H_50ov,Tot_NNI_H_NS,Tot_NNI_H_Tot,Tot_1_149_H_0,Tot_1_149_H_1_19,Tot_1_149_H_20_29,Tot_1_149_H_30_34,Tot_1_149_H_35_39,Tot_1_149_H_40_44,Tot_1_149_H_45_49,Tot_1_149_H_50ov,Tot_1_149_H_NS,Tot_1_149_H_Tot,Tot_150_299_H_0,Tot_150_299_H_1_19,Tot_150_299_H_20_29,Tot_150_299_H_30_34,Tot_150_299_H_35_39,Tot_150_299_H_40_44,Tot_150_299_H_45_49,Tot_150_299_H_50ov,Tot_150_299_H_NS,Tot_150_299_H_Tot,Tot_300_399_H_0,Tot_300_399_H_1_19,Tot_300_399_H_20_29,Tot_300_399_H_30_34,Tot_300_399_H_35_39,Tot_300_399_H_40_44,Tot_300_399_H_45_49,Tot_300_399_H_50ov,Tot_300_399_H_NS,Tot_300_399_H_Tot,Tot_400_499_H_0,Tot_400_499_H_1_19,Tot_400_499_H_20_29,Tot_400_499_H_30_34,Tot_400_499_H_35_39,Tot_400_499_H_40_44,Tot_400_499_H_45_49,Tot_400_499_H_50ov,Tot_400_499_H_NS,Tot_400_499_H_Tot,Tot_500_649_H_0,Tot_500_649_H_1_19,Tot_500_649_H_20_29,Tot_500_649_H_30_34,Tot_500_649_H_35_39,Tot_500_649_H_40_44,Tot_500_649_H_45_49,Tot_500_649_H_50ov,Tot_500_649_H_NS,Tot_500_649_H_Tot,Tot_650_799_H_0,Tot_650_799_H_1_19,Tot_650_799_H_20_29,Tot_650_799_H_30_34,Tot_650_799_H_35_39,Tot_650_799_H_40_44,Tot_650_799_H_45_49,Tot_650_799_H_50ov,Tot_650_799_H_NS,Tot_650_799_H_Tot
201,5,10,3,0,0,4,0,0,26,64,7,12,13,8,7,3,0,5,16,81,4,6,14,12,13,6,0,5,15,83,3,4,6,3,30,15,3,3,22,96,7,3,10,5,37,32,3,16,25,129,0,4,5,3,19,29,4,14,15,99,3,4,6,3,16,10,8,9,12,61,3,0,0,0,12,16,6,8,6,56,4,0,0,0,8,13,4,14,5,59,0,0,0,0,4,5,0,0,0,8,9,4,0,0,8,3,5,3,3,35,3,8,4,0,12,13,3,4,73,121,79,109,64,48,157,161,40,102,309,1066,66,133,51,30,25,35,13,81,35,464,359,1875,66,16,7,24,0,33,48,2434,262,1602,230,42,40,41,13,48,52,2331,277,1397,417,107,78,85,19,91,76,2545,248,1451,801,163,201,186,44,117,82,3278,450,1583,1790,603,472,367,78,218,88,5650,401,1213,1767,1101,1246,747,168,312,91,7046
202,4,11,6,0,0,0,0,0,26,49,3,23,8,8,10,6,0,6,23,86,6,16,10,12,18,10,0,3,20,95,6,7,13,3,30,25,8,5,32,126,3,3,9,3,36,31,12,8,18,127,10,4,4,8,19,17,6,11,11,87,0,3,4,3,26,15,3,8,7,73,4,9,4,4,14,18,3,11,4,66,5,0,0,5,8,12,10,17,7,61,0,0,0,0,0,0,0,4,0,8,0,0,0,0,3,0,0,3,7,21,8,0,0,3,8,14,0,6,89,139,73,134,81,59,178,157,37,98,304,1112,74,123,33,25,18,45,17,85,37,457,296,1900,67,17,13,13,5,33,50,2388,246,1566,231,44,33,44,15,33,50,2259,206,1339,375,81,62,85,18,80,56,2303,261,1384,739,177,159,157,29,111,69,3092,349,1613,1757,517,475,346,81,213,115,5464,397,1136,1678,1093,1298,807,132,330,95,6963
203,8,27,16,8,3,7,0,0,37,110,17,25,29,13,11,8,0,3,39,143,11,20,18,6,22,22,0,10,35,140,6,11,17,17,66,43,3,9,37,212,12,5,20,17,78,61,9,21,45,272,9,9,13,9,46,60,4,13,34,199,13,8,5,13,49,39,15,22,25,177,4,4,8,5,42,30,3,19,11,126,8,3,0,4,51,40,13,38,12,152,0,4,0,5,4,3,0,14,7,36,3,8,5,9,6,12,8,22,15,79,0,9,10,13,19,36,8,13,184,296,132,235,150,131,394,364,60,187,583,2242,155,218,74,37,47,80,22,99,58,781,754,3771,111,32,26,36,3,40,75,4851,538,3357,375,70,64,74,13,46,78,4603,504,2931,794,171,105,95,24,77,74,4779,523,2883,1632,285,257,276,32,121,117,6129,742,3220,3204,864,685,626,113,216,137,9810,733,2355,3364,1802,1982,1244,195,367,202,12247
204,8,12,12,0,6,9,0,7,27,77,6,13,21,3,6,6,0,7,36,95,9,10,15,18,22,16,5,0,32,118,7,13,13,13,35,23,3,8,42,167,19,5,12,14,44,44,12,20,29,201,3,5,5,3,19,36,11,21,19,121,0,3,4,0,10,24,5,12,12,80,4,4,0,3,12,19,4,8,3,58,0,0,0,6,5,29,5,9,4,59,0,0,0,0,0,0,0,3,0,9,6,8,0,0,3,3,0,8,8,35,4,3,3,0,10,12,6,7,132,185,93,145,93,77,183,231,55,115,428,1422,98,150,59,35,26,72,16,154,43,653,438,1848,92,14,20,37,7,68,72,2608,266,1505,263,80,54,80,23,106,68,2434,260,1341,410,120,109,121,12,153,74,2601,275,1295,763,245,228,245,53,210,97,3421,433,1610,1864,615,521,499,109,361,138,6145,478,1313,1847,1221,1445,897,186,489,158,8043
205,17,29,9,3,5,6,0,4,44,115,18,25,22,9,25,6,0,5,56,161,4,21,21,18,27,23,0,12,56,182,18,20,22,19,58,38,8,24,56,261,24,15,10,23,70,50,7,23,34,248,10,8,0,0,37,44,12,23,21,158,8,3,0,11,21,35,13,12,22,116,6,0,0,0,19,27,5,22,16,100,8,3,5,4,21,26,13,23,16,108,0,0,0,3,4,3,5,8,4,24,0,8,5,0,4,10,0,16,18,62,18,12,12,4,18,26,8,19,189,301,188,231,137,107,315,288,69,201,673,2211,146,231,81,53,42,89,28,244,78,986,617,2920,136,45,32,35,10,93,126,4011,414,2530,433,92,80,95,15,139,83,3878,404,2275,692,188,153,161,33,204,125,4237,434,2310,1376,345,353,322,72,280,149,5644,665,2610,2956,929,826,747,164,443,246,9584,731,1880,2928,1882,2034,1272,239,659,253,11874
206,57,107,88,20,22,9,4,3,143,452,67,126,137,39,43,33,7,22,190,668,65,92,150,71,133,62,0,21,225,823,56,99,153,88,324,193,16,40,279,1246,63,61,116,109,555,359,42,82,258,1645,58,45,62,74,474,360,54,82,185,1389,56,39,39,68,449,346,57,92,140,1288,40,23,22,29,318,320,41,122,97,1008,68,39,34,60,391,608,139,225,129,1688,14,15,16,26,78,137,31,100,40,449,25,54,36,21,88,218,56,381,96,977,41,44,32,32,136,182,21,70,1193,1755,839,1142,989,672,3026,2876,483,1300,3504,14836,672,713,291,126,260,358,71,334,368,3189,1688,6044,311,99,91,117,33,112,196,8685,2016,8152,1174,226,174,199,30,130,287,12385,2135,8472,2676,418,342,340,61,208,384,15034,2025,8498,5300,783,599,602,96,261,455,18624,2893,10292,10780,2390,1693,1365,242,564,641,30862,3122,8072,11479,5156,5972,3325,446,883,759,39211
207,18,30,29,6,9,9,0,0,36,133,9,37,31,13,10,10,0,6,47,162,3,26,33,23,38,14,4,5,42,188,12,26,38,19,63,33,0,10,57,258,12,15,28,24,85,67,12,9,52,300,11,14,19,12,51,50,10,16,29,214,14,13,15,18,53,50,9,19,24,209,7,9,4,9,29,36,8,11,22,135,10,16,7,12,46,49,7,22,24,193,0,8,7,5,7,8,4,19,6,69,4,27,7,8,5,26,10,22,14,115,6,15,15,4,31,27,6,9,246,364,134,367,278,151,422,404,76,174,706,2706,145,288,108,51,76,123,6,88,80,956,820,4072,163,42,24,48,7,26,47,5254,616,4305,535,96,56,103,12,45,70,5833,528,3645,1103,197,100,160,14,72,98,5920,482,3091,1851,286,203,208,38,101,103,6370,583,3254,3474,866,584,505,72,181,146,9661,630,2427,3484,1661,1707,963,156,287,164,11469
208,12,33,20,6,3,0,0,5,37,115,14,31,35,16,14,10,0,0,32,151,11,22,35,21,40,29,4,6,61,221,16,30,36,22,88,56,8,12,69,335,13,25,31,20,130,85,12,27,62,403,7,17,8,10,57,74,19,17,27,237,14,12,9,11,57,64,16,22,30,240,3,9,8,10,25,41,3,20,24,143,4,10,13,7,27,47,9,33,31,180,0,5,0,0,14,14,9,16,11,65,4,32,20,11,3,27,11,41,17,166,13,22,10,3,33,49,5,15,283,441,154,392,270,159,495,502,97,232,814,3116,181,380,126,76,85,101,32,140,96,1217,992,4810,185,41,29,44,9,29,63,6193,777,4710,600,112,69,79,27,48,70,6486,670,3813,1103,200,142,155,33,101,106,6327,684,3513,2238,328,260,259,48,131,106,7566,837,3804,4060,1020,805,614,118,231,156,11657,791,2798,3942,2098,2646,1363,218,435,227,14522
209,6,34,34,12,3,3,0,3,44,144,17,40,36,13,14,8,0,3,51,189,13,31,42,28,46,24,0,9,65,261,15,27,29,26,107,50,7,12,55,329,15,21,25,28,140,89,13,21,80,439,8,18,16,15,69,79,11,20,62,296,9,7,11,6,48,60,10,21,27,196,8,10,4,4,35,36,20,26,15,153,0,7,6,6,35,53,18,26,16,172,6,4,6,6,4,16,4,10,7,44,3,5,7,6,7,14,5,16,13,68,7,18,14,10,33,44,6,19,288,435,144,373,262,168,555,483,97,201,865,3154,201,337,120,66,87,115,8,105,105,1144,831,4657,189,42,38,47,6,43,75,5938,662,4673,670,112,79,96,20,58,105,6475,572,3755,1246,207,166,154,38,108,135,6379,540,3513,2366,379,322,298,61,147,135,7768,785,3665,4414,1236,942,780,126,317,216,12473,847,2742,4212,2510,3040,1588,256,436,280,15913
210,4,30,29,5,9,11,0,3,33,123,19,37,60,22,18,12,3,4,47,220,18,37,56,36,92,35,8,8,77,367,16,27,41,33,162,109,20,15,91,503,21,17,25,17,177,125,25,39,80,527,5,15,15,16,106,78,29,37,55,349,4,14,11,13,72,85,24,43,33,281,4,4,3,0,31,49,11,31,29,167,3,3,9,4,35,55,14,37,31,199,0,0,0,4,8,3,6,8,4,30,4,4,3,5,6,11,0,15,16,68,8,20,18,9,40,36,8,26,326,493,154,338,292,171,771,620,139,275,963,3720,211,327,99,56,96,101,30,87,125,1139,581,3108,166,43,23,34,11,36,68,4070,489,3451,527,99,76,70,8,54,102,4880,465,2828,1067,191,145,135,29,78,123,5054,471,2597,2041,342,299,333,52,125,165,6416,707,2698,3807,1094,1022,708,127,270,223,10654,833,2152,3549,2119,3502,1761,308,447,305,14972
