POW_SA4_CODE_2021,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
201,43,3,8,1845,1304,42,69,9,3,1434,1211,68,74,13,0,1367,1387,93,78,22,10,1580,1583,111,110,27,8,1846,1618,126,104,21,9,1876,1298,104,74,29,8,1516,808,74,72,31,10,991,211,32,40,20,10,303,32,10,21,18,0,81,4,10,11,16,0,33,12666,687,717,201,69,14337,1860,4,0,11,6,1883,1760,3,29,9,5,1805,1392,18,57,9,6,1476,1524,41,108,29,8,1708,1706,85,143,39,13,1974,1609,86,144,44,3,1886,1569,93,156,36,17,1866,1538,81,123,34,7,1788,1546,92,155,51,12,1858,1290,55,137,61,16,1563,502,47,94,38,4,696,138,33,43,39,5,264,39,23,21,25,0,102,16472,663,1210,428,105,18881,2274,60,132,37,33,2535,382,15,29,28,56,513,31794,1418,2081,700,261,36258,799,0,6,5,6,808,2969,16,63,8,9,3060,4055,132,167,10,12,4372,3624,292,221,18,11,4167,3309,396,262,36
202,39,4,3,1795,1303,38,38,9,0,1394,1187,63,59,9,9,1327,1362,95,110,11,9,1594,1690,124,110,28,7,1963,1508,125,125,26,10,1790,1335,117,95,27,10,1578,777,57,81,31,9,952,230,48,39,23,0,331,28,17,6,18,3,72,11,7,15,10,5,47,12526,705,732,186,67,14222,1900,7,9,14,0,1930,1603,4,35,8,9,1657,1273,16,54,12,0,1353,1489,36,107,26,6,1670,1726,64,162,38,5,1996,1587,76,152,34,11,1867,1526,74,170,31,3,1804,1509,98,152,32,7,1796,1570,57,157,50,18,1858,1315,71,149,41,9,1590,546,52,98,38,10,738,129,30,69,38,7,272,31,14,31,24,3,110,16204,597,1354,388,98,18640,2178,51,129,43,26,2426,392,20,22,45,56,537,31293,1374,2235,669,246,35816,749,0,5,0,0,759,2914,23,45,7,13,2995,4097,71,149,6,16,4342,3716,208,190,19,17,4145,3410,354,225,26
203,75,0,10,3909,3128,112,121,10,3,3371,2717,150,132,23,10,3033,2714,177,147,29,11,3073,3131,249,167,30,12,3596,2883,218,174,29,15,3319,2288,174,132,25,12,2632,1341,86,89,18,11,1547,338,44,27,9,0,425,50,23,22,19,0,108,11,8,8,12,0,39,24884,1295,1122,201,99,27603,3648,7,20,15,9,3690,3884,6,74,11,7,3982,2663,28,159,22,3,2880,2986,106,303,54,10,3460,3474,152,343,77,13,4064,3275,158,354,67,21,3869,3112,168,309,76,17,3680,2802,192,302,56,20,3371,2825,164,265,58,17,3330,2265,140,236,74,10,2724,975,102,155,65,9,1304,260,52,93,53,5,462,69,17,34,25,5,152,32228,1291,2657,668,129,36978,4416,103,267,71,51,4911,718,33,47,55,82,931,62250,2720,4090,993,372,70425,1124,8,6,0,5,1142,5338,48,105,3,18,5510,8372,265,308,8,37,8985,7901,587,469,30,38,9017,7296,853,484,55
204,38,5,6,1693,1311,53,65,6,3,1436,1270,93,81,24,7,1468,1377,142,99,30,12,1660,1686,162,144,35,17,2051,1708,194,143,56,18,2120,1461,144,120,52,11,1794,929,131,133,56,8,1248,280,53,90,50,5,482,36,23,57,43,3,165,10,13,32,32,10,95,13367,1022,1007,399,117,15912,1814,0,3,16,12,1849,1407,6,17,9,4,1447,1232,23,59,11,4,1330,1418,47,103,28,7,1608,1630,69,154,40,15,1905,1506,92,146,47,14,1799,1566,76,153,50,10,1857,1627,87,134,50,17,1916,1615,88,143,63,14,1931,1521,95,187,83,18,1907,672,49,150,86,11,973,212,36,98,71,5,429,56,18,56,56,8,191,16283,680,1411,606,135,19127,2374,68,190,73,34,2738,515,27,50,62,67,718,32539,1800,2665,1139,354,38492,1330,5,4,4,9,1350,3403,19,59,7,16,3499,4068,116,199,11,26,4422,3719,271,271,18,22,4294,3579,362,304,49
205,79,10,13,2612,1937,84,134,22,12,2192,1802,125,142,28,17,2113,1984,154,162,29,16,2345,2356,184,230,39,31,2834,2343,222,211,51,27,2845,1939,182,188,67,21,2397,1205,103,182,72,16,1579,368,58,103,45,7,578,60,33,71,45,12,213,7,19,24,31,4,90,18739,1207,1559,430,180,22118,2843,3,10,21,20,2895,2162,0,50,14,16,2240,1964,26,140,29,10,2176,2366,78,218,60,17,2740,2675,113,258,74,21,3136,2396,81,200,67,25,2779,2504,112,235,67,34,2955,2676,152,261,76,21,3183,2715,122,282,87,32,3237,2404,139,274,100,33,2954,998,101,197,124,20,1444,275,57,139,65,11,546,57,19,78,86,15,255,26030,1008,2346,867,284,30532,3635,88,252,83,79,4141,759,28,87,78,125,1084,49164,2326,4243,1465,673,57877,1497,0,11,3,8,1515,4574,42,99,11,25,4745,6067,154,326,19,42,6608,5481,410,427,48,37,6407,5193,545,521,74
206,398,24,27,39193,39238,596,591,54,37,40512,32470,841,610,65,32,34019,25796,880,639,65,26,27410,22418,906,643,75,42,24071,18638,913,589,56,29,20228,12976,642,421,63,30,14131,7140,400,239,41,22,7841,2360,211,131,27,3,2732,522,93,63,19,0,699,85,26,23,12,0,143,214286,5745,4419,504,269,225229,5730,9,62,30,10,5841,16727,49,331,22,21,17142,14313,147,627,47,25,15160,14510,315,893,112,33,15862,15668,482,952,172,43,17320,12439,514,808,154,32,13951,9657,543,731,139,34,11105,8361,511,642,134,23,9678,6765,403,591,126,37,7932,5365,371,519,120,24,6407,2738,268,345,101,14,3472,1060,196,216,81,10,1557,310,89,107,61,15,583,113645,3906,6827,1304,331,126010,22764,375,786,211,201,24347,3715,185,201,189,383,4677,354419,10214,12232,2204,1190,380255,1330,3,12,6,4,1359,27145,157,215,23,27,27567,75013,813,1015,60,75,76976,85083,2463,1710,124,117,89499,80877,3740,1836,178
207,80,4,0,5551,5032,199,141,31,6,5406,4164,260,142,31,0,4597,3566,272,142,42,12,4027,3992,350,185,46,10,4579,3909,383,204,34,13,4546,3022,268,151,23,15,3481,1908,157,102,25,10,2195,562,72,60,6,3,704,132,34,15,4,3,187,17,13,12,5,0,47,34039,2077,1260,252,83,37717,3478,3,34,11,3,3537,5102,12,137,11,9,5261,3132,48,165,18,7,3366,3082,155,207,77,5,3532,3420,251,330,112,9,4123,3201,311,337,106,19,3971,3254,348,382,124,11,4115,3233,323,378,103,7,4042,3000,238,332,84,13,3669,2401,201,277,68,10,2957,1217,158,155,53,7,1596,428,101,120,49,3,703,165,53,81,48,3,354,35107,2198,2936,869,113,41221,4336,166,241,78,47,4871,706,54,51,60,68,932,74184,4494,4491,1259,312,84739,396,6,0,3,0,403,4376,40,93,12,11,4538,10124,206,255,13,10,10615,10579,695,390,69,12,11736,9456,972,438,87
208,91,9,5,5101,4276,171,129,20,6,4597,3548,269,192,40,6,4061,3283,374,214,50,10,3929,3867,533,298,42,11,4756,3965,500,317,42,8,4827,3022,400,242,41,19,3721,1832,201,143,27,9,2208,619,102,81,14,3,827,152,42,28,6,0,224,27,20,8,0,0,61,32141,2684,1780,293,88,36987,4417,8,33,13,6,4476,6086,5,157,9,12,6278,3263,38,178,4,6,3490,3049,121,288,70,5,3545,3428,283,462,97,17,4287,3220,300,544,108,9,4175,3424,385,548,95,13,4466,3460,375,557,108,12,4516,3133,281,426,100,14,3951,2522,247,387,106,10,3279,1306,179,229,85,15,1813,543,116,160,72,11,904,171,52,57,50,9,338,38019,2393,4035,932,141,45519,4930,162,382,76,51,5602,895,58,56,50,105,1163,75985,5293,6259,1356,385,89271,739,5,0,0,0,747,5524,55,91,4,8,5691,10428,290,329,23,24,11097,10187,762,476,52,18,11492,9123,1290,555,89
209,104,8,9,5428,4700,139,142,20,16,5010,3679,226,197,35,13,4159,3646,275,225,24,12,4182,4024,303,208,36,13,4585,3925,308,210,30,19,4482,3058,228,177,17,10,3484,1836,132,95,21,3,2094,571,75,43,9,4,708,96,34,18,4,4,160,16,19,11,0,0,44,33614,1803,1469,215,103,37197,4465,15,35,10,6,4529,5159,15,147,13,4,5348,3294,39,209,43,7,3585,3939,141,384,85,10,4555,4308,231,498,106,9,5144,3916,279,470,90,23,4779,3923,226,429,60,17,4657,3663,251,350,57,20,4348,3270,211,301,71,16,3870,2616,191,239,79,20,3136,1185,114,149,46,8,1500,309,62,58,34,4,474,111,35,24,19,4,194,40150,1804,3301,712,144,46116,5055,130,359,77,50,5667,988,63,56,49,107,1265,79803,3800,5186,1058,401,90245,1005,8,8,0,0,1022,6041,82,128,8,11,6272,11016,331,409,14,27,11804,10765,881,618,45,46,12359,9494,1238,690,94
210,60,4,8,4196,3694,101,99,19,9,3925,3274,188,153,17,8,3632,3195,220,159,27,13,3613,3384,216,146,31,11,3771,3379,245,165,42,15,3843,2551,191,112,16,8,2875,1455,106,58,13,8,1644,428,39,28,13,6,507,69,21,11,5,0,106,9,6,8,3,0,32,27937,1398,1019,194,81,30626,3107,11,25,18,3,3159,3512,11,87,8,11,3627,2306,40,161,32,12,2536,2677,114,235,89,16,3128,2974,170,335,100,22,3594,2778,176,286,83,20,3331,2742,171,247,72,14,3238,2599,185,230,68,14,3091,2157,191,183,50,13,2593,1579,131,144,51,17,1918,648,72,88,50,8,868,191,44,27,19,3,290,54,17,15,14,0,112,27333,1328,2039,644,142,31480,3913,131,239,68,62,4406,977,53,56,53,89,1244,60162,2906,3354,951,375,67751,1231,6,3,0,0,1236,6455,84,126,11,17,6697,11003,365,385,16,36,11809,11478,894,517,49,44,12978,11169,1260,560,52
