POW_SA4_CODE_2021,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20mo_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20mo_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20mo_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20mo_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20mo_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20mo_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20mo_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20mo_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20mo_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20mo_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20mo_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20mo_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20mo_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20mo_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20mo_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20mo_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20mo_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20mo_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20mo_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20mo_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20mo_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20mo_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20mo_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20mo_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20mo_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20mo_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20mo_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20mo_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20mo_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20mo_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
201,328,1179,274,9,1787,384,468,66,3,927,296,536,25,3,854,52,58,9,0,117,118,309,32,4,464,61,118,27,0,202,115,103,11,0,232,85,93,8,3,184,30,22,5,8,70,1450,2885,458,31,4830,666,388,14,21,1090,974,171,24,6,1176,924,262,0,8,1192,392,46,0,3,436,184,47,4,0,240,140,36,3,0,173,197,22,0,0,224,336,86,3,7,437,55,9,0,0,62,3865,1064,55,49,5039,994,1568,287,23,2880,1357,641,96,7,2100,1219,793,27,13,2050,437,102,9,5,553,298,359,37,7,705,193,153,29,0,378,309,128,17,4,457,419,181,11,6,625,84,33,6,10,128,5321,3952,514,81,9869
202,311,1077,223,11,1622,337,479,90,4,907,208,397,23,0,629,32,54,4,0,95,110,299,45,5,457,35,121,34,0,185,84,86,4,0,182,70,79,12,0,166,31,26,10,0,65,1225,2615,442,26,4308,747,454,11,16,1233,1068,182,14,0,1265,945,293,0,10,1245,426,28,7,0,455,162,60,0,0,230,122,29,3,0,156,184,23,0,0,207,336,78,0,3,420,46,14,0,0,65,4034,1157,38,36,5263,1064,1530,237,24,2857,1401,658,97,4,2167,1153,689,23,6,1870,453,80,8,0,548,274,361,48,5,678,162,147,33,0,344,267,111,4,3,385,410,162,12,0,584,80,43,10,4,128,5261,3775,479,59,9566
203,625,2017,454,7,3101,801,1038,114,4,1957,582,1012,45,4,1650,94,144,21,0,258,305,517,54,9,878,115,247,45,0,413,187,127,22,0,337,161,230,13,0,404,52,96,18,0,169,2922,5435,782,30,9175,803,448,33,4,1290,2174,374,24,8,2582,1944,475,0,16,2433,894,98,5,4,995,351,82,3,4,436,191,67,5,0,260,375,25,0,0,410,593,126,0,4,729,124,19,0,0,146,7448,1719,69,45,9282,1434,2461,489,15,4392,2973,1413,142,6,4538,2529,1488,47,26,4091,987,238,21,7,1256,655,600,53,7,1318,308,317,49,4,669,564,163,21,0,744,752,357,16,4,1129,180,118,18,4,313,10370,7156,853,70,18456
204,477,1416,234,23,2160,302,471,43,6,822,305,533,20,9,869,43,54,8,6,106,158,348,33,8,544,66,154,20,7,235,108,133,4,0,241,94,129,14,3,239,40,32,9,3,81,1594,3273,388,56,5306,1498,692,18,36,2243,758,183,13,4,964,1232,386,4,15,1637,411,52,7,7,475,185,103,4,0,293,120,56,0,5,174,198,36,0,0,236,471,102,0,4,585,87,21,0,4,116,4963,1634,53,82,6728,1979,2114,256,64,4406,1068,658,54,9,1788,1534,918,24,27,2508,454,104,16,4,581,351,450,32,8,839,178,206,19,5,414,303,166,4,5,482,565,234,12,9,824,124,57,9,11,194,6559,4904,435,135,12029
205,612,1826,315,24,2778,400,616,110,7,1138,363,720,25,14,1116,60,111,9,0,176,230,528,46,8,816,91,266,28,3,384,157,149,5,0,311,135,205,17,3,361,32,60,3,4,101,2075,4480,553,66,7170,2114,1238,22,60,3436,1224,233,28,7,1486,1759,625,0,19,2409,726,90,0,12,826,329,164,6,5,507,216,67,3,8,291,263,56,0,12,331,692,175,5,10,883,114,40,0,6,167,7441,2693,66,142,10341,2722,3064,339,85,6210,1620,844,137,18,2625,2122,1341,28,30,3524,786,200,11,11,1009,556,699,47,16,1320,308,337,28,9,679,416,206,5,12,641,822,383,24,19,1245,150,100,6,10,267,9514,7169,621,207,17514
206,2516,8441,2576,32,13571,4926,6686,1349,18,12971,1084,1770,112,8,2970,355,532,71,0,959,668,959,147,3,1770,608,964,201,5,1772,469,103,34,4,604,340,324,40,6,705,355,360,76,17,811,11312,20135,4603,92,36145,1533,954,148,5,2636,11969,2138,1111,15,15225,3057,619,12,8,3703,2047,182,15,9,2249,786,96,25,3,916,621,156,23,0,796,1137,18,15,0,1171,1086,140,0,5,1235,536,75,26,13,652,22770,4373,1379,54,28580,4051,9392,2723,39,16207,16890,8824,2454,35,28201,4145,2389,121,20,6669,2402,716,83,10,3209,1450,1054,174,7,2695,1224,1112,225,8,2567,1601,114,58,3,1774,1427,464,41,10,1939,894,431,101,32,1458,34085,24512,5987,154,64726
207,1267,2758,523,9,4560,2099,2294,214,6,4610,549,779,35,0,1361,159,205,7,0,375,420,552,47,3,1024,383,405,64,0,852,103,36,4,0,147,157,129,8,0,288,167,125,15,4,317,5307,7290,911,30,13540,658,274,37,4,971,3669,646,66,12,4385,1245,288,0,0,1535,853,94,5,6,952,434,58,4,0,499,284,46,0,0,335,407,13,0,0,423,491,65,0,0,556,198,19,4,3,225,8241,1492,119,20,9872,1927,3031,557,15,5532,5767,2940,278,12,8999,1796,1064,38,7,2895,1013,298,14,6,1326,853,610,50,5,1522,673,453,66,0,1182,512,50,3,0,570,644,192,16,0,849,366,144,17,5,533,13545,8786,1028,50,23410
208,1543,3905,795,8,6258,2390,2317,153,4,4870,945,1342,44,5,2331,193,253,24,0,461,472,668,65,5,1211,453,443,60,7,961,165,77,3,0,248,229,221,14,0,463,183,135,18,6,344,6574,9355,1176,40,17147,802,482,38,0,1331,4485,757,45,9,5292,2099,418,5,8,2537,1325,107,0,0,1433,582,82,7,0,666,380,60,0,0,443,395,16,3,0,423,655,89,0,7,755,186,29,0,3,215,10923,2041,96,31,13086,2346,4390,833,13,7586,6871,3074,200,17,10158,3045,1757,43,14,4863,1512,359,24,0,1891,1056,750,66,5,1879,833,499,68,7,1406,564,87,7,6,663,887,310,13,3,1217,370,161,23,8,566,17488,11394,1274,72,30233
209,975,2995,620,10,4599,1267,1426,120,4,2820,1066,1554,56,9,2682,136,186,24,0,347,430,732,63,7,1224,252,413,65,5,738,486,204,18,5,718,281,323,20,7,625,125,121,20,3,272,5021,7951,1002,47,14023,815,408,24,4,1256,3243,487,25,6,3769,2373,504,6,7,2887,1051,91,3,3,1157,566,93,4,0,657,332,79,4,3,418,979,35,0,5,1014,859,110,0,3,976,186,27,0,0,214,10401,1834,78,32,12348,1786,3397,643,20,5850,4515,1913,147,14,6586,3440,2063,58,15,5569,1194,278,29,3,1502,991,823,62,7,1878,592,488,70,4,1158,1470,241,18,9,1735,1142,429,22,6,1605,307,148,23,7,490,15427,9782,1075,83,26372
210,855,2772,649,13,4282,716,846,88,5,1662,970,1439,73,9,2490,121,129,11,4,267,519,764,90,13,1384,166,300,33,3,503,741,313,15,0,1069,307,362,24,0,696,109,110,7,5,234,4503,7027,991,54,12578,624,386,27,3,1039,1591,249,22,6,1871,2019,535,0,13,2564,894,64,3,3,962,433,74,3,0,511,211,68,3,3,280,1200,44,5,0,1250,746,138,3,4,884,140,30,0,4,177,7854,1585,68,29,9541,1475,3154,672,19,5318,2313,1096,112,9,3532,2989,1973,73,18,5058,1014,189,16,7,1220,948,838,94,13,1890,375,366,36,3,782,1939,358,16,4,2320,1046,504,26,3,1587,252,136,11,5,413,12353,8612,1056,83,22116
